# timestamp(s) tx ty tz qx qy qz qw
1403636624.661420822 -0.036505318 -0.058703457 0.004099605 -0.808185772 0.023178223 -0.588364146 0.011232058
1403636624.712894201 -0.039150152 -0.052146072 -0.002916749 -0.807008874 0.016834040 -0.590171705 0.012273997
1403636624.762533188 -0.043008522 -0.062323624 -0.003361642 -0.805336184 0.014775808 -0.592542812 0.010407735
1403636624.812118769 -0.049353082 -0.070661125 -0.001466213 -0.807333702 0.009575733 -0.589985928 0.006099415
1403636624.861799240 -0.054727996 -0.081441969 -0.002573330 -0.808944241 0.003965929 -0.587864637 0.002941770
1403636624.912004948 -0.062568841 -0.094245370 -0.005028921 0.812789473 0.002008377 0.582543595 0.003492594
1403636624.962026119 -0.073658228 -0.105785476 -0.000478449 0.816476651 0.007002995 0.577256384 0.009586601
1403636625.011967421 -0.085681344 -0.116277430 0.006389810 0.819785584 0.010436431 0.572425278 0.013114080
1403636625.061967373 -0.097982515 -0.126019993 0.016251410 0.823268643 0.012670874 0.567305299 0.015260676
1403636625.111967325 -0.109698848 -0.134762610 0.027826371 0.826205654 0.013591064 0.563008994 0.014844947
1403636625.161967278 -0.120761131 -0.142622630 0.040749966 0.827577016 0.011210441 0.561142545 0.010471514
1403636625.212847233 -0.129652842 -0.147416260 0.051848930 0.827008342 0.008766612 0.562062258 0.008146581
1403636625.262836456 -0.137995751 -0.151075322 0.066624175 0.824863163 0.006066434 0.565262597 0.006492828
1403636625.313022137 -0.145340399 -0.153881525 0.075209450 0.823915076 0.009408121 0.566620430 0.004089334
1403636625.362898350 -0.150445769 -0.155464723 0.083657848 0.822558864 0.008824611 0.568602861 0.003135029
1403636625.413125515 -0.153775165 -0.155171890 0.086530262 0.823369301 0.008432530 0.567430175 0.003857717
1403636625.463432074 -0.155501658 -0.154850774 0.085716846 0.825218767 0.008777130 0.564726183 0.004613775
1403636625.513534307 -0.154828190 -0.154596971 0.082579231 0.826258662 0.009065932 0.563199666 0.004535213
1403636625.563454866 -0.153344636 -0.154629434 0.079263817 0.826979221 0.010109488 0.562121973 0.004696117
1403636625.612944365 -0.147122965 -0.148699914 0.078014990 0.827407525 0.010859727 0.561455236 0.006846336
1403636625.662318945 -0.133024554 -0.136053247 0.082804931 0.827761004 0.010550904 0.560886641 0.010323497
1403636625.712285757 -0.127441801 -0.133988540 0.090533505 0.826059343 0.010471912 0.563402573 0.009687229
1403636625.762503147 -0.119628777 -0.132038559 0.102726875 0.823300071 0.011051335 0.567414156 0.009799790
1403636625.812586308 -0.107310643 -0.126855425 0.117937395 0.820699996 0.009364475 0.571188018 0.010395751
1403636625.862677574 -0.100001752 -0.124868340 0.139007012 0.817296919 0.007860867 0.576086232 0.009413126
1403636625.912759066 -0.093792413 -0.129599254 0.160789499 0.814830026 0.006369616 0.579619741 0.007239608
1403636625.962731361 -0.086423291 -0.127255416 0.184578967 0.813046530 0.005955723 0.582134269 0.006289914
1403636626.012786865 -0.079156796 -0.125054532 0.209578226 0.811675338 0.005693750 0.584059621 0.005008597
1403636626.062779665 -0.071545128 -0.122879610 0.234032850 0.810982866 0.003494424 0.585058668 0.000966823
1403636626.112757683 -0.064475800 -0.121565242 0.257082211 -0.810612442 -0.000751783 -0.585569189 0.003953326
1403636626.162826777 -0.057628114 -0.121448836 0.278927242 -0.810161840 0.002125681 -0.586135447 0.008860685
1403636626.213011742 -0.050374194 -0.123281118 0.298580003 -0.809875023 0.004538251 -0.586429126 0.013517850
1403636626.263231993 -0.044113663 -0.124968829 0.315275607 -0.809700368 0.006284318 -0.586585525 0.016224794
1403636626.313489676 -0.037272287 -0.128393968 0.327708796 -0.809641271 0.006921459 -0.586611153 0.017901430
1403636626.363634348 -0.031219347 -0.131318194 0.336933512 -0.809652220 0.007026804 -0.586587418 0.018141317
1403636626.413846493 -0.025501726 -0.135424629 0.342526278 -0.809447094 0.006173459 -0.586910324 0.017133654
1403636626.463978529 -0.018392780 -0.139646348 0.346620346 -0.809268407 0.004715453 -0.587232852 0.014831965
1403636626.513995171 -0.014317607 -0.143885756 0.349774444 -0.807437763 0.002540198 -0.589822233 0.012146617
