# timestamp(s) tx ty tz qx qy qz qw
1403638132.945096970 -0.202600703 -0.392565000 1.367322321 -0.769622997 0.054567854 -0.627287456 0.105892583
1403638132.995096922 -0.221068442 -0.433664481 1.436722781 -0.767135459 0.053005166 -0.629924575 0.109035174
1403638133.045097113 -0.240148607 -0.479555748 1.504708507 -0.768947784 0.046390192 -0.628619691 0.106792039
1403638133.095097065 -0.259835722 -0.530621639 1.572038339 -0.772649773 0.039407186 -0.625450456 0.101346580
1403638133.145097017 -0.280182375 -0.586664133 1.639601583 -0.775791959 0.036953950 -0.622267320 0.097798896
1403638133.195096970 -0.301698081 -0.648655212 1.708678027 -0.777402484 0.038518928 -0.621057791 0.091917843
1403638133.245096922 -0.324635756 -0.715634355 1.779246287 -0.777961536 0.043847378 -0.620707100 0.087039939
1403638133.295097113 -0.349450076 -0.788244058 1.851083213 -0.779295323 0.049484846 -0.619756699 0.078432669
1403638133.345097065 -0.376092580 -0.865338815 1.923860424 -0.782607880 0.053535608 -0.616163384 0.070721484
1403638133.395097017 -0.404426722 -0.946646610 1.998813305 -0.786021620 0.057599435 -0.612265799 0.063110300
1403638133.445096970 -0.435360867 -1.032429195 2.076630051 -0.788865445 0.063493820 -0.608961787 0.053154362
1403638133.495096922 -0.468442309 -1.121555623 2.157528161 -0.789777272 0.072569204 -0.607358575 0.045838119
1403638133.545097113 -0.503703550 -1.213806869 2.240989751 -0.789926136 0.084488955 -0.605974428 0.040906106
1403638133.590428591 -0.171671501 -1.504205572 2.332899958 -0.826326917 0.089734870 -0.555622803 0.020366148
1403638133.641241789 -1.509360310 -2.085372136 2.368444365 -0.801937684 0.101114119 -0.587535678 0.038388965
1403638133.692345381 -2.188005564 -2.435723250 2.368716007 -0.795147446 0.105841828 -0.595178562 0.047963799
1403638133.742210388 -2.454239463 -2.432230178 2.457876538 -0.795214426 0.112211857 -0.594585423 0.038867606
1403638133.792129278 -2.647970916 -2.482272330 2.547220440 -0.795522951 0.117698104 -0.593655286 0.029390340
1403638133.842155218 -2.836758127 -2.493907450 2.643915706 -0.796748081 0.120726761 -0.591890418 0.016830850
1403638133.892157555 -3.488147769 -2.842155919 2.576707311 -0.790827453 0.121146105 -0.599705379 0.016401816
1403638133.943810701 -3.499567859 -2.806520349 2.703965967 -0.793754149 0.121712158 -0.595902858 0.006347016
1403638133.994591713 -3.643532054 -2.758990270 2.809329083 0.793752918 -0.121131090 0.596056350 0.000626415
1403638134.045312643 -3.772691058 -2.717710947 2.935034002 0.795215707 -0.118929525 0.594527980 0.004922191
1403638134.095731497 -3.891601820 -2.754563537 3.049806703 0.798902936 -0.113573267 0.590600417 0.006808746
1403638134.146047831 -3.905261653 -2.600806372 3.187570539 0.803075199 -0.107312531 0.585945865 0.014889188
1403638134.195226192 -3.174042505 -2.392993930 3.291476094 0.811882701 -0.097671909 0.575188020 0.021573582
1403638134.244548559 -2.960837022 -2.402262586 3.322007208 0.809475810 -0.097005508 0.578623008 0.023114027
1403638134.294287443 -2.894829432 -2.208095883 3.420961339 0.806898213 -0.100002049 0.581522949 0.027311615
1403638134.344164610 -2.877367835 -2.147513822 3.532599357 0.807894517 -0.101864375 0.579862899 0.026251054
1403638134.394016743 -2.854035127 -2.091973652 3.644402999 0.810529613 -0.102427168 0.576169243 0.024071247
1403638134.443856239 -2.822065550 -2.040566265 3.758314565 0.813230311 -0.102865913 0.572322458 0.022848851
1403638134.493714094 -2.775543638 -1.990178547 3.875788282 0.814068565 -0.103893905 0.570975672 0.022027486
1403638134.543559551 -2.695864122 -1.874646967 3.970025128 0.814813547 -0.105897740 0.569591630 0.020734713
1403638134.593445778 -2.616831075 -1.744141971 4.077956079 0.815431016 -0.106002059 0.568768250 0.018398334
1403638134.643387079 -2.570050266 -1.662102539 4.191474660 0.817570763 -0.105594079 0.565776793 0.018015519
1403638134.693428516 -2.521928581 -1.599841386 4.303550278 0.821090102 -0.103511160 0.561032403 0.018415397
1403638134.743545055 -2.482451938 -1.542198582 4.407378618 0.825469441 -0.100763111 0.555097961 0.017698865
1403638134.793678999 -2.442087759 -1.462189174 4.497800747 0.830262622 -0.097124662 0.548494311 0.019615519
1403638134.843711138 -2.435822971 -1.408526452 4.599800773 0.833247060 -0.093858726 0.544410900 0.022508855
1403638134.893581629 -2.435145405 -1.356679713 4.704687517 0.833955809 -0.092168316 0.543497896 0.025154469
1403638134.943438530 -2.484669736 -1.263969026 4.802735354 0.831869219 -0.092537265 0.546510676 0.027505234
1403638134.993430138 -2.510625758 -1.237434178 4.907823494 0.830702610 -0.092605066 0.548233267 0.028244656
1403638135.043611765 -2.543507557 -1.214531166 4.998662163 0.832177985 -0.089293476 0.546396776 0.030936062
1403638135.093741417 -2.588687333 -1.238221468 5.103237478 0.835443882 -0.084169018 0.542110146 0.032644852
1403638135.143826008 -2.628767122 -1.291329012 5.207769051 0.838555448 -0.078894378 0.538094612 0.032475008
1403638135.193911076 -2.668083676 -1.369475809 5.306087436 0.841132176 -0.075070516 0.534606863 0.032505104
1403638135.243983746 -2.761843286 -1.371341298 5.380066901 0.842986910 -0.073380508 0.531795515 0.034378786
1403638135.293990612 -2.790075819 -1.417092391 5.495859163 0.843581098 -0.071654038 0.531003560 0.035662999
1403638135.343974352 -2.817428003 -1.462837658 5.611139994 0.842776302 -0.072026707 0.532172715 0.036502865
1403638135.393993616 -2.843067011 -1.510999363 5.725050837 0.842434620 -0.072468746 0.532498816 0.038693700
1403638135.444061518 -2.867854618 -1.554243942 5.842363427 0.843636681 -0.071704353 0.530284781 0.043973704
1403638135.494098425 -2.889462237 -1.607530008 5.960550343 0.845736470 -0.070423495 0.526731505 0.048210747
1403638135.544121981 -2.914825631 -1.650456916 6.091698650 0.848922562 -0.070303259 0.521365835 0.050651770
1403638135.594136715 -2.936869459 -1.700637024 6.227269351 0.851338484 -0.069422787 0.516940490 0.056354166
1403638135.644136667 -2.957938076 -1.730194953 6.367223683 0.850729881 -0.071336116 0.517176490 0.060813697
1403638135.694136620 -2.977663744 -1.759791702 6.508050287 0.848284759 -0.077697321 0.520014781 0.062934261
1403638135.744136572 -2.995948512 -1.787544966 6.649303591 0.845981916 -0.085000647 0.522680837 0.062403768
1403638135.794136763 -3.013166530 -1.812925757 6.790633991 0.846175901 -0.089798023 0.521646344 0.061706981
1403638135.844157934 -3.021516105 -1.874398495 6.926045847 0.848270478 -0.088594105 0.518110466 0.064419135
1403638135.894155025 -3.032490796 -1.911844372 7.069134466 0.852245417 -0.084267474 0.511316515 0.071639119
1403638135.944163084 -3.048175537 -2.032900224 7.199659143 0.856682968 -0.080016179 0.503885035 0.076102400
1403638135.994212866 -3.007206386 -2.202696600 7.322628310 0.859225557 -0.078019134 0.499268375 0.079847018
1403638136.044277668 -3.208253960 -2.640319831 7.396446113 0.857752413 -0.077305904 0.501770225 0.080692229
1403638136.094265699 -3.347545983 -2.947252236 7.445212748 0.853288304 -0.080547229 0.508771883 0.081008547
1403638136.144184828 -3.505202265 -3.363572182 7.378146826 0.848246864 -0.086657325 0.516998733 0.075366279
1403638136.194165468 -3.614130292 -3.670981679 7.323073448 0.843556874 -0.092127855 0.524395273 0.070241415
1403638136.244267941 -3.663365845 -3.824174266 7.360119960 0.842102697 -0.095543205 0.526120405 0.070227224
1403638136.294341803 -3.751493886 -3.957425019 7.296986823 0.840881955 -0.096792617 0.527313345 0.074090240
1403638136.344443798 -3.937979614 -4.035212520 7.200403980 0.840142274 -0.097809492 0.527445857 0.079969563
1403638136.394513607 -3.988351567 -4.111564814 7.188450430 0.841048135 -0.097850088 0.525465404 0.083363691
1403638136.444661140 -4.286225863 -4.103050315 7.037316835 0.840229499 -0.098721136 0.525733176 0.088730795
1403638136.494989634 -4.322382155 -3.652414685 6.419744862 0.837272706 -0.107367832 0.527996288 0.093093952
1403638136.544994831 -4.317751658 -3.487352621 6.349510904 0.837335002 -0.114610313 0.526309426 0.093450304
1403638136.595039368 -4.239824183 -3.282436686 6.349257319 0.836770331 -0.120623940 0.526117159 0.092010942
1403638136.645128489 -4.192456976 -3.116640570 6.404270087 0.836037792 -0.123539275 0.527339108 0.087705896
1403638136.695234776 -4.129457127 -3.013118711 6.480892763 0.836102538 -0.123653098 0.528115276 0.082077475
1403638136.745294094 -4.114028751 -2.966005566 6.597608006 0.836989176 -0.121812761 0.528091468 0.075697897
1403638136.795359135 -4.117465434 -2.940461796 6.704082763 0.836892340 -0.119618533 0.529983696 0.066482325
1403638136.845388889 -4.105031753 -2.897577872 6.802083201 0.835038956 -0.119299063 0.534249560 0.055272814
1403638136.895372152 -4.102782875 -2.883974405 6.903180898 0.831187480 -0.120995073 0.540962324 0.042980573
1403638136.945346832 -4.084776522 -2.889230123 6.995415442 0.826370525 -0.122610219 0.548667122 0.032293641
1403638136.995347500 -4.059260445 -2.889836001 7.074997673 0.823165501 -0.122945645 0.553774676 0.024830105
1403638137.045419455 -4.035459798 -2.887701575 7.137232432 0.822530626 -0.121093327 0.555351922 0.019079248
1403638137.095558643 -4.006133359 -2.881287020 7.184296517 0.824764782 -0.116496772 0.553043111 0.018299581
1403638137.145654440 -3.977387677 -2.874580285 7.253645048 0.828615704 -0.110071766 0.548523831 0.020045670
1403638137.195706844 -3.949058216 -2.864169984 7.332459197 0.833707826 -0.102706105 0.542150338 0.021347775
1403638137.245743275 -3.926839627 -2.861538614 7.411224392 0.839232566 -0.094832557 0.534922877 0.023515972
1403638137.295743465 -3.909921895 -2.861898569 7.497474125 0.843162333 -0.088207379 0.529790988 0.024864593
1403638137.345743418 -3.891297194 -2.863116789 7.583917647 0.846285252 -0.084285000 0.525453158 0.024419048
1403638137.395743370 -3.870484127 -2.865614572 7.671552100 0.849191784 -0.080289155 0.521217154 0.027561633
1403638137.445743322 -3.847093902 -2.868585319 7.760374262 0.853035988 -0.076223255 0.515253901 0.032140888
1403638137.495743275 -3.820727128 -2.871917576 7.850929882 0.857367758 -0.070791945 0.508389780 0.038063897
1403638137.545743465 -3.791330186 -2.875316312 7.943237439 0.862279279 -0.064682688 0.500310964 0.044491946
1403638137.595743418 -3.758673626 -2.879400390 8.038310563 0.865971620 -0.058536241 0.493833795 0.052866298
1403638137.645743370 -3.722802415 -2.882534520 8.135816472 0.867416244 -0.056607102 0.491022482 0.057285408
