# timestamp(s) tx ty tz qx qy qz qw
1403715278.861349106 0.061631313 0.012497797 0.094894344 0.811533365 -0.006239097 0.584271470 0.001232788
1403715278.911096334 0.059406948 0.016530563 0.112514897 0.812135167 -0.007726914 0.583415598 0.001733854
1403715278.960974216 0.067762269 0.016828108 0.131606837 0.811439832 -0.007412482 0.584388498 0.000733287
1403715279.010958195 0.075939174 0.018288606 0.145799412 0.810947920 -0.006707135 0.585077963 0.001504290
1403715279.060915709 0.084718051 0.020043487 0.156879493 0.811053312 -0.006660293 0.584932409 0.001497663
1403715279.110870123 0.092379854 0.021436574 0.160885164 0.810730298 -0.006512952 0.585381043 0.001732395
1403715279.160827875 0.097847229 0.022104575 0.157407935 0.810832928 -0.005731389 0.585245213 0.002270526
1403715279.210776567 0.103101912 0.022950692 0.151464434 0.811307883 -0.005167411 0.584588049 0.003103208
1403715279.260706902 0.107409103 0.023366534 0.141529512 0.811410202 -0.004588578 0.584450282 0.003208941
1403715279.310697794 0.112499528 0.024249804 0.135327311 0.812003818 -0.004563203 0.583625953 0.003118338
1403715279.360869169 0.116968859 0.023565787 0.131069782 0.812663590 -0.004680618 0.582707953 0.002724539
1403715279.411083460 0.122780397 0.024166424 0.127450938 0.812656541 -0.005140294 0.582717498 0.001800307
1403715279.461231470 0.126443389 0.024266831 0.126137698 0.813436208 -0.005166517 0.581629468 0.001415905
1403715279.511217117 0.130336077 0.023992275 0.124930389 0.813523105 -0.005066898 0.581509686 0.000984564
1403715279.561196566 0.133706526 0.023958133 0.125969996 0.813427282 -0.004474009 0.581647159 0.001619768
1403715279.611180782 0.136743786 0.023718285 0.128016572 0.813776356 -0.004405074 0.581158514 0.001849018
1403715279.661212206 0.138911289 0.023294594 0.130754777 0.814010782 -0.004097193 0.580832222 0.001894631
1403715279.711292267 0.140613971 0.022738021 0.133954200 0.813892476 -0.004103154 0.580997907 0.001906327
1403715279.761279821 0.142291487 0.022296972 0.137915067 0.813974721 -0.004122546 0.580882912 0.001789143
1403715279.811325073 0.143438487 0.021496563 0.142596484 0.814140063 -0.004459533 0.580649301 0.001568161
1403715279.861275196 0.143863860 0.020619499 0.147923786 0.814428591 -0.004330853 0.580245626 0.001525306
1403715279.911248207 0.144000186 0.019634544 0.154156692 0.814952500 -0.004307127 0.579509294 0.001688384
1403715279.961228848 0.144446959 0.018821485 0.160918341 0.816462537 -0.004091838 0.577380131 0.002089567
1403715280.011152506 0.144748556 0.018055446 0.167003544 0.819854076 -0.004282660 0.572552677 0.002093796
1403715280.061132431 0.145176971 0.017221888 0.172817530 0.824192228 -0.004268387 0.566289837 0.002184566
1403715280.111186743 0.146131230 0.016030590 0.179041256 0.828054842 -0.002537165 0.560619525 0.004948646
1403715280.161490202 0.147784393 0.014477242 0.186044675 0.830269941 -0.000657272 0.557312862 0.007332603
1403715280.211859941 0.150452523 0.012829024 0.193790643 0.831092227 0.002383543 0.556011662 0.011448156
1403715280.262371540 0.153975428 0.011740899 0.202802422 0.830751727 0.005063714 0.556409251 0.015319037
1403715280.312394142 0.158800055 0.011503612 0.211458077 0.829912417 0.007244092 0.557549023 0.018220603
1403715280.362379313 0.164846209 0.012214975 0.220025002 0.828555412 0.008642700 0.559457654 0.020697031
1403715280.412300110 0.171812656 0.013598916 0.228591840 0.827020793 0.008948473 0.561612066 0.023418372
1403715280.462094545 0.179930977 0.015844530 0.236505629 0.826393184 0.005778672 0.562578759 0.023367746
1403715280.512033224 0.188917091 0.018631959 0.243911903 0.825325189 -0.000641813 0.564216115 0.022318073
1403715280.561964035 0.198501439 0.021460482 0.251544342 0.824239610 -0.008079531 0.565746568 0.022239791
1403715280.611965895 0.207735440 0.024014026 0.259193853 0.822884181 -0.016840970 0.567478847 0.023361608
1403715280.661907196 0.217542273 0.026601030 0.267021897 0.821733450 -0.025979448 0.568628625 0.027215648
1403715280.711883545 0.230387954 0.028965513 0.275159319 0.820594533 -0.036119204 0.569490992 0.031623189
1403715280.761826754 0.241288902 0.031839022 0.281687238 0.819764036 -0.046714655 0.569578723 0.037212145
1403715280.811781406 0.253122221 0.033439630 0.287784916 0.819270159 -0.057504160 0.568885345 0.043117766
1403715280.861818075 0.264628183 0.037049934 0.293628837 0.817990713 -0.068241648 0.568988200 0.049866823
1403715280.911839247 0.275085700 0.039091911 0.298749424 0.816832514 -0.077923108 0.568811537 0.056267824
1403715280.961859465 0.285474540 0.041646999 0.303546301 0.815635526 -0.086097433 0.568776081 0.061803638
1403715281.011837482 0.295133132 0.043737098 0.307631155 0.814523565 -0.093574903 0.568689934 0.066233363
1403715281.061840534 0.304852677 0.046446207 0.312016007 0.813962786 -0.099429630 0.567927431 0.070970167
1403715281.111846447 0.314606168 0.049500554 0.316223149 0.813135740 -0.104616223 0.567704352 0.074682544
1403715281.161850929 0.322661218 0.051827575 0.319483114 0.812112039 -0.108598604 0.567978411 0.077980148
1403715281.211905479 0.330926096 0.054220803 0.322620364 0.811370390 -0.112378222 0.567869156 0.081079265
1403715281.262073040 0.338401662 0.056078809 0.324977672 0.810665885 -0.116945677 0.567552816 0.083835146
1403715281.312213421 0.346125027 0.056953756 0.326962877 0.810292731 -0.121906814 0.566520558 0.087286179
1403715281.362215996 0.353655962 0.059138087 0.327976598 0.809890466 -0.127580416 0.565227832 0.091203992
1403715281.412249327 0.362515408 0.060212048 0.329172667 0.809398655 -0.133696520 0.563788403 0.095612209
1403715281.462283611 0.371124983 0.062398117 0.329643914 0.808182678 -0.140528380 0.562863716 0.101375396
1403715281.512243986 0.380406211 0.064093430 0.329593902 0.806778585 -0.148426060 0.561679887 0.107674157
1403715281.562231302 0.389754864 0.065676193 0.329097299 0.805297519 -0.157099999 0.559993469 0.114990484
1403715281.612210035 0.399196863 0.066812235 0.327723686 0.803274001 -0.166905182 0.558456444 0.122555861
1403715281.662185907 0.409099280 0.068325694 0.325860709 0.800893686 -0.177877196 0.556720172 0.130352050
1403715281.712145329 0.418493298 0.069833356 0.323557856 0.798400422 -0.189189934 0.554490439 0.138939872
1403715281.762087584 0.428110193 0.070973456 0.320868473 0.795699212 -0.201337989 0.551963358 0.147180939
1403715281.812114716 0.438184392 0.071879977 0.318386370 0.792763183 -0.213720040 0.549254661 0.155465743
1403715281.862097502 0.448557746 0.073044800 0.315587732 0.789040990 -0.226187509 0.547117476 0.164060948
1403715281.912122250 0.459239342 0.074391590 0.312639596 0.785603048 -0.238319109 0.544180342 0.172915033
1403715281.962121248 0.469847120 0.075455952 0.308748058 0.781806695 -0.250597248 0.541522654 0.180921327
1403715282.012131691 0.481130749 0.076461314 0.304499400 0.777862893 -0.262817256 0.538798693 0.188553384
1403715282.062125921 0.492638875 0.077093073 0.299621833 0.773729378 -0.274632794 0.536196708 0.195991757
1403715282.112104654 0.505098284 0.077352288 0.294433114 0.769831852 -0.285113086 0.533172914 0.204440924
1403715282.162148714 0.518327210 0.077788730 0.288565739 0.766023577 -0.296268887 0.529921120 0.211225552
1403715282.212146044 0.531693884 0.077423710 0.283112232 0.761765468 -0.306344380 0.527202508 0.218915526
1403715282.262186050 0.546699804 0.077709580 0.277536601 0.757867433 -0.316924709 0.523549409 0.226034731
1403715282.312162876 0.562021357 0.078031200 0.271516721 0.753904023 -0.327303390 0.519856080 0.232918162
1403715282.362147093 0.576897584 0.077554601 0.265753915 0.749553643 -0.337509566 0.516372097 0.240034343
1403715282.412111521 0.592235966 0.077363200 0.259657910 0.746148016 -0.346733307 0.511346500 0.248120755
1403715282.462101221 0.608380570 0.077370521 0.253625801 0.741557424 -0.357207260 0.507737357 0.254358678
1403715282.512075186 0.624730763 0.077332379 0.247823571 0.736714724 -0.366648006 0.504348052 0.261636575
1403715282.562074900 0.640741154 0.079009634 0.242954689 0.731840382 -0.376079628 0.500802007 0.268646827
1403715282.612085819 0.657887173 0.078889466 0.236998927 0.726194408 -0.384697787 0.498518320 0.275914442
1403715282.662096024 0.675416443 0.079093862 0.230831308 0.720245483 -0.393613023 0.496625861 0.282272894
1403715282.712094784 0.693299681 0.079100478 0.224529088 0.713993258 -0.402885077 0.494828056 0.288170846
1403715282.762107134 0.710598792 0.079902962 0.218047110 0.707644413 -0.412292700 0.493376935 0.292973232
1403715282.812121868 0.728535191 0.079927814 0.210951504 0.701767890 -0.421950320 0.490926868 0.297440022
1403715282.862093687 0.746917510 0.079694539 0.203707291 0.695870669 -0.430372595 0.488252866 0.303566434
1403715282.912088394 0.765062815 0.079918864 0.196552788 0.689758499 -0.438333103 0.485664972 0.310204511
1403715282.962084055 0.783977616 0.079423372 0.188654956 0.683798692 -0.446958447 0.482597455 0.315827788
1403715283.012081385 0.803583860 0.079302733 0.181156501 0.677457550 -0.455490204 0.479943041 0.321301447
1403715283.062102318 0.822188848 0.079075347 0.173450737 0.670624360 -0.464250488 0.477639357 0.326489045
1403715283.112098694 0.840965573 0.079046703 0.166345852 0.663850220 -0.473283815 0.475221232 0.330862656
1403715283.162095308 0.860264135 0.078905491 0.159127638 0.656647899 -0.482225234 0.473476124 0.334802510
1403715283.212085247 0.877991780 0.079605659 0.152433311 0.649387654 -0.490934223 0.471454799 0.339130707
1403715283.262066841 0.895091181 0.080523647 0.145915626 0.642704598 -0.498886324 0.468770750 0.343943627
