# timestamp(s) tx ty tz qx qy qz qw
1403715893.784058094 0.021810176 0.025449180 0.025043203 -0.804873135 -0.007030557 -0.593405106 0.000432589
1403715893.834058046 0.022125129 0.029818106 0.031722228 0.807413675 0.008331810 0.589925295 0.001372711
1403715893.884057999 0.021922832 0.034350985 0.038400222 0.811249287 0.007953409 0.584644042 0.001637624
1403715893.934057951 0.021467745 0.039323210 0.046252451 0.813559047 0.007504888 0.581431532 0.001651573
1403715893.984057903 0.020733670 0.044740221 0.054095835 0.817093446 0.007216871 0.576456246 0.002100970
1403715894.034058094 0.020087421 0.050461677 0.062069661 0.821432355 0.006523371 0.570263941 0.002317194
1403715894.084058046 0.020265628 0.056630027 0.069534581 0.826153281 0.006631002 0.563397072 0.003244296
1403715894.134057999 0.020940665 0.063078352 0.077044328 0.827821138 0.008252768 0.560894993 0.006392378
1403715894.187606096 -0.073940075 0.030885122 0.086675646 0.825255384 0.010233910 0.564651867 0.004133561
1403715894.234746456 -0.061729809 0.063560482 0.104067601 0.821086461 0.013765491 0.570453555 0.014500885
1403715894.284756422 -0.060511623 0.070973538 0.112825401 0.817621008 0.017327914 0.575115831 0.020914404
1403715894.334750891 -0.060825271 0.078451355 0.127197128 0.815663062 0.020766965 0.577553499 0.026352590
1403715894.384858370 -0.060725638 0.086515294 0.138867429 0.813572380 0.023012183 0.580262932 0.029416856
1403715894.434053659 -0.069468705 0.098095257 0.162554886 0.814434517 0.023815998 0.578874554 0.032147580
1403715894.483865738 -0.074922762 0.109573981 0.178497728 0.816543280 0.022991322 0.575941271 0.031939377
1403715894.533945560 -0.079388589 0.123283592 0.191377896 0.819550004 0.020913413 0.571823259 0.030308101
1403715894.583980322 -0.084023511 0.139015422 0.204108903 0.822080455 0.019343870 0.568270314 0.029637646
1403715894.634027243 -0.086592557 0.155944792 0.213455453 0.823905057 0.017636553 0.565770118 0.027813372
1403715894.684077501 -0.089750546 0.173923869 0.223675179 0.826053896 0.015071594 0.562866673 0.024267592
1403715894.734119892 -0.090529799 0.193585733 0.235200442 0.826314526 0.012907376 0.562664025 0.021139960
1403715894.784173012 -0.089943142 0.215345159 0.247134595 0.825584171 0.010307207 0.563914357 0.017468144
1403715894.834317446 -0.087486741 0.239237768 0.259351640 0.824015159 0.008058831 0.566318645 0.014739890
1403715894.884300947 -0.084537360 0.262956428 0.272485561 0.822155301 0.006839669 0.569080013 0.012720832
1403715894.934288502 -0.081205602 0.286642868 0.286231006 0.820364398 0.006424924 0.571679150 0.011996854
1403715894.984239817 -0.077122187 0.312929678 0.300308515 0.819156968 0.005413498 0.573433243 0.011263732
1403715895.034189939 -0.073973393 0.334594147 0.313275299 0.818319188 0.004911806 0.574658412 0.009863629
1403715895.084212542 -0.071049913 0.359920882 0.327054748 0.817920620 0.005002904 0.575207827 0.010806727
1403715895.134200335 -0.067995248 0.386238244 0.339736975 0.817921323 0.003689287 0.575234642 0.009808460
1403715895.184176922 -0.065190807 0.412562769 0.351273111 0.817968604 0.002840004 0.575181566 0.009244665
1403715895.234184980 -0.062716431 0.438279337 0.362415890 0.818249067 0.001534392 0.574807318 0.007915608
1403715895.284148455 -0.060889619 0.465331131 0.373616439 0.818059116 0.001140065 0.575073862 0.008248394
1403715895.334148645 -0.058904403 0.491451433 0.383324841 0.818165937 0.000719677 0.574924089 0.008140775
1403715895.384160757 -0.056980370 0.518005939 0.392951935 0.817933822 0.000567760 0.575250301 0.008428059
1403715895.434150219 -0.055981411 0.543239321 0.401530491 0.817782760 0.000476666 0.575459871 0.008778806
1403715895.484151840 -0.054718394 0.568453855 0.411104791 0.818190490 0.000121768 0.574883441 0.008563627
1403715895.534140110 -0.053612336 0.592341252 0.420775144 0.818275939 -0.000043767 0.574762680 0.008505698
1403715895.584139109 -0.052518608 0.616839557 0.431471831 0.818959803 -0.000855618 0.573796018 0.007889171
1403715895.634132624 -0.051099243 0.640313083 0.442402180 0.818543685 -0.000347128 0.574382371 0.008426632
1403715895.684104919 -0.050311256 0.663207773 0.451444998 0.818709836 -0.000498827 0.574144324 0.008500034
1403715895.734097719 -0.048989904 0.686387498 0.461251605 0.818952173 -0.000895294 0.573804403 0.008064995
1403715895.784084797 -0.048223508 0.709559438 0.470056642 0.819081489 -0.001151622 0.573620211 0.008002654
1403715895.834088564 -0.046718654 0.733579041 0.479971790 0.819092455 -0.001233406 0.573604972 0.007960219
1403715895.884072542 -0.044677412 0.757422708 0.490421300 0.819302642 -0.000934573 0.573301063 0.008258181
1403715895.934037924 -0.044968135 0.783774495 0.501095235 0.818943638 -0.000979629 0.573821476 0.007698738
1403715895.984026432 -0.042777132 0.811021120 0.512715597 0.819269577 -0.002025042 0.573369738 0.006356388
1403715896.034046412 -0.042751452 0.837668560 0.522360510 0.819467985 -0.002664573 0.573095731 0.005138546
1403715896.084055424 -0.042701953 0.861573279 0.530333446 0.819639197 -0.004086222 0.572861181 0.002226578
1403715896.134121180 -0.042823588 0.883914158 0.536235839 -0.820054657 0.006164925 -0.572250063 0.001489577
1403715896.184072495 -0.045232468 0.905188907 0.537637040 -0.819355146 0.009061232 -0.573184744 0.005855613
1403715896.234106541 -0.045342262 0.923449202 0.535640867 -0.818807357 0.013927529 -0.573769738 0.012199322
1403715896.284115314 -0.045472981 0.942207004 0.533857048 -0.817007396 0.019275426 -0.575973828 0.019532589
1403715896.334075212 -0.046103477 0.959438926 0.538886854 -0.815268871 0.025412663 -0.577841996 0.028097898
1403715896.384073973 -0.046999233 0.975423080 0.543247100 -0.814124992 0.030632972 -0.578775052 0.035798847
1403715896.434062481 -0.048441996 0.989765375 0.551771800 -0.812742745 0.034364860 -0.580147239 0.041200351
1403715896.484061718 -0.050831700 1.001500715 0.559438616 -0.811501704 0.038415134 -0.581197902 0.046885618
1403715896.534078598 -0.053280877 1.010462351 0.568879239 -0.809812772 0.040695578 -0.583073472 0.050719540
1403715896.584064484 -0.055877085 1.017055312 0.577955845 -0.807755028 0.043432887 -0.585377682 0.054574422
1403715896.634021282 -0.059479312 1.019825559 0.588754783 -0.805683355 0.045193209 -0.587876386 0.056861764
1403715896.683997154 -0.064714835 1.019143483 0.598685993 -0.804049285 0.046276291 -0.589883428 0.058316326
1403715896.733991385 -0.070670285 1.015704085 0.608467828 -0.803313786 0.047371342 -0.590579927 0.060483614
1403715896.783957720 -0.078336055 1.009345097 0.619138406 -0.804453020 0.048143735 -0.588743386 0.062599884
1403715896.833950996 -0.089242702 1.000981557 0.630778471 -0.806220625 0.049268778 -0.585863807 0.065912751
1403715896.883963585 -0.098432029 0.988623776 0.642268858 -0.807719332 0.051279480 -0.583222329 0.069365774
1403715896.933986425 -0.105930569 0.969072008 0.652251000 -0.809125370 0.054258256 -0.580359846 0.074529365
1403715896.983987570 -0.117369080 0.945455413 0.663167774 -0.810084442 0.057962762 -0.577724289 0.081474911
1403715897.033995867 -0.127303951 0.916623638 0.674053739 -0.810863717 0.062149303 -0.575174666 0.088383257
1403715897.084014416 -0.138641492 0.880174012 0.686189355 -0.811312034 0.064993210 -0.573314400 0.094123668
1403715897.133999586 -0.146703050 0.840369386 0.699174934 -0.811434221 0.066585747 -0.572666640 0.095884112
1403715897.184031010 -0.153964177 0.794271203 0.711921806 -0.811506275 0.066476882 -0.572714291 0.095061718
1403715897.234000921 -0.161119180 0.744138976 0.725700213 -0.812910906 0.063117037 -0.571981289 0.089607504
1403715897.283969641 -0.166476358 0.687603795 0.738208094 -0.814528558 0.056225702 -0.572005216 0.078688825
1403715897.333975554 -0.171975988 0.625659843 0.750020215 -0.816760117 0.046436979 -0.571482672 0.064452104
1403715897.383965254 -0.177229700 0.562244488 0.762790637 -0.818817941 0.035478560 -0.570963915 0.047735303
1403715897.433880568 -0.184823367 0.493262679 0.779164834 -0.820795753 0.027604035 -0.569433712 0.035743490
1403715897.483836174 -0.189506352 0.425205357 0.792577802 -0.821312306 0.021660497 -0.569471914 0.026051054
1403715897.533814192 -0.193443546 0.355889888 0.804635709 -0.822013629 0.017306867 -0.568872964 0.019432357
1403715897.583832502 -0.196631508 0.288182101 0.815481769 -0.822385336 0.016924733 -0.568406144 0.017617299
1403715897.633830070 -0.198233242 0.219500637 0.826337690 -0.822286384 0.019512958 -0.568382991 0.020127681
1403715897.683876991 -0.199934373 0.150728754 0.837241608 -0.822028311 0.021970027 -0.568563120 0.022863802
1403715897.733898163 -0.200933657 0.080027359 0.847230283 -0.821463139 0.027121550 -0.568856941 0.029402603
1403715897.783889771 -0.201201924 0.008311702 0.856741554 -0.820517876 0.030570225 -0.569807550 0.033693226
1403715897.833952427 -0.202439068 -0.066452201 0.864984056 -0.819120169 0.032925839 -0.571507372 0.036569956
1403715897.884047508 -0.202600763 -0.144877814 0.874345703 -0.816877579 0.034217045 -0.574518237 0.038327670
1403715897.934054852 -0.202627013 -0.224920121 0.883441501 -0.815328320 0.031847422 -0.577045637 0.035267628
1403715897.984062195 -0.204707819 -0.305094419 0.891162735 -0.813682381 0.030148916 -0.579583591 0.033089074
1403715898.034091949 -0.204777936 -0.387413549 0.899259809 -0.810861232 0.026797862 -0.583939403 0.028296841
1403715898.084089279 -0.206637985 -0.470023838 0.906351244 -0.806688315 0.024336642 -0.590014155 0.023344974
1403715898.134101868 -0.209195126 -0.556458676 0.915124609 -0.802637141 0.022400114 -0.595793437 0.017379139
1403715898.184126854 -0.212176699 -0.639750508 0.923044510 -0.798915862 0.023316390 -0.600873614 0.011861356
1403715898.234162569 -0.215968763 -0.725091421 0.930020201 -0.796577304 0.024517723 -0.604019302 0.004915689
1403715898.284228563 -0.222354265 -0.812310990 0.935962090 0.796093320 -0.027285120 0.604555105 0.002018009
1403715898.334275961 -0.230701132 -0.900014956 0.939737992 0.796602637 -0.031522815 0.603615634 0.008872310
1403715898.384319544 -0.242560417 -0.986265854 0.943602140 0.798350591 -0.037209630 0.600837981 0.015668374
1403715898.434346437 -0.253447540 -1.075353412 0.944892300 0.801661896 -0.043768523 0.595757174 0.022269056
1403715898.484323263 -0.265826994 -1.160470156 0.946679519 0.804870406 -0.051835526 0.590494177 0.028519023
1403715898.534300566 -0.280833769 -1.246201522 0.947538319 0.808377746 -0.059785705 0.584559519 0.035231484
1403715898.584290028 -0.295082802 -1.331860669 0.948080768 0.810458015 -0.067987071 0.580292625 0.042379633
