# timestamp(s) tx ty tz qx qy qz qw
1413393890.055914879 0.024050217 0.000258395 0.148243075 0.821531273 0.016660094 0.568722411 0.036927334
1413393890.106530190 0.052649239 0.009248356 0.174629907 0.818952936 0.012723666 0.572751507 0.033315273
1413393890.156435966 0.065116479 0.018464929 0.206664854 0.815644022 0.008974237 0.577770644 0.028729348
1413393890.206271172 0.077264899 0.028683386 0.234747107 0.813371161 0.005112088 0.581227800 0.023988856
1413393890.256265402 0.088299644 0.039270529 0.259409533 0.811680689 0.001876141 0.583761289 0.019841803
1413393890.306318045 0.097968027 0.050763278 0.274138591 0.810901077 -0.001611031 0.584961538 0.016026434
1413393890.356474400 0.103669912 0.062900822 0.279379314 0.811006972 -0.005141433 0.584880026 0.012514492
1413393890.406503916 0.112945378 0.073708447 0.282699953 0.810815194 -0.007421299 0.585171685 0.009886601
1413393890.456317902 0.123631822 0.085508589 0.278208994 0.808242797 -0.009193565 0.588719983 0.008236543
1413393890.506465435 0.132225341 0.099088351 0.279058109 0.804143676 -0.012014453 0.594281757 0.006147675
1413393890.556353569 0.147511058 0.112409203 0.273669736 0.796902671 -0.013359094 0.603944145 0.004374523
1413393890.606460333 0.151351462 0.115054881 0.272695509 0.791106723 -0.010968637 0.611567373 0.003897402
1413393890.656611919 0.158741955 0.124863528 0.272642255 0.790117114 -0.009721239 0.612857764 0.005079890
1413393890.706751823 0.159424137 0.133653087 0.272846083 0.792788199 -0.007890509 0.609415721 0.006090162
1413393890.756830454 0.162080210 0.144925454 0.274801561 0.796620702 -0.006655683 0.604396334 0.007498720
1413393890.806870699 0.163259867 0.156299773 0.276921962 0.800650937 -0.006132251 0.599044522 0.008132277
1413393890.856847763 0.163929916 0.167821852 0.280484394 0.804091419 -0.005359278 0.594406490 0.009444192
1413393890.906837225 0.164620394 0.179706363 0.285365529 0.806488048 -0.005223030 0.591147092 0.009739813
1413393890.956799030 0.165485193 0.191691615 0.291272435 0.808225690 -0.004429490 0.588755180 0.010906499
1413393891.006781578 0.166576712 0.203719820 0.297961518 0.809571946 -0.003966914 0.586892285 0.011617790
1413393891.056674957 0.167750695 0.216182400 0.305837011 0.810464936 -0.002872047 0.585648614 0.012411312
1413393891.106560230 0.169622143 0.228801982 0.315059624 0.810155572 -0.002811768 0.586079434 0.012285743
1413393891.156514883 0.170435966 0.241566495 0.323578315 0.810558669 -0.003003971 0.585543009 0.011180545
1413393891.206501484 0.170406887 0.254081884 0.330943832 0.810131576 -0.002848050 0.586143093 0.010723481
1413393891.256495237 0.168756735 0.266796895 0.333834555 0.809058408 -0.003121735 0.587635027 0.009991153
1413393891.306581497 0.167060456 0.279737572 0.335427697 0.804283806 -0.002810081 0.594155623 0.009937760
1413393891.356608391 0.167148697 0.292329971 0.333849751 0.791095643 -0.002348519 0.611615838 0.009393323
1413393891.406577587 0.164650611 0.305106467 0.332546446 0.772695958 -0.002700704 0.634725210 0.007587453
