# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715528.859392404556274,0,6,0,0,5
1403715528.913119554519653,4,11,0,4,6
1403715528.963418483734131,4,7,4,0,7
1403715529.012837648391724,4,1,4,0,8
1403715529.061734676361084,4,1,4,0,9
1403715529.111235857009888,4,1,4,0,10
1403715529.160830259323120,4,1,4,0,11
1403715529.210088729858398,3,1,3,0,11
1403715529.259772062301636,4,3,3,1,11
1403715529.311263799667358,6,0,3,3,11
1403715529.361925840377808,6,2,6,0,11
1403715529.412256002426147,6,0,6,0,11
1403715529.463626384735107,8,4,6,2,11
1403715529.513561248779297,16,1,8,8,11
1403715529.563265323638916,14,2,14,0,11
1403715529.612490415573120,18,3,13,4,11
1403715529.662260293960571,20,2,17,2,11
1403715529.712252855300903,22,3,18,4,11
1403715529.761821031570435,31,1,22,9,11
1403715529.811703205108643,33,1,30,3,11
1403715529.861637353897095,35,2,32,3,11
1403715529.911509037017822,43,0,34,9,11
1403715529.961885452270508,50,4,42,7,11
1403715530.012065649032593,48,11,44,0,11
1403715530.062177181243896,47,0,44,0,11
1403715530.112259626388550,47,5,44,3,11
1403715530.162461519241333,47,5,45,2,11
1403715530.212563991546631,47,0,47,0,11
1403715530.262645244598389,48,7,47,1,11
1403715530.312803506851196,47,1,47,0,11
1403715530.362836360931396,47,3,47,0,11
1403715530.412852525711060,50,3,47,3,11
1403715530.462895393371582,48,2,48,0,11
1403715530.512949705123901,49,0,48,1,11
1403715530.562829256057739,48,16,48,0,11
1403715530.612771511077881,48,5,46,2,11
1403715530.662715196609497,47,0,47,0,11
1403715530.712579011917114,48,1,46,1,11
1403715530.762522697448730,48,6,45,2,11
1403715530.812489032745361,47,1,45,1,11
1403715530.862498044967651,46,5,43,1,11
1403715530.912460088729858,46,5,44,1,11
1403715530.962367773056030,48,3,44,3,11
1403715531.012347459793091,48,0,44,0,11
1403715531.062270879745483,47,0,43,0,11
1403715531.112168073654175,46,0,42,2,11
1403715531.162096977233887,48,0,44,3,11
1403715531.212023735046387,49,7,45,3,11
1403715531.261798858642578,50,12,48,1,11
1403715531.311659574508667,50,4,49,1,11
1403715531.361463785171509,46,7,44,0,11
1403715531.411514997482300,45,0,42,0,11
1403715531.461531162261963,43,1,38,2,11
1403715531.511530160903931,45,4,36,5,11
1403715531.561478137969971,46,1,41,3,11
1403715531.611421346664429,45,2,42,2,11
1403715531.661362409591675,45,1,44,0,11
1403715531.711400270462036,43,0,43,0,11
1403715531.761456727981567,48,4,41,6,11
1403715531.811597585678101,45,2,40,2,11
1403715531.861656188964844,48,4,40,5,11
1403715531.911666870117188,48,0,43,3,11
1403715531.961658239364624,49,0,44,2,11
1403715532.011653184890747,47,1,45,0,11
1403715532.061620712280273,45,4,43,1,11
1403715532.111617565155029,44,1,42,0,11
1403715532.161650657653809,45,0,42,2,11
1403715532.211649894714355,44,0,43,1,11
1403715532.261645317077637,43,0,40,0,11
1403715532.311663150787354,47,4,40,4,11
1403715532.361653327941895,48,0,41,5,11
1403715532.411650180816650,47,1,45,0,11
1403715532.461725711822510,45,3,43,2,11
1403715532.511739969253540,45,0,45,0,11
1403715532.561759233474731,46,1,42,1,11
1403715532.611775398254395,46,0,41,0,11
