# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715528.862617731094360,0,13,0,0,5
1403715528.907666921615601,14,28,0,14,6
1403715528.966359138488770,10,33,10,0,7
1403715529.016121625900269,8,20,2,0,8
1403715529.065228939056396,6,11,2,0,9
1403715529.114619970321655,2,4,2,0,10
1403715529.164557456970215,2,9,2,0,11
1403715529.214215040206909,2,10,2,0,11
1403715529.263937711715698,5,11,2,3,11
1403715529.314141273498535,7,11,5,2,11
1403715529.363773107528687,12,8,6,6,11
1403715529.413605690002441,17,7,11,6,11
1403715529.463640928268433,20,5,15,5,11
1403715529.513517379760742,29,8,19,10,11
1403715529.563554763793945,39,0,26,12,11
1403715529.613532543182373,39,2,36,2,11
1403715529.663571596145630,37,1,37,0,11
1403715529.713133573532104,40,2,36,4,11
1403715529.763130903244019,49,3,39,9,11
1403715529.813266754150391,49,7,48,1,11
1403715529.863184690475464,49,13,47,1,11
1403715529.913185596466064,44,5,42,1,11
1403715529.963220834732056,49,14,42,6,11
1403715530.013051986694336,48,13,45,1,11
1403715530.062926054000854,50,4,46,2,11
1403715530.112934589385986,48,4,48,0,11
1403715530.163143157958984,48,1,48,0,11
1403715530.213392019271851,49,1,47,2,11
1403715530.263567447662354,50,1,49,1,11
1403715530.313515186309814,49,7,49,0,11
1403715530.363390207290649,50,10,49,1,11
1403715530.413284778594971,50,16,50,0,11
1403715530.463094949722290,48,15,48,0,11
1403715530.512966394424438,50,5,48,2,11
1403715530.562889337539673,49,20,49,0,11
1403715530.612867593765259,48,14,47,1,11
1403715530.662865638732910,50,15,48,2,11
1403715530.712836742401123,50,9,49,0,11
1403715530.762748956680298,49,16,46,0,11
1403715530.812734603881836,48,12,46,0,11
1403715530.862708091735840,47,4,45,1,11
1403715530.912677288055420,49,2,46,2,11
1403715530.962658882141113,48,17,47,1,11
1403715531.012629270553589,49,9,46,2,11
1403715531.062575340270996,50,6,48,1,11
1403715531.112528324127197,49,8,48,0,11
1403715531.162514448165894,50,12,47,1,11
1403715531.212535381317139,49,15,48,0,11
1403715531.262553930282593,48,11,47,1,11
1403715531.312576293945312,48,8,46,2,11
1403715531.362535715103149,50,16,45,2,11
1403715531.412539482116699,49,6,47,0,11
1403715531.462515592575073,46,16,45,1,11
1403715531.512470722198486,46,4,44,1,11
1403715531.562351942062378,48,4,43,3,11
1403715531.612295627593994,48,5,45,2,11
1403715531.662164211273193,48,5,46,2,11
1403715531.712186813354492,50,2,47,2,11
1403715531.762249946594238,48,6,47,0,11
1403715531.812375783920288,44,9,42,2,11
1403715531.862446546554565,47,3,42,4,11
1403715531.912477016448975,47,1,44,1,11
1403715531.962491989135742,50,18,44,3,11
1403715532.012472152709961,48,4,45,0,11
1403715532.062463045120239,49,11,44,2,11
1403715532.112458705902100,47,4,46,0,11
1403715532.162466526031494,47,2,46,1,11
1403715532.212453126907349,46,0,44,1,11
1403715532.262408733367920,49,0,45,3,11
1403715532.312405824661255,49,0,46,1,11
1403715532.362396717071533,49,2,47,1,11
1403715532.412398338317871,49,7,47,1,11
1403715532.462405443191528,48,2,46,0,11
1403715532.512417078018188,47,0,46,0,11
1403715532.562435388565063,47,11,45,2,11
1403715532.612451076507568,50,3,46,3,11
1403715532.662472009658813,50,7,49,0,11
1403715532.712496519088745,48,2,48,0,11
1403715532.762508869171143,47,0,45,1,11
1403715532.812521457672119,46,0,44,0,11
1403715532.862525939941406,45,0,45,0,11
1403715532.912513732910156,45,0,44,0,11
1403715532.962508201599121,44,0,44,0,11
1403715533.012507915496826,44,0,44,0,11
1403715533.062512636184692,46,0,44,2,11
1403715533.112523794174194,48,4,46,2,11
1403715533.162513494491577,49,18,47,2,11
1403715533.212449789047241,49,3,46,1,11
1403715533.262435197830200,47,5,45,1,11
1403715533.312427282333374,47,8,44,2,11
1403715533.362436771392822,47,4,45,0,11
1403715533.412528991699219,45,0,41,0,11
1403715533.462573528289795,43,1,38,1,11
1403715533.512625932693481,45,4,39,4,11
1403715533.562657356262207,43,8,42,0,11
1403715533.612683057785034,49,11,42,7,11
1403715533.662717819213867,49,8,47,1,11
1403715533.712699651718140,49,0,47,0,11
1403715533.762676477432251,49,7,47,1,11
1403715533.812651872634888,47,5,46,1,11
1403715533.862634420394897,50,6,47,3,11
1403715533.912621974945068,50,30,48,0,11
1403715533.962615013122559,49,14,47,0,11
1403715534.012609958648682,48,4,46,1,11
1403715534.062613725662231,50,7,44,2,11
1403715534.112590074539185,49,10,46,0,11
1403715534.162592887878418,47,6,46,1,11
1403715534.212593555450439,48,13,44,2,11
1403715534.262586593627930,50,4,46,2,11
1403715534.312589406967163,48,1,48,0,11
1403715534.362579345703125,48,2,47,1,11
1403715534.412591218948364,49,4,47,2,11
1403715534.462604761123657,50,9,49,1,11
1403715534.512614727020264,49,23,49,0,11
1403715534.562599897384644,49,19,48,1,11
1403715534.612596511840820,48,13,47,1,11
1403715534.662585496902466,46,17,43,2,11
1403715534.712560892105103,50,7,44,4,11
1403715534.762521028518677,37,12,37,0,11
1403715534.812514305114746,41,6,35,4,11
1403715534.862495899200439,43,5,39,2,11
1403715534.912472724914551,48,5,40,6,11
1403715534.962455272674561,42,2,41,0,11
1403715535.012428045272827,43,4,40,2,11
1403715535.062396049499512,44,7,37,6,11
1403715535.112334728240967,42,13,35,4,11
1403715535.162322521209717,39,9,30,5,11
1403715535.212314844131470,39,6,26,11,11
1403715535.262311935424805,46,4,34,10,11
1403715535.312315225601196,46,4,41,3,11
1403715535.362325906753540,49,23,42,4,11
1403715535.412329435348511,47,4,42,0,11
1403715535.462326765060425,48,6,42,3,11
1403715535.512316703796387,46,20,44,2,11
1403715535.562295198440552,40,1,39,0,11
1403715535.612274885177612,38,8,37,0,11
1403715535.662232398986816,46,7,36,10,11
1403715535.712205410003662,46,7,42,4,11
1403715535.762169361114502,48,5,42,4,11
1403715535.812138080596924,46,12,43,1,11
1403715535.862113952636719,47,14,42,4,11
1403715535.912091016769409,48,8,45,3,11
1403715535.962069034576416,49,12,47,2,11
1403715536.012037038803101,49,6,48,1,11
1403715536.062028408050537,48,1,48,0,11
1403715536.112022876739502,46,11,44,2,11
1403715536.162004709243774,49,5,45,4,11
1403715536.211993217468262,47,14,45,1,11
1403715536.261970758438110,45,3,42,2,11
1403715536.311949253082275,46,6,40,5,11
1403715536.361909389495850,48,9,43,4,11
1403715536.411880731582642,46,11,42,2,11
1403715536.461849927902222,47,14,43,4,11
1403715536.511843919754028,46,8,44,0,11
1403715536.561843395233154,48,13,43,4,11
1403715536.611860990524292,48,6,46,2,11
1403715536.661876440048218,46,2,45,0,11
1403715536.711892127990723,49,5,43,4,11
1403715536.761901378631592,46,9,44,1,11
1403715536.811902999877930,41,10,36,4,11
1403715536.861914396286011,38,2,35,2,11
1403715536.911926031112671,37,8,36,0,11
1403715536.961935281753540,42,3,35,7,11
1403715537.011938571929932,46,8,37,6,11
1403715537.061946868896484,41,2,34,2,11
1403715537.111942291259766,41,4,28,4,11
1403715537.161938428878784,40,8,26,6,11
1403715537.211941242218018,39,1,31,4,11
1403715537.261940956115723,29,2,27,0,11
1403715537.311930656433105,30,2,27,2,11
1403715537.361906051635742,39,1,29,10,11
1403715537.411970376968384,42,4,35,5,11
1403715537.461997747421265,42,16,39,2,11
1403715537.512009859085083,48,6,40,7,11
1403715537.562002897262573,49,7,47,1,11
1403715537.611988067626953,47,6,46,1,11
1403715537.661979436874390,45,6,44,1,11
1403715537.711976051330566,45,2,45,0,11
1403715537.761972665786743,49,0,45,4,11
1403715537.811985015869141,50,8,49,1,11
1403715537.861974477767944,50,20,50,0,11
1403715537.911962747573853,49,2,48,0,11
1403715537.961944341659546,50,7,48,1,11
1403715538.011933326721191,49,3,49,0,11
1403715538.061927318572998,50,5,47,1,11
1403715538.111899375915527,50,13,48,0,11
1403715538.161893844604492,48,7,47,0,11
1403715538.211895227432251,50,18,47,2,11
1403715538.261887550354004,48,20,48,0,11
1403715538.311890125274658,50,7,48,2,11
1403715538.361892700195312,50,2,50,0,11
1403715538.411901712417603,49,5,49,0,11
1403715538.461893320083618,48,18,47,1,11
1403715538.511891365051270,48,2,47,1,11
1403715538.561886548995972,49,2,46,2,11
1403715538.611888170242310,50,2,47,1,11
