# timestamp(s) tx ty tz qx qy qz qw
1403715528.86262 -0.010248000 0.006703000 0.048183000 0.819670000 -0.003379000 0.572521000 0.018702000
1403715528.90767 -0.007786000 0.015630000 0.053695000 0.819450000 -0.003250000 0.572905000 0.016485000
1403715528.96636 -0.001099000 0.023048000 0.061246000 0.818752000 -0.004654000 0.573910000 0.015815000
1403715529.01612 0.003586000 0.029399000 0.074856000 0.819701000 -0.002738000 0.572548000 0.016465000
1403715529.06523 0.007999000 0.036317000 0.085249000 0.820551000 -0.001612000 0.571412000 0.013484000
1403715529.11462 0.012222000 0.043219000 0.099333000 0.820552000 0.001028000 0.571493000 0.009414000
1403715529.16456 0.016782000 0.049991000 0.114921000 0.819993000 0.006524000 0.572323000 0.003866000
1403715529.21422 0.020266000 0.057223000 0.133373000 -0.820847000 -0.012582000 -0.571008000 0.001389000
1403715529.26394 0.021926000 0.063484000 0.151830000 -0.821978000 -0.019170000 -0.569160000 0.006406000
1403715529.31414 0.025135000 0.070009000 0.169887000 -0.823522000 -0.029258000 -0.566377000 0.013110000
1403715529.36377 0.028049000 0.077758000 0.187361000 -0.824971000 -0.039208000 -0.563514000 0.018379000
1403715529.41361 0.032915000 0.086874000 0.201395000 -0.825208000 -0.048204000 -0.562295000 0.023070000
1403715529.46364 0.038617000 0.094229000 0.213094000 -0.824526000 -0.056708000 -0.562265000 0.028281000
1403715529.51352 0.045565000 0.101362000 0.221266000 -0.823627000 -0.063564000 -0.562605000 0.032761000
1403715529.56355 0.053372000 0.109303000 0.229100000 -0.823146000 -0.069200000 -0.562403000 0.036660000
1403715529.61353 0.060512000 0.118354000 0.235687000 -0.822026000 -0.074357000 -0.563206000 0.039295000
1403715529.66357 0.068498000 0.128876000 0.241250000 -0.820699000 -0.078620000 -0.564402000 0.041511000
1403715529.71313 0.075740000 0.139999000 0.246561000 -0.819252000 -0.083900000 -0.565689000 0.042222000
1403715529.76313 0.082450000 0.151919000 0.252634000 -0.818426000 -0.088196000 -0.566140000 0.043427000
1403715529.81327 0.090083000 0.163893000 0.260136000 -0.817459000 -0.090609000 -0.566983000 0.045622000
1403715529.86318 0.099137000 0.174182000 0.268635000 -0.817058000 -0.092442000 -0.567139000 0.047159000
1403715529.91319 0.107185000 0.186031000 0.278604000 -0.815811000 -0.092965000 -0.568619000 0.049824000
1403715529.96322 0.116015000 0.199911000 0.289734000 -0.814323000 -0.093597000 -0.570496000 0.051492000
1403715530.01305 0.125691000 0.212971000 0.302309000 -0.812011000 -0.095321000 -0.573502000 0.051455000
1403715530.06293 0.134234000 0.227169000 0.316516000 -0.808526000 -0.097755000 -0.578119000 0.050082000
1403715530.11293 0.142031000 0.241773000 0.331882000 -0.805049000 -0.100659000 -0.582678000 0.047425000
1403715530.16314 0.148988000 0.257416000 0.347968000 -0.803927000 -0.103179000 -0.584015000 0.044518000
1403715530.21339 0.154999000 0.274371000 0.366226000 -0.804633000 -0.105668000 -0.582816000 0.041545000
1403715530.26357 0.160103000 0.293512000 0.387212000 -0.806450000 -0.107983000 -0.580113000 0.038033000
1403715530.31352 0.164117000 0.314560000 0.412157000 -0.807769000 -0.109674000 -0.578095000 0.035867000
1403715530.36339 0.167846000 0.337355000 0.440154000 -0.809122000 -0.108407000 -0.576330000 0.037593000
1403715530.41328 0.170919000 0.361179000 0.471584000 -0.810343000 -0.106734000 -0.574692000 0.041008000
1403715530.46309 0.174569000 0.385465000 0.505127000 -0.811113000 -0.106096000 -0.573358000 0.045820000
1403715530.51297 0.177943000 0.410730000 0.538960000 -0.811109000 -0.107747000 -0.572717000 0.049875000
1403715530.56289 0.180701000 0.436377000 0.570793000 -0.811242000 -0.109944000 -0.571721000 0.054167000
1403715530.61287 0.184299000 0.462905000 0.599465000 -0.811023000 -0.112353000 -0.571229000 0.057587000
1403715530.66287 0.185970000 0.488680000 0.624552000 -0.810268000 -0.114219000 -0.571547000 0.061269000
1403715530.71284 0.188075000 0.515178000 0.646579000 -0.809756000 -0.116325000 -0.571439000 0.064976000
1403715530.76275 0.190254000 0.542703000 0.667671000 -0.809410000 -0.120205000 -0.570595000 0.069475000
1403715530.81273 0.191726000 0.570231000 0.687333000 -0.808779000 -0.125482000 -0.569662000 0.074937000
1403715530.86271 0.191801000 0.597380000 0.706917000 -0.807692000 -0.131490000 -0.569017000 0.081012000
1403715530.91268 0.192325000 0.625594000 0.726587000 -0.806903000 -0.137354000 -0.567963000 0.086369000
1403715530.96266 0.197086000 0.656403000 0.745375000 -0.806746000 -0.143775000 -0.566264000 0.088520000
1403715531.01263 0.197593000 0.684641000 0.763156000 -0.808968000 -0.148516000 -0.561270000 0.092137000
1403715531.06258 0.198555000 0.713820000 0.780162000 -0.813231000 -0.153355000 -0.553432000 0.094081000
1403715531.11253 0.202400000 0.743860000 0.796299000 -0.819320000 -0.156809000 -0.543102000 0.095739000
1403715531.16251 0.204334000 0.773121000 0.811237000 -0.824270000 -0.159719000 -0.534382000 0.097489000
1403715531.21254 0.209699000 0.803472000 0.825455000 -0.828592000 -0.157902000 -0.526849000 0.104559000
1403715531.26255 0.216544000 0.832731000 0.840671000 -0.827840000 -0.154557000 -0.527111000 0.113787000
1403715531.31258 0.225565000 0.860789000 0.856051000 -0.824129000 -0.150925000 -0.531967000 0.122658000
1403715531.36254 0.239073000 0.886032000 0.870097000 -0.819255000 -0.148187000 -0.538641000 0.129334000
1403715531.41254 0.252483000 0.912232000 0.884278000 -0.814770000 -0.147013000 -0.544698000 0.133569000
1403715531.46252 0.266833000 0.937153000 0.896582000 -0.810929000 -0.147311000 -0.549995000 0.134907000
1403715531.51247 0.282358000 0.961888000 0.906106000 -0.807959000 -0.147828000 -0.553962000 0.135924000
1403715531.56235 0.298002000 0.986954000 0.912943000 -0.806193000 -0.148272000 -0.556210000 0.136741000
1403715531.61230 0.312329000 1.012210000 0.917058000 -0.805845000 -0.148031000 -0.556357000 0.138449000
1403715531.66216 0.328848000 1.035839000 0.919422000 -0.806555000 -0.147339000 -0.555084000 0.140149000
1403715531.71219 0.348141000 1.058196000 0.920636000 -0.806078000 -0.149271000 -0.555855000 0.137774000
1403715531.76225 0.368242000 1.079088000 0.922004000 -0.805032000 -0.152608000 -0.557691000 0.132723000
1403715531.81238 0.388193000 1.099318000 0.924621000 -0.801768000 -0.155610000 -0.562681000 0.127845000
1403715531.86245 0.407317000 1.117360000 0.927172000 -0.797910000 -0.157876000 -0.568429000 0.123707000
1403715531.91248 0.426361000 1.133938000 0.928331000 -0.794316000 -0.158802000 -0.573718000 0.121207000
1403715531.96249 0.441406000 1.151283000 0.929243000 -0.791073000 -0.159926000 -0.578440000 0.118468000
1403715532.01247 0.456191000 1.166626000 0.929922000 -0.789424000 -0.160122000 -0.580886000 0.117222000
1403715532.06246 0.471060000 1.181172000 0.929572000 -0.787958000 -0.160928000 -0.583120000 0.114869000
1403715532.11246 0.485240000 1.194877000 0.929692000 -0.787126000 -0.161935000 -0.584454000 0.112354000
1403715532.16247 0.498157000 1.207873000 0.930326000 -0.786361000 -0.162088000 -0.585580000 0.111622000
1403715532.21245 0.509600000 1.220752000 0.929734000 -0.785927000 -0.161944000 -0.586150000 0.111897000
1403715532.26241 0.519207000 1.233233000 0.928733000 -0.785183000 -0.162832000 -0.586555000 0.113692000
1403715532.31241 0.528209000 1.245518000 0.927132000 -0.785638000 -0.163502000 -0.585104000 0.117021000
1403715532.36240 0.535993000 1.257042000 0.924551000 -0.787591000 -0.163383000 -0.581662000 0.121144000
1403715532.41240 0.543291000 1.267499000 0.922262000 -0.788947000 -0.161961000 -0.579077000 0.126496000
1403715532.46241 0.549081000 1.277027000 0.919655000 -0.790210000 -0.161761000 -0.576518000 0.130493000
1403715532.51242 0.554424000 1.285056000 0.916588000 -0.791338000 -0.160580000 -0.574222000 0.135161000
1403715532.56244 0.559791000 1.291990000 0.912564000 -0.792137000 -0.157838000 -0.572311000 0.141657000
1403715532.61245 0.563143000 1.297158000 0.909147000 -0.792024000 -0.154263000 -0.571506000 0.149272000
1403715532.66247 0.567029000 1.299881000 0.904781000 -0.791242000 -0.150184000 -0.571526000 0.157288000
1403715532.71250 0.570778000 1.301063000 0.901947000 -0.789914000 -0.146346000 -0.572311000 0.164557000
1403715532.76251 0.573443000 1.299542000 0.898477000 -0.788737000 -0.143741000 -0.572947000 0.170189000
1403715532.81252 0.576587000 1.295519000 0.894614000 -0.787983000 -0.141323000 -0.573531000 0.173705000
1403715532.86253 0.579882000 1.288657000 0.890976000 -0.787774000 -0.138309000 -0.574117000 0.175133000
1403715532.91251 0.583577000 1.279271000 0.886084000 -0.788687000 -0.134189000 -0.573967000 0.174724000
1403715532.96251 0.587658000 1.266264000 0.878957000 -0.790436000 -0.127575000 -0.573523000 0.173227000
1403715533.01251 0.592306000 1.250010000 0.869145000 -0.792437000 -0.119295000 -0.573425000 0.170282000
1403715533.06251 0.597530000 1.229496000 0.856982000 -0.795045000 -0.109802000 -0.573077000 0.165623000
1403715533.11252 0.603381000 1.206141000 0.842003000 -0.797170000 -0.099150000 -0.573881000 0.159218000
1403715533.16251 0.610078000 1.177062000 0.827535000 -0.797218000 -0.088103000 -0.578050000 0.150132000
1403715533.21245 0.615090000 1.146190000 0.813168000 -0.794370000 -0.078729000 -0.586150000 0.138588000
1403715533.26244 0.619984000 1.112248000 0.802415000 -0.792087000 -0.068682000 -0.592910000 0.127825000
1403715533.31243 0.623619000 1.075325000 0.795025000 -0.790775000 -0.060424000 -0.597897000 0.116375000
1403715533.36244 0.623574000 1.036316000 0.790190000 -0.791497000 -0.054546000 -0.599325000 0.106613000
1403715533.41253 0.622772000 0.995883000 0.789235000 -0.793085000 -0.049917000 -0.599110000 0.097937000
1403715533.46257 0.620168000 0.952863000 0.791051000 -0.796127000 -0.045232000 -0.596466000 0.091458000
1403715533.51263 0.615451000 0.908615000 0.795941000 -0.799381000 -0.039372000 -0.592878000 0.089079000
1403715533.56266 0.609282000 0.861929000 0.803979000 -0.802335000 -0.031813000 -0.589110000 0.090533000
1403715533.61268 0.602169000 0.813537000 0.814500000 -0.805026000 -0.025240000 -0.585482000 0.092229000
1403715533.66272 0.595075000 0.759116000 0.830561000 -0.808307000 -0.018103000 -0.580591000 0.096049000
1403715533.71270 0.587222000 0.701455000 0.850624000 -0.810693000 -0.012547000 -0.577016000 0.098352000
1403715533.76268 0.578777000 0.639569000 0.873896000 -0.812189000 -0.007995000 -0.574673000 0.100177000
1403715533.81265 0.571307000 0.574832000 0.899318000 -0.813925000 -0.007374000 -0.572734000 0.097193000
1403715533.86263 0.563923000 0.506226000 0.924909000 -0.814997000 -0.008524000 -0.572012000 0.092246000
1403715533.91262 0.556879000 0.435223000 0.948388000 -0.816100000 -0.012352000 -0.571600000 0.084271000
1403715533.96262 0.549378000 0.361313000 0.969085000 -0.816206000 -0.015945000 -0.572302000 0.077616000
1403715534.01261 0.541935000 0.285384000 0.986166000 -0.816569000 -0.019974000 -0.572491000 0.071204000
1403715534.06261 0.534425000 0.207165000 0.999746000 -0.816541000 -0.023840000 -0.573060000 0.065528000
1403715534.11259 0.526402000 0.128488000 1.009614000 -0.815896000 -0.028850000 -0.574548000 0.058108000
1403715534.16259 0.521061000 0.049425000 1.017322000 -0.815862000 -0.033810000 -0.574917000 0.051927000
1403715534.21259 0.514924000 -0.031463000 1.021597000 -0.815801000 -0.039217000 -0.575242000 0.045037000
1403715534.26259 0.509727000 -0.111624000 1.023593000 -0.815761000 -0.043903000 -0.575374000 0.039396000
1403715534.31259 0.505505000 -0.191045000 1.022931000 -0.815748000 -0.047004000 -0.575353000 0.036252000
1403715534.36258 0.502360000 -0.269164000 1.019546000 -0.815882000 -0.048771000 -0.575215000 0.032961000
1403715534.41259 0.499473000 -0.348580000 1.014180000 -0.816277000 -0.048602000 -0.574813000 0.030337000
1403715534.46260 0.496995000 -0.426849000 1.005913000 -0.816748000 -0.046604000 -0.574451000 0.027512000
1403715534.51261 0.494146000 -0.505720000 0.995129000 -0.817020000 -0.043263000 -0.574499000 0.023623000
1403715534.56260 0.492572000 -0.583599000 0.982877000 -0.817349000 -0.038201000 -0.574541000 0.019609000
1403715534.61260 0.491000000 -0.657960000 0.969850000 -0.818123000 -0.030467000 -0.574018000 0.015798000
1403715534.66259 0.488975000 -0.734178000 0.956264000 -0.819000000 -0.022787000 -0.573248000 0.010361000
1403715534.71256 0.487821000 -0.809035000 0.942279000 -0.820172000 -0.013811000 -0.571933000 0.004460000
1403715534.76252 0.488551000 -0.885909000 0.928283000 0.822794000 0.003865000 0.568322000 0.002313000
1403715534.81251 0.488999000 -0.959163000 0.912300000 0.825621000 -0.007033000 0.564076000 0.010891000
1403715534.86250 0.490519000 -1.030629000 0.895699000 0.828516000 -0.019094000 0.559280000 0.020048000
1403715534.91247 0.494104000 -1.101058000 0.878244000 0.831087000 -0.031548000 0.554482000 0.029134000
1403715534.96246 0.497135000 -1.170800000 0.861682000 0.832659000 -0.043589000 0.550707000 0.038746000
1403715535.01243 0.502024000 -1.239888000 0.845098000 0.833336000 -0.054546000 0.548013000 0.047525000
1403715535.06240 0.508731000 -1.307027000 0.828502000 0.834465000 -0.064628000 0.544516000 0.054711000
1403715535.11233 0.517280000 -1.374283000 0.811640000 0.836418000 -0.073791000 0.539678000 0.060890000
1403715535.16232 0.529691000 -1.438233000 0.795202000 0.838669000 -0.082105000 0.534496000 0.064854000
1403715535.21231 0.545323000 -1.498757000 0.779323000 0.841533000 -0.089376000 0.528424000 0.067841000
1403715535.26231 0.564449000 -1.558980000 0.764572000 0.843664000 -0.095639000 0.523642000 0.069883000
1403715535.31232 0.585340000 -1.617221000 0.750440000 0.845279000 -0.101171000 0.519782000 0.071374000
1403715535.36233 0.613586000 -1.673257000 0.735659000 0.846084000 -0.106703000 0.517396000 0.071123000
1403715535.41233 0.640899000 -1.733302000 0.722880000 0.845063000 -0.115203000 0.518010000 0.065281000
1403715535.46233 0.671488000 -1.793756000 0.710385000 0.841743000 -0.122770000 0.522340000 0.059644000
1403715535.51232 0.704597000 -1.854839000 0.698571000 0.836987000 -0.128209000 0.529159000 0.054833000
1403715535.56230 0.739445000 -1.916311000 0.686897000 0.831881000 -0.130183000 0.536829000 0.053309000
1403715535.61227 0.776734000 -1.979095000 0.676167000 0.826018000 -0.129704000 0.545929000 0.053230000
1403715535.66223 0.814527000 -2.042569000 0.665187000 0.822355000 -0.127053000 0.551997000 0.053748000
1403715535.71221 0.852072000 -2.105651000 0.654940000 0.820290000 -0.121656000 0.556192000 0.054539000
1403715535.76217 0.890798000 -2.169767000 0.645366000 0.819610000 -0.114737000 0.558742000 0.053678000
1403715535.81214 0.928721000 -2.233381000 0.635927000 0.819183000 -0.104444000 0.561261000 0.054934000
1403715535.86211 0.966141000 -2.297574000 0.627749000 0.820072000 -0.091653000 0.561994000 0.056960000
1403715535.91209 1.003940000 -2.359234000 0.618317000 0.822739000 -0.079670000 0.559972000 0.056429000
1403715535.96207 1.043318000 -2.419938000 0.609374000 0.825846000 -0.067592000 0.557151000 0.054706000
1403715536.01204 1.082510000 -2.478531000 0.600299000 0.829516000 -0.058477000 0.553079000 0.050863000
1403715536.06203 1.122802000 -2.537535000 0.590534000 0.833399000 -0.049802000 0.548348000 0.047746000
1403715536.11202 1.163917000 -2.596655000 0.582999000 0.836706000 -0.042779000 0.544217000 0.043826000
1403715536.16200 1.207738000 -2.653796000 0.573552000 0.839564000 -0.035937000 0.540521000 0.040971000
1403715536.21199 1.253712000 -2.710012000 0.564542000 0.842178000 -0.028546000 0.536932000 0.040313000
1403715536.26197 1.301968000 -2.764573000 0.556777000 0.844005000 -0.021353000 0.534376000 0.040520000
1403715536.31195 1.352419000 -2.818528000 0.549840000 0.844661000 -0.014323000 0.533545000 0.040894000
1403715536.36191 1.404909000 -2.869752000 0.544554000 0.843727000 -0.006852000 0.535046000 0.042471000
1403715536.41188 1.460124000 -2.920339000 0.539998000 0.841606000 0.001559000 0.538095000 0.046380000
1403715536.46185 1.517300000 -2.968850000 0.536416000 0.838852000 0.009663000 0.541873000 0.051067000
1403715536.51184 1.575168000 -3.012681000 0.533977000 0.835903000 0.016472000 0.545829000 0.055367000
1403715536.56184 1.634183000 -3.052597000 0.532078000 0.832647000 0.021898000 0.550244000 0.058744000
1403715536.61186 1.693199000 -3.088165000 0.530281000 0.829306000 0.025808000 0.554878000 0.060804000
1403715536.66188 1.753459000 -3.120733000 0.528655000 0.825148000 0.029180000 0.560650000 0.062863000
1403715536.71189 1.814170000 -3.149692000 0.527502000 0.820193000 0.030953000 0.567763000 0.063016000
1403715536.76190 1.875376000 -3.174854000 0.527663000 0.813216000 0.032461000 0.577782000 0.061599000
1403715536.81190 1.936146000 -3.195927000 0.528225000 0.806566000 0.035131000 0.587021000 0.060196000
1403715536.86191 1.994478000 -3.211647000 0.529576000 0.800144000 0.039308000 0.595445000 0.060580000
1403715536.91193 2.050981000 -3.223593000 0.530710000 0.793546000 0.044343000 0.603591000 0.063217000
1403715536.96194 2.103963000 -3.230215000 0.533124000 0.786832000 0.050154000 0.611276000 0.068719000
1403715537.01194 2.153725000 -3.232131000 0.536235000 0.780139000 0.055320000 0.618744000 0.074017000
1403715537.06195 2.198705000 -3.227935000 0.540186000 0.772069000 0.058661000 0.628033000 0.077730000
1403715537.11194 2.239594000 -3.215637000 0.548201000 0.762610000 0.061750000 0.638767000 0.081173000
1403715537.16194 2.278305000 -3.202783000 0.556497000 0.752494000 0.063677000 0.650189000 0.083382000
1403715537.21194 2.310525000 -3.183888000 0.564515000 0.743043000 0.064017000 0.660890000 0.083745000
1403715537.26194 2.335743000 -3.159403000 0.573614000 0.734824000 0.062428000 0.670445000 0.081484000
1403715537.31193 2.355326000 -3.129917000 0.584230000 0.730780000 0.055300000 0.676711000 0.070455000
1403715537.36191 2.368323000 -3.096298000 0.595297000 0.732327000 0.045626000 0.677130000 0.055776000
1403715537.41197 2.375058000 -3.060959000 0.602001000 0.740157000 0.035315000 0.670196000 0.041929000
