# timestamp(s) tx ty tz qx qy qz qw
1403715528.85939 0.010288000 0.019400000 0.049833000 0.816355000 0.000553000 0.577450000 0.010754000
1403715528.91312 0.009759000 0.038934000 0.141693000 0.823506000 -0.003120000 0.566932000 0.020413000
1403715528.96342 0.018028000 0.046439000 0.158965000 0.823623000 -0.002920000 0.566696000 0.022181000
1403715529.01284 0.026202000 0.054647000 0.175200000 0.824680000 -0.001143000 0.565107000 0.023590000
1403715529.06173 0.034869000 0.064449000 0.190993000 0.825926000 0.000076000 0.563367000 0.021552000
1403715529.11124 0.044173000 0.074496000 0.208616000 0.826050000 0.002781000 0.563266000 0.019137000
1403715529.16083 0.053164000 0.086693000 0.229023000 0.826890000 0.007629000 0.562103000 0.015316000
1403715529.21009 0.063139000 0.100553000 0.252039000 0.827994000 0.013097000 0.560487000 0.010426000
1403715529.25977 0.072351000 0.114097000 0.275077000 0.829118000 0.019849000 0.558692000 0.005701000
1403715529.31126 0.083845000 0.126453000 0.301201000 -0.831471000 -0.027441000 -0.554887000 0.001764000
1403715529.36193 0.093811000 0.139050000 0.324539000 -0.831932000 -0.036767000 -0.553590000 0.008740000
1403715529.41226 0.104840000 0.151526000 0.346138000 -0.832220000 -0.045652000 -0.552386000 0.013994000
1403715529.46363 0.104943000 0.162000000 0.364165000 -0.828493000 -0.054767000 -0.556929000 0.020735000
1403715529.51356 0.111324000 0.171081000 0.375496000 -0.826465000 -0.061838000 -0.559019000 0.025075000
1403715529.56327 0.119391000 0.180486000 0.388052000 -0.825545000 -0.067302000 -0.559526000 0.029586000
1403715529.61249 0.134664000 0.188045000 0.400095000 -0.825093000 -0.072610000 -0.559312000 0.033474000
1403715529.66226 0.145689000 0.198856000 0.408887000 -0.823921000 -0.076361000 -0.560375000 0.036090000
1403715529.71225 0.154541000 0.210226000 0.417306000 -0.822565000 -0.081271000 -0.561614000 0.037031000
1403715529.76182 0.164318000 0.221081000 0.423497000 -0.821914000 -0.085037000 -0.561886000 0.038871000
1403715529.81170 0.171471000 0.231958000 0.431012000 -0.820529000 -0.087509000 -0.563293000 0.042133000
1403715529.86164 0.181677000 0.244456000 0.440879000 -0.819825000 -0.089534000 -0.563849000 0.044088000
1403715529.91151 0.188684000 0.257621000 0.451839000 -0.818120000 -0.090254000 -0.565963000 0.047111000
1403715529.96189 0.195926000 0.274861000 0.463731000 -0.816159000 -0.090628000 -0.568592000 0.048720000
1403715530.01207 0.204463000 0.290290000 0.477065000 -0.813466000 -0.092359000 -0.572165000 0.048692000
1403715530.06218 0.214678000 0.306082000 0.492481000 -0.809939000 -0.094613000 -0.576897000 0.047297000
1403715530.11226 0.224253000 0.322428000 0.508696000 -0.806393000 -0.097361000 -0.581611000 0.044498000
1403715530.16246 0.233699000 0.340072000 0.526254000 -0.805249000 -0.099559000 -0.583058000 0.041303000
1403715530.21256 0.241344000 0.358644000 0.545445000 -0.805990000 -0.101737000 -0.581875000 0.038093000
1403715530.26265 0.246917000 0.378065000 0.567484000 -0.807849000 -0.103783000 -0.579154000 0.034499000
1403715530.31280 0.252778000 0.400024000 0.593364000 -0.809328000 -0.104900000 -0.577034000 0.031879000
1403715530.36284 0.257345000 0.422505000 0.620660000 -0.810822000 -0.102946000 -0.575209000 0.033226000
1403715530.41285 0.262981000 0.447756000 0.654628000 -0.812023000 -0.100409000 -0.573779000 0.036252000
1403715530.46290 0.265960000 0.472196000 0.686896000 -0.812873000 -0.099036000 -0.572509000 0.040783000
1403715530.51295 0.268161000 0.497259000 0.719443000 -0.812891000 -0.100104000 -0.572001000 0.044749000
1403715530.56283 0.268531000 0.519186000 0.749091000 -0.812903000 -0.102343000 -0.571171000 0.049779000
1403715530.61277 0.270033000 0.546340000 0.777764000 -0.812573000 -0.104393000 -0.570961000 0.053195000
1403715530.66272 0.272277000 0.575086000 0.804363000 -0.811850000 -0.106008000 -0.571359000 0.056660000
1403715530.71258 0.274236000 0.604171000 0.828213000 -0.811335000 -0.108100000 -0.571319000 0.060377000
1403715530.76252 0.276241000 0.631683000 0.850368000 -0.810919000 -0.111567000 -0.570737000 0.064977000
1403715530.81249 0.278013000 0.661988000 0.872846000 -0.810319000 -0.116727000 -0.569920000 0.070346000
1403715530.86250 0.279167000 0.691187000 0.894881000 -0.809267000 -0.122829000 -0.569331000 0.076565000
1403715530.91246 0.280715000 0.722274000 0.916685000 -0.808548000 -0.128636000 -0.568340000 0.081800000
1403715530.96237 0.286047000 0.754936000 0.938161000 -0.808357000 -0.134610000 -0.566890000 0.084110000
1403715531.01235 0.289332000 0.785782000 0.959698000 -0.810705000 -0.139135000 -0.561877000 0.087708000
1403715531.06227 0.294429000 0.817940000 0.980282000 -0.815148000 -0.143714000 -0.553939000 0.089619000
1403715531.11217 0.300130000 0.851150000 0.998817000 -0.821263000 -0.146993000 -0.543658000 0.091414000
1403715531.16210 0.306750000 0.884982000 1.015671000 -0.826408000 -0.149607000 -0.534808000 0.093000000
1403715531.21202 0.314050000 0.919116000 1.029729000 -0.830641000 -0.147940000 -0.527350000 0.100257000
1403715531.26180 0.325957000 0.952980000 1.044473000 -0.830070000 -0.144036000 -0.527562000 0.109158000
1403715531.31166 0.336159000 0.983992000 1.060162000 -0.826386000 -0.140204000 -0.532486000 0.117847000
1403715531.36146 0.348103000 1.012363000 1.072284000 -0.821515000 -0.137223000 -0.539244000 0.124496000
1403715531.41151 0.362326000 1.039948000 1.086023000 -0.817138000 -0.135679000 -0.545261000 0.128714000
1403715531.46153 0.377652000 1.065830000 1.098012000 -0.813409000 -0.135883000 -0.550476000 0.129911000
1403715531.51153 0.395306000 1.091394000 1.108689000 -0.810589000 -0.136123000 -0.554361000 0.130764000
1403715531.56148 0.412774000 1.117386000 1.118712000 -0.808836000 -0.136304000 -0.556689000 0.131542000
1403715531.61142 0.431088000 1.142187000 1.124716000 -0.808642000 -0.135606000 -0.556730000 0.133270000
1403715531.66136 0.449938000 1.165720000 1.128370000 -0.809414000 -0.134590000 -0.555454000 0.134929000
1403715531.71140 0.470163000 1.187984000 1.131821000 -0.809081000 -0.136051000 -0.556150000 0.132568000
1403715531.76146 0.493536000 1.208540000 1.135983000 -0.808176000 -0.138784000 -0.557988000 0.127433000
1403715531.81160 0.514862000 1.228107000 1.139590000 -0.805137000 -0.141373000 -0.562865000 0.122276000
1403715531.86166 0.534883000 1.245592000 1.140512000 -0.801417000 -0.143345000 -0.568600000 0.117798000
1403715531.91167 0.553668000 1.263152000 1.142724000 -0.797925000 -0.143923000 -0.573888000 0.115124000
1403715531.96166 0.571728000 1.279653000 1.144103000 -0.794900000 -0.144431000 -0.578541000 0.112090000
1403715532.01165 0.587828000 1.294862000 1.143755000 -0.793339000 -0.144225000 -0.581020000 0.110581000
1403715532.06162 0.603504000 1.308840000 1.142819000 -0.791906000 -0.144830000 -0.583255000 0.108270000
1403715532.11162 0.617407000 1.322705000 1.141965000 -0.791113000 -0.145745000 -0.584585000 0.105642000
1403715532.16165 0.629091000 1.335089000 1.140388000 -0.790315000 -0.145990000 -0.585758000 0.104771000
1403715532.21165 0.639461000 1.347423000 1.138191000 -0.789871000 -0.145872000 -0.586353000 0.104959000
1403715532.26165 0.648980000 1.360431000 1.136455000 -0.789107000 -0.146676000 -0.586868000 0.106687000
1403715532.31166 0.657942000 1.373173000 1.133810000 -0.789494000 -0.147410000 -0.585554000 0.109984000
1403715532.36165 0.665562000 1.386000000 1.130360000 -0.791420000 -0.147270000 -0.582205000 0.114029000
1403715532.41165 0.671892000 1.397765000 1.128111000 -0.792728000 -0.145656000 -0.579786000 0.119228000
1403715532.46173 0.678246000 1.407585000 1.123592000 -0.793932000 -0.145260000 -0.577425000 0.123093000
1403715532.51174 0.683228000 1.416796000 1.119908000 -0.795009000 -0.143885000 -0.575317000 0.127545000
1403715532.56176 0.688262000 1.425435000 1.116899000 -0.795676000 -0.140788000 -0.573710000 0.133922000
1403715532.61178 0.692476000 1.432074000 1.112487000 -0.795493000 -0.136947000 -0.573125000 0.141294000
1403715532.66179 0.696493000 1.436333000 1.106983000 -0.794555000 -0.132763000 -0.573410000 0.149188000
1403715532.71180 0.700154000 1.437820000 1.101621000 -0.793072000 -0.128953000 -0.574444000 0.156277000
1403715532.76183 0.703226000 1.436293000 1.095519000 -0.791746000 -0.126335000 -0.575297000 0.161896000
1403715532.81186 0.705885000 1.431292000 1.089188000 -0.790808000 -0.124001000 -0.576080000 0.165465000
1403715532.86187 0.708330000 1.423142000 1.083180000 -0.790429000 -0.121209000 -0.576771000 0.166932000
1403715532.91186 0.710345000 1.411730000 1.076403000 -0.791082000 -0.117329000 -0.576754000 0.166664000
1403715532.96186 0.712488000 1.396785000 1.067153000 -0.792521000 -0.111180000 -0.576363000 0.165391000
1403715533.01184 0.715552000 1.378959000 1.055089000 -0.794233000 -0.103498000 -0.576184000 0.162773000
1403715533.06182 0.718707000 1.357049000 1.039694000 -0.796560000 -0.094999000 -0.575601000 0.158592000
1403715533.11180 0.721105000 1.331140000 1.021342000 -0.798293000 -0.085516000 -0.576279000 0.152703000
1403715533.16174 0.724033000 1.301316000 1.002326000 -0.798200000 -0.076066000 -0.579940000 0.144087000
1403715533.21164 0.727284000 1.269533000 0.987097000 -0.795204000 -0.067282000 -0.587807000 0.132691000
1403715533.26158 0.728957000 1.233687000 0.973312000 -0.792623000 -0.058249000 -0.594479000 0.122270000
1403715533.31156 0.729481000 1.194710000 0.963957000 -0.791024000 -0.050704000 -0.599468000 0.111126000
1403715533.36154 0.728841000 1.153159000 0.957691000 -0.791637000 -0.045018000 -0.600811000 0.101539000
1403715533.41159 0.728827000 1.113379000 0.956112000 -0.793166000 -0.040126000 -0.600588000 0.092584000
1403715533.46162 0.725906000 1.069968000 0.957215000 -0.796178000 -0.035440000 -0.597884000 0.085905000
1403715533.51163 0.721826000 1.024522000 0.962343000 -0.799518000 -0.029181000 -0.594101000 0.083443000
1403715533.56165 0.716432000 0.977146000 0.970190000 -0.802450000 -0.021369000 -0.590265000 0.084879000
1403715533.61168 0.709317000 0.926950000 0.981275000 -0.805005000 -0.014713000 -0.586701000 0.086786000
1403715533.66170 0.699955000 0.870791000 0.994734000 -0.808026000 -0.007719000 -0.582101000 0.090511000
1403715533.71169 0.690109000 0.810599000 1.012861000 -0.810239000 -0.002227000 -0.578679000 0.092948000
1403715533.76172 0.680448000 0.746623000 1.033889000 -0.811529000 0.002335000 -0.576550000 0.094896000
1403715533.81175 0.669815000 0.677956000 1.056472000 -0.813182000 0.002970000 -0.574649000 0.092220000
1403715533.86180 0.659904000 0.605927000 1.079614000 -0.814108000 0.001750000 -0.574099000 0.087382000
1403715533.91190 0.650724000 0.530641000 1.101598000 -0.815214000 -0.002302000 -0.573634000 0.079772000
1403715533.96192 0.641523000 0.453624000 1.121253000 -0.815308000 -0.005924000 -0.574354000 0.073181000
1403715534.01194 0.632357000 0.375127000 1.137439000 -0.815652000 -0.009970000 -0.574593000 0.066757000
1403715534.06199 0.623834000 0.295207000 1.150197000 -0.815657000 -0.013772000 -0.575152000 0.060952000
1403715534.11203 0.615686000 0.214229000 1.160334000 -0.815191000 -0.018795000 -0.576395000 0.053657000
1403715534.16204 0.606906000 0.131745000 1.166013000 -0.815066000 -0.024142000 -0.576923000 0.047373000
1403715534.21205 0.598693000 0.048629000 1.169789000 -0.815081000 -0.029569000 -0.577181000 0.040386000
1403715534.26206 0.592102000 -0.033070000 1.171640000 -0.815194000 -0.034190000 -0.577142000 0.034609000
