# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.780176162719727,0.01811,0.00018,0.00083,0.00000,0.00000,0.00562,0.02475
1403715893.833327531814575,0.01741,0.00018,0.00387,0.00000,0.00718,0.00571,0.03434
1403715893.883280277252197,0.01761,0.00026,0.00026,0.00152,0.00000,0.00570,0.02536
1403715893.933058500289917,0.01661,0.00029,0.00004,0.00156,0.00000,0.00597,0.02447
1403715893.982954025268555,0.01787,0.00028,0.00008,0.00157,0.00000,0.00590,0.02569
1403715894.032718181610107,0.01804,0.00027,0.00025,0.00159,0.00000,0.00590,0.02605
1403715894.082830190658569,0.01593,0.00031,0.00023,0.00146,0.00000,0.00599,0.02393
1403715894.133236169815063,0.01765,0.00028,0.00024,0.00144,0.00001,0.00613,0.02576
1403715894.183449268341064,0.01629,0.00033,0.00050,0.00131,0.00000,0.00618,0.02461
1403715894.233383893966675,0.01553,0.00028,0.00057,0.00132,0.00363,0.00604,0.02737
1403715894.283357858657837,0.01794,0.00030,0.00040,0.00191,0.00143,0.00606,0.02804
1403715894.333160638809204,0.01835,0.00030,0.00113,0.00202,0.00135,0.00623,0.02938
1403715894.383217334747314,0.01740,0.00031,0.00069,0.00228,0.00213,0.00651,0.02932
1403715894.433542728424072,0.01594,0.00045,0.01136,0.00252,0.01515,0.00635,0.05176
1403715894.483594655990601,0.01677,0.00040,0.00037,0.00415,0.00715,0.00628,0.03512
1403715894.533584594726562,0.01581,0.00045,0.00031,0.00522,0.00002,0.00636,0.02817
1403715894.583563089370728,0.01692,0.00041,0.00080,0.00506,0.00062,0.00619,0.02999
1403715894.633566379547119,0.01588,0.00043,0.00004,0.00520,0.00000,0.00631,0.02786
1403715894.683501243591309,0.01565,0.00040,0.00004,0.00495,0.00470,0.00635,0.03208
1403715894.733494281768799,0.01599,0.00043,0.00004,0.00573,0.00114,0.00640,0.02973
1403715894.783539056777954,0.01574,0.00048,0.00040,0.00572,0.00002,0.00650,0.02886
1403715894.833460092544556,0.01947,0.00042,0.00091,0.00530,0.00576,0.00655,0.03841
1403715894.883445978164673,0.01628,0.00044,0.00512,0.00577,0.00234,0.00656,0.03650
1403715894.933429956436157,0.01644,0.00048,0.00574,0.00609,0.00000,0.00696,0.03571
1403715894.983426094055176,0.01618,0.00042,0.00040,0.00600,0.00087,0.00578,0.02965
1403715895.033489465713501,0.01628,0.00043,0.01484,0.00578,0.00089,0.00643,0.04464
1403715895.083483457565308,0.01573,0.00043,0.00013,0.00549,0.00000,0.00654,0.02833
1403715895.133479356765747,0.01582,0.00045,0.00029,0.00542,0.00134,0.00646,0.02978
1403715895.183461904525757,0.01614,0.00043,0.00029,0.00491,0.00090,0.00630,0.02898
1403715895.233451366424561,0.02070,0.00039,0.00100,0.00509,0.00008,0.00648,0.03375
1403715895.283448934555054,0.01737,0.00041,0.00145,0.00465,0.00035,0.00639,0.03062
1403715895.333485603332520,0.01653,0.00041,0.00086,0.00455,0.00000,0.00650,0.02886
1403715895.383522033691406,0.01686,0.00039,0.00053,0.00407,0.00303,0.00643,0.03132
1403715895.433568000793457,0.01659,0.00039,0.00030,0.00400,0.00326,0.00650,0.03106
1403715895.483585596084595,0.01650,0.00038,0.00029,0.00443,0.00280,0.00620,0.03060
1403715895.533561944961548,0.01656,0.00042,0.00126,0.00462,0.00462,0.00664,0.03411
1403715895.583554506301880,0.01591,0.00045,0.00070,0.00557,0.00111,0.00602,0.02976
1403715895.633612394332886,0.01622,0.00048,0.01462,0.00527,0.00309,0.00643,0.04610
1403715895.683640956878662,0.01594,0.00047,0.00022,0.00594,0.00000,0.00607,0.02864
1403715895.733651638031006,0.01654,0.00047,0.00088,0.00547,0.00073,0.00634,0.03043
1403715895.783667087554932,0.01674,0.00046,0.01166,0.00550,0.00453,0.00595,0.04482
1403715895.833713054656982,0.01620,0.00048,0.00030,0.00564,0.00043,0.00642,0.02947
1403715895.883718490600586,0.01577,0.00047,0.00031,0.00544,0.00002,0.00650,0.02851
1403715895.933696985244751,0.02293,0.00040,0.00103,0.00498,0.00082,0.00646,0.03662
1403715895.983721256256104,0.01762,0.00040,0.00024,0.00565,0.00309,0.00629,0.03328
1403715896.033734798431396,0.01776,0.00045,0.00058,0.00545,0.00000,0.00672,0.03097
1403715896.083760976791382,0.01697,0.00043,0.00113,0.00486,0.00000,0.00667,0.03007
1403715896.133836746215820,0.01663,0.00043,0.00062,0.00485,0.00038,0.00651,0.02942
1403715896.183777332305908,0.01705,0.00043,0.00152,0.00509,0.00078,0.00615,0.03103
