# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.780176162719727,0,14,0,0,5
1403715893.833327531814575,19,17,0,19,6
1403715893.883280277252197,19,0,19,0,7
1403715893.933058500289917,19,0,19,0,8
1403715893.982954025268555,19,0,18,0,9
1403715894.032718181610107,19,0,18,0,10
1403715894.082830190658569,18,0,17,0,11
1403715894.133236169815063,17,0,17,0,11
1403715894.183449268341064,16,1,16,0,11
1403715894.233383893966675,21,0,16,5,11
1403715894.283357858657837,21,0,20,1,11
1403715894.333160638809204,22,3,21,1,11
1403715894.383217334747314,25,2,22,3,11
1403715894.433542728424072,41,18,24,16,11
1403715894.483594655990601,45,0,39,5,11
1403715894.533584594726562,44,0,44,0,11
1403715894.583563089370728,44,2,43,0,11
1403715894.633566379547119,44,0,44,0,11
1403715894.683501243591309,47,0,43,3,11
1403715894.733494281768799,48,0,45,1,11
1403715894.783539056777954,45,0,45,0,11
1403715894.833460092544556,48,1,44,3,11
1403715894.883445978164673,50,8,45,2,11
1403715894.933429956436157,49,9,46,0,11
1403715894.983426094055176,47,0,45,2,11
1403715895.033489465713501,44,20,44,0,11
1403715895.083483457565308,43,0,41,0,11
1403715895.133479356765747,43,1,41,0,11
1403715895.183461904525757,42,0,39,1,11
1403715895.233451366424561,40,2,39,0,11
1403715895.283448934555054,39,2,37,1,11
1403715895.333485603332520,35,1,34,0,11
1403715895.383522033691406,35,2,33,1,11
1403715895.433568000793457,38,1,33,3,11
1403715895.483585596084595,41,0,35,4,11
1403715895.533561944961548,44,3,38,6,11
1403715895.583554506301880,45,1,43,1,11
1403715895.633612394332886,47,21,43,3,11
1403715895.683640956878662,47,0,45,0,11
1403715895.733651638031006,47,1,43,1,11
1403715895.783667087554932,49,13,43,3,11
1403715895.833713054656982,48,0,43,1,11
1403715895.883718490600586,46,0,42,0,11
1403715895.933696985244751,43,0,40,3,11
1403715895.983721256256104,44,0,42,2,11
1403715896.033734798431396,43,1,42,0,11
1403715896.083760976791382,43,2,40,0,11
1403715896.133836746215820,43,1,40,1,11
1403715896.183777332305908,43,3,41,2,11
1403715896.233782052993774,49,8,42,6,11
1403715896.283779382705688,49,0,47,0,11
1403715896.333725929260254,45,1,43,1,11
1403715896.383781671524048,49,9,41,4,11
1403715896.433818101882935,48,0,42,1,11
1403715896.483858585357666,47,14,41,2,11
1403715896.533910989761353,46,0,42,1,11
1403715896.583945751190186,46,1,42,4,11
1403715896.633987188339233,46,2,45,0,11
1403715896.684043169021606,44,0,44,0,11
1403715896.734071493148804,44,1,42,0,11
1403715896.784045219421387,44,0,42,1,11
1403715896.834069728851318,45,4,42,2,11
1403715896.884018898010254,44,0,42,0,11
1403715896.933998584747314,44,0,40,1,11
1403715896.984000921249390,49,4,40,6,11
1403715897.033986330032349,47,0,45,0,11
1403715897.084091424942017,49,20,45,3,11
1403715897.134120702743530,50,0,45,1,11
1403715897.184226751327515,50,1,45,1,11
1403715897.234251499176025,48,0,46,1,11
1403715897.284270763397217,48,3,45,1,11
1403715897.334382534027100,47,2,42,0,11
1403715897.384387016296387,45,1,41,0,11
1403715897.434429407119751,45,7,39,4,11
1403715897.484399557113647,44,1,42,0,11
1403715897.534343004226685,40,2,37,0,11
1403715897.584243059158325,44,1,36,5,11
1403715897.634176731109619,43,5,39,3,11
1403715897.684158086776733,48,10,40,6,11
1403715897.734106302261353,48,0,43,1,11
1403715897.784078836441040,49,0,42,2,11
1403715897.834058046340942,46,3,42,0,11
1403715897.884055614471436,45,3,41,1,11
1403715897.934017896652222,47,3,39,6,11
1403715897.984015226364136,46,2,41,0,11
1403715898.033986330032349,44,16,38,1,11
1403715898.083956956863403,41,1,36,2,11
1403715898.133947372436523,38,7,28,1,11
1403715898.183957099914551,32,10,28,0,11
1403715898.233971357345581,26,4,22,3,11
1403715898.284020185470581,27,5,21,1,11
1403715898.334065675735474,33,7,22,8,11
1403715898.384074926376343,31,5,30,1,11
1403715898.434076547622681,30,12,27,0,11
1403715898.484037399291992,29,8,24,1,11
1403715898.534039497375488,28,4,25,1,11
1403715898.584037542343140,27,6,23,2,11
1403715898.634050607681274,32,3,23,5,11
1403715898.684075593948364,28,1,25,2,11
1403715898.734103679656982,33,4,25,6,11
1403715898.784112930297852,25,5,21,1,11
1403715898.834110021591187,23,5,19,3,11
1403715898.884114027023315,22,4,21,0,11
1403715898.934114694595337,19,4,17,0,11
1403715898.984086513519287,27,1,14,9,11
1403715899.034084558486938,26,5,23,2,11
1403715899.084096670150757,28,3,21,6,11
1403715899.134109020233154,28,2,24,1,11
1403715899.184108018875122,28,2,21,4,11
1403715899.234112262725830,25,6,23,1,11
1403715899.284102201461792,25,5,22,3,11
1403715899.334098815917969,31,2,22,9,11
1403715899.384121179580688,39,3,28,8,11
1403715899.434132099151611,43,2,33,7,11
1403715899.484167098999023,41,3,36,2,11
1403715899.534198284149170,44,3,37,5,11
1403715899.584205389022827,43,8,39,2,11
1403715899.634234189987183,48,3,40,6,11
1403715899.684229135513306,48,11,45,1,11
1403715899.734241247177124,46,6,44,0,11
1403715899.784247159957886,47,7,43,3,11
1403715899.834249734878540,42,1,41,0,11
1403715899.884263515472412,47,4,39,7,11
1403715899.934266328811646,43,2,42,1,11
1403715899.984286785125732,45,5,41,3,11
1403715900.034304380416870,45,3,42,0,11
1403715900.084336757659912,49,5,41,5,11
1403715900.134359836578369,47,5,45,1,11
1403715900.184375762939453,42,0,40,0,11
1403715900.234387159347534,45,1,39,5,11
1403715900.284439086914062,48,5,44,4,11
1403715900.334424495697021,46,1,45,0,11
1403715900.384403467178345,47,4,44,2,11
1403715900.434427499771118,45,3,45,0,11
1403715900.484384298324585,47,7,41,5,11
1403715900.534384250640869,43,6,39,2,11
1403715900.584363698959351,41,9,39,0,11
1403715900.634308099746704,42,2,36,4,11
1403715900.684267997741699,38,1,30,0,11
1403715900.734245300292969,38,2,29,2,11
1403715900.784217357635498,36,4,30,3,11
1403715900.834200620651245,30,5,26,0,11
1403715900.884211301803589,29,0,18,1,11
1403715900.934227466583252,28,0,19,2,11
1403715900.984228134155273,23,0,18,3,11
1403715901.034233570098877,23,4,17,1,11
1403715901.084239244461060,19,1,15,2,11
1403715901.134238719940186,18,5,14,2,11
1403715901.184223890304565,19,0,15,2,11
