# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.155760526657104,0.01937,0.00018,0.00024,0.00000,0.00000,0.00626,0.02605
1413393217.206010341644287,0.01799,0.00019,0.00325,0.00000,0.01002,0.00623,0.03768
1413393217.255807876586914,0.02037,0.00031,0.00024,0.00302,0.00000,0.00624,0.03018
1413393217.305675029754639,0.01924,0.00030,0.00032,0.00300,0.00000,0.00632,0.02919
1413393217.355556488037109,0.01964,0.00030,0.00031,0.00313,0.00000,0.00655,0.02993
1413393217.405611991882324,0.01865,0.00032,0.00065,0.00312,0.00000,0.00629,0.02903
1413393217.455573320388794,0.02011,0.00034,0.00024,0.00322,0.00000,0.00663,0.03054
1413393217.505641698837280,0.01867,0.00034,0.00036,0.00333,0.00000,0.00661,0.02931
1413393217.555531024932861,0.02040,0.00034,0.00045,0.00337,0.00291,0.00699,0.03446
1413393217.605767965316772,0.01780,0.00034,0.00034,0.00359,0.00000,0.00691,0.02899
1413393217.655672073364258,0.01974,0.00038,0.00031,0.00357,0.00000,0.00722,0.03124
1413393217.706210374832153,0.01885,0.00034,0.00044,0.00356,0.00000,0.00716,0.03037
1413393217.756154537200928,0.01856,0.00037,0.00030,0.00369,0.00000,0.00753,0.03044
1413393217.806429386138916,0.01792,0.00034,0.00683,0.00343,0.01838,0.00756,0.05446
1413393217.856436491012573,0.01841,0.00044,0.00022,0.00565,0.00336,0.00709,0.03516
1413393217.906501770019531,0.01894,0.00043,0.00035,0.00611,0.00535,0.00763,0.03882
1413393217.956364393234253,0.01905,0.00040,0.00079,0.00708,0.00045,0.00720,0.03496
1413393218.006500482559204,0.02007,0.00043,0.00008,0.00758,0.00000,0.00669,0.03486
1413393218.056637525558472,0.02004,0.00046,0.00015,0.00746,0.00000,0.00676,0.03487
1413393218.106617450714111,0.01948,0.00052,0.00014,0.00760,0.00000,0.00739,0.03513
1413393218.156774520874023,0.01850,0.00046,0.00079,0.00748,0.00000,0.00672,0.03396
1413393218.206930398941040,0.02009,0.00048,0.00004,0.00745,0.00028,0.00718,0.03552
1413393218.256764650344849,0.01828,0.00048,0.00011,0.00716,0.00198,0.00689,0.03491
1413393218.306783914566040,0.01922,0.00050,0.00004,0.00750,0.00419,0.00762,0.03908
1413393218.356382369995117,0.01933,0.00047,0.00190,0.00800,0.00213,0.00763,0.03946
1413393218.405861854553223,0.01811,0.00052,0.01078,0.00808,0.00265,0.00787,0.04801
1413393218.456029176712036,0.01775,0.00051,0.00104,0.00896,0.00000,0.00704,0.03531
1413393218.505993127822876,0.01910,0.00050,0.00524,0.00913,0.00000,0.00714,0.04111
1413393218.556063413619995,0.02044,0.00052,0.00553,0.00861,0.00000,0.00712,0.04222
1413393218.606123685836792,0.02045,0.00050,0.00446,0.00763,0.00000,0.00711,0.04015
1413393218.656117677688599,0.02100,0.00045,0.00026,0.00757,0.00051,0.00767,0.03745
