# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393217.155760526657104,0,0,0,0,5
1413393217.206010341644287,27,15,0,27,6
1413393217.255807876586914,27,1,27,0,7
1413393217.305675029754639,27,2,27,0,8
1413393217.355556488037109,27,1,27,0,9
1413393217.405611991882324,27,2,27,0,10
1413393217.455573320388794,27,1,27,0,11
1413393217.505641698837280,27,1,27,0,11
1413393217.555531024932861,29,3,27,2,11
1413393217.605767965316772,29,2,29,0,11
1413393217.655672073364258,29,1,29,0,11
1413393217.706210374832153,29,2,29,0,11
1413393217.756154537200928,29,1,29,0,11
1413393217.806429386138916,41,9,29,12,11
1413393217.856436491012573,43,0,40,2,11
1413393217.906501770019531,46,1,42,3,11
1413393217.956364393234253,46,1,45,1,11
1413393218.006500482559204,46,0,46,0,11
1413393218.056637525558472,46,0,46,0,11
1413393218.106617450714111,46,0,46,0,11
1413393218.156774520874023,46,1,46,0,11
1413393218.206930398941040,46,0,46,0,11
1413393218.256764650344849,47,0,45,1,11
1413393218.306783914566040,49,0,45,2,11
1413393218.356382369995117,49,1,47,1,11
1413393218.405861854553223,50,16,48,2,11
1413393218.456029176712036,50,1,50,0,11
1413393218.505993127822876,50,3,50,0,11
1413393218.556063413619995,50,4,49,0,11
1413393218.606123685836792,48,3,47,0,11
1413393218.656117677688599,48,0,47,1,11
1413393218.706097841262817,48,0,48,0,11
1413393218.755960941314697,49,0,48,1,11
1413393218.805841207504272,49,0,49,0,11
1413393218.855734825134277,49,0,47,0,11
1413393218.905704736709595,50,2,47,1,11
1413393218.955797672271729,47,5,47,0,11
1413393219.005911588668823,47,4,46,1,11
1413393219.055951118469238,47,0,46,1,11
1413393219.106007337570190,49,2,47,2,11
1413393219.156038045883179,50,5,49,1,11
1413393219.206086397171021,50,1,50,0,11
1413393219.256086349487305,50,0,50,0,11
1413393219.306100130081177,50,0,50,0,11
1413393219.356137275695801,48,1,48,0,11
1413393219.406224966049194,50,2,48,2,11
1413393219.456235408782959,50,2,50,0,11
1413393219.506373405456543,49,7,49,0,11
1413393219.556390047073364,50,1,49,1,11
1413393219.606433868408203,50,2,50,0,11
1413393219.656437635421753,50,0,50,0,11
1413393219.706413030624390,50,3,50,0,11
1413393219.756446123123169,50,4,50,0,11
1413393219.806466341018677,50,2,48,0,11
1413393219.856524229049683,50,4,48,0,11
1413393219.906531333923340,49,6,48,1,11
1413393219.956553697586060,49,2,49,0,11
1413393220.006532192230225,49,0,48,0,11
1413393220.056442022323608,50,9,48,1,11
1413393220.106380701065063,50,5,49,1,11
1413393220.156365394592285,50,1,50,0,11
1413393220.206345796585083,50,4,50,0,11
1413393220.256344795227051,50,1,50,0,11
1413393220.306351900100708,50,2,49,0,11
1413393220.356356859207153,50,3,48,0,11
1413393220.406359910964966,50,2,48,1,11
1413393220.456371545791626,50,0,49,1,11
1413393220.506395339965820,50,11,50,0,11
1413393220.556419372558594,50,0,50,0,11
1413393220.606408357620239,50,0,50,0,11
1413393220.656413078308105,50,6,50,0,11
1413393220.706436157226562,50,3,50,0,11
1413393220.756406784057617,50,1,50,0,11
1413393220.806411027908325,50,0,50,0,11
1413393220.856398582458496,50,0,50,0,11
1413393220.906384706497192,50,1,50,0,11
1413393220.956429958343506,50,3,50,0,11
1413393221.006476640701294,50,0,50,0,11
1413393221.056499719619751,50,0,49,0,11
1413393221.106535196304321,50,0,49,0,11
1413393221.156579971313477,49,0,48,0,11
1413393221.206569433212280,49,0,48,0,11
1413393221.256574153900146,50,5,48,2,11
1413393221.306496143341064,50,3,50,0,11
1413393221.356532812118530,50,1,49,0,11
1413393221.406549215316772,50,2,49,0,11
1413393221.456551313400269,50,0,49,1,11
1413393221.506542444229126,50,2,49,0,11
1413393221.556539773941040,50,3,49,0,11
1413393221.606534957885742,50,1,49,1,11
1413393221.656473398208618,50,0,50,0,11
1413393221.706447839736938,50,8,50,0,11
1413393221.756426572799683,49,1,49,0,11
1413393221.806385278701782,49,1,49,0,11
1413393221.856404304504395,50,4,49,1,11
1413393221.906416893005371,50,4,50,0,11
1413393221.956444263458252,49,2,49,0,11
1413393222.006461620330811,48,1,48,0,11
1413393222.056486845016479,47,0,47,0,11
1413393222.106511592864990,48,0,46,2,11
1413393222.156579732894897,48,2,47,1,11
1413393222.206640958786011,49,0,48,1,11
1413393222.256677865982056,49,0,48,0,11
1413393222.306735754013062,49,3,48,0,11
1413393222.356771707534790,49,0,48,1,11
1413393222.406751155853271,49,0,49,0,11
1413393222.456761598587036,48,1,47,0,11
1413393222.506656885147095,48,2,47,0,11
1413393222.556550979614258,49,0,47,2,11
1413393222.606495141983032,49,0,49,0,11
1413393222.656429290771484,49,0,48,0,11
1413393222.706409692764282,49,0,48,0,11
1413393222.756398200988770,49,1,48,1,11
1413393222.806392192840576,49,0,49,0,11
1413393222.856393575668335,49,0,48,0,11
1413393222.906375408172607,49,2,48,0,11
1413393222.956372976303101,50,0,48,2,11
1413393223.006365299224854,50,0,50,0,11
1413393223.056365251541138,50,1,49,0,11
1413393223.106339216232300,50,4,48,0,11
1413393223.156335115432739,48,0,47,0,11
1413393223.206312179565430,48,4,47,1,11
1413393223.256312131881714,48,2,47,0,11
1413393223.306294202804565,47,0,46,0,11
1413393223.356278896331787,47,1,45,2,11
1413393223.406265735626221,47,0,47,0,11
1413393223.456255197525024,47,0,47,0,11
1413393223.506239414215088,47,9,46,1,11
1413393223.556229352951050,48,3,46,2,11
1413393223.606212615966797,48,0,47,0,11
1413393223.656198978424072,48,1,46,2,11
1413393223.706212043762207,49,2,47,2,11
1413393223.756220817565918,49,6,46,1,11
1413393223.806232929229736,49,2,45,1,11
1413393223.856242179870605,49,1,45,1,11
1413393223.906278610229492,47,0,46,0,11
1413393223.956304311752319,47,0,45,2,11
1413393224.006323099136353,50,4,46,3,11
1413393224.056336164474487,48,1,47,0,11
1413393224.106348752975464,46,9,43,2,11
1413393224.156351327896118,45,1,43,0,11
1413393224.206332683563232,47,7,42,4,11
1413393224.256338119506836,48,5,44,3,11
1413393224.306342840194702,48,1,44,2,11
1413393224.356349706649780,49,5,47,1,11
1413393224.406347513198853,48,1,47,1,11
1413393224.456343889236450,48,0,48,0,11
1413393224.506337165832520,48,0,47,1,11
1413393224.556332111358643,48,0,48,0,11
1413393224.606322526931763,48,6,44,2,11
1413393224.656323671340942,47,0,43,0,11
1413393224.706322908401489,46,5,42,2,11
1413393224.756305217742920,45,2,42,1,11
1413393224.806290626525879,47,1,39,5,11
1413393224.856288909912109,47,2,38,4,11
1413393224.906277418136597,44,2,38,2,11
1413393224.956250667572021,45,2,37,6,11
1413393225.006241083145142,44,2,41,1,11
1413393225.056290149688721,48,1,41,5,11
1413393225.106290817260742,50,4,45,3,11
1413393225.156331777572632,50,2,47,1,11
1413393225.206302165985107,48,2,47,0,11
1413393225.256251335144043,49,0,47,2,11
1413393225.306262493133545,49,3,49,0,11
1413393225.356315135955811,47,1,47,0,11
1413393225.406355857849121,47,1,45,1,11
1413393225.456368446350098,49,1,45,2,11
1413393225.506390571594238,50,1,47,2,11
1413393225.556386232376099,50,4,48,1,11
1413393225.606389760971069,48,4,47,0,11
1413393225.656399726867676,46,1,42,1,11
1413393225.706396579742432,49,5,42,4,11
1413393225.756392717361450,48,4,41,2,11
1413393225.806398868560791,47,4,41,1,11
1413393225.856399774551392,45,0,39,4,11
1413393225.906364440917969,48,0,39,6,11
1413393225.956327438354492,47,1,43,0,11
1413393226.006312608718872,47,2,43,2,11
1413393226.056290626525879,46,1,45,1,11
1413393226.106282711029053,46,1,44,2,11
1413393226.156319618225098,46,0,42,0,11
1413393226.206365108489990,48,1,42,2,11
1413393226.256382226943970,47,0,44,3,11
1413393226.306392431259155,45,1,44,0,11
1413393226.356357574462891,44,1,39,0,11
1413393226.406331539154053,44,0,36,1,11
1413393226.456321716308594,44,1,35,4,11
1413393226.506303787231445,45,0,38,4,11
1413393226.556283950805664,46,0,42,3,11
1413393226.606258153915405,48,0,45,3,11
1413393226.656228303909302,47,1,46,0,11
1413393226.706208467483521,47,0,44,1,11
1413393226.756174564361572,46,1,45,0,11
1413393226.806164741516113,46,0,45,1,11
1413393226.856186866760254,47,0,46,1,11
1413393226.906209230422974,46,0,46,0,11
1413393226.956199407577515,47,2,46,1,11
1413393227.006195306777954,49,1,47,2,11
1413393227.056206703186035,48,3,48,0,11
1413393227.106217861175537,48,0,48,0,11
1413393227.156219720840454,49,3,47,2,11
1413393227.206223011016846,49,1,48,1,11
1413393227.256211519241333,49,3,48,0,11
1413393227.306219816207886,48,0,45,0,11
1413393227.356218814849854,47,0,43,1,11
1413393227.406216859817505,46,0,44,1,11
1413393227.456219196319580,48,1,45,3,11
1413393227.506216764450073,49,0,46,1,11
1413393227.556214094161987,50,4,47,1,11
1413393227.606209754943848,50,2,48,2,11
1413393227.656193494796753,50,1,49,0,11
1413393227.706195831298828,49,1,47,0,11
1413393227.756196260452271,50,3,47,2,11
1413393227.806192398071289,50,3,45,1,11
1413393227.856197357177734,50,3,47,0,11
1413393227.906198740005493,49,1,46,2,11
1413393227.956205368041992,49,1,48,0,11
1413393228.006202697753906,48,1,47,0,11
1413393228.056205987930298,48,1,43,0,11
1413393228.106206655502319,49,0,43,2,11
1413393228.156205177307129,46,4,43,2,11
1413393228.206202507019043,46,1,43,1,11
1413393228.256198883056641,45,2,43,1,11
1413393228.306196689605713,45,1,44,1,11
1413393228.356199026107788,49,0,45,4,11
1413393228.406201601028442,49,1,45,0,11
1413393228.456211805343628,50,3,45,1,11
1413393228.506206274032593,49,1,44,3,11
1413393228.556208848953247,46,0,44,1,11
1413393228.606216192245483,47,0,45,2,11
1413393228.656210660934448,46,3,44,1,11
1413393228.706196308135986,46,1,44,2,11
1413393228.756180524826050,45,7,43,1,11
1413393228.806171655654907,44,0,44,0,11
1413393228.856173038482666,46,0,42,4,11
1413393228.906175136566162,46,0,46,0,11
1413393228.956175327301025,46,0,46,0,11
1413393229.006170749664307,46,0,45,1,11
1413393229.056168079376221,48,1,46,2,11
1413393229.106170892715454,49,3,48,1,11
1413393229.156170368194580,49,2,48,1,11
1413393229.206166744232178,48,0,47,0,11
1413393229.256167411804199,46,2,45,0,11
1413393229.306162357330322,45,2,43,2,11
1413393229.356161117553711,48,1,43,3,11
1413393229.406163215637207,48,0,46,0,11
1413393229.456172466278076,46,3,45,1,11
1413393229.506161689758301,48,0,45,2,11
1413393229.556158304214478,48,2,46,0,11
1413393229.606155157089233,49,2,45,2,11
1413393229.656142234802246,49,5,46,2,11
1413393229.706123828887939,49,1,48,1,11
1413393229.756114244461060,50,3,48,1,11
1413393229.806100606918335,49,0,48,0,11
1413393229.856089830398560,50,0,48,2,11
1413393229.906085729598999,48,2,47,0,11
1413393229.956079721450806,48,0,47,0,11
1413393230.006074428558350,44,2,43,0,11
1413393230.056076526641846,47,3,40,5,11
1413393230.106069803237915,46,3,44,0,11
1413393230.156068563461304,44,6,42,1,11
1413393230.206078052520752,46,5,42,4,11
1413393230.256081104278564,46,2,42,1,11
1413393230.306075096130371,44,1,40,1,11
1413393230.356079816818237,44,2,41,1,11
1413393230.406093358993530,42,2,41,1,11
1413393230.456093072891235,42,4,41,0,11
1413393230.506089448928833,41,0,38,0,11
1413393230.556090593338013,41,4,38,1,11
1413393230.606095790863037,41,2,37,3,11
1413393230.656105518341064,42,2,38,4,11
1413393230.706108093261719,43,4,41,2,11
1413393230.756109476089478,45,0,41,3,11
1413393230.806100606918335,45,1,43,1,11
1413393230.856092453002930,44,2,42,1,11
1413393230.906085014343262,43,4,42,0,11
1413393230.956067800521851,46,2,41,4,11
1413393231.006065368652344,46,0,45,0,11
1413393231.056059360504150,48,3,44,3,11
1413393231.106067419052124,47,1,46,0,11
1413393231.156073570251465,45,1,45,0,11
1413393231.206085443496704,48,0,45,3,11
1413393231.256086111068726,46,4,46,0,11
1413393231.306089162826538,49,3,45,4,11
1413393231.356094598770142,49,1,49,0,11
1413393231.406094551086426,48,2,48,0,11
1413393231.456095695495605,47,2,46,0,11
1413393231.506097793579102,48,8,45,2,11
1413393231.556099176406860,46,0,46,0,11
1413393231.606093883514404,46,3,45,0,11
1413393231.656092405319214,48,3,46,2,11
