# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393217.155760526657104,0,0,0,0,5
1413393217.205814838409424,3,6,0,3,6
1413393217.256268978118896,3,3,3,0,7
1413393217.306161403656006,3,0,3,0,8
1413393217.356017351150513,3,0,3,0,9
1413393217.406006574630737,3,0,3,0,10
1413393217.455913305282593,3,0,3,0,11
1413393217.505978107452393,3,0,3,0,11
1413393217.555900335311890,3,0,3,0,11
1413393217.606074094772339,3,0,3,0,11
1413393217.655927896499634,3,0,3,0,11
1413393217.706477165222168,3,0,3,0,11
1413393217.756630897521973,3,0,3,0,11
1413393217.807526588439941,29,15,3,26,11
1413393217.857433080673218,41,0,29,12,11
1413393217.907431840896606,43,0,41,2,11
1413393217.957390069961548,43,0,43,0,11
1413393218.007329940795898,43,0,43,0,11
1413393218.057324171066284,43,0,43,0,11
1413393218.107318162918091,43,0,43,0,11
1413393218.157290458679199,44,0,42,1,11
1413393218.207552909851074,45,0,43,1,11
1413393218.257459640502930,44,0,43,0,11
1413393218.307456970214844,47,0,42,3,11
1413393218.356964826583862,46,0,45,0,11
1413393218.406327962875366,49,25,45,4,11
1413393218.456405878067017,50,7,49,1,11
1413393218.506268262863159,49,2,49,0,11
1413393218.556215524673462,49,5,48,1,11
1413393218.606149435043335,47,0,47,0,11
1413393218.656109333038330,47,0,46,0,11
1413393218.706032991409302,49,1,46,2,11
1413393218.755761146545410,49,2,48,1,11
1413393218.805626869201660,49,0,49,0,11
1413393218.855493068695068,49,0,48,1,11
1413393218.905390977859497,49,2,48,1,11
1413393218.955479145050049,49,4,46,1,11
1413393219.005517959594727,49,13,47,0,11
1413393219.055584669113159,48,8,47,1,11
1413393219.105667829513550,49,0,48,1,11
1413393219.155717611312866,50,6,48,1,11
1413393219.205780029296875,50,1,49,0,11
1413393219.255779027938843,48,0,48,0,11
1413393219.305800437927246,50,0,48,2,11
1413393219.355916976928711,49,4,49,0,11
1413393219.405976295471191,49,10,49,0,11
1413393219.456064701080322,49,3,49,0,11
1413393219.506201028823853,50,6,49,1,11
