# timestamp(s) tx ty tz qx qy qz qw
1413393217.15576 -0.061405000 -0.009309000 0.050732000 0.800195000 -0.003091000 0.599450000 0.018398000
1413393217.20581 -0.025909000 0.011204000 0.066788000 0.802274000 -0.004942000 0.596655000 0.018281000
1413393217.25627 -0.027081000 0.011142000 0.076507000 0.802604000 -0.003227000 0.596221000 0.018336000
1413393217.30616 -0.033212000 0.015525000 0.086090000 0.803040000 -0.003246000 0.595607000 0.019173000
1413393217.35602 -0.039798000 0.020612000 0.095111000 0.803911000 -0.003282000 0.594451000 0.018554000
1413393217.40601 -0.048229000 0.025577000 0.104212000 0.804718000 -0.003416000 0.593342000 0.019064000
1413393217.45591 -0.057662000 0.031122000 0.113486000 0.805585000 -0.003331000 0.592154000 0.019365000
1413393217.50598 -0.068590000 0.037263000 0.121597000 0.805821000 -0.002908000 0.591834000 0.019406000
1413393217.55590 -0.079972000 0.044685000 0.130150000 0.805980000 -0.003424000 0.591592000 0.020100000
1413393217.60607 -0.092631000 0.053921000 0.139847000 0.806271000 -0.003080000 0.591169000 0.020916000
1413393217.65593 -0.107674000 0.064457000 0.149968000 0.806771000 -0.003387000 0.590463000 0.021531000
1413393217.70648 -0.125033000 0.077069000 0.160619000 0.806840000 -0.004927000 0.590284000 0.023437000
1413393217.75663 -0.144274000 0.091758000 0.173946000 0.806841000 -0.006683000 0.590215000 0.024698000
1413393217.80753 -0.144834000 0.118659000 0.188448000 0.807611000 -0.005967000 0.589095000 0.026398000
1413393217.85743 -0.154525000 0.135698000 0.198688000 0.807584000 -0.006736000 0.589148000 0.025843000
1413393217.90743 -0.167592000 0.150024000 0.213273000 0.807358000 -0.006227000 0.589500000 0.024963000
1413393217.95739 -0.180673000 0.166326000 0.230400000 0.806652000 -0.006197000 0.590473000 0.024812000
1413393218.00733 -0.194156000 0.182818000 0.246945000 0.806676000 -0.006703000 0.590489000 0.023507000
1413393218.05732 -0.207349000 0.199328000 0.260362000 0.806374000 -0.008296000 0.590999000 0.020283000
1413393218.10732 -0.220935000 0.217182000 0.273553000 0.806473000 -0.010629000 0.590924000 0.017257000
1413393218.15729 -0.231306000 0.231061000 0.282029000 0.806495000 -0.013759000 0.590977000 0.011062000
1413393218.20755 -0.240158000 0.246099000 0.288527000 0.806338000 -0.017183000 0.591188000 0.004512000
1413393218.25746 -0.252043000 0.265684000 0.295766000 -0.806996000 0.022548000 -0.590126000 0.000991000
1413393218.30746 -0.264836000 0.281003000 0.297087000 -0.807859000 0.025889000 -0.588778000 0.005762000
1413393218.35696 -0.278220000 0.299143000 0.296997000 -0.808005000 0.025827000 -0.588585000 0.005358000
1413393218.40633 -0.289621000 0.312476000 0.289469000 -0.807443000 0.023595000 -0.589473000 0.000527000
1413393218.45641 -0.301720000 0.330222000 0.286721000 0.807572000 -0.021452000 0.589351000 0.005733000
1413393218.50627 -0.315169000 0.340697000 0.280970000 0.807143000 -0.017670000 0.589992000 0.010828000
1413393218.55622 -0.331298000 0.351022000 0.276714000 0.806859000 -0.014609000 0.590341000 0.016194000
1413393218.60615 -0.346102000 0.362184000 0.272607000 0.806132000 -0.011843000 0.591298000 0.019454000
1413393218.65611 -0.360919000 0.373774000 0.268576000 0.805686000 -0.010075000 0.591872000 0.021376000
1413393218.70603 -0.376122000 0.384475000 0.264636000 0.805678000 -0.010441000 0.591870000 0.021517000
1413393218.75576 -0.390502000 0.395165000 0.260584000 0.806869000 -0.009181000 0.590254000 0.021859000
1413393218.80563 -0.405619000 0.407605000 0.257492000 0.810000000 -0.009925000 0.585988000 0.020457000
1413393218.85549 -0.420302000 0.420943000 0.255271000 0.814969000 -0.013710000 0.579097000 0.016849000
1413393218.90539 -0.435696000 0.433435000 0.253604000 0.819889000 -0.016052000 0.572147000 0.013137000
1413393218.95548 -0.451118000 0.444042000 0.252752000 0.824015000 -0.017579000 0.566202000 0.010289000
1413393219.00552 -0.464369000 0.455765000 0.252825000 0.826646000 -0.019577000 0.562315000 0.008691000
1413393219.05558 -0.475894000 0.466953000 0.253955000 0.828074000 -0.020550000 0.560204000 0.006565000
1413393219.10567 -0.484854000 0.478042000 0.255755000 0.827853000 -0.020396000 0.560539000 0.006271000
1413393219.15572 -0.493594000 0.485424000 0.258338000 0.827136000 -0.020487000 0.561603000 0.005222000
1413393219.20578 -0.498939000 0.493937000 0.260043000 0.826645000 -0.019823000 0.562359000 0.004179000
1413393219.25578 -0.502775000 0.504710000 0.264109000 0.825657000 -0.019346000 0.563828000 0.003844000
1413393219.30580 -0.506639000 0.514210000 0.269531000 0.824930000 -0.018876000 0.564910000 0.003334000
1413393219.35592 -0.514256000 0.522258000 0.275267000 0.824537000 -0.017824000 0.565523000 0.002260000
1413393219.40598 -0.517680000 0.532621000 0.281681000 0.824025000 -0.018106000 0.566263000 0.000664000
1413393219.45606 -0.519869000 0.544049000 0.287671000 0.823184000 -0.017976000 0.567490000 0.000948000
1413393219.50620 -0.520588000 0.554192000 0.292352000 0.822404000 -0.017584000 0.568631000 0.001175000
1413393219.55635 -0.520378000 0.567416000 0.293721000 0.821003000 -0.017489000 0.570654000 0.001411000
1413393219.60647 -0.519324000 0.579695000 0.292778000 0.819561000 -0.017279000 0.572727000 0.002367000
1413393219.65655 -0.515585000 0.590170000 0.288967000 0.817686000 -0.017396000 0.575396000 0.002585000
1413393219.70651 -0.512069000 0.595345000 0.292587000 0.815745000 -0.016500000 0.578166000 0.003449000
1413393219.75651 -0.508255000 0.600358000 0.299698000 0.813672000 -0.015351000 0.581103000 0.004617000
1413393219.80651 -0.505094000 0.605665000 0.310616000 0.811590000 -0.013260000 0.584031000 0.007306000
1413393219.85650 -0.501722000 0.611053000 0.324623000 0.810929000 -0.012736000 0.584946000 0.008378000
1413393219.90650 -0.498838000 0.615942000 0.341276000 0.809980000 -0.011634000 0.586260000 0.009836000
1413393219.95653 -0.496886000 0.611456000 0.358786000 0.809120000 -0.009728000 0.587460000 0.011024000
1413393220.00650 -0.494178000 0.614036000 0.374135000 0.808360000 -0.009122000 0.588503000 0.011665000
1413393220.05646 -0.491958000 0.617859000 0.387581000 0.807460000 -0.008644000 0.589723000 0.012648000
1413393220.10641 -0.490774000 0.621259000 0.399280000 0.807080000 -0.008528000 0.590234000 0.013145000
1413393220.15640 -0.489447000 0.624926000 0.410546000 0.806782000 -0.008198000 0.590631000 0.013830000
1413393220.20638 -0.488973000 0.626804000 0.423179000 0.806383000 -0.007128000 0.591172000 0.014510000
1413393220.25638 -0.488206000 0.630419000 0.435785000 0.806067000 -0.007410000 0.591599000 0.014567000
1413393220.30637 -0.487638000 0.634734000 0.448788000 0.805772000 -0.006602000 0.591978000 0.015806000
1413393220.35638 -0.487479000 0.639148000 0.462210000 0.805541000 -0.006596000 0.592303000 0.015420000
1413393220.40639 -0.487778000 0.643954000 0.475797000 0.805598000 -0.006918000 0.592217000 0.015603000
1413393220.45640 -0.488533000 0.649254000 0.489731000 0.806187000 -0.006792000 0.591414000 0.015715000
1413393220.50641 -0.489778000 0.654618000 0.503003000 0.807593000 -0.007091000 0.589502000 0.015175000
1413393220.55645 -0.491232000 0.660377000 0.514873000 0.808899000 -0.007950000 0.587707000 0.014802000
1413393220.60644 -0.492655000 0.666574000 0.524481000 0.809605000 -0.008343000 0.586730000 0.014760000
1413393220.65644 -0.493788000 0.672383000 0.530397000 0.809200000 -0.008026000 0.587298000 0.014546000
1413393220.70647 -0.495117000 0.678260000 0.533506000 0.808864000 -0.009113000 0.587760000 0.013929000
1413393220.75643 -0.496615000 0.684999000 0.533569000 0.809182000 -0.011038000 0.587345000 0.011322000
1413393220.80644 -0.498530000 0.691767000 0.532632000 0.810783000 -0.013269000 0.585151000 0.007276000
1413393220.85641 -0.500243000 0.698801000 0.532719000 0.811836000 -0.016801000 0.583631000 0.003872000
1413393220.90642 -0.502201000 0.705273000 0.536192000 0.812596000 -0.018225000 0.582540000 0.001452000
1413393220.95644 -0.503674000 0.710791000 0.542495000 0.813345000 -0.018954000 0.581472000 0.000333000
1413393221.00647 -0.505472000 0.715508000 0.552396000 0.813083000 -0.019888000 0.581806000 0.001780000
1413393221.05650 -0.506660000 0.719301000 0.564653000 0.813535000 -0.019848000 0.581171000 0.002668000
1413393221.10653 -0.507396000 0.721729000 0.577540000 0.814344000 -0.019799000 0.580036000 0.003171000
1413393221.15659 -0.508048000 0.722844000 0.591092000 0.814666000 -0.020323000 0.579556000 0.004512000
1413393221.20659 -0.508179000 0.723494000 0.604536000 0.815725000 -0.019692000 0.578072000 0.006147000
1413393221.25660 -0.507736000 0.723147000 0.618303000 0.816600000 -0.019565000 0.576835000 0.006563000
1413393221.30654 -0.507036000 0.721349000 0.631885000 0.817897000 -0.018841000 0.574982000 0.009244000
1413393221.35658 -0.505118000 0.719443000 0.645983000 0.819060000 -0.018669000 0.573320000 0.009825000
1413393221.40659 -0.503454000 0.716471000 0.660474000 0.820028000 -0.017448000 0.571950000 0.011065000
1413393221.45658 -0.501583000 0.713713000 0.675250000 0.820384000 -0.016181000 0.571425000 0.013484000
1413393221.50658 -0.499186000 0.710980000 0.688064000 0.820903000 -0.015017000 0.570683000 0.014658000
1413393221.55658 -0.496442000 0.707991000 0.697929000 0.821416000 -0.012876000 0.569921000 0.017326000
1413393221.60658 -0.493006000 0.705282000 0.706232000 0.821344000 -0.011368000 0.569995000 0.019219000
1413393221.65651 -0.488561000 0.702469000 0.713670000 0.820817000 -0.009912000 0.570753000 0.020049000
1413393221.70646 -0.483825000 0.699537000 0.721328000 0.818588000 -0.008908000 0.573948000 0.020448000
1413393221.75643 -0.478074000 0.696980000 0.728747000 0.815960000 -0.008840000 0.577705000 0.019685000
1413393221.80640 -0.473033000 0.694674000 0.736621000 0.813674000 -0.007578000 0.580970000 0.018741000
1413393221.85642 -0.467132000 0.693327000 0.744864000 0.812211000 -0.006601000 0.583018000 0.018971000
1413393221.90645 -0.461221000 0.692563000 0.753151000 0.811433000 -0.006604000 0.584134000 0.017881000
1413393221.95649 -0.455265000 0.692123000 0.760771000 0.810346000 -0.006255000 0.585701000 0.015974000
1413393222.00649 -0.449880000 0.691338000 0.765517000 0.810223000 -0.006121000 0.585887000 0.015431000
1413393222.05653 -0.444133000 0.691617000 0.767516000 0.809744000 -0.006001000 0.586571000 0.014569000
1413393222.10656 -0.438362000 0.692136000 0.766496000 0.809238000 -0.005508000 0.587313000 0.012888000
1413393222.15665 -0.432490000 0.692323000 0.761616000 0.809107000 -0.004830000 0.587504000 0.012704000
1413393222.20672 -0.427239000 0.692322000 0.753685000 0.809147000 -0.004315000 0.587460000 0.012362000
1413393222.25678 -0.422469000 0.692191000 0.741769000 0.809892000 -0.003997000 0.586458000 0.011237000
1413393222.30684 -0.418355000 0.692388000 0.727522000 0.811539000 -0.003474000 0.584176000 0.011393000
1413393222.35690 -0.414674000 0.692815000 0.713262000 0.814376000 -0.003429000 0.580219000 0.011239000
1413393222.40689 -0.411101000 0.693587000 0.699848000 0.817235000 -0.003123000 0.576204000 0.010256000
1413393222.45690 -0.407207000 0.694476000 0.688439000 0.819438000 -0.002083000 0.573050000 0.011453000
1413393222.50679 -0.402516000 0.695710000 0.678013000 0.821174000 -0.002497000 0.570583000 0.010095000
1413393222.55668 -0.396821000 0.697530000 0.670268000 0.821892000 -0.003311000 0.569586000 0.007340000
1413393222.60660 -0.390177000 0.699553000 0.665079000 0.822646000 -0.003392000 0.568505000 0.006664000
1413393222.65651 -0.382309000 0.701835000 0.662847000 0.823660000 -0.003407000 0.567046000 0.005686000
1413393222.70648 -0.372805000 0.704323000 0.663678000 0.823592000 -0.001841000 0.567144000 0.006418000
1413393222.75646 -0.362350000 0.707045000 0.666588000 0.824629000 -0.002416000 0.565647000 0.004874000
1413393222.80645 -0.350698000 0.709883000 0.671631000 0.825879000 -0.002217000 0.563827000 0.004227000
1413393222.85645 -0.338045000 0.712960000 0.678885000 0.827279000 -0.001963000 0.561778000 0.003442000
1413393222.90643 -0.323702000 0.716176000 0.688020000 0.827978000 -0.001782000 0.560755000 0.001878000
1413393222.95642 -0.307779000 0.719229000 0.698590000 0.829191000 -0.000801000 0.558964000 0.001179000
1413393223.00642 -0.290280000 0.722041000 0.710625000 0.828442000 0.000858000 0.560072000 0.001598000
1413393223.05642 -0.271295000 0.724692000 0.722747000 0.827010000 0.001767000 0.562183000 0.000799000
1413393223.10641 -0.251152000 0.727422000 0.734957000 -0.825667000 -0.002278000 -0.564154000 0.000137000
1413393223.15640 -0.229804000 0.729981000 0.747124000 0.824744000 0.003871000 0.565492000 0.001027000
1413393223.20637 -0.207178000 0.732385000 0.759028000 0.823578000 0.006190000 0.567163000 0.002484000
1413393223.25636 -0.183642000 0.734876000 0.770251000 0.822925000 0.007563000 0.568087000 0.003745000
1413393223.30635 -0.159368000 0.737647000 0.780423000 0.821866000 0.007986000 0.569613000 0.003611000
1413393223.35634 -0.134330000 0.740590000 0.787377000 0.821188000 0.008947000 0.570572000 0.004300000
1413393223.40632 -0.108680000 0.743815000 0.789847000 0.820056000 0.009339000 0.572189000 0.004592000
1413393223.45631 -0.082610000 0.747056000 0.787253000 0.818647000 0.010196000 0.574178000 0.005722000
1413393223.50629 -0.056610000 0.750543000 0.779784000 0.816795000 0.010433000 0.576798000 0.006388000
1413393223.55626 -0.030096000 0.755217000 0.767930000 0.814856000 0.009970000 0.579542000 0.006489000
1413393223.60623 -0.003200000 0.760316000 0.752792000 0.812989000 0.009542000 0.582153000 0.007528000
1413393223.65622 0.023329000 0.765947000 0.734806000 0.811579000 0.008944000 0.584105000 0.009008000
1413393223.70623 0.049621000 0.772216000 0.716800000 0.810985000 0.007572000 0.584930000 0.010144000
1413393223.75624 0.076157000 0.779246000 0.700839000 0.810523000 0.006307000 0.585557000 0.011629000
1413393223.80626 0.102316000 0.787360000 0.689373000 0.809899000 0.004509000 0.586419000 0.012491000
1413393223.85627 0.128617000 0.795622000 0.681488000 0.810728000 0.003078000 0.585253000 0.013770000
1413393223.90631 0.153757000 0.804107000 0.675815000 0.810665000 0.002196000 0.585269000 0.016671000
1413393223.95634 0.179392000 0.812404000 0.674228000 0.810955000 0.000961000 0.584830000 0.018012000
1413393224.00635 0.204517000 0.821296000 0.674578000 0.810336000 -0.000370000 0.585661000 0.018876000
1413393224.05638 0.229191000 0.830584000 0.674978000 0.810883000 -0.002491000 0.584892000 0.019090000
1413393224.10639 0.253220000 0.840383000 0.674152000 0.810118000 -0.003817000 0.585933000 0.019432000
1413393224.15642 0.275737000 0.850885000 0.671431000 0.809764000 -0.004727000 0.586382000 0.020381000
1413393224.20640 0.298283000 0.861581000 0.666184000 0.809376000 -0.005646000 0.586888000 0.021013000
1413393224.25641 0.320678000 0.872912000 0.658566000 0.808609000 -0.005532000 0.587883000 0.022671000
1413393224.30641 0.342611000 0.885032000 0.648640000 0.807490000 -0.006094000 0.589404000 0.022949000
1413393224.35643 0.364502000 0.897286000 0.635292000 0.807078000 -0.006294000 0.589937000 0.023671000
1413393224.40643 0.386388000 0.909615000 0.619951000 0.807024000 -0.008632000 0.589946000 0.024509000
1413393224.45642 0.408160000 0.921695000 0.602453000 0.806069000 -0.012194000 0.591168000 0.025008000
1413393224.50641 0.428757000 0.934342000 0.582579000 0.805528000 -0.017104000 0.591736000 0.026080000
1413393224.55640 0.449331000 0.946913000 0.560072000 0.805385000 -0.024317000 0.591680000 0.026063000
1413393224.60639 0.469023000 0.959165000 0.537229000 0.804301000 -0.031846000 0.592738000 0.027325000
1413393224.65641 0.488458000 0.970975000 0.514778000 0.803476000 -0.040612000 0.593254000 0.028770000
1413393224.70641 0.505494000 0.982947000 0.493597000 0.804394000 -0.049175000 0.591265000 0.030610000
1413393224.75642 0.521617000 0.993966000 0.472443000 0.805100000 -0.058012000 0.589398000 0.032529000
1413393224.80643 0.537004000 1.004827000 0.453208000 0.805822000 -0.066302000 0.587295000 0.036598000
1413393224.85642 0.551142000 1.014775000 0.435997000 0.806521000 -0.074662000 0.585124000 0.039728000
1413393224.90641 0.565299000 1.023962000 0.421712000 0.806257000 -0.080547000 0.584479000 0.042955000
1413393224.95638 0.578282000 1.033467000 0.409638000 0.806963000 -0.086311000 0.582431000 0.046218000
1413393225.00629 0.590533000 1.041749000 0.400904000 0.807400000 -0.089440000 0.581059000 0.049770000
1413393225.05632 0.604296000 1.050543000 0.396290000 0.808301000 -0.091089000 0.579228000 0.053367000
1413393225.10632 0.619152000 1.059651000 0.394005000 0.808554000 -0.093137000 0.578240000 0.056606000
1413393225.15634 0.633901000 1.067901000 0.391995000 0.808421000 -0.094242000 0.577993000 0.059148000
1413393225.20630 0.648970000 1.075999000 0.389841000 0.808787000 -0.096182000 0.577162000 0.059140000
1413393225.25623 0.664092000 1.083547000 0.387550000 0.809298000 -0.097054000 0.576097000 0.061074000
