# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.155760526657104,0.00285,0.00017,0.00015,0.00000,0.00000,0.00221,0.00540
1413393217.205814838409424,0.00290,0.00017,0.00133,0.00000,0.00137,0.00213,0.00790
1413393217.256268978118896,0.00291,0.00021,0.00066,0.00010,0.00000,0.00212,0.00599
1413393217.306161403656006,0.00289,0.00020,0.00006,0.00013,0.00000,0.00220,0.00547
1413393217.356017351150513,0.00304,0.00021,0.00003,0.00013,0.00000,0.00222,0.00564
1413393217.406006574630737,0.00286,0.00020,0.00003,0.00013,0.00000,0.00225,0.00548
1413393217.455913305282593,0.00278,0.00023,0.00006,0.00014,0.00000,0.00227,0.00549
1413393217.505978107452393,0.00304,0.00021,0.00006,0.00014,0.00000,0.00232,0.00578
1413393217.555900335311890,0.00285,0.00020,0.00006,0.00014,0.00004,0.00234,0.00564
1413393217.606074094772339,0.00270,0.00023,0.00004,0.00014,0.00012,0.00234,0.00557
1413393217.655927896499634,0.00288,0.00023,0.00008,0.00014,0.00000,0.00235,0.00569
1413393217.706477165222168,0.00289,0.00023,0.00009,0.00014,0.00000,0.00233,0.00568
1413393217.756630897521973,0.00273,0.00026,0.00004,0.00014,0.00005,0.00244,0.00566
1413393217.807526588439941,0.00274,0.00023,0.00549,0.00012,0.01428,0.00242,0.02528
1413393217.857433080673218,0.00294,0.00032,0.00011,0.00171,0.00924,0.00261,0.01692
1413393217.907431840896606,0.00311,0.00037,0.00004,0.00269,0.00182,0.00236,0.01039
1413393217.957390069961548,0.00298,0.00039,0.00007,0.00306,0.00000,0.00257,0.00907
1413393218.007329940795898,0.00300,0.00033,0.00005,0.00302,0.00000,0.00254,0.00893
1413393218.057324171066284,0.00309,0.00037,0.00009,0.00303,0.00000,0.00271,0.00930
1413393218.107318162918091,0.00300,0.00033,0.00011,0.00299,0.00005,0.00256,0.00904
1413393218.157290458679199,0.00299,0.00037,0.00005,0.00300,0.00094,0.00270,0.01005
1413393218.207552909851074,0.00301,0.00035,0.00009,0.00315,0.00105,0.00257,0.01023
1413393218.257459640502930,0.00296,0.00037,0.00022,0.00320,0.00001,0.00266,0.00943
1413393218.307456970214844,0.00346,0.00033,0.00008,0.00300,0.00282,0.00266,0.01236
1413393218.356964826583862,0.00329,0.00039,0.00026,0.00346,0.00001,0.00314,0.01054
1413393218.406327962875366,0.00318,0.00037,0.00930,0.00331,0.00355,0.00269,0.02239
1413393218.456405878067017,0.00324,0.00045,0.00429,0.00378,0.00102,0.00257,0.01534
1413393218.506268262863159,0.00318,0.00039,0.00160,0.00388,0.00000,0.00267,0.01171
1413393218.556215524673462,0.00341,0.00041,0.00356,0.00377,0.00107,0.00258,0.01480
1413393218.606149435043335,0.00333,0.00039,0.00030,0.00373,0.00000,0.00257,0.01032
1413393218.656109333038330,0.00364,0.00039,0.00010,0.00369,0.00011,0.00279,0.01073
1413393218.706032991409302,0.00326,0.00034,0.00063,0.00363,0.00203,0.00277,0.01265
1413393218.755761146545410,0.00338,0.00041,0.00054,0.00394,0.00099,0.00265,0.01191
1413393218.805626869201660,0.00380,0.00051,0.00005,0.00413,0.00006,0.00277,0.01133
1413393218.855493068695068,0.00362,0.00043,0.00033,0.00414,0.00102,0.00253,0.01207
1413393218.905390977859497,0.00351,0.00042,0.00144,0.00385,0.00100,0.00303,0.01326
1413393218.955479145050049,0.00350,0.00035,0.00245,0.00357,0.00103,0.00271,0.01360
1413393219.005517959594727,0.00346,0.00041,0.00623,0.00373,0.00006,0.00277,0.01666
1413393219.055584669113159,0.00340,0.00040,0.00368,0.00370,0.00103,0.00277,0.01498
1413393219.105667829513550,0.00362,0.00035,0.00003,0.00402,0.00104,0.00283,0.01189
1413393219.155717611312866,0.00314,0.00037,0.00360,0.00401,0.00108,0.00285,0.01505
1413393219.205780029296875,0.00393,0.00048,0.00112,0.00594,0.00000,0.00352,0.01500
1413393219.255779027938843,0.00397,0.00049,0.00043,0.00571,0.00001,0.00354,0.01416
1413393219.305800437927246,0.00386,0.00048,0.00011,0.00571,0.00267,0.00339,0.01623
1413393219.355916976928711,0.00398,0.00046,0.00392,0.00586,0.00000,0.00341,0.01763
1413393219.405976295471191,0.00417,0.00047,0.00653,0.00581,0.00007,0.00364,0.02070
1413393219.456064701080322,0.00364,0.00035,0.00206,0.00417,0.00005,0.00320,0.01346
1413393219.506201028823853,0.00352,0.00050,0.00376,0.00414,0.00106,0.00329,0.01627
1413393219.556351661682129,0.00359,0.00041,0.00381,0.00440,0.00000,0.00291,0.01512
1413393219.606471776962280,0.00365,0.00040,0.00707,0.00437,0.00000,0.00308,0.01857
1413393219.656554937362671,0.00340,0.00042,0.00585,0.00438,0.00000,0.00283,0.01689
1413393219.706509351730347,0.00339,0.00040,0.00005,0.00448,0.00000,0.00306,0.01137
1413393219.756509065628052,0.00332,0.00041,0.00097,0.00429,0.00000,0.00275,0.01175
1413393219.806509256362915,0.00360,0.00040,0.00089,0.00444,0.00000,0.00307,0.01241
1413393219.856502294540405,0.00340,0.00041,0.00012,0.00438,0.00000,0.00285,0.01116
1413393219.906500101089478,0.00337,0.00040,0.00009,0.00436,0.00000,0.00300,0.01124
1413393219.956526041030884,0.00327,0.00041,0.00414,0.00419,0.00001,0.00284,0.01487
1413393220.006496906280518,0.00362,0.00041,0.00350,0.00393,0.00106,0.00324,0.01575
1413393220.056462287902832,0.00370,0.00041,0.00107,0.00417,0.00000,0.00287,0.01222
1413393220.106411457061768,0.00354,0.00042,0.00224,0.00413,0.00001,0.00280,0.01314
1413393220.156399726867676,0.00329,0.00041,0.00152,0.00404,0.00005,0.00272,0.01202
1413393220.206382513046265,0.00329,0.00040,0.00825,0.00410,0.00005,0.00286,0.01895
1413393220.256375789642334,0.00344,0.00036,0.00521,0.00381,0.00102,0.00275,0.01659
1413393220.306373834609985,0.00315,0.00041,0.00018,0.00402,0.00006,0.00276,0.01058
1413393220.356381416320801,0.00323,0.00036,0.00022,0.00400,0.00194,0.00262,0.01238
1413393220.406394481658936,0.00334,0.00041,0.00019,0.00434,0.00000,0.00277,0.01106
1413393220.456403255462646,0.00328,0.00037,0.00101,0.00405,0.00000,0.00273,0.01145
1413393220.506414651870728,0.00315,0.00040,0.00045,0.00408,0.00005,0.00278,0.01090
1413393220.556450128555298,0.00327,0.00036,0.00269,0.00403,0.00018,0.00306,0.01359
1413393220.606441497802734,0.00306,0.00041,0.00160,0.00402,0.00104,0.00294,0.01308
1413393220.656443834304810,0.00308,0.00042,0.00108,0.00411,0.00000,0.00280,0.01148
1413393220.706467628479004,0.00322,0.00042,0.00286,0.00390,0.00000,0.00282,0.01322
1413393220.756433248519897,0.00298,0.00041,0.00030,0.00400,0.00005,0.00275,0.01050
1413393220.806438922882080,0.00302,0.00042,0.00464,0.00389,0.00109,0.00275,0.01581
