# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.024643182754517,0.01661,0.00031,0.00055,0.00000,0.00000,0.00297,0.02045
1413393890.106218576431274,0.00837,0.00012,0.00145,0.00000,0.00451,0.00279,0.01724
1413393890.156537532806396,0.00867,0.00034,0.00007,0.00103,0.00000,0.00260,0.01270
1413393890.206479549407959,0.00891,0.00026,0.00030,0.00099,0.00000,0.00283,0.01329
1413393890.256474256515503,0.00930,0.00027,0.00028,0.00102,0.00000,0.00288,0.01376
1413393890.306568861007690,0.00901,0.00026,0.00068,0.00103,0.00000,0.00286,0.01384
1413393890.356392145156860,0.00916,0.00028,0.00036,0.00108,0.00000,0.00290,0.01379
1413393890.406394004821777,0.00870,0.00030,0.00036,0.00111,0.00000,0.00290,0.01338
1413393890.456774234771729,0.00862,0.00033,0.00058,0.00108,0.00133,0.00293,0.01487
1413393890.507415771484375,0.00886,0.00030,0.00004,0.00140,0.00353,0.00300,0.01714
1413393890.557947635650635,0.00905,0.00033,0.00056,0.00183,0.00509,0.00312,0.01999
1413393890.608043432235718,0.00882,0.00034,0.00388,0.00193,0.01054,0.00304,0.02855
1413393890.657559394836426,0.00851,0.00041,0.00064,0.00352,0.00193,0.00355,0.01856
1413393890.707592487335205,0.00874,0.00042,0.00737,0.00381,0.00105,0.00307,0.02445
1413393890.757670402526855,0.00847,0.00040,0.00008,0.00400,0.00104,0.00305,0.01703
1413393890.807539939880371,0.00862,0.00041,0.00014,0.00431,0.00000,0.00300,0.01648
1413393890.857289791107178,0.00934,0.00038,0.00346,0.00422,0.00000,0.00311,0.02050
1413393890.907042026519775,0.00876,0.00041,0.00233,0.00413,0.00000,0.00306,0.01869
1413393890.956827640533447,0.00856,0.00041,0.00005,0.00404,0.00000,0.00302,0.01609
1413393891.006704330444336,0.00854,0.00042,0.00017,0.00409,0.00000,0.00299,0.01621
1413393891.056433200836182,0.00889,0.00034,0.00206,0.00389,0.00001,0.00304,0.01824
1413393891.106255054473877,0.00864,0.00039,0.00107,0.00380,0.00103,0.00294,0.01787
1413393891.156165122985840,0.00861,0.00039,0.00003,0.00385,0.00104,0.00332,0.01724
1413393891.206149816513062,0.00853,0.00038,0.00110,0.00393,0.00000,0.00342,0.01736
