# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.024643182754517,0.00755,0.00030,0.00055,0.00000,0.00000,0.00220,0.01060
1413393890.106218576431274,0.00278,0.00012,0.00145,0.00000,0.00451,0.00215,0.01102
1413393890.156537532806396,0.00281,0.00034,0.00007,0.00103,0.00000,0.00200,0.00624
1413393890.206479549407959,0.00303,0.00026,0.00030,0.00099,0.00000,0.00218,0.00677
1413393890.256474256515503,0.00321,0.00028,0.00028,0.00102,0.00000,0.00222,0.00701
1413393890.306568861007690,0.00304,0.00026,0.00068,0.00103,0.00000,0.00220,0.00721
1413393890.356392145156860,0.00313,0.00029,0.00036,0.00108,0.00000,0.00227,0.00713
1413393890.406394004821777,0.00285,0.00030,0.00036,0.00111,0.00000,0.00230,0.00693
1413393890.456774234771729,0.00279,0.00033,0.00058,0.00108,0.00134,0.00234,0.00846
1413393890.507415771484375,0.00288,0.00030,0.00005,0.00137,0.00353,0.00236,0.01049
1413393890.557947635650635,0.00292,0.00034,0.00056,0.00183,0.00508,0.00247,0.01320
1413393890.608043432235718,0.00286,0.00035,0.00388,0.00193,0.01054,0.00237,0.02192
1413393890.657559394836426,0.00273,0.00041,0.00062,0.00352,0.00193,0.00280,0.01201
1413393890.707592487335205,0.00279,0.00043,0.00737,0.00381,0.00105,0.00241,0.01784
1413393890.757670402526855,0.00270,0.00040,0.00008,0.00400,0.00104,0.00239,0.01060
1413393890.807539939880371,0.00278,0.00041,0.00014,0.00428,0.00000,0.00234,0.00995
1413393890.857289791107178,0.00308,0.00038,0.00346,0.00422,0.00000,0.00243,0.01358
1413393890.907042026519775,0.00297,0.00041,0.00233,0.00413,0.00000,0.00239,0.01224
1413393890.956827640533447,0.00274,0.00041,0.00005,0.00404,0.00000,0.00240,0.00965
1413393891.006704330444336,0.00272,0.00042,0.00017,0.00406,0.00000,0.00237,0.00975
1413393891.056433200836182,0.00304,0.00035,0.00206,0.00389,0.00001,0.00258,0.01193
1413393891.106255054473877,0.00284,0.00039,0.00107,0.00380,0.00103,0.00241,0.01155
1413393891.156165122985840,0.00276,0.00039,0.00003,0.00385,0.00104,0.00265,0.01072
1413393891.206149816513062,0.00275,0.00038,0.00110,0.00391,0.00000,0.00276,0.01090
1413393891.256141901016235,0.00315,0.00038,0.00020,0.00398,0.00001,0.00239,0.01012
1413393891.306326866149902,0.00301,0.00042,0.00645,0.00388,0.00107,0.00250,0.01734
1413393891.356527090072632,0.00329,0.00041,0.00116,0.00293,0.00000,0.00243,0.01022
1413393891.406675815582275,0.00417,0.00032,0.00087,0.00272,0.00005,0.00238,0.01052
1413393891.456615209579468,0.00341,0.00032,0.00096,0.00232,0.00422,0.00247,0.01370
1413393891.506243705749512,0.00364,0.00033,0.00049,0.00270,0.00188,0.00242,0.01145
1413393891.555909872055054,0.00441,0.00034,0.00031,0.00277,0.00001,0.00245,0.01029
1413393891.605693101882935,0.00378,0.00038,0.00009,0.00272,0.00000,0.00252,0.00949
1413393891.655463933944702,0.00334,0.00032,0.00020,0.00241,0.00414,0.00255,0.01296
1413393891.705348491668701,0.00340,0.00039,0.00059,0.00281,0.00001,0.00268,0.00988
1413393891.755226850509644,0.00306,0.00036,0.00074,0.00278,0.00001,0.00276,0.00972
1413393891.805093765258789,0.00304,0.00037,0.00016,0.00286,0.00012,0.00258,0.00914
1413393891.854954481124878,0.00320,0.00035,0.00020,0.00279,0.00164,0.00251,0.01069
1413393891.904891729354858,0.00318,0.00034,0.00387,0.00274,0.00627,0.00261,0.01902
1413393891.954836606979370,0.00364,0.00043,0.00597,0.00343,0.00204,0.00258,0.01809
1413393892.004817247390747,0.00471,0.00041,0.00153,0.00318,0.00097,0.00274,0.01355
1413393892.054860353469849,0.00375,0.00039,0.00152,0.00321,0.00208,0.00254,0.01350
1413393892.105052232742310,0.00422,0.00039,0.00291,0.00261,0.00269,0.00235,0.01517
1413393892.155098915100098,0.00357,0.00040,0.00036,0.00278,0.00459,0.00226,0.01395
1413393892.205130577087402,0.00347,0.00040,0.00061,0.00323,0.00001,0.00251,0.01024
1413393892.255128860473633,0.00332,0.00040,0.00089,0.00308,0.00001,0.00263,0.01033
1413393892.305128335952759,0.00397,0.00038,0.00046,0.00296,0.00114,0.00292,0.01182
