# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862106323242188,0.00649,0.00017,0.00064,0.00000,0.00000,0.00415,0.01144
1403715278.914349555969238,0.00579,0.00018,0.00569,0.00000,0.01230,0.00415,0.02810
1403715278.963732004165649,0.00593,0.00025,0.00079,0.00326,0.00000,0.00424,0.01447
1403715279.012651443481445,0.00558,0.00028,0.00016,0.00323,0.00000,0.00433,0.01358
1403715279.062478065490723,0.00652,0.00029,0.00011,0.00330,0.00000,0.00432,0.01454
1403715279.112287759780884,0.00539,0.00030,0.00064,0.00337,0.00000,0.00421,0.01391
1403715279.162230491638184,0.00529,0.00031,0.00035,0.00330,0.00000,0.00419,0.01344
1403715279.212101221084595,0.00646,0.00031,0.00092,0.00338,0.00000,0.00439,0.01547
1403715279.262015819549561,0.00536,0.00029,0.00003,0.00345,0.00702,0.00448,0.02063
1403715279.311898708343506,0.00528,0.00033,0.00008,0.00413,0.00631,0.00432,0.02044
1403715279.361909627914429,0.00538,0.00037,0.00003,0.00509,0.00191,0.00460,0.01738
1403715279.412453651428223,0.00594,0.00030,0.00003,0.00538,0.01543,0.00482,0.03191
1403715279.462669610977173,0.00541,0.00037,0.00003,0.00769,0.00000,0.00495,0.01844
1403715279.512919187545776,0.00555,0.00037,0.01752,0.00793,0.00209,0.00466,0.03812
1403715279.562734365463257,0.00529,0.00039,0.00003,0.00826,0.00010,0.00455,0.01860
1403715279.612709045410156,0.00513,0.00039,0.00179,0.00814,0.00252,0.00476,0.02273
1403715279.662678718566895,0.00537,0.00039,0.00003,0.00877,0.00000,0.00442,0.01898
1403715279.712628841400146,0.00530,0.00037,0.00003,0.00856,0.00000,0.00448,0.01874
1403715279.762638807296753,0.00680,0.00040,0.00003,0.00855,0.00000,0.00446,0.02024
1403715279.812655448913574,0.00533,0.00039,0.00008,0.00869,0.00000,0.00462,0.01911
1403715279.862638235092163,0.00525,0.00040,0.00010,0.00862,0.00000,0.00456,0.01894
1403715279.912504196166992,0.00520,0.00042,0.00010,0.00867,0.00000,0.00458,0.01897
1403715279.962326765060425,0.00533,0.00041,0.00345,0.00837,0.00006,0.00460,0.02222
1403715280.012364625930786,0.00533,0.00039,0.00003,0.00861,0.00000,0.00493,0.01929
1403715280.062289714813232,0.00593,0.00041,0.00011,0.00840,0.00000,0.00454,0.01939
1403715280.112098455429077,0.00534,0.00040,0.01720,0.00824,0.00016,0.00470,0.03604
1403715280.162005901336670,0.00557,0.00034,0.00008,0.00817,0.00121,0.00513,0.02051
1403715280.211877346038818,0.00571,0.00040,0.00174,0.00834,0.00009,0.00456,0.02084
1403715280.261886119842529,0.00580,0.00040,0.00022,0.00782,0.00000,0.00448,0.01871
1403715280.311893701553345,0.00706,0.00041,0.00022,0.00773,0.00000,0.00446,0.01988
1403715280.361887931823730,0.00556,0.00037,0.00012,0.00755,0.00045,0.00463,0.01868
1403715280.411853551864624,0.00605,0.00034,0.00003,0.00777,0.00000,0.00461,0.01880
1403715280.461818218231201,0.00553,0.00037,0.00067,0.00757,0.00000,0.00451,0.01866
1403715280.511966228485107,0.00611,0.00033,0.00017,0.00750,0.00000,0.00467,0.01879
1403715280.561944484710693,0.00566,0.00037,0.00136,0.00722,0.00140,0.00500,0.02101
1403715280.612020254135132,0.00675,0.00036,0.00115,0.00717,0.00569,0.00453,0.02565
1403715280.662054538726807,0.00603,0.00039,0.00040,0.00798,0.00002,0.00449,0.01931
1403715280.712186336517334,0.00599,0.00040,0.01586,0.00796,0.00403,0.00440,0.03862
1403715280.762198925018311,0.00608,0.00040,0.00108,0.00791,0.00199,0.00452,0.02198
1403715280.812242984771729,0.00587,0.00041,0.00265,0.00779,0.00006,0.00442,0.02120
1403715280.862320661544800,0.00688,0.00036,0.00058,0.00749,0.00000,0.00444,0.01975
1403715280.912354946136475,0.00718,0.00037,0.00188,0.00724,0.00000,0.00468,0.02135
1403715280.962370157241821,0.00582,0.00040,0.00065,0.00638,0.00327,0.00454,0.02107
1403715281.012374401092529,0.00589,0.00034,0.00047,0.00656,0.00039,0.00454,0.01819
1403715281.062406301498413,0.00526,0.00034,0.00008,0.00618,0.00000,0.00463,0.01648
1403715281.112379789352417,0.00551,0.00036,0.00002,0.00721,0.00000,0.00494,0.01805
1403715281.162395954132080,0.00526,0.00035,0.00043,0.00560,0.00509,0.00458,0.02131
1403715281.212467193603516,0.00726,0.00033,0.00103,0.00645,0.00000,0.00462,0.01970
1403715281.262636661529541,0.00568,0.00038,0.00015,0.00618,0.00000,0.00535,0.01774
1403715281.312783718109131,0.00628,0.00034,0.00881,0.00594,0.01415,0.00450,0.04003
1403715281.362811326980591,0.00580,0.00037,0.00107,0.00822,0.00000,0.00457,0.02003
1403715281.412847995758057,0.00792,0.00039,0.00005,0.00850,0.00219,0.00460,0.02366
1403715281.462926149368286,0.00573,0.00037,0.01144,0.00863,0.00414,0.00475,0.03506
