# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862367868423462,0.01757,0.00018,0.00063,0.00000,0.00000,0.00518,0.02356
1403715278.911853551864624,0.01581,0.00019,0.00569,0.00000,0.01340,0.00576,0.04086
1403715278.961731195449829,0.01595,0.00026,0.00077,0.00359,0.00000,0.00533,0.02591
1403715279.011362791061401,0.01569,0.00030,0.00015,0.00328,0.00000,0.00581,0.02523
1403715279.061224937438965,0.01854,0.00029,0.00011,0.00344,0.00000,0.00573,0.02812
1403715279.110965490341187,0.01521,0.00031,0.00064,0.00368,0.00001,0.00577,0.02562
1403715279.160955667495728,0.01507,0.00032,0.00032,0.00332,0.00000,0.00541,0.02445
1403715279.211014032363892,0.01625,0.00031,0.00097,0.00375,0.00001,0.00641,0.02770
1403715279.260970354080200,0.01507,0.00035,0.00003,0.00351,0.00711,0.00589,0.03195
1403715279.311082839965820,0.01506,0.00033,0.00008,0.00424,0.00630,0.00593,0.03195
1403715279.361543416976929,0.01523,0.00035,0.00003,0.00501,0.00189,0.00581,0.02832
1403715279.412326097488403,0.01606,0.00032,0.00003,0.00535,0.01514,0.00666,0.04355
1403715279.463007688522339,0.01507,0.00042,0.00003,0.00778,0.00000,0.00637,0.02969
1403715279.513563394546509,0.01518,0.00039,0.01765,0.00867,0.00212,0.00612,0.05013
1403715279.564051628112793,0.01501,0.00039,0.00003,0.00818,0.00010,0.00555,0.02926
1403715279.614453554153442,0.01496,0.00067,0.00236,0.00806,0.00201,0.00615,0.03420
1403715279.664611816406250,0.01504,0.00037,0.00003,0.00872,0.00000,0.00567,0.02984
1403715279.714701652526855,0.01469,0.00041,0.00003,0.00865,0.00000,0.00595,0.02974
1403715279.764625072479248,0.01515,0.00039,0.00003,0.00857,0.00000,0.00576,0.02990
1403715279.814689636230469,0.01510,0.00036,0.00008,0.00861,0.00000,0.00590,0.03006
1403715279.864546775817871,0.01500,0.00039,0.00011,0.00857,0.00000,0.00592,0.02999
1403715279.914531946182251,0.01436,0.00039,0.00008,0.00876,0.00001,0.00615,0.02976
1403715279.964399576187134,0.01476,0.00041,0.00343,0.00900,0.00007,0.00580,0.03347
1403715280.014194250106812,0.01491,0.00041,0.00003,0.00857,0.00000,0.00707,0.03099
1403715280.064173460006714,0.01573,0.00042,0.00010,0.00842,0.00000,0.00570,0.03038
1403715280.114119291305542,0.01492,0.00043,0.01780,0.00924,0.00010,0.00600,0.04849
1403715280.164248466491699,0.01732,0.00043,0.00009,0.00820,0.00010,0.00569,0.03183
1403715280.214305639266968,0.01561,0.00040,0.00014,0.00823,0.00206,0.00596,0.03240
1403715280.264447212219238,0.01548,0.00040,0.00028,0.00800,0.00001,0.00575,0.02992
1403715280.314543008804321,0.01672,0.00042,0.00021,0.00771,0.00000,0.00578,0.03084
1403715280.364544153213501,0.01549,0.00040,0.00018,0.00773,0.00045,0.00580,0.03005
1403715280.414448022842407,0.01664,0.00036,0.00003,0.00805,0.00000,0.00596,0.03104
1403715280.464295625686646,0.01564,0.00039,0.00069,0.00792,0.00000,0.00585,0.03050
1403715280.514167785644531,0.01525,0.00037,0.00018,0.00779,0.00000,0.00599,0.02959
1403715280.563995599746704,0.01517,0.00039,0.00138,0.00759,0.00144,0.00633,0.03230
1403715280.613859415054321,0.01785,0.00037,0.00109,0.00769,0.00556,0.00602,0.03859
1403715280.663769245147705,0.01588,0.00040,0.00080,0.00844,0.00001,0.00578,0.03131
1403715280.713710546493530,0.01617,0.00041,0.01692,0.00957,0.00215,0.00580,0.05101
1403715280.763698816299438,0.01682,0.00038,0.00125,0.00770,0.00193,0.00572,0.03381
1403715280.813710451126099,0.01826,0.00038,0.00103,0.00748,0.00036,0.00562,0.03311
1403715280.863719224929810,0.01600,0.00038,0.00044,0.00719,0.00009,0.00557,0.02968
1403715280.913964271545410,0.01565,0.00035,0.00194,0.00739,0.00000,0.00583,0.03117
1403715280.964124917984009,0.01820,0.00036,0.00048,0.00634,0.00425,0.00572,0.03535
1403715281.014210939407349,0.01619,0.00038,0.00049,0.00637,0.00000,0.00584,0.02928
1403715281.064273595809937,0.01459,0.00037,0.00014,0.00633,0.00000,0.00581,0.02725
1403715281.114392042160034,0.01505,0.00037,0.00008,0.00619,0.00000,0.00725,0.02894
1403715281.164379596710205,0.01527,0.00034,0.00029,0.00586,0.00492,0.00590,0.03257
1403715281.214385747909546,0.01833,0.00034,0.00190,0.00647,0.00000,0.00580,0.03284
1403715281.264461755752563,0.01823,0.00035,0.00018,0.00635,0.00000,0.00582,0.03095
1403715281.314596176147461,0.01604,0.00034,0.00994,0.00594,0.01562,0.00722,0.05510
1403715281.364603042602539,0.01596,0.00039,0.00661,0.00763,0.00388,0.00720,0.04167
1403715281.414683341979980,0.01532,0.00036,0.00091,0.00847,0.00008,0.00581,0.03096
1403715281.464712142944336,0.01567,0.00036,0.00039,0.00776,0.00083,0.00535,0.03035
1403715281.514765262603760,0.01637,0.00040,0.00900,0.00836,0.00008,0.00596,0.04017
1403715281.564666986465454,0.01605,0.00040,0.00058,0.00808,0.00044,0.00595,0.03150
1403715281.614715814590454,0.01567,0.00040,0.00013,0.00780,0.00045,0.00607,0.03053
1403715281.664689064025879,0.01614,0.00041,0.00022,0.00780,0.00044,0.00701,0.03202
1403715281.714671850204468,0.01562,0.00040,0.00070,0.00637,0.00045,0.00580,0.02934
1403715281.764609813690186,0.01559,0.00037,0.00906,0.00574,0.01340,0.00584,0.04999
1403715281.814603567123413,0.02494,0.00036,0.00029,0.00651,0.00000,0.00567,0.03777
