# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862547636032104,0,6,0,0,5
1403715278.911952257156372,32,34,0,32,6
1403715278.961957931518555,31,4,31,0,7
1403715279.011803150177002,29,0,29,0,8
1403715279.061760187149048,29,0,29,0,9
1403715279.111546754837036,29,1,29,0,10
1403715279.161476612091064,28,1,28,0,11
1403715279.211700916290283,28,1,28,0,11
1403715279.261648893356323,33,0,28,5,11
1403715279.311629772186279,37,0,33,4,11
1403715279.361371755599976,38,0,37,1,11
1403715279.411333322525024,47,0,38,9,11
1403715279.461468219757080,47,0,47,0,11
1403715279.511610269546509,48,22,47,1,11
1403715279.561579704284668,48,0,48,0,11
1403715279.611542940139771,49,1,48,1,11
1403715279.661342382431030,49,0,49,0,11
1403715279.711263179779053,49,0,49,0,11
1403715279.761319637298584,49,0,49,0,11
1403715279.811335563659668,49,0,49,0,11
1403715279.861372947692871,49,0,49,0,11
1403715279.911372900009155,49,0,49,0,11
1403715279.961283206939697,49,2,49,0,11
1403715280.011269330978394,49,0,49,0,11
1403715280.061268568038940,49,0,49,0,11
1403715280.111475229263306,49,20,49,0,11
1403715280.161899089813232,48,0,48,0,11
1403715280.212331533432007,48,1,48,0,11
1403715280.263222694396973,47,0,47,0,11
1403715280.313498258590698,47,0,47,0,11
1403715280.363552093505859,47,0,47,0,11
1403715280.413403272628784,47,0,47,0,11
1403715280.463120222091675,47,1,47,0,11
1403715280.512990713119507,46,0,45,0,11
1403715280.562776803970337,47,2,45,1,11
1403715280.612728834152222,46,1,45,1,11
1403715280.662524223327637,48,1,44,3,11
1403715280.712505340576172,47,23,46,0,11
1403715280.762480497360229,47,2,46,1,11
1403715280.812505006790161,47,0,45,2,11
1403715280.862550735473633,47,1,46,0,11
1403715280.912664175033569,47,2,45,0,11
1403715280.962682485580444,45,0,42,2,11
1403715281.012685060501099,42,0,41,1,11
1403715281.062684059143066,41,0,41,0,11
1403715281.112669706344604,41,0,41,0,11
1403715281.162673473358154,42,0,39,3,11
1403715281.212701082229614,42,1,42,0,11
1403715281.262872457504272,41,0,41,0,11
1403715281.313058614730835,48,13,40,8,11
1403715281.363140106201172,47,1,47,0,11
1403715281.413058042526245,47,0,47,0,11
1403715281.463033676147461,50,12,47,3,11
1403715281.512932300567627,50,0,48,0,11
1403715281.562877655029297,50,0,48,0,11
1403715281.612881898880005,50,0,45,2,11
1403715281.662868022918701,50,0,46,0,11
1403715281.712838411331177,41,0,38,1,11
1403715281.762679576873779,47,6,37,9,11
1403715281.812718868255615,46,0,41,1,11
1403715281.862687110900879,45,2,40,0,11
1403715281.912687301635742,47,4,40,6,11
1403715281.962671756744385,47,0,46,1,11
1403715282.012687921524048,47,0,46,0,11
1403715282.062694787979126,50,8,45,3,11
1403715282.112704277038574,50,0,47,1,11
1403715282.162755250930786,49,0,45,1,11
1403715282.212749242782593,49,0,46,1,11
1403715282.262770652770996,49,0,47,2,11
1403715282.312806606292725,49,19,47,1,11
1403715282.362814426422119,50,5,48,1,11
1403715282.412791728973389,48,0,45,1,11
1403715282.462782621383667,46,0,45,0,11
1403715282.512773990631104,49,3,45,4,11
1403715282.562804460525513,47,0,46,0,11
1403715282.612819194793701,44,0,42,0,11
1403715282.662896394729614,47,6,42,4,11
1403715282.712863922119141,46,1,44,0,11
1403715282.762868165969849,46,1,44,0,11
1403715282.812921047210693,45,1,44,1,11
1403715282.862748146057129,45,0,43,0,11
1403715282.912743568420410,50,12,42,5,11
1403715282.962825059890747,47,5,45,2,11
1403715283.012681007385254,47,2,47,0,11
1403715283.062639713287354,47,0,45,0,11
1403715283.112750053405762,48,0,43,3,11
1403715283.162733316421509,48,0,46,1,11
1403715283.212747335433960,48,0,46,1,11
1403715283.262742996215820,48,30,46,1,11
1403715283.312742710113525,49,0,46,3,11
1403715283.362746953964233,49,0,49,0,11
1403715283.412754774093628,49,0,49,0,11
1403715283.462749719619751,47,0,47,0,11
1403715283.512730121612549,45,9,42,3,11
1403715283.562720537185669,50,0,45,5,11
1403715283.612713813781738,49,0,49,0,11
1403715283.662731409072876,49,0,49,0,11
1403715283.712774753570557,49,0,49,0,11
1403715283.762819766998291,49,1,49,0,11
1403715283.812857627868652,48,0,48,0,11
1403715283.862912893295288,49,22,48,1,11
1403715283.912918806076050,48,0,48,0,11
1403715283.962877273559570,48,0,48,0,11
1403715284.012833595275879,48,0,48,0,11
1403715284.062779664993286,48,0,48,0,11
1403715284.112769842147827,50,6,48,2,11
