# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863003492355347,0.00646,0.00018,0.00063,0.00000,0.00000,0.00419,0.01147
1403715278.912436008453369,0.00606,0.00020,0.00572,0.00000,0.01289,0.00421,0.02907
1403715278.962453126907349,0.00599,0.00031,0.00078,0.00330,0.00000,0.00418,0.01456
1403715279.012186288833618,0.00579,0.00029,0.00015,0.00326,0.00000,0.00431,0.01379
1403715279.062151193618774,0.00848,0.00029,0.00011,0.00331,0.00000,0.00425,0.01644
1403715279.111917018890381,0.00553,0.00031,0.00064,0.00336,0.00000,0.00430,0.01414
1403715279.161861896514893,0.00549,0.00031,0.00038,0.00327,0.00000,0.00422,0.01368
1403715279.212111473083496,0.00646,0.00029,0.00091,0.00333,0.00000,0.00456,0.01556
1403715279.262083053588867,0.00573,0.00029,0.00003,0.00336,0.00692,0.00445,0.02078
1403715279.311916112899780,0.00575,0.00034,0.00008,0.00425,0.00615,0.00454,0.02111
1403715279.360479593276978,0.00573,0.00035,0.00003,0.00505,0.00182,0.00484,0.01782
1403715279.409642457962036,0.00591,0.00035,0.00004,0.00534,0.01465,0.00484,0.03113
1403715279.459372282028198,0.00557,0.00040,0.00003,0.00778,0.00001,0.00571,0.01950
1403715279.508836507797241,0.00566,0.00039,0.01781,0.00783,0.00208,0.00471,0.03847
1403715279.558660984039307,0.00568,0.00039,0.00005,0.00816,0.00010,0.00454,0.01892
1403715279.608450412750244,0.00695,0.00038,0.00180,0.00821,0.00205,0.00470,0.02409
1403715279.658364534378052,0.00542,0.00043,0.00003,0.00862,0.00001,0.00451,0.01902
1403715279.708395242691040,0.00570,0.00040,0.00003,0.00869,0.00001,0.00442,0.01926
1403715279.758414983749390,0.00670,0.00040,0.00003,0.00870,0.00001,0.00450,0.02034
1403715279.808535575866699,0.00563,0.00041,0.00009,0.00878,0.00001,0.00453,0.01945
1403715279.858489274978638,0.00545,0.00042,0.00011,0.00855,0.00001,0.00458,0.01913
1403715279.908309221267700,0.00538,0.00039,0.00008,0.00856,0.00001,0.00458,0.01900
1403715279.958296537399292,0.00561,0.00040,0.00341,0.00839,0.00007,0.00454,0.02243
1403715280.008552074432373,0.00598,0.00040,0.00003,0.00853,0.00001,0.00570,0.02065
1403715280.058743476867676,0.00581,0.00042,0.00010,0.00846,0.00001,0.00442,0.01922
1403715280.108757734298706,0.00642,0.00036,0.01692,0.00861,0.00011,0.00446,0.03688
1403715280.159405946731567,0.00593,0.00067,0.00061,0.00856,0.00007,0.00459,0.02043
1403715280.210247278213501,0.00619,0.00039,0.00170,0.00815,0.00013,0.00447,0.02104
1403715280.261136531829834,0.00587,0.00040,0.00031,0.00790,0.00001,0.00446,0.01895
1403715280.311239957809448,0.00676,0.00042,0.00003,0.00791,0.00001,0.00449,0.01960
1403715280.361220359802246,0.00586,0.00040,0.00003,0.00786,0.00001,0.00492,0.01909
1403715280.411125898361206,0.00644,0.00038,0.00003,0.00784,0.00001,0.00466,0.01937
1403715280.460907459259033,0.00723,0.00040,0.00068,0.00780,0.00001,0.00456,0.02069
1403715280.510804414749146,0.00607,0.00037,0.00015,0.00762,0.00001,0.00468,0.01889
1403715280.560625076293945,0.00585,0.00039,0.00138,0.00747,0.00140,0.00482,0.02132
1403715280.610669612884521,0.00706,0.00038,0.00078,0.00765,0.00001,0.00466,0.02055
1403715280.660473108291626,0.00621,0.00042,0.00080,0.00722,0.00533,0.00456,0.02454
1403715280.710568189620972,0.00609,0.00039,0.01639,0.00811,0.00197,0.00459,0.03753
1403715280.760540723800659,0.00660,0.00038,0.00183,0.00738,0.00196,0.00458,0.02273
1403715280.810557365417480,0.00603,0.00040,0.00031,0.00744,0.00312,0.00449,0.02179
1403715280.860608100891113,0.00732,0.00043,0.00069,0.00811,0.00001,0.00434,0.02089
1403715280.910740852355957,0.00858,0.00036,0.00248,0.00752,0.00001,0.00478,0.02374
1403715280.960821151733398,0.00629,0.00037,0.00065,0.00663,0.00334,0.00472,0.02200
1403715281.010811805725098,0.00671,0.00038,0.00055,0.00612,0.00072,0.00467,0.01914
