# timestamp(s) tx ty tz qx qy qz qw
1403715278.86197 0.007054000 0.011253000 0.088616000 0.808712000 -0.008866000 0.588129000 0.003237000
1403715278.91055 0.040722000 0.012847000 0.098499000 0.811786000 -0.008134000 0.583895000 0.001880000
1403715278.96066 0.048430000 0.014382000 0.115858000 0.811232000 -0.007965000 0.584666000 0.001958000
1403715279.01075 0.055984000 0.015615000 0.129180000 0.810727000 -0.007164000 0.585374000 0.002727000
1403715279.06061 0.063350000 0.016992000 0.138843000 0.810936000 -0.006904000 0.585087000 0.002846000
1403715279.11030 0.071445000 0.018615000 0.144962000 0.811000000 -0.006695000 0.584998000 0.003314000
1403715279.16027 0.078699000 0.019790000 0.145425000 0.811193000 -0.006015000 0.584736000 0.003686000
1403715279.21036 0.085510000 0.020851000 0.143679000 0.811875000 -0.005526000 0.583789000 0.004371000
1403715279.26055 0.089430000 0.021133000 0.141017000 0.812703000 -0.004773000 0.582639000 0.004888000
1403715279.31043 0.094666000 0.021858000 0.137488000 0.813622000 -0.004514000 0.581359000 0.004480000
1403715279.36038 0.098994000 0.021765000 0.134664000 0.814588000 -0.004897000 0.580008000 0.003672000
1403715279.41013 0.102988000 0.020262000 0.129777000 0.814395000 -0.005137000 0.580284000 0.002060000
1403715279.45978 0.106148000 0.020541000 0.128564000 0.814960000 -0.005170000 0.579494000 0.001194000
1403715279.50956 0.109832000 0.021070000 0.128910000 0.814944000 -0.004880000 0.579519000 0.000462000
1403715279.55955 0.113234000 0.021779000 0.130029000 0.814962000 -0.004269000 0.579497000 0.001004000
1403715279.60940 0.117011000 0.022701000 0.133365000 0.815039000 -0.004231000 0.579390000 0.001083000
1403715279.65946 0.118426000 0.022749000 0.135625000 0.815390000 -0.004071000 0.578897000 0.000919000
1403715279.70948 0.119491000 0.022493000 0.138224000 0.815209000 -0.004078000 0.579153000 0.000811000
1403715279.75951 0.120974000 0.022602000 0.142558000 0.815213000 -0.004107000 0.579146000 0.000599000
1403715279.80942 0.123503000 0.022259000 0.153175000 0.815028000 -0.004431000 0.579405000 0.000330000
1403715279.85964 0.125081000 0.021734000 0.164647000 0.815273000 -0.004350000 0.579061000 0.000172000
1403715279.90969 0.125512000 0.020949000 0.173248000 0.815805000 -0.004338000 0.578310000 0.000342000
1403715279.95984 0.125278000 0.019889000 0.180587000 0.817251000 -0.004112000 0.576266000 0.000840000
1403715280.01003 0.125573000 0.019186000 0.187892000 0.820512000 -0.004322000 0.571613000 0.000887000
1403715280.05995 0.124699000 0.018152000 0.192701000 0.824973000 -0.004280000 0.565155000 0.000936000
1403715280.11040 0.124205000 0.015140000 0.198579000 0.828995000 -0.002716000 0.559240000 0.003167000
1403715280.16120 0.124548000 0.012612000 0.203863000 0.831257000 -0.000849000 0.555860000 0.005521000
1403715280.21210 0.125987000 0.010448000 0.210600000 0.832188000 0.002249000 0.554404000 0.009676000
1403715280.26333 0.127436000 0.008601000 0.219058000 0.832020000 0.004819000 0.554552000 0.013879000
1403715280.31353 0.131395000 0.007278000 0.228113000 0.831229000 0.007106000 0.555633000 0.016720000
1403715280.36352 0.136802000 0.007007000 0.237277000 0.829774000 0.008729000 0.557700000 0.019255000
1403715280.41342 0.143269000 0.007178000 0.245828000 0.828231000 0.009038000 0.559884000 0.021973000
1403715280.46327 0.151042000 0.008367000 0.253631000 0.827585000 0.005855000 0.560886000 0.021826000
1403715280.51319 0.159480000 0.010747000 0.262163000 0.826330000 -0.000326000 0.562805000 0.020697000
1403715280.56303 0.167805000 0.013177000 0.270288000 0.825301000 -0.007895000 0.564257000 0.020712000
1403715280.61301 0.176377000 0.015864000 0.277952000 0.824013000 -0.016621000 0.565897000 0.022066000
1403715280.66292 0.184277000 0.017888000 0.286272000 0.823015000 -0.025769000 0.566834000 0.026121000
1403715280.71303 0.193824000 0.018153000 0.294351000 0.821828000 -0.036004000 0.567776000 0.030544000
1403715280.76303 0.203360000 0.019799000 0.300643000 0.820879000 -0.046604000 0.568050000 0.036120000
1403715280.81305 0.213594000 0.021286000 0.306138000 0.820239000 -0.057464000 0.567565000 0.042136000
1403715280.86306 0.224217000 0.022949000 0.311243000 0.818888000 -0.068062000 0.567803000 0.048890000
1403715280.91313 0.235010000 0.025345000 0.315368000 0.817751000 -0.077584000 0.567601000 0.055620000
1403715280.96312 0.245471000 0.028339000 0.319166000 0.816532000 -0.085641000 0.567603000 0.061388000
1403715281.01310 0.254961000 0.030538000 0.323145000 0.815401000 -0.093022000 0.567557000 0.065936000
1403715281.06309 0.263091000 0.033410000 0.326497000 0.814598000 -0.098656000 0.567154000 0.070940000
1403715281.11307 0.271152000 0.036194000 0.329600000 0.813627000 -0.103649000 0.567153000 0.074869000
1403715281.16310 0.280487000 0.038737000 0.333863000 0.812847000 -0.107746000 0.567058000 0.078204000
1403715281.21314 0.289653000 0.041721000 0.337517000 0.812204000 -0.111472000 0.566793000 0.081513000
1403715281.26322 0.298248000 0.044363000 0.340657000 0.811638000 -0.115943000 0.566274000 0.084466000
1403715281.31327 0.306574000 0.046725000 0.342695000 0.811344000 -0.120734000 0.565116000 0.088254000
1403715281.36327 0.314666000 0.048656000 0.343871000 0.810885000 -0.126320000 0.563909000 0.092276000
1403715281.41331 0.323666000 0.050567000 0.345114000 0.810503000 -0.132381000 0.562287000 0.096923000
1403715281.46338 0.331149000 0.050208000 0.344787000 0.809002000 -0.139022000 0.561795000 0.102835000
1403715281.51334 0.338954000 0.051306000 0.344223000 0.807506000 -0.146752000 0.560741000 0.109393000
1403715281.56335 0.347444000 0.051646000 0.342775000 0.805977000 -0.155356000 0.559099000 0.116931000
1403715281.61335 0.357679000 0.051207000 0.342634000 0.804198000 -0.165430000 0.557188000 0.124257000
1403715281.66335 0.368094000 0.050695000 0.341589000 0.801738000 -0.176535000 0.555587000 0.131815000
1403715281.71333 0.377995000 0.050310000 0.339412000 0.799027000 -0.187828000 0.553710000 0.140291000
1403715281.76322 0.389147000 0.049547000 0.336493000 0.796210000 -0.200037000 0.551380000 0.148375000
1403715281.81320 0.399562000 0.048988000 0.334018000 0.793306000 -0.212452000 0.548653000 0.156553000
1403715281.86318 0.410108000 0.048411000 0.331436000 0.789411000 -0.224968000 0.546805000 0.164998000
1403715281.91311 0.420620000 0.047347000 0.328396000 0.785844000 -0.237367000 0.544068000 0.173483000
1403715281.96310 0.431436000 0.046543000 0.324278000 0.781768000 -0.249641000 0.541870000 0.181368000
1403715282.01308 0.442170000 0.045652000 0.320463000 0.777939000 -0.262376000 0.538924000 0.188494000
1403715282.06312 0.452960000 0.044684000 0.316554000 0.773729000 -0.274398000 0.536471000 0.195571000
1403715282.11306 0.465763000 0.043663000 0.312071000 0.770115000 -0.285052000 0.533034000 0.203822000
1403715282.16316 0.479216000 0.043325000 0.307438000 0.766149000 -0.296819000 0.529756000 0.210411000
1403715282.21316 0.492992000 0.042628000 0.302698000 0.761934000 -0.306640000 0.527001000 0.218400000
1403715282.26320 0.507486000 0.041869000 0.297266000 0.758290000 -0.317257000 0.522977000 0.225476000
1403715282.31323 0.523184000 0.041245000 0.291576000 0.754668000 -0.327705000 0.518848000 0.232123000
1403715282.36323 0.537450000 0.040139000 0.286275000 0.750098000 -0.337516000 0.515717000 0.239734000
1403715282.41320 0.551702000 0.039557000 0.280405000 0.746582000 -0.346483000 0.510904000 0.248079000
1403715282.46320 0.566369000 0.039098000 0.274343000 0.741920000 -0.356679000 0.507450000 0.254615000
1403715282.51321 0.580795000 0.038204000 0.267919000 0.736960000 -0.365739000 0.504385000 0.262147000
