# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.860895872116089,0.01893,0.00018,0.00060,0.00000,0.00000,0.00589,0.02560
1403715278.911568880081177,0.01748,0.00019,0.00623,0.00000,0.01242,0.00622,0.04254
1403715278.961480617523193,0.01656,0.00031,0.00137,0.00327,0.00000,0.00582,0.02734
1403715279.011179924011230,0.01699,0.00033,0.00025,0.00324,0.00000,0.00604,0.02685
1403715279.061086654663086,0.01786,0.00032,0.00002,0.00335,0.00000,0.00617,0.02773
1403715279.110904455184937,0.01699,0.00035,0.00007,0.00340,0.00000,0.00598,0.02679
1403715279.160952091217041,0.01519,0.00035,0.00076,0.00325,0.00000,0.00608,0.02563
1403715279.211065769195557,0.01725,0.00037,0.00043,0.00339,0.00000,0.00636,0.02780
1403715279.261025905609131,0.01565,0.00036,0.00003,0.00345,0.00306,0.00653,0.02909
1403715279.311053991317749,0.01690,0.00037,0.00008,0.00372,0.00590,0.00656,0.03353
1403715279.361270666122437,0.01552,0.00038,0.00003,0.00452,0.00193,0.00653,0.02892
1403715279.411416530609131,0.01769,0.00034,0.00003,0.00481,0.01411,0.00666,0.04365
1403715279.461548805236816,0.01561,0.00044,0.00003,0.00689,0.00000,0.00691,0.02988
1403715279.511700153350830,0.01594,0.00043,0.01871,0.00668,0.00573,0.00674,0.05424
1403715279.561630487442017,0.01588,0.00051,0.00004,0.00790,0.00013,0.00651,0.03097
1403715279.611639022827148,0.01643,0.00044,0.00174,0.00781,0.00218,0.00648,0.03508
1403715279.661643743515015,0.01566,0.00048,0.00003,0.00817,0.00000,0.00639,0.03074
1403715279.711700439453125,0.01691,0.00048,0.00003,0.00862,0.00000,0.00660,0.03264
1403715279.761669397354126,0.01567,0.00046,0.00003,0.00829,0.00000,0.00654,0.03100
1403715279.811699867248535,0.01655,0.00041,0.00003,0.00831,0.00000,0.00633,0.03164
1403715279.861651659011841,0.01562,0.00047,0.00010,0.00828,0.00007,0.00660,0.03114
1403715279.911638498306274,0.01655,0.00050,0.00009,0.00818,0.00001,0.00639,0.03172
1403715279.961598873138428,0.01574,0.00047,0.00333,0.00822,0.00010,0.00656,0.03442
1403715280.011551856994629,0.01702,0.00043,0.00003,0.00823,0.00001,0.00671,0.03243
1403715280.061537742614746,0.01584,0.00047,0.00010,0.00838,0.00000,0.00661,0.03142
1403715280.111626863479614,0.01741,0.00045,0.01710,0.00787,0.00015,0.00617,0.04915
1403715280.161828279495239,0.01654,0.00045,0.00021,0.00792,0.00125,0.00671,0.03308
1403715280.212107658386230,0.01645,0.00046,0.00175,0.00792,0.00013,0.00625,0.03296
1403715280.262544393539429,0.01581,0.00046,0.00013,0.00798,0.00000,0.00652,0.03091
1403715280.312599182128906,0.01614,0.00050,0.00003,0.00792,0.00000,0.00625,0.03084
1403715280.362591028213501,0.01621,0.00047,0.00003,0.00784,0.00000,0.00669,0.03124
1403715280.412532329559326,0.01769,0.00048,0.00003,0.00753,0.00000,0.00638,0.03212
1403715280.462381839752197,0.01621,0.00045,0.00113,0.00733,0.00006,0.00650,0.03169
1403715280.512312412261963,0.01631,0.00046,0.00021,0.00731,0.00050,0.00681,0.03160
1403715280.562184810638428,0.01865,0.00043,0.00069,0.00738,0.00151,0.00705,0.03571
1403715280.612154483795166,0.01618,0.00048,0.00016,0.00745,0.00000,0.00663,0.03090
1403715280.662019491195679,0.01748,0.00042,0.00075,0.00677,0.00527,0.00657,0.03726
1403715280.712004184722900,0.01856,0.00045,0.01895,0.00719,0.00011,0.00667,0.05192
1403715280.762005090713501,0.01771,0.00048,0.00114,0.00697,0.00204,0.00668,0.03502
1403715280.812025308609009,0.01976,0.00046,0.00038,0.00675,0.00299,0.00627,0.03660
1403715280.862063407897949,0.01664,0.00041,0.00015,0.00698,0.00000,0.00671,0.03089
1403715280.912135124206543,0.01645,0.00043,0.00028,0.00686,0.00001,0.00657,0.03059
1403715280.962169885635376,0.01803,0.00043,0.00081,0.00630,0.00000,0.00656,0.03213
1403715281.012185096740723,0.01598,0.00043,0.00032,0.00597,0.00038,0.00654,0.02962
1403715281.062186956405640,0.01994,0.00041,0.00064,0.00599,0.00000,0.00673,0.03371
1403715281.112174034118652,0.01703,0.00042,0.00004,0.00611,0.00873,0.00690,0.03922
1403715281.162165403366089,0.01847,0.00046,0.00124,0.00701,0.00000,0.00646,0.03364
1403715281.212201118469238,0.01605,0.00045,0.00172,0.00665,0.00000,0.00675,0.03162
1403715281.262318134307861,0.01759,0.00048,0.00036,0.00662,0.00177,0.00636,0.03318
1403715281.312422275543213,0.01613,0.00046,0.01230,0.00642,0.00886,0.00673,0.05090
1403715281.362436056137085,0.01719,0.00051,0.00683,0.00756,0.00385,0.00653,0.04246
1403715281.412482738494873,0.01602,0.00046,0.00003,0.00850,0.00010,0.00665,0.03176
1403715281.462513446807861,0.01823,0.00045,0.00003,0.00859,0.00000,0.00648,0.03380
1403715281.512473106384277,0.01637,0.00045,0.00003,0.00833,0.00000,0.00657,0.03175
1403715281.562455892562866,0.01754,0.00049,0.00004,0.00803,0.00000,0.00643,0.03254
1403715281.612449407577515,0.01607,0.00047,0.01304,0.00689,0.00382,0.00663,0.04691
1403715281.662440299987793,0.01753,0.00050,0.00020,0.00698,0.00049,0.00701,0.03271
1403715281.712417602539062,0.01944,0.00046,0.00058,0.00561,0.00005,0.00643,0.03257
1403715281.762380361557007,0.02235,0.00038,0.00100,0.00581,0.00002,0.00656,0.03611
