# timestamp(s) tx ty tz qx qy qz qw
1403715278.86258 0.017150000 0.009503000 0.079994000 0.809304000 -0.008898000 0.587314000 0.003243000
1403715278.91204 0.049409000 0.012209000 0.087608000 0.811629000 -0.007566000 0.584120000 0.002134000
1403715278.96201 0.057259000 0.013960000 0.106458000 0.811239000 -0.007545000 0.584663000 0.001984000
1403715279.01163 0.065317000 0.015253000 0.120454000 0.810819000 -0.006935000 0.585251000 0.002374000
1403715279.06150 0.072830000 0.016788000 0.130833000 0.811071000 -0.006850000 0.584902000 0.002356000
1403715279.11119 0.081053000 0.018296000 0.136918000 0.810988000 -0.006776000 0.585018000 0.002450000
1403715279.16116 0.089022000 0.019628000 0.138004000 0.811197000 -0.006094000 0.584734000 0.002928000
1403715279.21132 0.096150000 0.020723000 0.135499000 0.811661000 -0.005545000 0.584090000 0.003759000
1403715279.26132 0.101789000 0.021117000 0.129055000 0.811753000 -0.004918000 0.583968000 0.003864000
1403715279.31138 0.108933000 0.022034000 0.124087000 0.812307000 -0.004730000 0.583199000 0.003706000
1403715279.36174 0.114112000 0.022411000 0.120424000 0.812979000 -0.005120000 0.582262000 0.003107000
1403715279.41168 0.118548000 0.022543000 0.116219000 0.812786000 -0.005431000 0.582535000 0.001861000
1403715279.46173 0.122599000 0.022859000 0.114070000 0.813426000 -0.005453000 0.581641000 0.001442000
1403715279.51160 0.129855000 0.023001000 0.116306000 0.812786000 -0.005291000 0.582537000 0.001122000
1403715279.56117 0.135405000 0.023534000 0.119275000 0.812713000 -0.004694000 0.582643000 0.001797000
1403715279.61107 0.140968000 0.023392000 0.125083000 0.812933000 -0.004697000 0.582335000 0.002206000
1403715279.66097 0.144543000 0.022801000 0.130299000 0.813177000 -0.004425000 0.581996000 0.002281000
1403715279.71091 0.148098000 0.022483000 0.135939000 0.812883000 -0.004345000 0.582407000 0.002348000
1403715279.76089 0.150027000 0.022215000 0.140414000 0.813036000 -0.004449000 0.582193000 0.002223000
1403715279.81091 0.150090000 0.021070000 0.143631000 0.813333000 -0.004858000 0.581774000 0.001992000
1403715279.86072 0.149803000 0.019950000 0.146855000 0.813645000 -0.004754000 0.581339000 0.001931000
1403715279.91055 0.148980000 0.018760000 0.150088000 0.814282000 -0.004800000 0.580447000 0.002031000
1403715279.96034 0.148583000 0.017486000 0.154692000 0.815728000 -0.004569000 0.578411000 0.002612000
1403715280.01017 0.148976000 0.016751000 0.161017000 0.819172000 -0.004760000 0.573522000 0.002552000
1403715280.06014 0.149625000 0.015891000 0.166964000 0.823531000 -0.004787000 0.567245000 0.002532000
1403715280.11025 0.148888000 0.013620000 0.172939000 0.827782000 -0.002847000 0.561017000 0.005295000
1403715280.16086 0.149283000 0.011636000 0.179829000 0.830137000 -0.000998000 0.557507000 0.007587000
1403715280.21158 0.150912000 0.009485000 0.187353000 0.831106000 0.002048000 0.555990000 0.011603000
1403715280.26277 0.152937000 0.007820000 0.194898000 0.831148000 0.004753000 0.555807000 0.015784000
1403715280.31285 0.157948000 0.007257000 0.200460000 0.830443000 0.007038000 0.556747000 0.018624000
1403715280.36281 0.164807000 0.008311000 0.205909000 0.829215000 0.008471000 0.558470000 0.021013000
1403715280.41264 0.172987000 0.010521000 0.211709000 0.827757000 0.008766000 0.560519000 0.023649000
1403715280.46232 0.182014000 0.013660000 0.216998000 0.827192000 0.005579000 0.561398000 0.023529000
1403715280.51224 0.191013000 0.017310000 0.222502000 0.826169000 -0.000844000 0.562973000 0.022477000
1403715280.56209 0.199898000 0.021098000 0.229076000 0.825136000 -0.008193000 0.564430000 0.022424000
