# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863291501998901,0.01613,0.00015,0.00064,0.00000,0.00000,0.00493,0.02185
1403715278.914087772369385,0.01406,0.00017,0.00565,0.00000,0.01220,0.00503,0.03710
1403715278.963454961776733,0.01374,0.00028,0.00073,0.00326,0.00000,0.00495,0.02296
1403715279.011507987976074,0.01398,0.00028,0.00016,0.00319,0.00000,0.00526,0.02286
1403715279.060965538024902,0.01594,0.00026,0.00011,0.00327,0.00000,0.00515,0.02474
1403715279.110094308853149,0.01336,0.00029,0.00065,0.00336,0.00000,0.00515,0.02281
1403715279.160110473632812,0.01343,0.00031,0.00031,0.00328,0.00000,0.00522,0.02256
1403715279.210366964340210,0.01382,0.00033,0.00092,0.00337,0.00000,0.00545,0.02389
1403715279.260296821594238,0.01335,0.00032,0.00003,0.00335,0.00698,0.00564,0.02967
1403715279.310352087020874,0.01323,0.00033,0.00008,0.00426,0.00602,0.00511,0.02903
1403715279.359979391098022,0.01305,0.00033,0.00003,0.00503,0.00191,0.00522,0.02557
1403715279.410067319869995,0.01416,0.00032,0.00004,0.00539,0.01494,0.00675,0.04159
1403715279.460023403167725,0.01374,0.00037,0.00003,0.00770,0.00000,0.00583,0.02767
1403715279.509807586669922,0.01332,0.00038,0.01797,0.00856,0.00208,0.00547,0.04778
1403715279.559669017791748,0.01316,0.00040,0.00003,0.00812,0.00010,0.00594,0.02775
1403715279.609666347503662,0.01284,0.00040,0.00180,0.00822,0.00239,0.00535,0.03099
1403715279.659373521804810,0.01325,0.00039,0.00003,0.00870,0.00000,0.00550,0.02787
1403715279.709303617477417,0.01360,0.00040,0.00003,0.00864,0.00000,0.00533,0.02802
1403715279.759324312210083,0.01429,0.00039,0.00003,0.00874,0.00000,0.00525,0.02870
1403715279.809254169464111,0.01326,0.00038,0.00008,0.00857,0.00000,0.00553,0.02783
1403715279.859323024749756,0.01328,0.00040,0.00011,0.00848,0.00000,0.00547,0.02775
1403715279.909299135208130,0.01315,0.00040,0.00009,0.00859,0.00000,0.00550,0.02774
1403715279.959535121917725,0.01367,0.00038,0.00338,0.00845,0.00007,0.00546,0.03139
1403715280.009931564331055,0.01300,0.00041,0.00003,0.00865,0.00000,0.00600,0.02810
1403715280.060047388076782,0.01360,0.00040,0.00010,0.00852,0.00000,0.00568,0.02830
1403715280.110143184661865,0.01410,0.00040,0.01645,0.00854,0.00014,0.00642,0.04605
1403715280.160506486892700,0.01436,0.00037,0.00026,0.00859,0.00010,0.00553,0.02920
1403715280.211121559143066,0.01426,0.00038,0.00170,0.00807,0.00014,0.00526,0.02982
