# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863291501998901,0,6,0,0,5
1403715278.914087772369385,32,34,0,32,6
1403715278.963454961776733,31,4,31,0,7
1403715279.011507987976074,29,0,29,0,8
1403715279.060965538024902,29,0,29,0,9
1403715279.110094308853149,29,1,29,0,10
1403715279.160110473632812,28,1,28,0,11
1403715279.210366964340210,28,1,28,0,11
1403715279.260296821594238,33,0,28,5,11
1403715279.310352087020874,37,0,33,4,11
1403715279.359979391098022,38,0,37,1,11
1403715279.410067319869995,47,0,38,9,11
1403715279.460023403167725,47,0,47,0,11
1403715279.509807586669922,48,22,47,1,11
1403715279.559669017791748,48,0,48,0,11
1403715279.609666347503662,49,1,48,1,11
1403715279.659373521804810,49,0,49,0,11
1403715279.709303617477417,49,0,49,0,11
1403715279.759324312210083,49,0,49,0,11
1403715279.809254169464111,49,0,49,0,11
1403715279.859323024749756,49,0,49,0,11
1403715279.909299135208130,49,0,49,0,11
1403715279.959535121917725,49,2,49,0,11
1403715280.009931564331055,49,0,49,0,11
1403715280.060047388076782,49,0,49,0,11
1403715280.110143184661865,49,19,49,0,11
1403715280.160506486892700,48,0,48,0,11
1403715280.211121559143066,48,1,48,0,11
1403715280.262356996536255,47,0,47,0,11
1403715280.312490224838257,47,0,47,0,11
1403715280.362483501434326,47,0,47,0,11
1403715280.412321329116821,47,0,47,0,11
1403715280.462031841278076,47,1,47,0,11
1403715280.511995792388916,46,0,46,0,11
1403715280.561784505844116,47,2,46,1,11
1403715280.611783504486084,46,1,46,0,11
1403715280.661579608917236,48,1,44,3,11
1403715280.711641788482666,47,23,45,0,11
1403715280.761663436889648,48,2,45,2,11
1403715280.811735630035400,47,1,45,2,11
1403715280.861830949783325,47,2,46,0,11
1403715280.912126779556274,46,2,44,0,11
1403715280.962264060974121,44,0,41,2,11
1403715281.012337923049927,41,0,40,1,11
1403715281.062509536743164,41,0,38,0,11
1403715281.112553596496582,41,0,37,0,11
1403715281.162633657455444,42,0,29,5,11
1403715281.212841272354126,42,1,35,1,11
1403715281.263270854949951,40,0,35,3,11
1403715281.313598394393921,49,12,38,11,11
1403715281.363624811172485,48,1,48,0,11
1403715281.413678884506226,48,0,48,0,11
1403715281.463733911514282,50,13,48,2,11
1403715281.513709068298340,50,0,50,0,11
1403715281.563673734664917,50,0,49,0,11
1403715281.613622188568115,50,0,46,0,11
1403715281.663598775863647,50,0,45,2,11
1403715281.713575601577759,43,1,40,1,11
1403715281.763559818267822,47,8,39,7,11
1403715281.813555240631104,45,0,43,0,11
1403715281.863570690155029,44,2,42,0,11
1403715281.913566112518311,49,2,42,7,11
1403715281.963588476181030,49,0,48,0,11
1403715282.013603687286377,49,0,47,0,11
1403715282.063633203506470,49,10,47,1,11
1403715282.113582611083984,49,0,44,1,11
1403715282.163681745529175,48,0,46,0,11
1403715282.213678121566772,48,0,45,2,11
1403715282.263726234436035,48,0,45,0,11
1403715282.313748836517334,49,18,44,4,11
1403715282.363736152648926,50,7,47,1,11
1403715282.413706779479980,49,1,47,1,11
1403715282.463705778121948,47,0,43,1,11
1403715282.513728141784668,48,2,44,2,11
1403715282.563676834106445,45,0,45,0,11
1403715282.613642215728760,43,0,43,0,11
1403715282.663602113723755,46,6,42,3,11
1403715282.713584184646606,45,1,44,0,11
1403715282.763575792312622,45,1,44,0,11
1403715282.813574552536011,45,1,43,1,11
1403715282.863539218902588,44,0,43,0,11
1403715282.913519620895386,50,10,43,7,11
1403715282.963466167449951,48,8,48,0,11
1403715283.013476371765137,48,1,47,0,11
1403715283.063482284545898,48,0,47,0,11
1403715283.113490581512451,49,0,45,3,11
1403715283.163476705551147,48,0,48,0,11
1403715283.213464975357056,48,0,47,0,11
1403715283.263453006744385,48,31,46,1,11
1403715283.313441276550293,49,1,46,3,11
1403715283.363455533981323,49,0,49,0,11
1403715283.413463830947876,49,0,49,0,11
1403715283.463462591171265,47,0,47,0,11
1403715283.513442993164062,44,7,41,3,11
1403715283.563431739807129,49,1,43,6,11
1403715283.613421678543091,48,0,48,0,11
1403715283.663443326950073,48,0,48,0,11
1403715283.713490009307861,48,0,48,0,11
1403715283.763530254364014,48,1,48,0,11
1403715283.813519716262817,47,0,47,0,11
1403715283.863471984863281,48,22,45,2,11
1403715283.913423538208008,48,0,47,0,11
1403715283.963427543640137,48,0,47,1,11
1403715284.013419866561890,48,0,48,0,11
1403715284.063379287719727,48,0,48,0,11
1403715284.113358259201050,50,6,48,2,11
1403715284.163347482681274,49,1,49,0,11
1403715284.213362932205200,48,1,48,0,11
1403715284.263402938842773,48,0,47,0,11
1403715284.313429355621338,48,0,47,0,11
1403715284.363434791564941,50,9,47,3,11
1403715284.413457393646240,50,1,48,0,11
1403715284.463426113128662,50,21,48,0,11
1403715284.513427734375000,49,0,45,2,11
1403715284.563409566879272,49,0,47,0,11
1403715284.613408803939819,48,0,46,1,11
1403715284.663392543792725,48,0,46,0,11
1403715284.713393688201904,50,2,45,3,11
1403715284.763350963592529,50,1,48,1,11
1403715284.813342571258545,50,0,49,1,11
1403715284.863359689712524,50,0,50,0,11
1403715284.913410425186157,50,0,50,0,11
1403715284.963537931442261,50,8,50,0,11
1403715285.013619184494019,50,0,49,0,11
1403715285.063596487045288,49,19,49,0,11
1403715285.113539218902588,49,0,47,0,11
1403715285.163511276245117,47,0,46,0,11
1403715285.213443040847778,46,0,46,0,11
1403715285.263382196426392,46,0,44,0,11
1403715285.313347578048706,47,0,42,2,11
1403715285.363319396972656,47,0,40,2,11
1403715285.413284540176392,46,0,41,1,11
1403715285.463239908218384,45,0,40,2,11
1403715285.513195514678955,45,0,43,1,11
1403715285.563078880310059,47,4,44,3,11
1403715285.613045692443848,47,0,47,0,11
1403715285.662935256958008,47,23,46,1,11
1403715285.712942600250244,47,0,47,0,11
1403715285.762929201126099,46,0,46,0,11
1403715285.812874794006348,46,0,45,1,11
1403715285.862784624099731,45,0,45,0,11
1403715285.912717342376709,46,1,45,1,11
1403715285.962690591812134,46,0,45,0,11
1403715286.012698411941528,45,1,42,0,11
1403715286.062682867050171,44,0,42,1,11
1403715286.112676620483398,43,0,41,1,11
1403715286.162642478942871,49,7,41,7,11
1403715286.212627172470093,49,4,48,1,11
1403715286.262594223022461,48,21,47,1,11
1403715286.312587022781372,50,11,48,2,11
1403715286.362580776214600,48,1,47,0,11
1403715286.412581205368042,48,1,47,0,11
1403715286.462585210800171,47,2,46,1,11
1403715286.512593984603882,45,1,44,0,11
1403715286.562623023986816,44,1,43,0,11
1403715286.612661361694336,43,1,42,1,11
1403715286.662710428237915,40,0,39,0,11
1403715286.712709903717041,44,10,34,7,11
1403715286.762701988220215,44,0,35,6,11
1403715286.812688112258911,41,2,38,1,11
1403715286.862694025039673,48,12,37,8,11
1403715286.912688255310059,50,5,45,3,11
1403715286.962681770324707,49,0,47,1,11
1403715287.012685298919678,47,0,44,1,11
1403715287.062696456909180,44,2,41,0,11
1403715287.112742424011230,44,0,42,1,11
1403715287.162765502929688,42,0,40,0,11
1403715287.212770700454712,41,0,39,0,11
1403715287.262773275375366,38,0,36,0,11
1403715287.312819719314575,46,13,35,9,11
1403715287.362825393676758,46,1,44,1,11
1403715287.412823677062988,45,0,44,1,11
1403715287.462816238403320,43,10,41,2,11
1403715287.512787818908691,45,1,43,2,11
1403715287.562792778015137,45,0,45,0,11
1403715287.612771749496460,43,1,41,0,11
1403715287.662792205810547,42,0,39,1,11
1403715287.712810277938843,41,0,39,1,11
1403715287.762847185134888,40,1,39,1,11
1403715287.812883853912354,36,0,34,0,11
1403715287.862892866134644,45,5,32,12,11
1403715287.912913084030151,46,7,43,3,11
1403715287.962913751602173,46,3,46,0,11
1403715288.012919664382935,46,0,45,0,11
1403715288.062932252883911,48,4,44,3,11
1403715288.112928628921509,45,0,43,0,11
1403715288.162932395935059,44,1,42,0,11
1403715288.212917804718018,45,0,41,4,11
1403715288.262894868850708,45,0,45,0,11
1403715288.312881469726562,44,0,43,0,11
1403715288.362854719161987,44,0,42,1,11
1403715288.412838459014893,44,0,44,0,11
1403715288.462841749191284,46,0,43,2,11
1403715288.512830972671509,49,9,45,3,11
1403715288.562857866287231,49,0,48,1,11
1403715288.612866401672363,49,2,48,1,11
1403715288.662881374359131,49,4,49,0,11
1403715288.712894678115845,50,2,49,1,11
1403715288.762900829315186,49,0,49,0,11
1403715288.812906742095947,49,0,49,0,11
1403715288.862927436828613,49,0,48,0,11
1403715288.912949085235596,49,0,48,0,11
1403715288.962968826293945,48,0,46,1,11
1403715289.012980699539185,50,1,46,2,11
1403715289.062985658645630,49,0,48,0,11
1403715289.112989664077759,49,9,47,1,11
1403715289.162993192672729,50,1,48,1,11
1403715289.212960958480835,50,2,48,1,11
1403715289.262951612472534,50,3,46,0,11
1403715289.312926530838013,49,3,45,0,11
1403715289.362910985946655,49,1,46,3,11
1403715289.412875652313232,50,11,49,1,11
1403715289.462863683700562,48,0,47,0,11
1403715289.512854337692261,47,0,46,0,11
1403715289.562853336334229,46,0,46,0,11
1403715289.612841367721558,43,1,43,0,11
1403715289.662827014923096,42,0,41,1,11
1403715289.712801933288574,50,3,41,8,11
1403715289.762765169143677,49,5,49,0,11
1403715289.812743663787842,49,2,48,1,11
