# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.860895872116089,0,5,0,0,5
1403715278.911568880081177,32,34,0,32,6
1403715278.961480617523193,31,7,31,0,7
1403715279.011179924011230,29,0,29,0,8
1403715279.061086654663086,29,0,29,0,9
1403715279.110904455184937,29,0,29,0,10
1403715279.160952091217041,28,2,28,0,11
1403715279.211065769195557,28,1,28,0,11
1403715279.261025905609131,30,0,28,2,11
1403715279.311053991317749,34,0,30,4,11
1403715279.361270666122437,35,0,34,1,11
1403715279.411416530609131,44,0,35,9,11
1403715279.461548805236816,44,0,44,0,11
1403715279.511700153350830,47,23,44,3,11
1403715279.561630487442017,47,0,47,0,11
1403715279.611639022827148,48,1,47,1,11
1403715279.661643743515015,48,0,48,0,11
1403715279.711700439453125,48,0,48,0,11
1403715279.761669397354126,48,0,48,0,11
1403715279.811699867248535,48,0,48,0,11
1403715279.861651659011841,48,0,48,0,11
1403715279.911638498306274,48,0,48,0,11
1403715279.961598873138428,48,2,48,0,11
1403715280.011551856994629,48,0,48,0,11
1403715280.061537742614746,48,0,48,0,11
1403715280.111626863479614,48,20,48,0,11
1403715280.161828279495239,48,0,47,1,11
1403715280.212107658386230,48,1,48,0,11
1403715280.262544393539429,47,0,47,0,11
1403715280.312599182128906,47,0,47,0,11
1403715280.362591028213501,47,0,47,0,11
1403715280.412532329559326,47,0,46,0,11
1403715280.462381839752197,47,2,46,0,11
1403715280.512312412261963,46,0,45,1,11
1403715280.562184810638428,46,1,45,1,11
1403715280.612154483795166,45,0,45,0,11
1403715280.662019491195679,48,1,43,3,11
1403715280.712004184722900,47,24,45,0,11
1403715280.762005090713501,46,1,44,2,11
1403715280.812025308609009,46,0,43,2,11
1403715280.862063407897949,46,0,44,0,11
1403715280.912135124206543,45,0,43,0,11
1403715280.962169885635376,42,1,41,0,11
1403715281.012185096740723,41,0,40,1,11
1403715281.062186956405640,41,1,41,0,11
1403715281.112174034118652,46,0,41,5,11
1403715281.162165403366089,44,1,44,0,11
1403715281.212201118469238,44,2,44,0,11
1403715281.262318134307861,44,0,42,1,11
1403715281.312422275543213,47,15,42,5,11
1403715281.362436056137085,48,6,46,2,11
1403715281.412482738494873,48,0,48,0,11
1403715281.462513446807861,48,0,48,0,11
1403715281.512473106384277,48,0,48,0,11
1403715281.562455892562866,48,0,47,0,11
1403715281.612449407577515,49,13,43,2,11
1403715281.662440299987793,49,0,42,1,11
1403715281.712417602539062,41,0,38,0,11
1403715281.762380361557007,38,1,37,0,11
1403715281.812388896942139,37,0,35,0,11
1403715281.862380266189575,36,2,32,1,11
1403715281.912394762039185,47,0,33,13,11
1403715281.962398052215576,48,4,46,2,11
1403715282.012406110763550,48,0,48,0,11
1403715282.062410354614258,48,0,47,0,11
1403715282.112405776977539,48,0,46,0,11
1403715282.162437915802002,48,0,46,1,11
1403715282.212431669235229,50,10,46,3,11
1403715282.262460470199585,50,8,48,0,11
1403715282.312448978424072,49,21,47,1,11
1403715282.362437248229980,49,0,48,0,11
1403715282.412420749664307,47,0,45,1,11
1403715282.462407588958740,46,0,45,0,11
1403715282.512388467788696,46,0,45,1,11
1403715282.562399625778198,47,1,44,3,11
1403715282.612406253814697,46,1,46,0,11
1403715282.662413120269775,46,1,46,0,11
1403715282.712402343750000,45,1,45,0,11
1403715282.762402057647705,45,0,45,0,11
1403715282.812405586242676,48,5,45,3,11
1403715282.862382888793945,50,5,48,2,11
1403715282.912376642227173,50,20,49,0,11
1403715282.962367773056030,50,1,49,0,11
1403715283.012364387512207,50,3,48,1,11
1403715283.062366724014282,50,1,48,0,11
1403715283.112360239028931,47,29,46,0,11
1403715283.162359237670898,48,0,46,2,11
1403715283.212352752685547,48,0,47,0,11
1403715283.262337923049927,47,0,46,0,11
1403715283.312330961227417,47,0,46,1,11
1403715283.362315654754639,45,0,45,0,11
1403715283.412266016006470,49,0,45,4,11
1403715283.462214231491089,47,4,46,1,11
1403715283.512145280838013,46,13,43,3,11
1403715283.562145233154297,46,0,46,0,11
1403715283.612143039703369,46,1,46,0,11
1403715283.662176847457886,46,1,46,0,11
1403715283.712238550186157,50,20,46,4,11
1403715283.762259960174561,49,0,48,0,11
1403715283.812274932861328,49,0,48,0,11
1403715283.862280368804932,49,0,48,1,11
1403715283.912269115447998,48,0,48,0,11
1403715283.962269783020020,48,0,48,0,11
1403715284.012288331985474,48,0,47,0,11
1403715284.062321662902832,50,2,46,2,11
1403715284.112366437911987,49,31,47,1,11
1403715284.162331581115723,47,0,47,0,11
1403715284.212297916412354,47,0,47,0,11
1403715284.262283802032471,47,0,46,0,11
1403715284.312243700027466,50,13,46,3,11
1403715284.362239122390747,50,1,49,1,11
1403715284.412269115447998,50,0,48,0,11
1403715284.462239742279053,50,0,49,0,11
1403715284.512228727340698,49,0,47,1,11
1403715284.562217950820923,49,0,48,0,11
1403715284.612213134765625,48,0,48,0,11
1403715284.662210702896118,48,0,47,0,11
1403715284.712151527404785,50,28,47,3,11
1403715284.762129068374634,50,0,49,0,11
1403715284.812126159667969,50,0,49,0,11
1403715284.862131357192993,50,0,49,1,11
1403715284.912118196487427,50,13,50,0,11
1403715284.962134361267090,50,0,50,0,11
1403715285.012152671813965,50,0,48,0,11
1403715285.062149763107300,48,0,47,0,11
1403715285.112153530120850,47,0,46,0,11
1403715285.162176609039307,45,0,43,0,11
1403715285.212209701538086,44,1,41,1,11
1403715285.262241363525391,44,0,41,1,11
1403715285.312290191650391,50,19,42,7,11
1403715285.362289905548096,49,0,48,1,11
1403715285.412275552749634,49,0,49,0,11
1403715285.462262392044067,48,0,48,0,11
1403715285.512261152267456,49,11,47,1,11
1403715285.562262296676636,49,0,48,0,11
1403715285.612256288528442,48,0,48,0,11
1403715285.662250518798828,47,0,47,0,11
1403715285.712240219116211,47,0,47,0,11
1403715285.762238264083862,46,1,46,0,11
1403715285.812246322631836,45,0,45,0,11
1403715285.862241029739380,46,0,44,2,11
1403715285.912212133407593,49,21,45,4,11
1403715285.962212324142456,49,0,49,0,11
1403715286.012206077575684,49,1,49,0,11
1403715286.062199115753174,49,1,49,0,11
1403715286.112199306488037,50,14,49,1,11
1403715286.162201642990112,49,1,49,0,11
1403715286.212206840515137,49,0,49,0,11
1403715286.262202024459839,48,0,48,0,11
1403715286.312199354171753,48,0,48,0,11
1403715286.362190723419189,48,3,48,0,11
1403715286.412185430526733,48,1,48,0,11
1403715286.462177038192749,47,0,47,0,11
1403715286.512175798416138,47,16,44,3,11
1403715286.562172174453735,47,0,47,0,11
1403715286.612167358398438,49,18,46,3,11
1403715286.662161588668823,46,0,45,0,11
1403715286.712156534194946,45,9,40,2,11
1403715286.762150049209595,43,0,38,1,11
1403715286.812135219573975,40,0,38,0,11
1403715286.862126111984253,39,0,38,1,11
1403715286.912111997604370,38,1,38,0,11
1403715286.962119102478027,37,1,37,0,11
1403715287.012118577957153,36,2,35,0,11
1403715287.062126159667969,35,0,33,0,11
1403715287.112129211425781,42,0,29,8,11
1403715287.162136554718018,39,0,33,1,11
1403715287.212149381637573,43,8,31,9,11
1403715287.262145280838013,39,1,38,0,11
1403715287.312137603759766,46,4,37,9,11
1403715287.362129688262939,45,1,43,0,11
1403715287.412153244018555,50,8,42,5,11
1403715287.462152481079102,48,0,46,1,11
1403715287.512147665023804,47,0,46,1,11
1403715287.562150716781616,47,1,47,0,11
1403715287.612151622772217,46,0,46,0,11
1403715287.662166595458984,46,2,46,0,11
1403715287.712182521820068,45,0,44,0,11
1403715287.762202024459839,44,1,42,0,11
1403715287.812204122543335,42,8,35,6,11
1403715287.862203121185303,41,0,39,0,11
1403715287.912207126617432,46,4,37,7,11
1403715287.962208747863770,45,1,43,1,11
1403715288.012216329574585,44,1,43,1,11
1403715288.062232017517090,42,0,42,0,11
1403715288.112248182296753,42,1,41,0,11
1403715288.162271738052368,40,0,39,0,11
1403715288.212298870086670,40,0,39,1,11
1403715288.262303829193115,43,0,40,3,11
1403715288.312303304672241,45,0,40,3,11
1403715288.362301349639893,49,0,43,4,11
1403715288.412284135818481,47,7,47,0,11
1403715288.462274312973022,50,1,47,3,11
1403715288.512271404266357,49,4,49,0,11
