# timestamp(s) tx ty tz qx qy qz qw
1403715278.86202 0.027075000 0.007548000 0.088610000 0.808806000 -0.009809000 0.587991000 0.001572000
1403715278.91547 0.054743000 0.005430000 0.090545000 0.812009000 -0.010216000 0.583555000 0.000600000
1403715278.96521 0.066020000 0.007774000 0.112714000 0.811269000 -0.010246000 0.584584000 0.000429000
1403715279.01404 0.076524000 0.008182000 0.128074000 0.810733000 -0.009592000 0.585337000 0.000495000
1403715279.06339 0.085308000 0.009007000 0.138542000 0.810692000 -0.009231000 0.585399000 0.000890000
1403715279.11275 0.094380000 0.010029000 0.144638000 0.810399000 -0.008762000 0.585810000 0.001635000
1403715279.16250 0.102396000 0.010873000 0.144868000 0.810360000 -0.007604000 0.585877000 0.002791000
1403715279.21274 0.108916000 0.011608000 0.141519000 0.810637000 -0.006763000 0.585496000 0.004009000
1403715279.26277 0.113388000 0.011698000 0.133777000 0.810611000 -0.006118000 0.585536000 0.004387000
1403715279.31273 0.119046000 0.011961000 0.127738000 0.811218000 -0.005854000 0.584696000 0.004517000
1403715279.36258 0.123322000 0.011266000 0.121470000 0.811624000 -0.006087000 0.584134000 0.004037000
1403715279.41320 0.128040000 0.007627000 0.116147000 0.811572000 -0.006207000 0.584209000 0.003498000
1403715279.46374 0.132084000 0.005255000 0.113527000 0.812312000 -0.006015000 0.583183000 0.003171000
1403715279.51395 0.133476000 0.001415000 0.109583000 0.812666000 -0.005904000 0.582695000 0.002553000
1403715279.56427 0.136020000 0.000314000 0.107948000 0.812538000 -0.005227000 0.582877000 0.003019000
1403715279.61457 0.136898000 -0.000607000 0.105993000 0.812968000 -0.005112000 0.582277000 0.003060000
1403715279.66500 0.135623000 -0.002042000 0.104668000 0.813381000 -0.004870000 0.581704000 0.002813000
1403715279.71507 0.135023000 -0.003028000 0.106142000 0.813202000 -0.004785000 0.581956000 0.002600000
1403715279.76501 0.134033000 -0.004267000 0.110195000 0.813465000 -0.004787000 0.581590000 0.002391000
1403715279.81495 0.135163000 -0.005106000 0.120712000 0.813510000 -0.005047000 0.581525000 0.001920000
1403715279.86511 0.136520000 -0.006911000 0.134020000 0.813720000 -0.004740000 0.581234000 0.002003000
1403715279.91519 0.136110000 -0.008680000 0.144919000 0.814289000 -0.004602000 0.580437000 0.002172000
1403715279.96503 0.132032000 -0.010674000 0.153059000 0.816316000 -0.004319000 0.577584000 0.002548000
1403715280.01491 0.130069000 -0.011251000 0.163593000 0.819955000 -0.004449000 0.572405000 0.002429000
1403715280.06485 0.130218000 -0.011383000 0.174490000 0.824232000 -0.004467000 0.566229000 0.002457000
1403715280.11446 0.131933000 -0.011473000 0.186700000 0.828095000 -0.002670000 0.560556000 0.005290000
1403715280.16388 0.135206000 -0.011623000 0.197746000 0.830055000 -0.000958000 0.557630000 0.007506000
1403715280.21335 0.139285000 -0.011420000 0.210497000 0.830721000 0.001963000 0.556567000 0.011525000
1403715280.26289 0.143612000 -0.011301000 0.223792000 0.830231000 0.004610000 0.557196000 0.015109000
1403715280.31288 0.147670000 -0.010917000 0.237475000 0.829388000 0.006727000 0.558349000 0.017803000
1403715280.36290 0.152808000 -0.009732000 0.251571000 0.827872000 0.008189000 0.560492000 0.020257000
1403715280.41291 0.158770000 -0.008475000 0.264972000 0.826322000 0.008245000 0.562673000 0.022879000
1403715280.46291 0.165827000 -0.006594000 0.277556000 0.825542000 0.004971000 0.563860000 0.022725000
1403715280.51301 0.173600000 -0.003573000 0.290670000 0.824135000 -0.001391000 0.565983000 0.021488000
1403715280.56300 0.182008000 -0.000806000 0.302487000 0.822962000 -0.009097000 0.567620000 0.021399000
1403715280.61299 0.190230000 0.001599000 0.312886000 0.821580000 -0.018093000 0.569357000 0.022619000
1403715280.66293 0.199267000 0.004328000 0.322016000 0.820370000 -0.027406000 0.570561000 0.026507000
1403715280.71299 0.210348000 0.005025000 0.331651000 0.819173000 -0.037778000 0.571469000 0.030847000
1403715280.76300 0.220288000 0.006573000 0.339362000 0.818430000 -0.048307000 0.571408000 0.036502000
1403715280.81303 0.230598000 0.007647000 0.346476000 0.817857000 -0.059197000 0.570793000 0.042434000
1403715280.86310 0.241101000 0.009402000 0.353299000 0.816470000 -0.069892000 0.571039000 0.049047000
1403715280.91322 0.252294000 0.011447000 0.359182000 0.815335000 -0.079484000 0.570805000 0.055611000
1403715280.96328 0.262977000 0.013732000 0.365196000 0.814173000 -0.087700000 0.570703000 0.061072000
1403715281.01330 0.272536000 0.016134000 0.370316000 0.813043000 -0.095064000 0.570639000 0.065537000
1403715281.06333 0.279310000 0.020090000 0.373742000 0.811994000 -0.100701000 0.570576000 0.070479000
1403715281.11334 0.286223000 0.023819000 0.376747000 0.810983000 -0.105777000 0.570613000 0.074285000
1403715281.16336 0.293509000 0.027303000 0.379437000 0.809930000 -0.109667000 0.570913000 0.077750000
1403715281.21344 0.302179000 0.030252000 0.383492000 0.809423000 -0.113590000 0.570453000 0.080718000
1403715281.26363 0.310491000 0.032728000 0.387673000 0.808927000 -0.118080000 0.569843000 0.083509000
1403715281.31378 0.318614000 0.034460000 0.388768000 0.808706000 -0.123045000 0.568580000 0.087013000
1403715281.36376 0.326738000 0.036289000 0.389753000 0.808238000 -0.128729000 0.567383000 0.090871000
1403715281.41385 0.337019000 0.035894000 0.389714000 0.807870000 -0.134775000 0.565786000 0.095230000
1403715281.46382 0.344785000 0.038105000 0.389352000 0.806543000 -0.141448000 0.565019000 0.101166000
1403715281.51373 0.352301000 0.040581000 0.387226000 0.805051000 -0.149136000 0.563937000 0.107821000
1403715281.56364 0.360893000 0.042401000 0.384164000 0.803651000 -0.157674000 0.562100000 0.115451000
1403715281.61362 0.370938000 0.043181000 0.382547000 0.801986000 -0.167738000 0.560004000 0.122790000
1403715281.66359 0.381377000 0.043795000 0.380395000 0.799684000 -0.178834000 0.558137000 0.130412000
1403715281.71357 0.391564000 0.043841000 0.378122000 0.797194000 -0.190388000 0.555892000 0.138633000
1403715281.76355 0.402120000 0.044021000 0.375658000 0.794613000 -0.202606000 0.553193000 0.146691000
1403715281.81352 0.412243000 0.043613000 0.372900000 0.791699000 -0.215260000 0.550421000 0.154638000
1403715281.86353 0.422440000 0.043201000 0.369756000 0.787896000 -0.227924000 0.548402000 0.162870000
1403715281.91349 0.432551000 0.042234000 0.366468000 0.784612000 -0.240462000 0.545237000 0.171110000
1403715281.96350 0.443320000 0.041806000 0.362545000 0.780804000 -0.252861000 0.542610000 0.178833000
1403715282.01351 0.454171000 0.041178000 0.357756000 0.777027000 -0.265144000 0.539653000 0.186287000
1403715282.06351 0.465747000 0.040535000 0.352113000 0.772950000 -0.277006000 0.536951000 0.193649000
1403715282.11349 0.479134000 0.039402000 0.345753000 0.769491000 -0.287607000 0.533283000 0.201927000
1403715282.16358 0.493343000 0.039675000 0.339732000 0.765584000 -0.299165000 0.529900000 0.208774000
1403715282.21358 0.508002000 0.039935000 0.333564000 0.761678000 -0.309101000 0.526627000 0.216718000
1403715282.26363 0.523466000 0.040453000 0.326581000 0.758079000 -0.319688000 0.522512000 0.223824000
1403715282.31362 0.539254000 0.040884000 0.319984000 0.754340000 -0.330031000 0.518496000 0.230677000
1403715282.36358 0.554557000 0.040674000 0.314166000 0.750175000 -0.340216000 0.514780000 0.237682000
1403715282.41351 0.569834000 0.042786000 0.308301000 0.746940000 -0.349216000 0.509557000 0.245928000
1403715282.46350 0.587763000 0.043785000 0.301786000 0.742568000 -0.359769000 0.505642000 0.251961000
1403715282.51348 0.604922000 0.044096000 0.295074000 0.737814000 -0.369132000 0.502157000 0.259250000
1403715282.56345 0.622318000 0.044113000 0.287980000 0.732930000 -0.378623000 0.498673000 0.266051000
1403715282.61345 0.640058000 0.044571000 0.281336000 0.727387000 -0.387199000 0.496286000 0.273286000
1403715282.66344 0.658411000 0.045380000 0.274400000 0.721540000 -0.396202000 0.494242000 0.279516000
1403715282.71337 0.677510000 0.047831000 0.267778000 0.715553000 -0.405976000 0.492099000 0.284617000
1403715282.76338 0.694743000 0.050511000 0.260655000 0.709205000 -0.415535000 0.490612000 0.289240000
1403715282.81338 0.712342000 0.053033000 0.252904000 0.703385000 -0.425322000 0.487991000 0.293623000
1403715282.86326 0.731243000 0.055377000 0.244679000 0.697566000 -0.433863000 0.485100000 0.299737000
1403715282.91324 0.750324000 0.057137000 0.236413000 0.691532000 -0.441877000 0.482414000 0.306276000
1403715282.96325 0.770648000 0.057783000 0.227064000 0.685655000 -0.450654000 0.479251000 0.311618000
1403715283.01326 0.790041000 0.058099000 0.219124000 0.678977000 -0.459187000 0.476952000 0.317261000
1403715283.06323 0.810082000 0.058119000 0.211116000 0.672120000 -0.467914000 0.474695000 0.322453000
1403715283.11321 0.829464000 0.058901000 0.203806000 0.665462000 -0.476811000 0.472140000 0.326949000
