# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862023591995239,0.01005,0.00014,0.00066,0.00000,0.00000,0.00436,0.01522
1403715278.915474176406860,0.00597,0.00019,0.00579,0.00000,0.01241,0.00439,0.02876
1403715278.965205907821655,0.00592,0.00028,0.00077,0.00330,0.00000,0.00418,0.01445
1403715279.014037370681763,0.00586,0.00029,0.00016,0.00319,0.00000,0.00427,0.01377
1403715279.063394308090210,0.00672,0.00029,0.00011,0.00332,0.00000,0.00433,0.01478
1403715279.112745285034180,0.00557,0.00031,0.00064,0.00335,0.00000,0.00443,0.01431
1403715279.162497282028198,0.00546,0.00032,0.00035,0.00331,0.00000,0.00433,0.01378
1403715279.212744474411011,0.00732,0.00030,0.00091,0.00335,0.00000,0.00454,0.01643
1403715279.262766599655151,0.00554,0.00030,0.00003,0.00346,0.00699,0.00458,0.02089
1403715279.312732934951782,0.00555,0.00035,0.00009,0.00423,0.00613,0.00454,0.02089
1403715279.362584352493286,0.00547,0.00035,0.00003,0.00506,0.00187,0.00462,0.01741
1403715279.413200616836548,0.00603,0.00031,0.00003,0.00540,0.01478,0.00498,0.03153
1403715279.463744163513184,0.00549,0.00041,0.00004,0.00785,0.00001,0.00503,0.01882
1403715279.513953447341919,0.00550,0.00039,0.01802,0.00794,0.00212,0.00456,0.03853
1403715279.564273834228516,0.00546,0.00038,0.00003,0.00812,0.00010,0.00459,0.01869
1403715279.614565134048462,0.00539,0.00040,0.00180,0.00806,0.00242,0.00479,0.02285
1403715279.664999008178711,0.00562,0.00037,0.00003,0.00858,0.00001,0.00458,0.01919
1403715279.715067625045776,0.00559,0.00039,0.00003,0.00860,0.00001,0.00453,0.01915
1403715279.765008211135864,0.00703,0.00041,0.00003,0.00853,0.00001,0.00466,0.02068
1403715279.814948320388794,0.00543,0.00038,0.00008,0.00865,0.00001,0.00447,0.01903
1403715279.865110635757446,0.00527,0.00039,0.00010,0.00852,0.00001,0.00473,0.01902
1403715279.915194749832153,0.00526,0.00037,0.00008,0.00857,0.00001,0.00445,0.01875
1403715279.965034246444702,0.00547,0.00039,0.00340,0.00833,0.00007,0.00479,0.02244
1403715280.014913320541382,0.00552,0.00042,0.00003,0.00862,0.00001,0.00494,0.01954
1403715280.064850807189941,0.00590,0.00039,0.00010,0.00835,0.00001,0.00458,0.01933
1403715280.114457607269287,0.00563,0.00041,0.01709,0.00804,0.00013,0.00503,0.03632
1403715280.163882017135620,0.00534,0.00036,0.00008,0.00845,0.00010,0.00459,0.01892
1403715280.213352918624878,0.00586,0.00041,0.00016,0.00781,0.00202,0.00454,0.02081
1403715280.262888431549072,0.00589,0.00040,0.00038,0.00792,0.00046,0.00464,0.01969
1403715280.312882184982300,0.00658,0.00041,0.00018,0.00792,0.00001,0.00453,0.01962
1403715280.362898349761963,0.00553,0.00040,0.00003,0.00804,0.00001,0.00462,0.01862
1403715280.412909507751465,0.00610,0.00038,0.00003,0.00800,0.00001,0.00448,0.01900
1403715280.462908983230591,0.00560,0.00038,0.00069,0.00793,0.00001,0.00496,0.01957
1403715280.513011217117310,0.00560,0.00035,0.00015,0.00771,0.00001,0.00465,0.01847
1403715280.563000440597534,0.00567,0.00039,0.00135,0.00754,0.00138,0.00520,0.02154
1403715280.612986564636230,0.00669,0.00039,0.00118,0.00756,0.00565,0.00426,0.02572
1403715280.662932395935059,0.00605,0.00040,0.00088,0.00837,0.00002,0.00472,0.02044
1403715280.712985515594482,0.00591,0.00039,0.01597,0.00875,0.00386,0.00434,0.03922
1403715280.762997627258301,0.00648,0.00038,0.00112,0.00869,0.00205,0.00484,0.02357
1403715280.813028812408447,0.00580,0.00040,0.00139,0.00787,0.00001,0.00445,0.01992
1403715280.863103866577148,0.00827,0.00036,0.00023,0.00783,0.00001,0.00445,0.02114
1403715280.913224458694458,0.00589,0.00038,0.00200,0.00753,0.00046,0.00475,0.02101
1403715280.963279247283936,0.00585,0.00041,0.00048,0.00677,0.00330,0.00486,0.02167
1403715281.013304948806763,0.00703,0.00036,0.00080,0.00631,0.00038,0.00459,0.01948
1403715281.063328981399536,0.00593,0.00035,0.00003,0.00675,0.00001,0.00484,0.01792
1403715281.113337755203247,0.00583,0.00036,0.00013,0.00657,0.00001,0.00485,0.01776
1403715281.163356065750122,0.00622,0.00039,0.00029,0.00631,0.00504,0.00497,0.02321
1403715281.213436126708984,0.00578,0.00036,0.00105,0.00694,0.00001,0.00451,0.01865
1403715281.263632774353027,0.00611,0.00038,0.00015,0.00677,0.00007,0.00536,0.01884
1403715281.313781738281250,0.00581,0.00037,0.00915,0.00642,0.01251,0.00449,0.03875
1403715281.363755941390991,0.00577,0.00041,0.00022,0.00855,0.00001,0.00442,0.01938
1403715281.413846969604492,0.00693,0.00044,0.01029,0.00825,0.00209,0.00493,0.03292
1403715281.463823318481445,0.00587,0.00040,0.00003,0.00847,0.00001,0.00474,0.01951
1403715281.513728141784668,0.00583,0.00037,0.00008,0.00770,0.00001,0.00448,0.01847
1403715281.563642024993896,0.00825,0.00039,0.00234,0.00776,0.00260,0.00490,0.02625
1403715281.613616704940796,0.00661,0.00038,0.00056,0.00778,0.00088,0.00447,0.02069
1403715281.663589239120483,0.00669,0.00040,0.00013,0.00811,0.00001,0.00502,0.02036
1403715281.713568449020386,0.00638,0.00042,0.00102,0.00616,0.00005,0.00480,0.01883
1403715281.763545274734497,0.00619,0.00038,0.00053,0.00615,0.00001,0.00477,0.01802
1403715281.813522815704346,0.00613,0.00037,0.00027,0.00551,0.00001,0.00523,0.01752
1403715281.863526344299316,0.00977,0.00033,0.00110,0.00531,0.00007,0.00481,0.02138
1403715281.913493633270264,0.00864,0.00033,0.00018,0.00497,0.01431,0.00530,0.03373
1403715281.963504314422607,0.00848,0.00038,0.00083,0.00732,0.00001,0.00479,0.02181
1403715282.013506889343262,0.00664,0.00038,0.00629,0.00700,0.00754,0.00449,0.03234
1403715282.063512086868286,0.00641,0.00040,0.00113,0.00829,0.00001,0.00483,0.02107
1403715282.113494634628296,0.00650,0.00041,0.01498,0.00823,0.00052,0.00495,0.03559
1403715282.163577795028687,0.00640,0.00036,0.00037,0.00765,0.00202,0.00497,0.02178
1403715282.213577508926392,0.00633,0.00043,0.00076,0.00856,0.00001,0.00491,0.02100
