# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862591266632080,0,6,0,0,5
1403715278.911835670471191,32,34,0,32,6
1403715278.961780309677124,31,4,31,0,7
1403715279.011446475982666,29,0,29,0,8
1403715279.061293125152588,29,0,29,0,9
1403715279.110941648483276,29,1,29,0,10
1403715279.160917282104492,28,1,28,0,11
1403715279.211068868637085,28,1,28,0,11
1403715279.261165618896484,33,0,28,5,11
1403715279.310923814773560,37,0,33,4,11
1403715279.359923601150513,38,0,37,1,11
1403715279.409480094909668,47,0,38,9,11
1403715279.459450483322144,47,0,47,0,11
1403715279.509187459945679,48,22,47,1,11
1403715279.559109449386597,48,0,48,0,11
1403715279.608784198760986,49,1,48,1,11
1403715279.658550262451172,49,0,49,0,11
1403715279.708568096160889,49,0,49,0,11
1403715279.758557558059692,49,0,49,0,11
1403715279.808502912521362,49,0,49,0,11
1403715279.858514785766602,49,0,49,0,11
1403715279.908361434936523,49,0,49,0,11
1403715279.958577871322632,49,2,49,0,11
1403715280.008576869964600,49,0,49,0,11
1403715280.058238267898560,49,0,49,0,11
1403715280.108229398727417,49,19,49,0,11
1403715280.160141706466675,48,0,45,0,11
1403715280.212067842483521,48,1,45,0,11
1403715280.263862371444702,47,0,44,3,11
1403715280.314058303833008,47,0,43,0,11
1403715280.364011526107788,47,0,38,0,11
1403715280.413682222366333,47,0,38,4,11
1403715280.463447332382202,47,1,33,4,11
1403715280.513495683670044,46,0,29,2,11
1403715280.563421964645386,47,2,28,9,11
1403715280.613475799560547,46,1,35,7,11
1403715280.662725925445557,47,1,42,5,11
1403715280.712284088134766,48,21,45,2,11
1403715280.762272596359253,50,2,46,2,11
1403715280.812268257141113,47,2,46,1,11
1403715280.862273454666138,47,1,46,0,11
1403715280.912440538406372,46,2,45,0,11
1403715280.962441205978394,44,0,42,2,11
1403715281.012439250946045,41,0,39,0,11
1403715281.062435388565063,41,0,39,0,11
1403715281.112359762191772,40,0,39,1,11
1403715281.162355661392212,42,0,39,3,11
1403715281.212440490722656,42,1,42,0,11
1403715281.262778043746948,41,0,41,0,11
1403715281.313169240951538,48,12,40,8,11
1403715281.363190412521362,47,1,47,0,11
1403715281.413312196731567,48,0,47,1,11
1403715281.463395357131958,50,14,48,2,11
1403715281.513328552246094,50,0,48,0,11
1403715281.563236951828003,50,0,48,0,11
1403715281.613217830657959,50,0,46,2,11
1403715281.663197278976440,50,0,47,0,11
1403715281.713178634643555,42,1,40,0,11
1403715281.763123750686646,47,8,39,7,11
1403715281.813054323196411,45,0,42,0,11
1403715281.863086223602295,44,6,41,0,11
1403715281.912984609603882,48,2,40,7,11
1403715281.963021278381348,48,0,47,1,11
1403715282.013003110885620,48,0,47,0,11
1403715282.063013315200806,50,9,45,2,11
1403715282.112963914871216,50,0,44,1,11
1403715282.163018226623535,48,0,42,1,11
1403715282.213011980056763,48,0,42,3,11
1403715282.263002157211304,47,0,45,1,11
1403715282.313040018081665,47,1,45,1,11
1403715282.363105058670044,50,26,45,3,11
1403715282.413089513778687,48,0,45,1,11
1403715282.463095903396606,46,0,44,1,11
1403715282.513106346130371,49,1,45,4,11
1403715282.563065052032471,47,0,47,0,11
1403715282.613040208816528,44,0,44,0,11
1403715282.663017749786377,46,5,43,2,11
1403715282.712998151779175,46,2,46,0,11
1403715282.762998819351196,45,0,45,0,11
1403715282.812966346740723,45,0,44,0,11
1403715282.862899780273438,45,1,45,0,11
1403715282.912871122360229,45,0,45,0,11
1403715282.962782382965088,50,20,44,5,11
1403715283.012839794158936,49,2,45,0,11
1403715283.062765121459961,48,0,42,0,11
1403715283.112722635269165,49,1,41,5,11
1403715283.162813186645508,49,0,46,2,11
1403715283.212829351425171,49,1,48,1,11
1403715283.262869358062744,49,10,48,1,11
