# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864723443984985,0.00674,0.00017,0.00063,0.00000,0.00000,0.00453,0.01207
1403715278.910755872726440,0.00582,0.00019,0.00568,0.00000,0.01266,0.00431,0.02866
1403715278.960697174072266,0.00598,0.00026,0.00077,0.00326,0.00000,0.00423,0.01451
1403715279.009701251983643,0.00586,0.00029,0.00014,0.00324,0.00000,0.00432,0.01384
1403715279.059115648269653,0.00774,0.00028,0.00011,0.00329,0.00000,0.00424,0.01566
1403715279.108251571655273,0.00572,0.00030,0.00065,0.00332,0.00000,0.00433,0.01432
1403715279.158547639846802,0.00561,0.00030,0.00035,0.00326,0.00000,0.00423,0.01375
1403715279.208574771881104,0.00551,0.00031,0.00093,0.00332,0.00000,0.00458,0.01466
1403715279.259528636932373,0.00560,0.00025,0.00003,0.00341,0.00687,0.00443,0.02058
1403715279.309743165969849,0.00581,0.00032,0.00008,0.00415,0.00616,0.00460,0.02113
1403715279.359425783157349,0.00567,0.00034,0.00003,0.00502,0.00192,0.00453,0.01752
1403715279.408694028854370,0.00614,0.00034,0.00003,0.00535,0.01500,0.00497,0.03184
1403715279.457996606826782,0.00595,0.00037,0.00003,0.00771,0.00000,0.00548,0.01954
1403715279.507366895675659,0.00581,0.00039,0.01970,0.00802,0.00211,0.00460,0.04063
1403715279.557190895080566,0.00611,0.00041,0.00004,0.00815,0.00010,0.00446,0.01926
1403715279.606663227081299,0.00646,0.00041,0.00178,0.00805,0.00201,0.00441,0.02313
1403715279.656319618225098,0.00539,0.00040,0.00003,0.00872,0.00000,0.00440,0.01893
1403715279.706628561019897,0.00553,0.00038,0.00003,0.00882,0.00000,0.00455,0.01931
1403715279.756701231002808,0.00541,0.00040,0.00003,0.00904,0.00000,0.00451,0.01940
1403715279.806105613708496,0.00548,0.00035,0.00008,0.00835,0.00000,0.00477,0.01903
1403715279.857129335403442,0.00548,0.00040,0.00011,0.00829,0.00000,0.00519,0.01946
1403715279.908253431320190,0.00543,0.00039,0.00023,0.00815,0.00048,0.00469,0.01937
1403715279.959002733230591,0.00555,0.00039,0.00341,0.00836,0.00007,0.00467,0.02245
