# timestamp(s) tx ty tz qx qy qz qw
1403715278.86363 -0.015847000 0.018821000 0.065665000 0.807868000 -0.008858000 0.589286000 0.003522000
1403715278.90928 0.020853000 0.020995000 0.084485000 0.812834000 -0.009849000 0.582405000 0.002674000
1403715278.95921 0.027638000 0.021922000 0.101603000 0.812700000 -0.009593000 0.582598000 0.002697000
1403715279.00962 0.035683000 0.023653000 0.115057000 0.812131000 -0.008494000 0.583400000 0.003824000
1403715279.06001 0.042710000 0.024765000 0.122272000 0.811795000 -0.007990000 0.583877000 0.003594000
1403715279.11016 0.049222000 0.025709000 0.126121000 0.811839000 -0.007716000 0.583819000 0.003728000
1403715279.16015 0.054942000 0.026080000 0.123369000 0.811874000 -0.006938000 0.583779000 0.003786000
1403715279.21016 0.061749000 0.026731000 0.119604000 0.812456000 -0.006354000 0.582971000 0.004506000
1403715279.26052 0.066692000 0.026358000 0.116252000 0.813054000 -0.005411000 0.582143000 0.004824000
1403715279.31029 0.072038000 0.026714000 0.112379000 0.813774000 -0.005072000 0.581143000 0.004379000
1403715279.35987 0.075980000 0.026622000 0.109358000 0.814576000 -0.005386000 0.580021000 0.003422000
1403715279.40934 0.077389000 0.025030000 0.106054000 0.814545000 -0.005484000 0.580072000 0.001892000
1403715279.45872 0.080647000 0.025193000 0.105748000 0.815115000 -0.005421000 0.579273000 0.001095000
1403715279.50821 0.086445000 0.026119000 0.111756000 0.814620000 -0.004991000 0.579973000 0.000497000
1403715279.55809 0.091000000 0.027622000 0.114326000 0.814699000 -0.004189000 0.579868000 0.001101000
1403715279.60807 0.095024000 0.029547000 0.115551000 0.814907000 -0.004312000 0.579574000 0.001034000
1403715279.65843 0.096436000 0.029916000 0.113300000 0.815272000 -0.004303000 0.579062000 0.000809000
1403715279.70838 0.098160000 0.030149000 0.112471000 0.814949000 -0.004366000 0.579516000 0.000703000
1403715279.75841 0.099753000 0.030545000 0.114641000 0.814956000 -0.004487000 0.579506000 0.000504000
1403715279.80850 0.100447000 0.029774000 0.118848000 0.815109000 -0.004846000 0.579287000 0.000358000
1403715279.85858 0.100908000 0.029549000 0.124780000 0.815272000 -0.004790000 0.579058000 0.000158000
1403715279.90854 0.100844000 0.029182000 0.130060000 0.815754000 -0.004797000 0.578379000 0.000299000
1403715279.95877 0.100726000 0.028565000 0.135381000 0.817047000 -0.004515000 0.576553000 0.000767000
1403715280.00963 0.102365000 0.028509000 0.144602000 0.819902000 -0.004714000 0.572484000 0.000686000
1403715280.05984 0.103719000 0.027952000 0.149526000 0.824159000 -0.004794000 0.566338000 0.000708000
1403715280.11027 0.104058000 0.025322000 0.151687000 0.828290000 -0.003001000 0.560282000 0.003428000
1403715280.16144 0.105340000 0.022973000 0.156166000 0.830584000 -0.001207000 0.556862000 0.005779000
1403715280.21270 0.107456000 0.020757000 0.161632000 0.831504000 0.001843000 0.555426000 0.009988000
1403715280.26385 0.110680000 0.019217000 0.167185000 0.831110000 0.004540000 0.555914000 0.013948000
1403715280.31401 0.115491000 0.018525000 0.171455000 0.830312000 0.006736000 0.557001000 0.016927000
1403715280.36393 0.121360000 0.018940000 0.175587000 0.828983000 0.008093000 0.558878000 0.019423000
1403715280.41360 0.128155000 0.019999000 0.180007000 0.827473000 0.008375000 0.561006000 0.022131000
1403715280.46307 0.136056000 0.021498000 0.183431000 0.826975000 0.005245000 0.561780000 0.022098000
1403715280.51274 0.144696000 0.023212000 0.186701000 0.826054000 -0.001020000 0.563192000 0.021191000
1403715280.56243 0.153433000 0.025252000 0.191106000 0.825164000 -0.008257000 0.564434000 0.021231000
1403715280.61224 0.161894000 0.028062000 0.197195000 0.824140000 -0.016763000 0.565691000 0.022494000
1403715280.66213 0.170685000 0.030149000 0.203620000 0.823032000 -0.025847000 0.566791000 0.026424000
1403715280.71205 0.180672000 0.032477000 0.210038000 0.821816000 -0.035995000 0.567775000 0.030903000
1403715280.76203 0.190426000 0.035167000 0.215982000 0.821123000 -0.046470000 0.567674000 0.036644000
1403715280.81203 0.200423000 0.039007000 0.221376000 0.820492000 -0.057316000 0.567174000 0.042679000
1403715280.86214 0.210614000 0.043398000 0.226797000 0.819204000 -0.067992000 0.567309000 0.049423000
1403715280.91226 0.220367000 0.047379000 0.232727000 0.818365000 -0.077497000 0.566674000 0.056151000
1403715280.96226 0.228982000 0.052711000 0.238160000 0.817189000 -0.085736000 0.566587000 0.061887000
1403715281.01228 0.236223000 0.057468000 0.242382000 0.815950000 -0.093037000 0.566688000 0.066591000
1403715281.06234 0.241817000 0.062047000 0.245217000 0.814962000 -0.098637000 0.566545000 0.071652000
1403715281.11231 0.247689000 0.065763000 0.247605000 0.813849000 -0.103704000 0.566726000 0.075610000
1403715281.16229 0.254435000 0.067950000 0.249936000 0.812600000 -0.107603000 0.567325000 0.079019000
1403715281.21235 0.262480000 0.068744000 0.254566000 0.812042000 -0.111693000 0.566950000 0.081734000
1403715281.26262 0.269742000 0.069292000 0.259500000 0.811286000 -0.116198000 0.566750000 0.084307000
1403715281.31286 0.279114000 0.067830000 0.262636000 0.810743000 -0.121321000 0.565975000 0.087459000
1403715281.36282 0.287804000 0.067866000 0.264450000 0.810198000 -0.127148000 0.564909000 0.091051000
1403715281.41290 0.297773000 0.068104000 0.266524000 0.809938000 -0.133485000 0.563164000 0.095017000
1403715281.46297 0.307252000 0.065303000 0.267719000 0.808223000 -0.140065000 0.563136000 0.100179000
1403715281.51282 0.314981000 0.067257000 0.268430000 0.806804000 -0.147909000 0.561976000 0.106640000
1403715281.56274 0.322600000 0.069865000 0.267505000 0.805447000 -0.156513000 0.560117000 0.114139000
1403715281.61273 0.329944000 0.072243000 0.265033000 0.803581000 -0.166273000 0.558362000 0.121836000
1403715281.66271 0.338707000 0.073382000 0.262187000 0.801677000 -0.177772000 0.555911000 0.129129000
1403715281.71267 0.347687000 0.074198000 0.258356000 0.799336000 -0.189290000 0.553487000 0.137415000
1403715281.76257 0.358005000 0.074033000 0.253650000 0.797190000 -0.201869000 0.550179000 0.145053000
1403715281.81261 0.367626000 0.074049000 0.250630000 0.794537000 -0.214276000 0.547130000 0.153120000
1403715281.86262 0.377674000 0.074011000 0.247353000 0.790998000 -0.226903000 0.544749000 0.161513000
1403715281.91268 0.387133000 0.073631000 0.243087000 0.787869000 -0.239312000 0.541379000 0.170002000
1403715281.96273 0.397766000 0.073624000 0.238689000 0.784291000 -0.251773000 0.538392000 0.177857000
1403715282.01278 0.408010000 0.073316000 0.234683000 0.780859000 -0.264483000 0.534872000 0.184983000
1403715282.06291 0.418512000 0.073373000 0.230363000 0.777052000 -0.276381000 0.531836000 0.192234000
1403715282.11290 0.430626000 0.073662000 0.225023000 0.773444000 -0.286809000 0.528411000 0.200765000
1403715282.16299 0.443130000 0.074725000 0.220038000 0.769812000 -0.298301000 0.524757000 0.207454000
1403715282.21299 0.455529000 0.075405000 0.215290000 0.765748000 -0.308243000 0.521757000 0.215374000
1403715282.26304 0.469185000 0.076414000 0.209917000 0.762243000 -0.318801000 0.517470000 0.222657000
1403715282.31302 0.482713000 0.077134000 0.204161000 0.758332000 -0.329031000 0.513673000 0.229807000
1403715282.36309 0.495580000 0.078098000 0.198774000 0.754199000 -0.338872000 0.509987000 0.237200000
1403715282.41309 0.509405000 0.078202000 0.193065000 0.750554000 -0.347791000 0.505338000 0.245650000
1403715282.46308 0.523270000 0.078726000 0.186521000 0.745660000 -0.357810000 0.502181000 0.252542000
1403715282.51308 0.536766000 0.078830000 0.180116000 0.740499000 -0.366732000 0.499425000 0.260276000
