# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862115383148193,0.00697,0.00018,0.00064,0.00000,0.00000,0.00419,0.01200
1403715278.910183191299438,0.00593,0.00018,0.00569,0.00000,0.01276,0.00433,0.02890
1403715278.960045099258423,0.00610,0.00030,0.00075,0.00329,0.00000,0.00424,0.01469
1403715279.009855270385742,0.00582,0.00028,0.00016,0.00323,0.00000,0.00444,0.01393
1403715279.059795379638672,0.00891,0.00029,0.00011,0.00330,0.00000,0.00439,0.01702
1403715279.109533309936523,0.00580,0.00031,0.00065,0.00335,0.00000,0.00440,0.01451
1403715279.159497499465942,0.00573,0.00032,0.00036,0.00335,0.00000,0.00426,0.01403
1403715279.209505796432495,0.00559,0.00031,0.00095,0.00336,0.00000,0.00466,0.01487
1403715279.259770393371582,0.00571,0.00028,0.00003,0.00341,0.00708,0.00462,0.02113
1403715279.309228658676147,0.00577,0.00032,0.00008,0.00420,0.00607,0.00470,0.02115
1403715279.357932567596436,0.00585,0.00034,0.00003,0.00513,0.00191,0.00456,0.01783
1403715279.406907558441162,0.00608,0.00036,0.00004,0.00537,0.01462,0.00516,0.03162
1403715279.456335783004761,0.00544,0.00040,0.00004,0.00799,0.00001,0.00498,0.01885
1403715279.505338668823242,0.00554,0.00039,0.01823,0.00758,0.00206,0.00506,0.03887
1403715279.554885387420654,0.00534,0.00038,0.00003,0.00836,0.00010,0.00450,0.01872
1403715279.604651927947998,0.00523,0.00039,0.00187,0.00867,0.00208,0.00473,0.02297
1403715279.654529094696045,0.00527,0.00041,0.00003,0.00880,0.00001,0.00464,0.01917
1403715279.704396486282349,0.00541,0.00042,0.00003,0.00869,0.00001,0.00471,0.01926
1403715279.754364252090454,0.00541,0.00042,0.00003,0.00928,0.00001,0.00447,0.01962
1403715279.804096937179565,0.00537,0.00037,0.00009,0.00871,0.00001,0.00480,0.01934
1403715279.854634523391724,0.00537,0.00040,0.00011,0.00844,0.00001,0.00458,0.01890
1403715279.904773950576782,0.00534,0.00041,0.00009,0.00836,0.00001,0.00474,0.01894
1403715279.955312967300415,0.00549,0.00041,0.00366,0.00798,0.00051,0.00488,0.02293
1403715280.005961656570435,0.00542,0.00038,0.00004,0.00861,0.00001,0.00520,0.01966
1403715280.056135654449463,0.00586,0.00040,0.00010,0.00845,0.00001,0.00453,0.01934
1403715280.106136322021484,0.00552,0.00040,0.01678,0.00797,0.00010,0.00466,0.03543
1403715280.158492565155029,0.00538,0.00041,0.00008,0.00917,0.00011,0.00469,0.01984
1403715280.210940599441528,0.00618,0.00040,0.00015,0.00656,0.00205,0.00468,0.02003
1403715280.262967348098755,0.00625,0.00041,0.00036,0.00600,0.00045,0.00438,0.01784
