# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.865833759307861,0.01558,0.00015,0.00063,0.00000,0.00000,0.00494,0.02131
1403715278.916796922683716,0.01415,0.00019,0.00570,0.00000,0.01221,0.00493,0.03719
1403715278.966677904129028,0.01355,0.00026,0.00067,0.00327,0.00000,0.00491,0.02266
1403715279.015584468841553,0.01392,0.00029,0.00016,0.00324,0.00000,0.00523,0.02285
1403715279.064369440078735,0.01604,0.00028,0.00011,0.00331,0.00000,0.00524,0.02497
1403715279.113200426101685,0.01374,0.00029,0.00064,0.00337,0.00000,0.00519,0.02324
1403715279.162740230560303,0.01326,0.00033,0.00032,0.00325,0.00000,0.00522,0.02238
1403715279.213457822799683,0.01368,0.00032,0.00093,0.00337,0.00000,0.00520,0.02350
1403715279.263720273971558,0.01346,0.00028,0.00003,0.00340,0.00705,0.00543,0.02966
1403715279.313922643661499,0.01344,0.00033,0.00008,0.00417,0.00608,0.00562,0.02973
1403715279.363284349441528,0.01372,0.00032,0.00003,0.00498,0.00190,0.00551,0.02646
1403715279.412823677062988,0.01407,0.00032,0.00003,0.00535,0.01507,0.00677,0.04161
1403715279.462261199951172,0.01339,0.00038,0.00003,0.00777,0.00000,0.00590,0.02748
1403715279.511545896530151,0.01311,0.00037,0.01967,0.00885,0.00214,0.00562,0.04976
1403715279.560771703720093,0.01395,0.00038,0.00003,0.00817,0.00010,0.00540,0.02804
1403715279.610499143600464,0.01297,0.00038,0.00177,0.00863,0.00208,0.00568,0.03151
1403715279.660233497619629,0.01375,0.00041,0.00003,0.00863,0.00000,0.00547,0.02829
1403715279.710320472717285,0.01309,0.00037,0.00003,0.00866,0.00001,0.00568,0.02785
1403715279.760655641555786,0.01382,0.00040,0.00003,0.00860,0.00000,0.00542,0.02827
1403715279.810857057571411,0.01335,0.00038,0.00009,0.00907,0.00001,0.00556,0.02845
1403715279.861196041107178,0.01316,0.00039,0.00012,0.00851,0.00000,0.00559,0.02777
1403715279.911295890808105,0.01299,0.00039,0.00008,0.00859,0.00000,0.00551,0.02756
1403715279.961287736892700,0.01328,0.00035,0.00333,0.00839,0.00007,0.00571,0.03113
1403715280.011531352996826,0.01349,0.00039,0.00003,0.00861,0.00000,0.00597,0.02850
1403715280.061632871627808,0.01380,0.00039,0.00010,0.00852,0.00000,0.00567,0.02848
1403715280.111559867858887,0.01486,0.00037,0.01709,0.00941,0.00010,0.00553,0.04736
1403715280.161634206771851,0.01557,0.00038,0.00024,0.00869,0.00012,0.00606,0.03104
1403715280.212013006210327,0.01467,0.00039,0.00173,0.00817,0.00013,0.00557,0.03066
1403715280.262924909591675,0.01417,0.00034,0.00020,0.00786,0.00000,0.00564,0.02821
1403715280.313040971755981,0.01457,0.00042,0.00003,0.00803,0.00001,0.00559,0.02864
1403715280.362966060638428,0.01345,0.00039,0.00003,0.00788,0.00000,0.00562,0.02737
1403715280.412737131118774,0.01522,0.00039,0.00003,0.00787,0.00000,0.00565,0.02916
1403715280.462347269058228,0.01369,0.00039,0.00071,0.00783,0.00000,0.00561,0.02824
1403715280.512205839157104,0.01327,0.00036,0.00018,0.00767,0.00000,0.00561,0.02709
1403715280.561975240707397,0.01580,0.00038,0.00150,0.00748,0.00141,0.00612,0.03269
1403715280.612089872360229,0.01469,0.00039,0.00079,0.00693,0.00000,0.00594,0.02874
1403715280.662068843841553,0.01410,0.00036,0.00085,0.00660,0.00535,0.00558,0.03284
1403715280.712197780609131,0.01634,0.00037,0.01886,0.00831,0.00286,0.00684,0.05358
1403715280.762151956558228,0.01391,0.00042,0.00111,0.00729,0.00143,0.00513,0.02928
1403715280.812153577804565,0.01394,0.00041,0.00288,0.00701,0.00050,0.00564,0.03038
1403715280.862129688262939,0.02143,0.00039,0.00027,0.00683,0.00045,0.00569,0.03505
1403715280.911969900131226,0.01540,0.00037,0.00037,0.00686,0.00042,0.00584,0.02926
1403715280.961756229400635,0.01420,0.00040,0.00034,0.00649,0.00001,0.00531,0.02674
1403715281.011590480804443,0.01396,0.00037,0.00072,0.00602,0.00033,0.00581,0.02721
1403715281.061550855636597,0.01575,0.00030,0.00066,0.00612,0.00001,0.00541,0.02825
1403715281.111453056335449,0.01461,0.00037,0.00003,0.00607,0.00853,0.00611,0.03572
1403715281.161512613296509,0.01494,0.00039,0.00133,0.00682,0.00002,0.00531,0.02881
1403715281.211728096008301,0.01392,0.00040,0.00120,0.00644,0.00041,0.00602,0.02839
1403715281.262163400650024,0.01431,0.00038,0.00026,0.00611,0.00298,0.00580,0.02984
1403715281.312520503997803,0.01382,0.00039,0.00859,0.00690,0.01390,0.00573,0.04933
1403715281.362500667572021,0.01373,0.00044,0.00020,0.00911,0.00000,0.00545,0.02894
1403715281.412601947784424,0.01442,0.00042,0.00944,0.00893,0.00283,0.00681,0.04284
1403715281.462627649307251,0.01329,0.00044,0.00009,0.00941,0.00001,0.00572,0.02895
1403715281.512542724609375,0.01452,0.00040,0.00008,0.00880,0.00000,0.00548,0.02928
1403715281.562492847442627,0.01402,0.00043,0.00003,0.00872,0.00000,0.00560,0.02881
1403715281.612480640411377,0.01460,0.00043,0.00960,0.00764,0.00071,0.00576,0.03874
1403715281.662485837936401,0.01408,0.00044,0.00028,0.00794,0.00000,0.00576,0.02850
1403715281.712510347366333,0.01868,0.00042,0.00115,0.00656,0.00002,0.00555,0.03237
1403715281.762600421905518,0.01513,0.00037,0.00038,0.00599,0.00000,0.00578,0.02765
1403715281.812600135803223,0.01591,0.00036,0.00008,0.00625,0.00001,0.00539,0.02799
1403715281.862701416015625,0.01385,0.00037,0.00150,0.00530,0.00002,0.00575,0.02680
1403715281.912703752517700,0.01413,0.00038,0.00026,0.00527,0.01225,0.00590,0.03819
1403715281.962802410125732,0.01593,0.00037,0.00026,0.00733,0.00000,0.00558,0.02947
1403715282.012843847274780,0.01385,0.00040,0.00432,0.00695,0.00707,0.00578,0.03837
1403715282.062941789627075,0.01385,0.00043,0.00009,0.00814,0.00000,0.00572,0.02823
1403715282.112929582595825,0.01411,0.00040,0.00018,0.00775,0.00045,0.00550,0.02838
