# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.866598606109619,0,6,0,0,5
1403715278.914565563201904,32,34,0,32,6
1403715278.964705944061279,31,4,31,0,7
1403715279.013392686843872,29,0,29,0,8
1403715279.062497854232788,29,0,29,0,9
1403715279.110997676849365,29,1,29,0,10
1403715279.160858392715454,28,1,28,0,11
1403715279.211926460266113,28,1,27,0,11
1403715279.262103557586670,33,0,27,5,11
1403715279.313101053237915,37,0,32,5,11
1403715279.364701986312866,38,0,37,1,11
1403715279.415853023529053,47,0,38,9,11
1403715279.466231822967529,47,0,47,0,11
1403715279.516000032424927,48,26,47,1,11
1403715279.565926790237427,48,0,48,0,11
1403715279.615276098251343,49,1,48,1,11
1403715279.664622545242310,49,0,49,0,11
1403715279.714566946029663,49,0,49,0,11
1403715279.764803886413574,49,0,49,0,11
1403715279.814726829528809,49,0,47,0,11
1403715279.865426301956177,49,0,47,0,11
1403715279.915720224380493,49,0,47,2,11
1403715279.966973066329956,49,2,49,0,11
1403715280.017946720123291,49,0,49,0,11
1403715280.068439722061157,49,0,48,0,11
1403715280.117850542068481,49,22,48,0,11
1403715280.166724681854248,48,1,47,1,11
1403715280.216122627258301,48,1,48,0,11
1403715280.265773057937622,47,0,47,0,11
1403715280.315868139266968,47,0,47,0,11
1403715280.365899324417114,47,0,47,0,11
1403715280.415637493133545,47,0,47,0,11
1403715280.465314149856567,47,1,47,0,11
1403715280.515116691589355,46,0,44,0,11
1403715280.564861297607422,47,3,42,1,11
1403715280.614864826202393,46,1,43,2,11
1403715280.664746761322021,49,1,44,4,11
1403715280.714617967605591,48,26,47,0,11
1403715280.764575481414795,47,1,44,1,11
1403715280.814571619033813,48,0,40,3,11
1403715280.864557027816772,48,0,44,1,11
1403715280.914452075958252,45,0,42,1,11
1403715280.964302778244019,43,2,42,0,11
1403715281.014175415039062,42,0,41,1,11
1403715281.064065933227539,41,1,40,0,11
1403715281.113981485366821,46,0,40,5,11
1403715281.164018869400024,44,1,44,0,11
1403715281.214132547378540,44,1,44,0,11
1403715281.264356613159180,44,0,42,1,11
1403715281.314410448074341,48,15,43,5,11
1403715281.364416837692261,47,1,47,0,11
1403715281.414455175399780,47,0,47,0,11
1403715281.464451313018799,50,12,47,3,11
1403715281.514412641525269,50,0,47,0,11
1403715281.564360380172729,50,0,46,0,11
1403715281.614331007003784,48,1,45,2,11
1403715281.664315700531006,47,0,44,0,11
1403715281.714295625686646,40,0,37,0,11
1403715281.764287710189819,37,0,36,0,11
1403715281.814272880554199,36,0,33,0,11
1403715281.864287137985229,34,0,31,0,11
1403715281.914259433746338,46,0,31,14,11
1403715281.964243173599243,46,1,45,1,11
1403715282.014253139495850,46,0,46,0,11
1403715282.064242601394653,50,7,44,4,11
1403715282.114234209060669,50,19,49,0,11
1403715282.164293289184570,50,0,48,1,11
1403715282.214291095733643,50,0,48,0,11
1403715282.264344215393066,50,0,46,2,11
1403715282.314342737197876,49,0,47,0,11
1403715282.364329099655151,49,0,46,1,11
1403715282.414302825927734,47,2,45,1,11
1403715282.464309692382812,47,7,41,2,11
1403715282.514244318008423,49,14,42,3,11
1403715282.564312934875488,46,0,39,3,11
1403715282.614393234252930,43,0,40,0,11
1403715282.664472818374634,47,3,40,7,11
1403715282.714397192001343,50,16,45,3,11
1403715282.764375925064087,49,0,47,0,11
1403715282.814375638961792,48,1,47,1,11
1403715282.864214181900024,47,0,41,0,11
1403715282.914150238037109,47,1,41,0,11
1403715282.964252471923828,46,2,40,6,11
1403715283.014141559600830,46,0,46,0,11
1403715283.064181327819824,50,0,45,4,11
1403715283.114231109619141,50,37,50,0,11
1403715283.164223909378052,49,5,49,0,11
1403715283.214232921600342,49,0,47,0,11
1403715283.264238595962524,48,4,46,0,11
1403715283.314257621765137,50,12,46,4,11
1403715283.364279747009277,50,0,50,0,11
1403715283.414293289184570,50,1,50,0,11
1403715283.464302301406860,48,0,48,0,11
1403715283.514295816421509,42,0,42,0,11
1403715283.564290523529053,42,0,41,0,11
1403715283.614300966262817,42,1,41,0,11
1403715283.664297103881836,42,1,41,1,11
1403715283.714267253875732,49,19,42,7,11
1403715283.764226913452148,50,2,48,1,11
1403715283.814194202423096,49,0,48,0,11
1403715283.864123344421387,48,3,46,1,11
1403715283.914062261581421,50,9,47,2,11
1403715283.964037656784058,49,0,49,0,11
1403715284.013999700546265,50,0,49,1,11
1403715284.063941478729248,50,0,50,0,11
1403715284.113882780075073,50,21,50,0,11
1403715284.163892984390259,50,0,50,0,11
1403715284.213914871215820,50,1,50,0,11
1403715284.263966083526611,50,1,50,0,11
1403715284.313914060592651,50,17,50,0,11
1403715284.363906621932983,50,2,50,0,11
1403715284.413892030715942,50,0,48,0,11
1403715284.463866710662842,50,4,48,0,11
1403715284.513804435729980,49,8,46,2,11
1403715284.563757419586182,50,0,47,1,11
1403715284.613733291625977,49,0,46,0,11
1403715284.663764476776123,49,0,41,1,11
1403715284.713632822036743,50,18,42,3,11
1403715284.763719797134399,49,0,44,4,11
1403715284.813680648803711,49,0,46,0,11
1403715284.863654851913452,49,0,46,1,11
1403715284.913628816604614,49,13,47,2,11
1403715284.963548183441162,49,0,48,0,11
1403715285.013512849807739,49,0,47,0,11
1403715285.063519716262817,48,1,46,1,11
1403715285.113551139831543,50,5,47,2,11
1403715285.163544178009033,48,0,48,0,11
1403715285.213484048843384,47,1,47,0,11
1403715285.263405799865723,47,0,47,0,11
1403715285.313338756561279,49,14,47,2,11
1403715285.363374471664429,48,0,48,0,11
1403715285.413405418395996,48,0,48,0,11
1403715285.463448524475098,48,1,47,0,11
1403715285.513406515121460,50,12,47,2,11
1403715285.563390731811523,49,2,49,0,11
1403715285.613390207290649,49,0,49,0,11
1403715285.663391351699829,49,1,47,1,11
1403715285.713375568389893,50,5,49,1,11
1403715285.763328075408936,49,1,49,0,11
1403715285.813239336013794,48,0,45,0,11
1403715285.863045215606689,47,0,42,0,11
1403715285.912832975387573,49,16,42,6,11
1403715285.962764739990234,49,0,48,0,11
1403715286.012753486633301,48,0,48,0,11
1403715286.062732219696045,48,0,48,0,11
1403715286.112684011459351,49,14,48,1,11
1403715286.162649393081665,49,5,48,1,11
1403715286.212630748748779,49,0,49,0,11
1403715286.262619256973267,49,0,48,1,11
1403715286.312606096267700,50,4,49,1,11
1403715286.362599134445190,49,3,49,0,11
1403715286.412593841552734,49,0,49,0,11
1403715286.462586641311646,48,1,48,0,11
1403715286.512585878372192,48,9,44,2,11
1403715286.562604665756226,46,2,44,1,11
1403715286.612637758255005,46,0,44,1,11
1403715286.662671327590942,44,0,43,1,11
1403715286.712670326232910,46,22,40,4,11
