# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862729549407959,0.01626,0.00014,0.00063,0.00000,0.00000,0.00491,0.02196
1403715278.914066076278687,0.01355,0.00019,0.00563,0.00000,0.01230,0.00505,0.03672
1403715278.963840007781982,0.01382,0.00024,0.00074,0.00325,0.00000,0.00486,0.02291
1403715279.012334585189819,0.01395,0.00025,0.00015,0.00323,0.00000,0.00519,0.02278
1403715279.061635255813599,0.01659,0.00029,0.00011,0.00325,0.00000,0.00512,0.02537
1403715279.110615491867065,0.01388,0.00029,0.00064,0.00332,0.00000,0.00522,0.02335
1403715279.160508394241333,0.01418,0.00030,0.00031,0.00327,0.00000,0.00513,0.02318
1403715279.210792064666748,0.01485,0.00029,0.00093,0.00334,0.00000,0.00550,0.02491
1403715279.260844707489014,0.01387,0.00030,0.00003,0.00344,0.00702,0.00557,0.03024
1403715279.310955047607422,0.01378,0.00033,0.00008,0.00420,0.00613,0.00562,0.03014
1403715279.361260890960693,0.01430,0.00033,0.00003,0.00501,0.00188,0.00537,0.02692
1403715279.412095069885254,0.01474,0.00031,0.00003,0.00542,0.01455,0.00571,0.04077
1403715279.462285757064819,0.01418,0.00037,0.00003,0.00766,0.00000,0.00583,0.02807
1403715279.512178897857666,0.01378,0.00037,0.01991,0.00857,0.00214,0.00563,0.05041
1403715279.561600208282471,0.01344,0.00037,0.00003,0.00820,0.00010,0.00531,0.02746
1403715279.611446142196655,0.01330,0.00035,0.00181,0.00807,0.00257,0.00556,0.03165
1403715279.661100625991821,0.01402,0.00038,0.00003,0.00870,0.00000,0.00537,0.02851
1403715279.710913181304932,0.01346,0.00039,0.00003,0.00879,0.00001,0.00584,0.02851
1403715279.760990381240845,0.01639,0.00038,0.00003,0.00858,0.00000,0.00542,0.03081
1403715279.810943126678467,0.01374,0.00038,0.00008,0.00871,0.00000,0.00565,0.02857
1403715279.860983133316040,0.01372,0.00037,0.00010,0.00864,0.00000,0.00551,0.02834
1403715279.911001205444336,0.01414,0.00039,0.00008,0.00860,0.00000,0.00551,0.02872
1403715279.961265563964844,0.01318,0.00037,0.00340,0.00841,0.00007,0.00530,0.03073
1403715280.011675834655762,0.01375,0.00039,0.00003,0.00857,0.00000,0.00613,0.02888
1403715280.061813831329346,0.01381,0.00036,0.00010,0.00856,0.00001,0.00542,0.02826
1403715280.111857414245605,0.01456,0.00036,0.01704,0.00908,0.00015,0.00544,0.04663
1403715280.162258625030518,0.01425,0.00038,0.00025,0.00868,0.00011,0.00559,0.02925
1403715280.212996244430542,0.01470,0.00038,0.00172,0.00814,0.00014,0.00537,0.03045
1403715280.263955354690552,0.01337,0.00038,0.00028,0.00793,0.00000,0.00539,0.02736
1403715280.314205646514893,0.01567,0.00041,0.00003,0.00800,0.00000,0.00535,0.02946
1403715280.364241123199463,0.01334,0.00038,0.00003,0.00789,0.00001,0.00554,0.02718
1403715280.414018154144287,0.01551,0.00037,0.00003,0.00800,0.00000,0.00585,0.02976
1403715280.463639736175537,0.01719,0.00038,0.00069,0.00780,0.00000,0.00538,0.03145
1403715280.513370275497437,0.01399,0.00038,0.00017,0.00763,0.00001,0.00565,0.02783
1403715280.563052654266357,0.01418,0.00038,0.00131,0.00751,0.00140,0.00590,0.03068
1403715280.612977743148804,0.01610,0.00037,0.00077,0.00765,0.00000,0.00576,0.03066
1403715280.662728786468506,0.01457,0.00036,0.00075,0.00740,0.00523,0.00556,0.03387
1403715280.712674856185913,0.01429,0.00038,0.01752,0.00846,0.00014,0.00569,0.04649
1403715280.762660980224609,0.01482,0.00037,0.00170,0.00742,0.00295,0.00513,0.03238
1403715280.812694787979126,0.01392,0.00039,0.00260,0.00751,0.00049,0.00570,0.03061
1403715280.862746715545654,0.01702,0.00039,0.00058,0.00749,0.00000,0.00510,0.03058
1403715280.912907361984253,0.01694,0.00038,0.00215,0.00701,0.00002,0.00541,0.03190
1403715280.962940931320190,0.01468,0.00037,0.00031,0.00616,0.00320,0.00567,0.03040
1403715281.012945175170898,0.01494,0.00035,0.00054,0.00575,0.00038,0.00566,0.02763
1403715281.062955617904663,0.01293,0.00032,0.00008,0.00601,0.00000,0.00545,0.02479
1403715281.112908124923706,0.01371,0.00034,0.00003,0.00591,0.00000,0.00586,0.02585
1403715281.162909984588623,0.01343,0.00036,0.00022,0.00557,0.00478,0.00528,0.02963
1403715281.212965011596680,0.01670,0.00035,0.00101,0.00632,0.00000,0.00556,0.02994
1403715281.263151645660400,0.01377,0.00034,0.00019,0.00619,0.00000,0.00552,0.02601
1403715281.313302278518677,0.01481,0.00035,0.00889,0.00584,0.01662,0.00685,0.05336
1403715281.363305330276489,0.01393,0.00038,0.00109,0.00855,0.00001,0.00546,0.02941
1403715281.413403511047363,0.01481,0.00040,0.00004,0.00848,0.00203,0.00564,0.03140
1403715281.463459491729736,0.01408,0.00040,0.01278,0.00880,0.00484,0.00532,0.04622
1403715281.513384580612183,0.01440,0.00035,0.00017,0.00905,0.00000,0.00567,0.02966
1403715281.563354730606079,0.01437,0.00039,0.00003,0.00877,0.00001,0.00535,0.02892
1403715281.613317966461182,0.01429,0.00039,0.00040,0.00822,0.00076,0.00590,0.02996
1403715281.663288831710815,0.01420,0.00039,0.00022,0.00854,0.00048,0.00540,0.02923
1403715281.713258028030396,0.01431,0.00040,0.00114,0.00663,0.00041,0.00568,0.02857
1403715281.763141870498657,0.01861,0.00034,0.00785,0.00613,0.01260,0.00553,0.05106
1403715281.813130140304565,0.01734,0.00038,0.00034,0.00678,0.00002,0.00665,0.03151
1403715281.863105297088623,0.01466,0.00034,0.00060,0.00625,0.00000,0.00562,0.02747
1403715281.913101434707642,0.01482,0.00033,0.00251,0.00602,0.01016,0.00621,0.04004
1403715281.963062763214111,0.01751,0.00040,0.00018,0.00784,0.00046,0.00521,0.03159
1403715282.013074398040771,0.01464,0.00038,0.00004,0.00825,0.00007,0.00585,0.02922
1403715282.062971353530884,0.01442,0.00038,0.00788,0.00787,0.00569,0.00640,0.04265
1403715282.112999439239502,0.01382,0.00038,0.00003,0.00938,0.00007,0.00570,0.02938
1403715282.163056612014771,0.01432,0.00036,0.00013,0.00871,0.00000,0.00541,0.02893
1403715282.213041305541992,0.01375,0.00039,0.00019,0.00864,0.00048,0.00589,0.02933
1403715282.263068914413452,0.01429,0.00036,0.00019,0.00853,0.00046,0.00567,0.02950
1403715282.313123703002930,0.01438,0.00035,0.01492,0.00880,0.00379,0.00557,0.04782
1403715282.363124370574951,0.01412,0.00042,0.00859,0.00954,0.00049,0.00524,0.03840
1403715282.413086652755737,0.01401,0.00038,0.00029,0.00838,0.00000,0.00584,0.02890
1403715282.463106393814087,0.01384,0.00039,0.00085,0.00816,0.00000,0.00555,0.02879
1403715282.513134956359863,0.01505,0.00039,0.00120,0.00782,0.00375,0.00545,0.03366
1403715282.563084125518799,0.01348,0.00038,0.00022,0.00830,0.00000,0.00543,0.02782
