# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862634181976318,0.00660,0.00018,0.00066,0.00000,0.00000,0.00432,0.01177
1403715278.911011934280396,0.00593,0.00019,0.00575,0.00001,0.01291,0.00423,0.02903
1403715278.960593700408936,0.00585,0.00025,0.00076,0.00327,0.00000,0.00431,0.01444
1403715279.010122060775757,0.00580,0.00029,0.00015,0.00326,0.00000,0.00429,0.01380
1403715279.059908390045166,0.00851,0.00028,0.00011,0.00327,0.00000,0.00432,0.01650
1403715279.109645128250122,0.00555,0.00031,0.00065,0.00342,0.00001,0.00431,0.01424
1403715279.159609079360962,0.00553,0.00030,0.00036,0.00325,0.00000,0.00430,0.01374
1403715279.209585189819336,0.00549,0.00032,0.00092,0.00333,0.00000,0.00455,0.01461
1403715279.259815692901611,0.00558,0.00027,0.00003,0.00336,0.00689,0.00460,0.02074
1403715279.309659481048584,0.00566,0.00033,0.00008,0.00418,0.00621,0.00457,0.02103
1403715279.359470367431641,0.00551,0.00034,0.00003,0.00508,0.00181,0.00450,0.01728
1403715279.409101247787476,0.00593,0.00036,0.00003,0.00536,0.01452,0.00500,0.03120
1403715279.458809375762939,0.00572,0.00040,0.00003,0.00771,0.00001,0.00546,0.01933
1403715279.508821249008179,0.00570,0.00037,0.01747,0.00791,0.00209,0.00459,0.03813
1403715279.558765888214111,0.00563,0.00041,0.00004,0.00818,0.00010,0.00438,0.01873
1403715279.608511209487915,0.00654,0.00038,0.00182,0.00813,0.00202,0.00464,0.02354
1403715279.658269882202148,0.00536,0.00044,0.00003,0.00863,0.00001,0.00456,0.01904
1403715279.708334445953369,0.00567,0.00040,0.00003,0.00864,0.00001,0.00456,0.01930
1403715279.758357286453247,0.00546,0.00042,0.00004,0.00860,0.00001,0.00437,0.01890
1403715279.808312416076660,0.00558,0.00037,0.00008,0.00868,0.00001,0.00467,0.01940
1403715279.858366489410400,0.00538,0.00043,0.00011,0.00859,0.00000,0.00451,0.01903
1403715279.908092021942139,0.00544,0.00039,0.00008,0.00860,0.00001,0.00451,0.01903
1403715279.957916498184204,0.00556,0.00042,0.00338,0.00841,0.00007,0.00463,0.02246
1403715280.007656335830688,0.00556,0.00040,0.00004,0.00866,0.00001,0.00566,0.02033
