# timestamp(s) tx ty tz qx qy qz qw
1403715278.86347 -0.009907000 0.020668000 0.075737000 0.807565000 -0.008399000 0.589707000 0.003750000
1403715278.90900 0.028614000 0.021802000 0.094452000 0.812745000 -0.009556000 0.582534000 0.002876000
1403715278.95863 0.035632000 0.022894000 0.113393000 0.812952000 -0.009433000 0.582248000 0.002851000
1403715279.00830 0.043450000 0.024091000 0.128447000 0.812881000 -0.008547000 0.582355000 0.003826000
1403715279.05796 0.050909000 0.025167000 0.138743000 0.813281000 -0.008218000 0.581803000 0.003551000
1403715279.10766 0.058578000 0.026297000 0.144272000 0.813360000 -0.007975000 0.581694000 0.003620000
1403715279.15765 0.066119000 0.027133000 0.144736000 0.813629000 -0.007161000 0.581329000 0.003733000
1403715279.20755 0.073461000 0.027986000 0.141646000 0.814104000 -0.006482000 0.580667000 0.004249000
1403715279.25758 0.078653000 0.027526000 0.134573000 0.814082000 -0.005273000 0.580711000 0.004081000
1403715279.30748 0.085391000 0.028197000 0.128535000 0.814541000 -0.004979000 0.580074000 0.003437000
1403715279.35752 0.090638000 0.028623000 0.124092000 0.815203000 -0.005374000 0.579145000 0.002515000
1403715279.40735 0.094022000 0.027533000 0.116312000 0.814771000 -0.005502000 0.579756000 0.001060000
1403715279.45719 0.097870000 0.028291000 0.113872000 0.815296000 -0.005544000 0.579018000 0.000291000
1403715279.50650 0.103677000 0.030140000 0.113942000 -0.814387000 0.005087000 -0.580300000 0.000111000
1403715279.55629 0.107171000 0.031019000 0.116926000 0.814478000 -0.004419000 0.580177000 0.000513000
1403715279.60610 0.109668000 0.031671000 0.119428000 0.814820000 -0.004362000 0.579697000 0.000708000
1403715279.65626 0.110858000 0.031203000 0.121170000 0.815136000 -0.004170000 0.579254000 0.000713000
1403715279.70625 0.112371000 0.030633000 0.123297000 0.814924000 -0.004105000 0.579553000 0.000765000
1403715279.75628 0.113898000 0.030602000 0.126043000 0.814983000 -0.004199000 0.579469000 0.000577000
1403715279.80605 0.115630000 0.029925000 0.133434000 0.814903000 -0.004501000 0.579579000 0.000446000
1403715279.85642 0.117013000 0.029014000 0.144689000 0.815038000 -0.004346000 0.579391000 0.000409000
1403715279.90668 0.117766000 0.028096000 0.155493000 0.815541000 -0.004315000 0.578683000 0.000569000
1403715279.95705 0.115929000 0.025803000 0.165309000 0.817365000 -0.004048000 0.576105000 0.001503000
1403715280.00768 0.115428000 0.025412000 0.178585000 0.820664000 -0.004039000 0.571395000 0.001566000
1403715280.05855 0.115795000 0.025256000 0.188996000 0.824722000 -0.004032000 0.565521000 0.001454000
1403715280.10894 0.116072000 0.024239000 0.195659000 0.828917000 -0.002072000 0.559352000 0.004069000
1403715280.15975 0.116623000 0.022768000 0.203004000 0.831185000 -0.000394000 0.555960000 0.006205000
1403715280.21054 0.118082000 0.021346000 0.212367000 0.832135000 0.002800000 0.554472000 0.010193000
1403715280.26136 0.120591000 0.019919000 0.222180000 0.831907000 0.005609000 0.554708000 0.014037000
1403715280.31157 0.124936000 0.019278000 0.231516000 0.831015000 0.007902000 0.555940000 0.016808000
1403715280.36151 0.131363000 0.019852000 0.240855000 0.829418000 0.009484000 0.558223000 0.019050000
1403715280.41139 0.138684000 0.020954000 0.249641000 0.827893000 0.009731000 0.560380000 0.021741000
1403715280.46114 0.146927000 0.022639000 0.257089000 0.827247000 0.006569000 0.561379000 0.021745000
1403715280.51103 0.155610000 0.025131000 0.264610000 0.826185000 0.000124000 0.563017000 0.020718000
1403715280.56084 0.164106000 0.028137000 0.272159000 0.825164000 -0.007427000 0.564462000 0.020775000
1403715280.61089 0.171939000 0.031218000 0.279534000 0.823909000 -0.016301000 0.566064000 0.021899000
1403715280.66086 0.179456000 0.033977000 0.287474000 0.822891000 -0.025374000 0.567036000 0.026038000
1403715280.71101 0.188586000 0.035536000 0.295404000 0.821624000 -0.035631000 0.568092000 0.030605000
1403715280.76100 0.197778000 0.038097000 0.302091000 0.820701000 -0.046294000 0.568328000 0.036194000
1403715280.81101 0.207443000 0.040150000 0.307984000 0.820090000 -0.057214000 0.567800000 0.042224000
1403715280.86100 0.217605000 0.042451000 0.313413000 0.818743000 -0.067808000 0.568033000 0.049005000
1403715280.91120 0.227838000 0.046112000 0.317144000 0.817520000 -0.077155000 0.567942000 0.056127000
1403715280.96130 0.237835000 0.050014000 0.320904000 0.816408000 -0.085274000 0.567770000 0.061990000
1403715281.01134 0.246481000 0.053364000 0.323716000 0.815244000 -0.092523000 0.567766000 0.066767000
1403715281.06140 0.255765000 0.056567000 0.327090000 0.814841000 -0.098328000 0.566758000 0.071769000
1403715281.11146 0.265205000 0.059946000 0.330421000 0.814064000 -0.103396000 0.566460000 0.075707000
1403715281.16153 0.273528000 0.063570000 0.333654000 0.813099000 -0.107246000 0.566649000 0.079228000
1403715281.21158 0.281858000 0.067025000 0.336537000 0.812351000 -0.110888000 0.566538000 0.082604000
1403715281.26167 0.289324000 0.069663000 0.339656000 0.811658000 -0.115205000 0.566226000 0.085600000
1403715281.31185 0.295958000 0.071554000 0.342123000 0.811090000 -0.120082000 0.565458000 0.089280000
1403715281.36194 0.303423000 0.072954000 0.343524000 0.810485000 -0.125714000 0.564465000 0.093217000
1403715281.41206 0.311365000 0.074099000 0.344670000 0.809784000 -0.131854000 0.563310000 0.097702000
1403715281.46238 0.315802000 0.072875000 0.345352000 0.807664000 -0.138127000 0.563824000 0.103454000
1403715281.51234 0.321924000 0.074388000 0.346216000 0.805990000 -0.145916000 0.562999000 0.110096000
1403715281.56241 0.328290000 0.075473000 0.346020000 0.804177000 -0.154444000 0.561800000 0.117588000
1403715281.61244 0.335397000 0.076352000 0.345203000 0.801846000 -0.164179000 0.560714000 0.125251000
1403715281.66243 0.343717000 0.076794000 0.344311000 0.799339000 -0.175413000 0.559176000 0.132703000
1403715281.71239 0.352612000 0.076731000 0.342542000 0.796492000 -0.186793000 0.557504000 0.141059000
1403715281.76223 0.362970000 0.075875000 0.340338000 0.793672000 -0.199221000 0.555178000 0.148904000
1403715281.81228 0.372444000 0.075441000 0.337963000 0.790599000 -0.211711000 0.552722000 0.156939000
1403715281.86223 0.382108000 0.074563000 0.335210000 0.786788000 -0.224559000 0.550729000 0.165033000
1403715281.91231 0.391531000 0.073582000 0.332871000 0.783339000 -0.237191000 0.547848000 0.173153000
1403715281.96224 0.401997000 0.072797000 0.329156000 0.779285000 -0.249676000 0.545569000 0.180918000
1403715282.01226 0.413072000 0.071798000 0.324396000 0.775240000 -0.261538000 0.543194000 0.188524000
1403715282.06222 0.424858000 0.070201000 0.319045000 0.771023000 -0.273623000 0.540747000 0.195568000
1403715282.11221 0.436975000 0.068814000 0.313289000 0.767236000 -0.284212000 0.537598000 0.203864000
1403715282.16228 0.449824000 0.067933000 0.308053000 0.763508000 -0.295896000 0.534099000 0.210333000
1403715282.21229 0.462953000 0.066842000 0.303143000 0.759446000 -0.306129000 0.531097000 0.217858000
1403715282.26237 0.477527000 0.066026000 0.297672000 0.755895000 -0.316929000 0.526940000 0.224753000
1403715282.31235 0.492730000 0.065904000 0.291725000 0.752396000 -0.327509000 0.522655000 0.231236000
1403715282.36233 0.506561000 0.064394000 0.286740000 0.748108000 -0.337742000 0.519104000 0.238319000
1403715282.41230 0.520924000 0.063408000 0.281271000 0.744731000 -0.346976000 0.514098000 0.246347000
1403715282.46227 0.535735000 0.063013000 0.275350000 0.740280000 -0.357459000 0.510300000 0.252592000
1403715282.51224 0.550687000 0.061833000 0.269343000 0.735553000 -0.366434000 0.507149000 0.259783000
1403715282.56224 0.565645000 0.060696000 0.263017000 0.730698000 -0.376210000 0.503551000 0.266426000
1403715282.61225 0.580890000 0.060170000 0.256400000 0.725192000 -0.384683000 0.501100000 0.273886000
1403715282.66223 0.597711000 0.059260000 0.248627000 0.719312000 -0.393443000 0.499243000 0.280265000
1403715282.71214 0.614926000 0.059862000 0.240667000 0.713201000 -0.402979000 0.497175000 0.285953000
1403715282.76214 0.631631000 0.061773000 0.232901000 0.707003000 -0.412511000 0.495557000 0.290524000
