# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.865248441696167,0,6,0,0,5
1403715278.914172649383545,32,34,0,32,6
1403715278.964475154876709,31,4,31,0,7
1403715279.014353513717651,29,0,29,0,8
1403715279.064173221588135,29,0,29,0,9
1403715279.113575935363770,29,1,29,0,10
1403715279.163374423980713,28,1,28,0,11
1403715279.213850975036621,28,1,28,0,11
1403715279.264160156250000,33,0,28,5,11
1403715279.314568042755127,37,0,33,4,11
1403715279.364632844924927,38,0,37,1,11
1403715279.414773464202881,47,0,38,9,11
1403715279.464671373367310,47,0,47,0,11
1403715279.514258623123169,48,25,47,1,11
1403715279.563978672027588,48,0,48,0,11
1403715279.613745689392090,49,1,48,1,11
1403715279.663463830947876,49,0,49,0,11
1403715279.713394165039062,49,0,49,0,11
1403715279.763557195663452,49,0,49,0,11
1403715279.813636064529419,49,0,49,0,11
1403715279.863820552825928,49,0,49,0,11
1403715279.913800716400146,49,0,49,0,11
1403715279.963768243789673,49,2,49,0,11
1403715280.013937711715698,49,0,49,0,11
1403715280.063939332962036,49,0,49,0,11
1403715280.113309860229492,49,20,49,0,11
1403715280.162575721740723,48,0,47,0,11
1403715280.211842536926270,48,1,47,0,11
1403715280.261360406875610,47,0,46,1,11
1403715280.311392784118652,47,0,47,0,11
1403715280.361398935317993,47,0,47,0,11
1403715280.411360740661621,47,0,47,0,11
1403715280.461268663406372,47,1,47,0,11
1403715280.511438846588135,46,0,46,0,11
1403715280.561440229415894,47,2,45,1,11
1403715280.611602067947388,46,1,45,0,11
1403715280.661634683609009,47,1,43,3,11
1403715280.711664438247681,46,23,44,0,11
1403715280.761628866195679,47,2,42,2,11
1403715280.811635971069336,47,0,42,3,11
1403715280.861667871475220,46,2,45,1,11
1403715280.911674261093140,46,2,45,0,11
1403715280.961665391921997,45,0,42,2,11
1403715281.011681318283081,42,0,41,1,11
1403715281.061736583709717,41,0,41,0,11
1403715281.111752986907959,41,0,41,0,11
1403715281.161848783493042,42,0,39,3,11
1403715281.211938142776489,42,1,42,0,11
1403715281.262147188186646,41,0,41,0,11
1403715281.312356472015381,48,13,40,8,11
1403715281.362363815307617,47,1,47,0,11
1403715281.412387847900391,47,0,47,0,11
1403715281.462494850158691,50,12,47,3,11
1403715281.512515068054199,50,0,50,0,11
1403715281.562556505203247,50,0,47,0,11
1403715281.612509965896606,50,0,44,0,11
1403715281.662510395050049,50,0,40,3,11
1403715281.712564229965210,42,0,36,0,11
1403715281.762777328491211,47,7,36,9,11
1403715281.812697410583496,45,0,40,0,11
1403715281.862829208374023,43,2,38,2,11
1403715281.912728786468506,48,2,39,7,11
1403715281.962832689285278,47,0,45,0,11
1403715282.012867927551270,47,0,45,1,11
1403715282.062946081161499,49,8,46,3,11
1403715282.112917661666870,49,0,47,0,11
1403715282.163041591644287,48,0,46,0,11
1403715282.213017463684082,48,0,46,2,11
1403715282.263075351715088,48,0,48,0,11
1403715282.313107252120972,50,18,47,2,11
1403715282.363095283508301,50,7,48,0,11
1403715282.413069009780884,48,0,46,1,11
1403715282.463068485260010,47,0,45,1,11
1403715282.513051748275757,49,2,46,2,11
1403715282.563044309616089,47,0,47,0,11
1403715282.613043308258057,44,0,43,0,11
1403715282.663050889968872,47,7,43,3,11
1403715282.713044881820679,46,1,44,0,11
1403715282.763041257858276,46,0,44,0,11
1403715282.813019514083862,46,1,44,2,11
1403715282.862979412078857,45,0,45,0,11
1403715282.912944793701172,50,11,45,5,11
1403715282.962936401367188,47,7,47,0,11
1403715283.012959480285645,47,2,46,0,11
1403715283.062913894653320,47,0,44,0,11
1403715283.112869977951050,47,0,43,2,11
1403715283.162891149520874,47,0,43,2,11
1403715283.212889909744263,47,0,45,0,11
1403715283.262929916381836,47,32,45,2,11
1403715283.312911272048950,46,1,46,0,11
1403715283.362936019897461,46,0,46,0,11
1403715283.412977457046509,46,0,45,0,11
1403715283.463009119033813,44,0,43,0,11
1403715283.513034105300903,45,5,38,7,11
1403715283.563043832778931,50,2,45,5,11
1403715283.613070964813232,49,0,49,0,11
1403715283.663077116012573,49,1,49,0,11
1403715283.713068008422852,49,1,49,0,11
1403715283.763092517852783,49,1,49,0,11
1403715283.813017368316650,48,0,48,0,11
1403715283.862980842590332,49,24,46,1,11
1403715283.912884950637817,48,0,45,0,11
1403715283.962909698486328,47,0,45,1,11
1403715284.012996912002563,47,0,46,1,11
1403715284.063072204589844,47,0,47,0,11
1403715284.113106727600098,50,1,47,3,11
1403715284.163026332855225,49,26,49,0,11
1403715284.212995290756226,48,0,47,0,11
1403715284.263000011444092,48,1,47,0,11
1403715284.312968254089355,48,0,47,1,11
1403715284.362998485565186,48,0,46,0,11
1403715284.412911415100098,48,0,39,0,11
1403715284.463089466094971,49,19,37,3,11
1403715284.512938261032104,48,1,32,6,11
1403715284.562949657440186,48,0,36,2,11
1403715284.612888574600220,47,0,41,6,11
1403715284.662758588790894,47,1,47,0,11
1403715284.712781429290771,48,0,47,1,11
1403715284.762550115585327,50,23,48,2,11
1403715284.812574148178101,50,0,50,0,11
1403715284.862629175186157,50,0,50,0,11
1403715284.912703990936279,50,0,49,0,11
1403715284.962781190872192,50,0,49,0,11
1403715285.012831926345825,49,0,48,0,11
1403715285.062817096710205,50,17,45,2,11
1403715285.112813234329224,50,2,47,1,11
1403715285.162848949432373,48,0,46,1,11
1403715285.212950229644775,47,1,45,0,11
1403715285.263060569763184,47,0,44,1,11
1403715285.313115835189819,47,0,45,1,11
1403715285.363222837448120,49,13,46,3,11
1403715285.413250684738159,49,0,48,0,11
1403715285.463244676589966,49,0,48,0,11
1403715285.513216495513916,49,0,48,1,11
1403715285.563163518905640,48,0,48,0,11
1403715285.613137722015381,48,0,47,0,11
1403715285.663144588470459,47,19,45,1,11
1403715285.713162422180176,47,0,46,1,11
1403715285.763158798217773,47,0,46,1,11
1403715285.813098907470703,46,0,44,1,11
1403715285.862982034683228,45,0,44,1,11
1403715285.912904977798462,45,0,44,0,11
1403715285.962813377380371,49,16,43,5,11
1403715286.012818336486816,49,0,48,1,11
1403715286.062792062759399,49,0,49,0,11
1403715286.112772226333618,49,0,49,0,11
1403715286.162744522094727,48,0,48,0,11
1403715286.212740421295166,48,1,47,0,11
1403715286.262702226638794,46,19,44,0,11
1403715286.312720537185669,45,0,43,1,11
1403715286.362709999084473,45,2,44,1,11
1403715286.412718296051025,44,7,44,0,11
1403715286.462713241577148,43,1,42,0,11
1403715286.512724876403809,42,5,36,2,11
1403715286.562764644622803,48,5,36,8,11
1403715286.612806320190430,46,1,42,2,11
1403715286.662838697433472,42,0,38,2,11
1403715286.712861299514771,39,1,37,0,11
1403715286.762854099273682,32,1,28,0,11
1403715286.812818527221680,30,0,26,1,11
1403715286.862796545028687,43,4,26,16,11
1403715286.912766933441162,47,11,41,5,11
1403715286.962779760360718,46,0,41,0,11
1403715287.012790441513062,45,0,41,1,11
1403715287.062810182571411,43,2,39,2,11
1403715287.112811565399170,44,1,39,2,11
1403715287.162807941436768,46,0,39,4,11
1403715287.212790966033936,45,2,42,1,11
1403715287.262784957885742,43,0,41,0,11
1403715287.312788486480713,41,1,40,1,11
1403715287.362789154052734,47,8,39,6,11
1403715287.412783145904541,45,0,43,1,11
1403715287.462778568267822,43,3,43,0,11
1403715287.512758016586304,48,9,42,5,11
1403715287.562759637832642,47,0,45,0,11
1403715287.612769365310669,45,2,43,1,11
1403715287.662773132324219,43,0,42,1,11
1403715287.712806701660156,42,0,40,0,11
1403715287.762830495834351,39,1,37,0,11
1403715287.812842607498169,35,0,34,0,11
1403715287.862860679626465,32,0,32,0,11
1403715287.912874221801758,46,1,31,14,11
1403715287.962862968444824,49,4,44,4,11
1403715288.012865066528320,48,3,45,1,11
1403715288.062859773635864,46,4,43,0,11
1403715288.112850427627563,46,6,43,2,11
1403715288.162844657897949,43,0,43,0,11
1403715288.212838649749756,42,0,41,0,11
1403715288.262815713882446,42,0,41,0,11
1403715288.312803506851196,42,0,41,1,11
1403715288.362768888473511,41,0,40,1,11
