# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863713026046753,0.00646,0.00018,0.00066,0.00000,0.00000,0.00434,0.01165
1403715278.909390926361084,0.00581,0.00019,0.00585,0.00000,0.01284,0.00428,0.02897
1403715278.959320783615112,0.00568,0.00028,0.00076,0.00334,0.00000,0.00441,0.01447
1403715279.009166240692139,0.00586,0.00028,0.00014,0.00323,0.00000,0.00436,0.01388
1403715279.058866739273071,0.00789,0.00029,0.00011,0.00329,0.00000,0.00434,0.01592
1403715279.108448982238770,0.00563,0.00032,0.00064,0.00331,0.00000,0.00434,0.01423
1403715279.158450841903687,0.00549,0.00031,0.00031,0.00326,0.00000,0.00428,0.01364
1403715279.208379507064819,0.00545,0.00032,0.00090,0.00338,0.00000,0.00459,0.01464
1403715279.258633852005005,0.00555,0.00028,0.00003,0.00343,0.00688,0.00459,0.02075
1403715279.308166265487671,0.00551,0.00033,0.00008,0.00413,0.00600,0.00449,0.02054
1403715279.356812953948975,0.00560,0.00030,0.00003,0.00503,0.00195,0.00450,0.01741
1403715279.406205892562866,0.00557,0.00033,0.00003,0.00548,0.01452,0.00465,0.03059
1403715279.456113338470459,0.00540,0.00039,0.00003,0.00801,0.00000,0.00504,0.01888
1403715279.505581140518188,0.00525,0.00040,0.01891,0.00757,0.00209,0.00480,0.03901
1403715279.555418014526367,0.00517,0.00040,0.00003,0.00826,0.00010,0.00449,0.01845
1403715279.605095386505127,0.00502,0.00037,0.00183,0.00855,0.00207,0.00465,0.02250
1403715279.654795885086060,0.00515,0.00042,0.00003,0.00865,0.00000,0.00453,0.01878
1403715279.704600572586060,0.00520,0.00043,0.00003,0.00874,0.00000,0.00457,0.01897
1403715279.754719495773315,0.00522,0.00042,0.00003,0.00892,0.00000,0.00452,0.01912
1403715279.804320812225342,0.00576,0.00039,0.00009,0.00885,0.00000,0.00465,0.01974
1403715279.854984045028687,0.00513,0.00042,0.00010,0.00829,0.00000,0.00444,0.01838
1403715279.905261039733887,0.00509,0.00043,0.00009,0.00831,0.00000,0.00458,0.01850
1403715279.956000804901123,0.00519,0.00039,0.00367,0.00796,0.00040,0.00470,0.02232
1403715280.007006883621216,0.00539,0.00040,0.00003,0.00869,0.00000,0.00500,0.01950
1403715280.057357549667358,0.00535,0.00038,0.00010,0.00839,0.00000,0.00431,0.01854
1403715280.107232093811035,0.00594,0.00039,0.01770,0.00856,0.00009,0.00454,0.03721
1403715280.159146785736084,0.00679,0.00038,0.00103,0.00795,0.00006,0.00442,0.02063
1403715280.210707664489746,0.00551,0.00041,0.00171,0.00798,0.00012,0.00453,0.02026
1403715280.262531042098999,0.00572,0.00036,0.00018,0.00770,0.00000,0.00429,0.01825
1403715280.312649488449097,0.00570,0.00040,0.00003,0.00776,0.00000,0.00458,0.01847
1403715280.362538576126099,0.00566,0.00038,0.00003,0.00772,0.00000,0.00444,0.01823
1403715280.412190437316895,0.00612,0.00038,0.00003,0.00773,0.00000,0.00468,0.01893
1403715280.461452484130859,0.00602,0.00037,0.00070,0.00742,0.00000,0.00456,0.01908
1403715280.511171340942383,0.00566,0.00040,0.00013,0.00706,0.00000,0.00478,0.01804
1403715280.560779809951782,0.00618,0.00038,0.00183,0.00736,0.00180,0.00509,0.02263
1403715280.610862970352173,0.00579,0.00040,0.00077,0.00748,0.00000,0.00455,0.01899
1403715280.660653352737427,0.00572,0.00037,0.00067,0.00717,0.00564,0.00448,0.02405
1403715280.710684776306152,0.00784,0.00037,0.01905,0.00870,0.00007,0.00549,0.04152
1403715280.760681629180908,0.00580,0.00037,0.00107,0.00762,0.00115,0.00460,0.02062
1403715280.810714006423950,0.01130,0.00034,0.00101,0.00745,0.00195,0.00464,0.02669
1403715280.860800504684448,0.00600,0.00035,0.00066,0.00742,0.00009,0.00454,0.01906
1403715280.910903930664062,0.00580,0.00034,0.00027,0.00709,0.00000,0.00462,0.01813
1403715280.961012363433838,0.00583,0.00037,0.00078,0.00658,0.00000,0.00459,0.01814
1403715281.011054277420044,0.00576,0.00036,0.00028,0.00619,0.00038,0.00469,0.01765
1403715281.061136960983276,0.00637,0.00035,0.00064,0.00629,0.00000,0.00478,0.01843
1403715281.111199617385864,0.00588,0.00036,0.00003,0.00624,0.00968,0.00496,0.02715
1403715281.161222696304321,0.00589,0.00037,0.00126,0.00730,0.00000,0.00474,0.01957
1403715281.211263179779053,0.00563,0.00039,0.00162,0.00708,0.00000,0.00461,0.01932
1403715281.261516332626343,0.00725,0.00035,0.00022,0.00692,0.00222,0.00458,0.02153
1403715281.311891317367554,0.00590,0.00035,0.01026,0.00690,0.00953,0.00436,0.03730
1403715281.361927032470703,0.00544,0.00038,0.00789,0.00829,0.00203,0.00465,0.02868
1403715281.412118434906006,0.00535,0.00038,0.00003,0.00876,0.00126,0.00431,0.02009
1403715281.462301015853882,0.00635,0.00036,0.00009,0.00713,0.00000,0.00458,0.01850
1403715281.512205839157104,0.00551,0.00042,0.00044,0.00640,0.00000,0.00449,0.01727
1403715281.562249660491943,0.00567,0.00040,0.00069,0.00551,0.00201,0.00450,0.01878
1403715281.612337589263916,0.00750,0.00038,0.00920,0.00700,0.00252,0.00500,0.03161
1403715281.662327527999878,0.00618,0.00039,0.00041,0.00793,0.00087,0.00581,0.02158
1403715281.712261915206909,0.00637,0.00038,0.00043,0.00614,0.00002,0.00461,0.01794
1403715281.762109518051147,0.00608,0.00036,0.00050,0.00576,0.00002,0.00465,0.01736
1403715281.812179565429688,0.00772,0.00031,0.00028,0.00542,0.00000,0.00460,0.01833
1403715281.862122774124146,0.00560,0.00036,0.00064,0.00531,0.00095,0.00462,0.01748
1403715281.912189006805420,0.00818,0.00031,0.00027,0.00523,0.01552,0.00454,0.03404
1403715281.962154865264893,0.00897,0.00036,0.00592,0.00765,0.00248,0.00503,0.03040
1403715282.012178421020508,0.00707,0.00037,0.00023,0.00860,0.00008,0.00465,0.02100
