# timestamp(s) tx ty tz qx qy qz qw
1403715278.86141 0.030033000 0.014227000 0.111372000 0.810555000 -0.010016000 0.585574000 0.001975000
1403715278.91088 0.067805000 0.011938000 0.113222000 0.812893000 -0.009095000 0.582341000 0.000994000
1403715278.96075 0.078439000 0.013873000 0.135047000 0.812367000 -0.009048000 0.583076000 0.000871000
1403715279.01051 0.088123000 0.015071000 0.150323000 0.811743000 -0.008128000 0.583955000 0.001801000
1403715279.06037 0.096631000 0.016405000 0.160300000 0.811598000 -0.007658000 0.584162000 0.002290000
1403715279.11024 0.104201000 0.017558000 0.163912000 0.811020000 -0.007152000 0.584967000 0.002932000
1403715279.16009 0.109921000 0.018368000 0.160555000 0.810866000 -0.006140000 0.585188000 0.003747000
1403715279.20999 0.114634000 0.019269000 0.153609000 0.811173000 -0.005466000 0.584761000 0.004798000
1403715279.25988 0.117479000 0.019563000 0.143471000 0.811297000 -0.005037000 0.584591000 0.004955000
1403715279.30980 0.122790000 0.020323000 0.136377000 0.811950000 -0.005079000 0.583685000 0.004737000
1403715279.35997 0.127909000 0.020516000 0.132855000 0.812772000 -0.005584000 0.582541000 0.004071000
1403715279.41063 0.131465000 0.019647000 0.130389000 0.813084000 -0.005944000 0.582109000 0.002991000
1403715279.46102 0.134796000 0.019111000 0.127985000 0.813838000 -0.005988000 0.581056000 0.002423000
1403715279.51136 0.136568000 0.018005000 0.125059000 0.814031000 -0.005920000 0.580789000 0.001914000
1403715279.56170 0.139683000 0.017762000 0.123958000 0.814003000 -0.005271000 0.580831000 0.002516000
1403715279.61186 0.140819000 0.017638000 0.121647000 0.814442000 -0.005302000 0.580215000 0.002520000
1403715279.66204 0.141830000 0.017566000 0.121179000 0.814642000 -0.005053000 0.579937000 0.002335000
1403715279.71226 0.143042000 0.017535000 0.121344000 0.814435000 -0.005077000 0.580229000 0.002150000
1403715279.76220 0.144299000 0.017678000 0.123185000 0.814504000 -0.005136000 0.580131000 0.001909000
1403715279.81220 0.145654000 0.017254000 0.127359000 0.814582000 -0.005472000 0.580020000 0.001554000
1403715279.86219 0.146477000 0.016737000 0.132832000 0.814800000 -0.005313000 0.579716000 0.001421000
1403715279.91211 0.146552000 0.015896000 0.138751000 0.815320000 -0.005269000 0.578985000 0.001530000
1403715279.96197 0.144574000 0.013690000 0.145082000 0.817087000 -0.005031000 0.576488000 0.002169000
1403715280.01220 0.144186000 0.012839000 0.155834000 0.820480000 -0.005094000 0.571649000 0.002054000
1403715280.06213 0.146048000 0.012403000 0.166543000 0.824719000 -0.005075000 0.565516000 0.002003000
1403715280.11182 0.149401000 0.012032000 0.176998000 0.828529000 -0.003255000 0.559917000 0.004690000
1403715280.16158 0.152876000 0.011508000 0.186762000 0.830630000 -0.001399000 0.556780000 0.006985000
1403715280.21138 0.157055000 0.011171000 0.197149000 0.831363000 0.001609000 0.555619000 0.010980000
1403715280.26134 0.161138000 0.010745000 0.207725000 0.830946000 0.004269000 0.556143000 0.014702000
1403715280.31134 0.166084000 0.011138000 0.218631000 0.829936000 0.006441000 0.557548000 0.017465000
1403715280.36133 0.171750000 0.012173000 0.229577000 0.828451000 0.007874000 0.559652000 0.019916000
1403715280.41131 0.177953000 0.013116000 0.240051000 0.826778000 0.008094000 0.562014000 0.022655000
1403715280.46130 0.185031000 0.014485000 0.249496000 0.825974000 0.005003000 0.563231000 0.022631000
1403715280.51139 0.193124000 0.017137000 0.259611000 0.824568000 -0.001183000 0.565356000 0.021421000
1403715280.56137 0.201881000 0.019471000 0.268837000 0.823383000 -0.008784000 0.567014000 0.021397000
1403715280.61133 0.211169000 0.021903000 0.277134000 0.822014000 -0.017687000 0.568745000 0.022569000
1403715280.66125 0.220917000 0.024213000 0.284705000 0.820821000 -0.026899000 0.569938000 0.026438000
1403715280.71134 0.233218000 0.024651000 0.292420000 0.819669000 -0.037120000 0.570800000 0.030848000
1403715280.76133 0.243438000 0.027285000 0.298789000 0.818621000 -0.047853000 0.571186000 0.036273000
1403715280.81135 0.254212000 0.029263000 0.304712000 0.818097000 -0.058745000 0.570510000 0.042242000
1403715280.86141 0.265227000 0.031305000 0.310498000 0.816866000 -0.069319000 0.570553000 0.048936000
1403715280.91153 0.277201000 0.033886000 0.316110000 0.815842000 -0.078925000 0.570170000 0.055476000
1403715280.96166 0.288581000 0.036967000 0.321930000 0.814862000 -0.087075000 0.569816000 0.061062000
1403715281.01176 0.299171000 0.039963000 0.327362000 0.813912000 -0.094497000 0.569492000 0.065551000
1403715281.06182 0.309931000 0.043345000 0.332415000 0.813418000 -0.100351000 0.568629000 0.070295000
1403715281.11189 0.321205000 0.046832000 0.337433000 0.812704000 -0.105555000 0.568242000 0.073969000
1403715281.16194 0.333895000 0.049802000 0.343646000 0.812117000 -0.109863000 0.567864000 0.076989000
1403715281.21194 0.346013000 0.053034000 0.348986000 0.811561000 -0.113779000 0.567478000 0.079949000
1403715281.26191 0.357283000 0.056232000 0.352456000 0.810981000 -0.118537000 0.566947000 0.082644000
1403715281.31189 0.368126000 0.059004000 0.355742000 0.810712000 -0.123552000 0.565741000 0.086133000
1403715281.36195 0.378209000 0.061467000 0.358096000 0.810343000 -0.129277000 0.564395000 0.089943000
1403715281.41196 0.388559000 0.063770000 0.360191000 0.809876000 -0.135438000 0.562890000 0.094403000
1403715281.46206 0.397514000 0.064076000 0.361610000 0.808477000 -0.142379000 0.562217000 0.100024000
1403715281.51208 0.407251000 0.065706000 0.362286000 0.807063000 -0.150269000 0.561018000 0.106432000
1403715281.56210 0.417629000 0.066465000 0.362503000 0.805503000 -0.158971000 0.559426000 0.113735000
1403715281.61210 0.428152000 0.067416000 0.361856000 0.803386000 -0.168730000 0.557986000 0.121464000
1403715281.66210 0.439926000 0.067740000 0.361627000 0.801057000 -0.179886000 0.556141000 0.129057000
1403715281.71210 0.450683000 0.068033000 0.360606000 0.798439000 -0.191257000 0.554088000 0.137485000
1403715281.76217 0.462891000 0.067899000 0.361342000 0.796261000 -0.203508000 0.550832000 0.145386000
1403715281.81217 0.473232000 0.068583000 0.360062000 0.793162000 -0.215837000 0.548321000 0.153791000
1403715281.86213 0.483748000 0.069361000 0.358314000 0.789345000 -0.228322000 0.546298000 0.162363000
1403715281.91221 0.494539000 0.069777000 0.355776000 0.785856000 -0.240464000 0.543438000 0.171123000
1403715281.96216 0.505536000 0.070105000 0.352366000 0.781961000 -0.252789000 0.540882000 0.179114000
1403715282.01219 0.517075000 0.070580000 0.348490000 0.778004000 -0.264950000 0.538164000 0.186789000
1403715282.06212 0.529193000 0.069868000 0.343736000 0.773799000 -0.276794000 0.535670000 0.194107000
1403715282.11212 0.542604000 0.069782000 0.338881000 0.770191000 -0.287262000 0.532241000 0.202498000
1403715282.16219 0.557088000 0.069853000 0.333963000 0.766180000 -0.298932000 0.528977000 0.209263000
1403715282.21216 0.571105000 0.069459000 0.328812000 0.762111000 -0.308934000 0.525970000 0.217029000
1403715282.26218 0.586946000 0.069799000 0.323043000 0.758535000 -0.319527000 0.521806000 0.224153000
1403715282.31223 0.602943000 0.069890000 0.316576000 0.754675000 -0.329826000 0.517955000 0.231092000
1403715282.36227 0.620378000 0.071004000 0.308975000 0.750551000 -0.339877000 0.514143000 0.238354000
1403715282.41223 0.636271000 0.071275000 0.301648000 0.747104000 -0.348963000 0.509182000 0.246564000
1403715282.46225 0.652688000 0.071847000 0.295255000 0.742590000 -0.359281000 0.505484000 0.252908000
1403715282.51225 0.669059000 0.072369000 0.288612000 0.737709000 -0.368568000 0.502160000 0.260341000
1403715282.56220 0.686443000 0.072235000 0.281823000 0.732737000 -0.378056000 0.498748000 0.267247000
1403715282.61218 0.704025000 0.072250000 0.275112000 0.727100000 -0.386568000 0.496459000 0.274626000
1403715282.66215 0.724178000 0.069638000 0.268269000 0.721124000 -0.395563000 0.494702000 0.280677000
1403715282.71213 0.742228000 0.070209000 0.261763000 0.715041000 -0.405116000 0.492721000 0.286048000
1403715282.76215 0.760305000 0.071976000 0.254606000 0.708772000 -0.414783000 0.491075000 0.290590000
1403715282.81217 0.778915000 0.072760000 0.247456000 0.702798000 -0.424565000 0.488746000 0.294867000
1403715282.86215 0.798699000 0.072680000 0.240010000 0.696906000 -0.433035000 0.486064000 0.300906000
1403715282.91213 0.818862000 0.072353000 0.232183000 0.690811000 -0.441005000 0.483475000 0.307486000
1403715282.96210 0.840706000 0.072004000 0.223298000 0.684890000 -0.449818000 0.480359000 0.312802000
1403715283.01207 0.860192000 0.071766000 0.214777000 0.678627000 -0.458288000 0.477514000 0.318461000
1403715283.06208 0.879702000 0.071563000 0.206105000 0.671789000 -0.467104000 0.475177000 0.323605000
1403715283.11208 0.898914000 0.071864000 0.197637000 0.665018000 -0.476085000 0.472734000 0.328050000
1403715283.16206 0.917816000 0.072278000 0.189357000 0.657813000 -0.485010000 0.470924000 0.332080000
1403715283.21206 0.935936000 0.073083000 0.181394000 0.650631000 -0.493615000 0.468896000 0.336393000
1403715283.26201 0.953316000 0.074224000 0.174073000 0.643910000 -0.501560000 0.466206000 0.341277000
1403715283.31202 0.969071000 0.074183000 0.166386000 0.637327000 -0.509543000 0.463650000 0.345267000
1403715283.36199 0.984673000 0.074784000 0.159400000 0.630840000 -0.516375000 0.460840000 0.350748000
