# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862629413604736,0.01749,0.00015,0.00063,0.00000,0.00000,0.00540,0.02367
1403715278.912054061889648,0.01530,0.00019,0.00567,0.00000,0.01228,0.00531,0.03876
1403715278.962338685989380,0.01598,0.00027,0.00075,0.00326,0.00000,0.00535,0.02561
1403715279.012487649917603,0.01567,0.00027,0.00015,0.00323,0.00000,0.00557,0.02491
1403715279.062404632568359,0.01774,0.00029,0.00011,0.00328,0.00000,0.00551,0.02695
1403715279.112140893936157,0.01550,0.00030,0.00065,0.00337,0.00000,0.00546,0.02529
1403715279.162139654159546,0.01522,0.00029,0.00035,0.00329,0.00000,0.00542,0.02459
1403715279.212528228759766,0.01714,0.00028,0.00090,0.00340,0.00000,0.00575,0.02747
1403715279.262587547302246,0.01537,0.00031,0.00003,0.00347,0.00702,0.00580,0.03200
1403715279.312698602676392,0.01486,0.00032,0.00008,0.00423,0.00619,0.00581,0.03150
1403715279.362863063812256,0.01467,0.00035,0.00003,0.00509,0.00194,0.00566,0.02774
1403715279.413294076919556,0.01601,0.00029,0.00003,0.00536,0.01461,0.00571,0.04202
1403715279.463570594787598,0.01442,0.00040,0.00003,0.00779,0.00000,0.00616,0.02881
1403715279.513553857803345,0.01436,0.00041,0.01814,0.00908,0.00215,0.00587,0.05000
1403715279.563486814498901,0.01478,0.00038,0.00003,0.00826,0.00010,0.00575,0.02930
1403715279.613479137420654,0.01416,0.00042,0.00192,0.00874,0.00211,0.00544,0.03279
1403715279.663476943969727,0.01414,0.00039,0.00003,0.00872,0.00001,0.00568,0.02897
1403715279.713491439819336,0.01445,0.00043,0.00003,0.00873,0.00000,0.00580,0.02944
1403715279.763442754745483,0.01607,0.00041,0.00003,0.00883,0.00000,0.00573,0.03107
1403715279.813434839248657,0.01441,0.00042,0.00008,0.00871,0.00000,0.00583,0.02946
1403715279.863327503204346,0.01404,0.00039,0.00011,0.00868,0.00000,0.00576,0.02899
1403715279.913065671920776,0.01449,0.00041,0.00008,0.00855,0.00000,0.00595,0.02949
1403715279.962731838226318,0.01471,0.00039,0.00342,0.00842,0.00007,0.00584,0.03285
1403715280.012888669967651,0.01478,0.00041,0.00003,0.00858,0.00000,0.00619,0.03000
1403715280.062933206558228,0.01597,0.00038,0.00010,0.00812,0.00000,0.00566,0.03024
1403715280.112763643264771,0.01510,0.00043,0.01664,0.00813,0.00009,0.00693,0.04731
1403715280.162755250930786,0.01564,0.00036,0.00008,0.00796,0.00014,0.00621,0.03039
1403715280.212744951248169,0.01566,0.00040,0.00031,0.00777,0.00233,0.00526,0.03173
