# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862629413604736,0,6,0,0,5
1403715278.912054061889648,32,34,0,32,6
1403715278.962338685989380,31,4,31,0,7
1403715279.012487649917603,29,0,29,0,8
1403715279.062404632568359,29,0,29,0,9
1403715279.112140893936157,29,1,29,0,10
1403715279.162139654159546,28,1,28,0,11
1403715279.212528228759766,28,1,28,0,11
1403715279.262587547302246,33,0,28,5,11
1403715279.312698602676392,37,0,33,4,11
1403715279.362863063812256,38,0,37,1,11
1403715279.413294076919556,47,0,38,9,11
1403715279.463570594787598,47,0,47,0,11
1403715279.513553857803345,48,22,47,1,11
1403715279.563486814498901,48,0,48,0,11
1403715279.613479137420654,49,1,48,1,11
1403715279.663476943969727,49,0,49,0,11
1403715279.713491439819336,49,0,49,0,11
1403715279.763442754745483,49,0,49,0,11
1403715279.813434839248657,49,0,49,0,11
1403715279.863327503204346,49,0,49,0,11
1403715279.913065671920776,49,0,49,0,11
1403715279.962731838226318,49,2,49,0,11
1403715280.012888669967651,49,0,49,0,11
1403715280.062933206558228,49,0,48,0,11
1403715280.112763643264771,48,19,48,0,11
1403715280.162755250930786,48,0,47,0,11
1403715280.212744951248169,49,0,47,2,11
1403715280.262831211090088,48,0,48,0,11
1403715280.312859296798706,47,0,47,0,11
1403715280.362824678421021,47,0,47,0,11
1403715280.412747144699097,47,0,47,0,11
1403715280.462635278701782,47,1,47,0,11
1403715280.512665271759033,46,0,46,0,11
1403715280.562570095062256,47,2,46,1,11
1403715280.612514495849609,49,2,46,3,11
1403715280.662426233291626,48,1,48,0,11
1403715280.712466478347778,49,23,48,1,11
1403715280.762452602386475,50,1,48,1,11
1403715280.812469959259033,47,1,46,0,11
1403715280.862573146820068,46,1,45,0,11
1403715280.912669658660889,46,2,44,1,11
1403715280.962738275527954,44,1,41,2,11
1403715281.012785196304321,41,0,40,1,11
1403715281.062795162200928,41,0,41,0,11
1403715281.112774610519409,41,0,41,0,11
1403715281.162771463394165,42,0,39,3,11
1403715281.212774038314819,42,1,42,0,11
1403715281.262817382812500,41,0,41,0,11
1403715281.312903881072998,48,13,40,8,11
1403715281.362904548645020,47,1,47,0,11
1403715281.412977457046509,47,0,47,0,11
1403715281.463031291961670,50,12,47,3,11
1403715281.512950897216797,50,0,48,0,11
1403715281.562869787216187,50,0,47,0,11
1403715281.612856388092041,50,0,45,2,11
1403715281.662851095199585,50,0,46,1,11
1403715281.712866544723511,42,0,39,1,11
1403715281.762923479080200,46,9,37,7,11
1403715281.812872886657715,45,0,40,0,11
1403715281.862929344177246,42,2,38,0,11
1403715281.912846565246582,47,1,38,9,11
1403715281.962893486022949,47,0,46,0,11
1403715282.012893199920654,47,0,46,0,11
1403715282.062882184982300,50,8,46,4,11
1403715282.112890958786011,50,0,48,0,11
1403715282.162941455841064,49,0,46,0,11
1403715282.212921857833862,49,0,44,2,11
1403715282.262921810150146,49,0,45,1,11
1403715282.312978982925415,49,1,46,2,11
1403715282.363054037094116,50,29,47,2,11
1403715282.413039207458496,48,0,47,0,11
1403715282.463062524795532,46,0,44,1,11
1403715282.513097286224365,48,1,45,2,11
1403715282.563038349151611,46,0,46,0,11
1403715282.612998962402344,43,0,41,0,11
1403715282.662984848022461,45,4,42,2,11
1403715282.712975263595581,44,2,43,0,11
1403715282.762979507446289,44,0,42,1,11
1403715282.812995195388794,44,0,43,0,11
1403715282.862835168838501,43,1,43,0,11
1403715282.912826538085938,43,0,41,0,11
1403715282.962915658950806,50,21,39,7,11
1403715283.012748241424561,50,1,47,2,11
1403715283.062836885452271,49,0,48,0,11
1403715283.112889051437378,50,0,48,1,11
1403715283.162854194641113,50,0,48,1,11
1403715283.212828159332275,50,12,49,0,11
1403715283.262783050537109,48,4,47,0,11
1403715283.312759876251221,50,26,46,2,11
1403715283.362739324569702,50,0,48,1,11
1403715283.412700891494751,49,0,47,0,11
1403715283.462655067443848,48,0,47,0,11
1403715283.512629032135010,43,0,43,0,11
1403715283.562599420547485,50,9,43,7,11
1403715283.612562894821167,49,0,49,0,11
1403715283.662553787231445,49,0,49,0,11
1403715283.712554216384888,49,2,49,0,11
1403715283.762551546096802,49,0,49,0,11
1403715283.812481641769409,49,5,48,1,11
1403715283.862371444702148,49,4,47,0,11
1403715283.912293910980225,49,16,47,1,11
1403715283.962347745895386,49,0,48,1,11
1403715284.012396812438965,49,0,49,0,11
1403715284.062393188476562,49,0,49,0,11
1403715284.112429618835449,49,1,49,0,11
1403715284.162358999252319,49,30,48,1,11
1403715284.212392330169678,50,1,49,1,11
1403715284.262461662292480,49,1,49,0,11
1403715284.312482833862305,49,0,49,0,11
1403715284.362572431564331,48,0,40,0,11
1403715284.412559986114502,48,3,40,0,11
1403715284.462541103363037,49,2,36,9,11
1403715284.512629985809326,49,15,35,1,11
1403715284.562668561935425,49,0,45,4,11
1403715284.612642288208008,49,0,49,0,11
1403715284.662588834762573,49,0,47,0,11
1403715284.712574243545532,49,0,47,0,11
1403715284.762563467025757,50,25,45,3,11
1403715284.812532186508179,50,0,48,0,11
1403715284.862495183944702,49,0,48,1,11
1403715284.912443876266479,49,0,47,0,11
1403715284.962383508682251,49,0,46,0,11
1403715285.012331247329712,49,2,45,2,11
1403715285.062343358993530,49,1,46,1,11
1403715285.112528085708618,50,14,48,2,11
1403715285.162564992904663,49,0,49,0,11
1403715285.212582349777222,48,1,48,0,11
1403715285.262627601623535,47,0,47,0,11
1403715285.312658786773682,47,0,47,0,11
1403715285.362670660018921,49,15,47,2,11
1403715285.412690162658691,49,0,49,0,11
1403715285.462711095809937,49,0,49,0,11
1403715285.512727022171021,49,0,49,0,11
1403715285.562736272811890,48,0,48,0,11
1403715285.612727403640747,48,2,48,0,11
1403715285.662722826004028,48,0,46,2,11
1403715285.712707757949829,49,16,48,1,11
1403715285.762700080871582,48,0,48,0,11
1403715285.812683343887329,46,0,44,0,11
1403715285.862651586532593,45,1,43,1,11
1403715285.912661790847778,45,0,44,1,11
1403715285.962706327438354,50,21,45,5,11
1403715286.012741565704346,50,0,49,0,11
1403715286.062701463699341,50,2,48,0,11
1403715286.112664937973022,49,0,48,0,11
1403715286.162601947784424,48,0,47,1,11
1403715286.212552070617676,50,4,48,2,11
1403715286.262541055679321,49,0,49,0,11
1403715286.312515735626221,48,15,48,0,11
1403715286.362505674362183,47,1,47,0,11
1403715286.412493228912354,47,1,47,0,11
1403715286.462478399276733,46,1,46,0,11
1403715286.512467622756958,43,3,43,0,11
1403715286.562450408935547,49,12,43,6,11
1403715286.612440586090088,48,3,48,0,11
1403715286.662431240081787,45,0,44,0,11
1403715286.712425470352173,42,0,37,0,11
1403715286.762420892715454,35,1,27,1,11
1403715286.812402009963989,35,0,27,5,11
1403715286.862390041351318,34,0,32,2,11
1403715286.912334442138672,46,20,34,12,11
1403715286.962326526641846,45,0,44,0,11
1403715287.012352943420410,44,0,43,0,11
1403715287.062385320663452,42,0,38,1,11
1403715287.112426996231079,42,0,39,0,11
1403715287.162563800811768,45,1,37,7,11
1403715287.212652206420898,44,4,44,0,11
1403715287.262678861618042,44,0,41,0,11
1403715287.312696218490601,41,1,36,1,11
1403715287.362735271453857,39,0,35,1,11
1403715287.412753105163574,39,3,36,3,11
1403715287.462736606597900,38,1,38,0,11
1403715287.512726306915283,45,22,38,7,11
1403715287.562720775604248,45,1,44,0,11
1403715287.612716436386108,44,0,43,0,11
1403715287.662722587585449,41,0,40,1,11
1403715287.712733745574951,40,0,39,0,11
1403715287.762750625610352,40,0,38,1,11
1403715287.812767028808594,37,1,35,0,11
1403715287.862773895263672,36,0,35,0,11
1403715287.912755489349365,44,1,33,10,11
1403715287.962754249572754,42,2,40,0,11
1403715288.012754917144775,41,1,39,1,11
1403715288.062759637832642,38,0,38,0,11
1403715288.112767219543457,39,11,34,4,11
1403715288.162773609161377,36,0,35,0,11
1403715288.212774276733398,36,0,33,1,11
1403715288.262755155563354,36,0,34,0,11
1403715288.312750816345215,34,0,33,1,11
1403715288.362723588943481,35,0,32,1,11
1403715288.412716150283813,35,0,27,0,11
1403715288.462698221206665,38,0,26,5,11
1403715288.512681007385254,42,0,31,10,11
1403715288.562734603881836,43,0,40,2,11
1403715288.612752199172974,45,0,42,2,11
1403715288.662779808044434,45,0,44,1,11
1403715288.712803363800049,48,14,45,3,11
1403715288.762805223464966,48,0,48,0,11
1403715288.812811136245728,47,0,47,0,11
1403715288.862811088562012,46,0,44,0,11
1403715288.912805795669556,47,0,44,1,11
1403715288.962797403335571,47,0,45,2,11
1403715289.012788534164429,47,1,47,0,11
1403715289.062788963317871,48,0,47,1,11
1403715289.112787961959839,50,2,48,2,11
1403715289.162788152694702,50,0,49,0,11
1403715289.212774753570557,50,0,47,0,11
1403715289.262771606445312,50,0,45,1,11
1403715289.312761545181274,50,14,46,2,11
1403715289.362761497497559,50,0,46,2,11
1403715289.412760257720947,49,0,48,0,11
1403715289.462763071060181,47,1,47,0,11
1403715289.512769222259521,46,2,45,0,11
1403715289.562773227691650,46,2,45,0,11
1403715289.612771034240723,40,0,39,1,11
1403715289.662757635116577,48,2,38,9,11
1403715289.712745666503906,48,0,45,2,11
1403715289.762728214263916,47,4,45,2,11
1403715289.812703609466553,49,10,46,3,11
1403715289.862684726715088,48,0,48,0,11
1403715289.912663936614990,50,19,48,2,11
1403715289.962646722793579,50,0,50,0,11
1403715290.012632608413696,50,0,50,0,11
1403715290.062607765197754,50,0,50,0,11
1403715290.112593173980713,50,0,50,0,11
1403715290.162577152252197,50,6,50,0,11
1403715290.212583065032959,50,0,50,0,11
1403715290.262609243392944,50,0,49,0,11
1403715290.312650918960571,49,0,47,0,11
1403715290.362668275833130,49,2,46,1,11
1403715290.412706375122070,50,5,47,2,11
1403715290.462695598602295,49,2,49,0,11
1403715290.512671947479248,50,12,49,1,11
1403715290.562639951705933,50,2,49,0,11
1403715290.612641334533691,50,1,49,0,11
1403715290.662651300430298,50,0,49,1,11
1403715290.712647676467896,50,0,50,0,11
1403715290.762652873992920,49,6,49,0,11
1403715290.812659978866577,50,1,49,1,11
1403715290.862672328948975,50,1,49,0,11
1403715290.912677764892578,50,1,49,0,11
1403715290.962680578231812,49,5,49,0,11
1403715291.012684106826782,49,10,47,1,11
1403715291.062685251235962,50,1,48,1,11
1403715291.112686634063721,48,12,48,0,11
1403715291.162684202194214,48,3,47,1,11
1403715291.212682962417603,48,0,48,0,11
1403715291.262683868408203,48,1,48,0,11
1403715291.312688112258911,48,2,48,0,11
1403715291.362690687179565,46,3,45,1,11
1403715291.412691593170166,48,0,46,2,11
1403715291.462692975997925,48,0,47,1,11
1403715291.512683391571045,45,0,45,0,11
1403715291.562685728073120,47,2,43,4,11
1403715291.612682342529297,49,3,47,2,11
1403715291.662693262100220,49,5,49,0,11
1403715291.712708950042725,48,7,47,1,11
1403715291.762719631195068,48,1,47,1,11
1403715291.812730550765991,50,3,48,2,11
1403715291.862731456756592,47,0,47,0,11
1403715291.912727117538452,47,1,47,0,11
1403715291.962737083435059,46,0,46,0,11
1403715292.012740373611450,46,1,45,0,11
1403715292.062759160995483,49,2,44,4,11
1403715292.112769126892090,49,0,48,0,11
1403715292.162778139114380,48,1,48,0,11
1403715292.212748765945435,47,0,47,0,11
1403715292.262711286544800,47,3,46,1,11
1403715292.312692165374756,49,4,46,3,11
1403715292.362667322158813,47,1,47,0,11
1403715292.412648200988770,48,1,46,2,11
1403715292.462631940841675,46,1,45,0,11
1403715292.512610673904419,49,1,45,3,11
1403715292.562583208084106,49,1,48,1,11
1403715292.612560033798218,49,5,47,1,11
1403715292.662543535232544,45,1,44,0,11
1403715292.712530612945557,44,2,44,0,11
1403715292.762516736984253,45,3,43,2,11
1403715292.812514305114746,45,1,43,1,11
1403715292.862539291381836,46,3,41,4,11
1403715292.912552118301392,48,6,44,3,11
1403715292.962570667266846,48,0,45,0,11
1403715293.012550592422485,46,1,45,0,11
1403715293.062546730041504,44,2,42,1,11
1403715293.112554311752319,44,1,42,0,11
1403715293.162564277648926,48,4,41,6,11
1403715293.212583303451538,49,9,45,3,11
1403715293.262575149536133,46,1,46,0,11
1403715293.312582254409790,44,1,44,0,11
1403715293.362584352493286,43,2,41,0,11
1403715293.412575721740723,43,3,40,0,11
1403715293.462592363357544,43,1,38,3,11
1403715293.512631416320801,48,11,39,8,11
1403715293.562641143798828,44,0,44,0,11
1403715293.612660884857178,45,1,43,1,11
1403715293.662670850753784,43,1,43,0,11
1403715293.712671279907227,42,1,42,0,11
1403715293.762673139572144,50,6,41,8,11
1403715293.812669277191162,49,19,48,0,11
1403715293.862668514251709,49,0,47,1,11
1403715293.912661790847778,48,0,46,0,11
1403715293.962655782699585,48,0,46,1,11
1403715294.012653827667236,46,1,44,0,11
1403715294.062647342681885,50,5,44,5,11
1403715294.112643003463745,49,10,49,0,11
1403715294.162646532058716,49,3,44,1,11
1403715294.212645053863525,48,1,45,0,11
1403715294.262623548507690,47,12,44,3,11
1403715294.312618255615234,46,1,46,0,11
1403715294.362614393234253,41,1,40,1,11
1403715294.412601947784424,50,5,41,9,11
1403715294.462596416473389,49,0,49,0,11
1403715294.512594938278198,47,0,47,0,11
1403715294.562593460083008,47,0,47,0,11
1403715294.612593412399292,47,2,46,0,11
1403715294.662597417831421,48,2,45,3,11
1403715294.712594747543335,50,10,48,2,11
1403715294.762589693069458,50,1,50,0,11
1403715294.812583923339844,47,3,47,0,11
1403715294.862569332122803,47,19,45,2,11
1403715294.912565708160400,46,2,46,0,11
1403715294.962558031082153,46,0,46,0,11
1403715295.012557744979858,46,1,43,3,11
1403715295.062563419342041,44,0,44,0,11
1403715295.112565517425537,43,0,43,0,11
1403715295.162566184997559,43,2,43,0,11
1403715295.212559700012207,43,2,43,0,11
1403715295.262560844421387,41,0,41,0,11
1403715295.312569618225098,48,0,41,7,11
1403715295.362575292587280,48,15,48,0,11
1403715295.412577629089355,48,0,48,0,11
1403715295.462584733963013,50,15,47,2,11
1403715295.512580156326294,49,0,48,0,11
1403715295.562575817108154,47,0,47,0,11
1403715295.612570285797119,47,0,47,0,11
1403715295.662557601928711,47,0,47,0,11
1403715295.712559700012207,47,0,47,0,11
1403715295.762559175491333,47,0,47,0,11
1403715295.812557458877563,46,0,46,0,11
1403715295.862556934356689,44,0,44,0,11
1403715295.912557363510132,43,0,42,0,11
1403715295.962545394897461,45,11,39,4,11
1403715296.012550354003906,44,0,43,0,11
1403715296.062551259994507,48,7,43,5,11
1403715296.112560510635376,47,0,47,0,11
1403715296.162564039230347,46,1,46,0,11
1403715296.212572336196899,45,3,44,0,11
1403715296.262567758560181,43,2,42,0,11
1403715296.312569856643677,40,0,40,0,11
1403715296.362583398818970,38,3,37,0,11
1403715296.412604093551636,37,0,33,0,11
1403715296.462637424468994,47,12,32,12,11
1403715296.512649536132812,44,0,43,1,11
