# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861248016357422,0.00695,0.00015,0.00064,0.00000,0.00000,0.00409,0.01183
1403715278.917189121246338,0.00604,0.00018,0.00570,0.00000,0.01222,0.00419,0.02834
1403715278.966984987258911,0.00606,0.00026,0.00077,0.00327,0.00000,0.00408,0.01444
1403715279.016396999359131,0.00588,0.00028,0.00011,0.00326,0.00000,0.00427,0.01381
1403715279.065998077392578,0.00694,0.00028,0.00011,0.00328,0.00000,0.00425,0.01487
1403715279.115695714950562,0.00579,0.00030,0.00062,0.00331,0.00000,0.00434,0.01437
1403715279.165567874908447,0.00590,0.00031,0.00035,0.00341,0.00000,0.00422,0.01421
1403715279.215384244918823,0.00676,0.00033,0.00094,0.00337,0.00000,0.00455,0.01595
1403715279.265150070190430,0.00572,0.00030,0.00003,0.00341,0.00692,0.00453,0.02091
1403715279.314573287963867,0.00586,0.00034,0.00008,0.00422,0.00607,0.00490,0.02147
1403715279.363695859909058,0.00577,0.00033,0.00003,0.00506,0.00193,0.00450,0.01761
1403715279.413000106811523,0.00607,0.00030,0.00003,0.00545,0.01518,0.00476,0.03179
1403715279.462647914886475,0.00569,0.00040,0.00003,0.00776,0.00001,0.00498,0.01886
1403715279.512154817581177,0.00566,0.00040,0.01845,0.00786,0.00206,0.00463,0.03907
1403715279.561795473098755,0.00589,0.00039,0.00003,0.00812,0.00010,0.00450,0.01903
1403715279.611595153808594,0.00557,0.00035,0.00193,0.00818,0.00246,0.00456,0.02304
1403715279.661440134048462,0.00580,0.00041,0.00003,0.00859,0.00001,0.00450,0.01934
1403715279.711300849914551,0.00585,0.00038,0.00003,0.00857,0.00001,0.00459,0.01944
1403715279.761296272277832,0.00700,0.00041,0.00003,0.00850,0.00001,0.00437,0.02032
1403715279.811314582824707,0.00570,0.00040,0.00009,0.00855,0.00001,0.00466,0.01941
1403715279.861185073852539,0.00575,0.00042,0.00011,0.00850,0.00001,0.00463,0.01942
1403715279.910829544067383,0.00534,0.00040,0.00009,0.00856,0.00001,0.00456,0.01896
1403715279.960397481918335,0.00553,0.00038,0.00343,0.00856,0.00007,0.00467,0.02265
1403715280.010419845581055,0.00566,0.00039,0.00003,0.00850,0.00001,0.00501,0.01962
1403715280.060426950454712,0.00600,0.00038,0.00010,0.00846,0.00001,0.00457,0.01952
1403715280.110428094863892,0.00591,0.00039,0.01663,0.00811,0.00010,0.00515,0.03630
1403715280.160799980163574,0.00575,0.00036,0.00008,0.00865,0.00012,0.00495,0.01991
1403715280.211240291595459,0.00593,0.00039,0.00015,0.00819,0.00205,0.00461,0.02132
1403715280.261699914932251,0.00603,0.00039,0.00036,0.00843,0.00001,0.00450,0.01971
1403715280.311732053756714,0.00695,0.00038,0.00021,0.00819,0.00001,0.00469,0.02043
1403715280.361694812774658,0.00568,0.00038,0.00003,0.00807,0.00001,0.00457,0.01874
1403715280.411567687988281,0.00622,0.00036,0.00003,0.00818,0.00001,0.00469,0.01949
1403715280.461388826370239,0.00570,0.00040,0.00068,0.00804,0.00001,0.00453,0.01937
1403715280.511513233184814,0.00569,0.00034,0.00017,0.00748,0.00001,0.00473,0.01842
1403715280.561444997787476,0.00586,0.00038,0.00146,0.00727,0.00139,0.00499,0.02135
1403715280.611429929733276,0.00673,0.00036,0.00109,0.00718,0.00564,0.00457,0.02558
1403715280.661392211914062,0.00600,0.00038,0.00086,0.00842,0.00002,0.00458,0.02027
1403715280.711404323577881,0.00594,0.00039,0.01607,0.00880,0.00400,0.00464,0.03984
1403715280.761406183242798,0.00643,0.00038,0.00123,0.00853,0.00203,0.00456,0.02316
1403715280.811427116394043,0.00607,0.00040,0.00106,0.00828,0.00007,0.00453,0.02042
1403715280.861481189727783,0.00681,0.00040,0.00071,0.00798,0.00001,0.00446,0.02037
1403715280.911618471145630,0.00735,0.00036,0.00181,0.00766,0.00001,0.00470,0.02189
1403715280.961637020111084,0.00602,0.00038,0.00057,0.00704,0.00335,0.00469,0.02205
1403715281.011603593826294,0.00591,0.00039,0.00060,0.00654,0.00039,0.00456,0.01839
1403715281.061657905578613,0.00545,0.00036,0.00008,0.00676,0.00001,0.00464,0.01731
1403715281.111608743667603,0.00572,0.00040,0.00027,0.00657,0.00001,0.00490,0.01787
1403715281.161624670028687,0.00575,0.00038,0.00024,0.00637,0.00508,0.00467,0.02249
1403715281.211730957031250,0.00723,0.00036,0.00101,0.00687,0.00001,0.00456,0.02004
1403715281.262005090713501,0.00617,0.00036,0.00018,0.00684,0.00001,0.00534,0.01890
1403715281.312240600585938,0.00633,0.00038,0.00948,0.00692,0.01314,0.00485,0.04109
1403715281.362287044525146,0.00589,0.00044,0.00110,0.00841,0.00001,0.00455,0.02040
1403715281.412336587905884,0.00738,0.00039,0.00003,0.00843,0.00008,0.00460,0.02091
1403715281.462447881698608,0.01365,0.00041,0.01129,0.00902,0.00590,0.00463,0.04490
1403715281.512493610382080,0.00620,0.00037,0.00017,0.00922,0.00001,0.00457,0.02055
1403715281.562519550323486,0.00612,0.00040,0.00004,0.00882,0.00001,0.00464,0.02003
1403715281.612484931945801,0.00620,0.00037,0.00032,0.00825,0.00050,0.00446,0.02010
1403715281.662487506866455,0.00606,0.00040,0.00022,0.00791,0.00074,0.00494,0.02027
1403715281.712513923645020,0.00604,0.00040,0.00079,0.00621,0.00001,0.00464,0.01808
1403715281.762657165527344,0.00568,0.00038,0.00890,0.00536,0.01223,0.00457,0.03711
1403715281.812604188919067,0.00910,0.00036,0.00022,0.00654,0.00006,0.00506,0.02134
1403715281.862700223922729,0.00657,0.00036,0.00060,0.00570,0.00039,0.00468,0.01829
1403715281.912615776062012,0.00620,0.00035,0.00116,0.00581,0.01332,0.00494,0.03179
1403715281.962685346603394,0.00696,0.00044,0.00004,0.00829,0.00001,0.00462,0.02036
1403715282.012701034545898,0.00628,0.00042,0.00004,0.00826,0.00007,0.00465,0.01972
1403715282.062803983688354,0.00613,0.00038,0.00806,0.00795,0.00611,0.00465,0.03330
1403715282.112750530242920,0.00594,0.00036,0.00003,0.00881,0.00001,0.00464,0.01980
1403715282.162866353988647,0.00636,0.00035,0.00014,0.00864,0.00001,0.00490,0.02039
1403715282.212873935699463,0.00608,0.00040,0.00032,0.00827,0.00126,0.00465,0.02098
1403715282.262939691543579,0.00595,0.00040,0.00012,0.00872,0.00001,0.00456,0.01977
1403715282.312924623489380,0.00588,0.00039,0.00100,0.00873,0.00001,0.00475,0.02075
1403715282.362939119338989,0.00598,0.00042,0.02436,0.00851,0.00242,0.00448,0.04618
1403715282.412909269332886,0.00599,0.00040,0.00032,0.00854,0.00001,0.00467,0.01993
1403715282.462911128997803,0.00575,0.00039,0.00028,0.00736,0.00044,0.00466,0.01887
1403715282.512890338897705,0.00746,0.00038,0.00004,0.00726,0.00353,0.00457,0.02324
1403715282.562892913818359,0.00569,0.00039,0.00026,0.00792,0.00001,0.00462,0.01889
1403715282.612898111343384,0.00581,0.00036,0.00025,0.00703,0.00009,0.00453,0.01809
1403715282.662895679473877,0.00743,0.00033,0.00470,0.00674,0.00744,0.00441,0.03105
1403715282.712873458862305,0.00624,0.00036,0.00116,0.00787,0.00002,0.00456,0.02022
1403715282.762868165969849,0.00851,0.00035,0.00010,0.00785,0.00001,0.00491,0.02172
