# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862486600875854,0.00645,0.00018,0.00064,0.00000,0.00000,0.00416,0.01143
1403715278.911942481994629,0.00578,0.00019,0.00570,0.00000,0.01309,0.00436,0.02912
1403715278.961569309234619,0.00627,0.00025,0.00076,0.00329,0.00000,0.00405,0.01462
1403715279.009994506835938,0.00587,0.00028,0.00018,0.00330,0.00000,0.00439,0.01401
1403715279.059519290924072,0.00796,0.00029,0.00011,0.00327,0.00000,0.00432,0.01596
1403715279.108989953994751,0.00556,0.00031,0.00068,0.00338,0.00000,0.00438,0.01432
1403715279.159075736999512,0.00572,0.00032,0.00036,0.00332,0.00000,0.00431,0.01404
1403715279.209217548370361,0.00660,0.00029,0.00092,0.00338,0.00000,0.00456,0.01575
1403715279.259369850158691,0.00563,0.00026,0.00003,0.00345,0.00720,0.00453,0.02110
1403715279.309489965438843,0.00534,0.00033,0.00008,0.00428,0.00598,0.00450,0.02051
1403715279.359759569168091,0.00553,0.00048,0.00003,0.00503,0.00191,0.00454,0.01752
1403715279.410158872604370,0.00588,0.00034,0.00003,0.00534,0.01484,0.00502,0.03144
1403715279.460302352905273,0.00553,0.00039,0.00003,0.00773,0.00000,0.00559,0.01927
1403715279.510140419006348,0.00541,0.00037,0.01986,0.00796,0.00214,0.00464,0.04039
1403715279.559961557388306,0.00555,0.00038,0.00003,0.00818,0.00010,0.00458,0.01883
1403715279.609988451004028,0.00687,0.00038,0.00177,0.00808,0.00204,0.00447,0.02362
1403715279.659954547882080,0.00529,0.00042,0.00003,0.00873,0.00000,0.00458,0.01904
1403715279.709946155548096,0.00543,0.00037,0.00003,0.00865,0.00000,0.00483,0.01930
1403715279.760002613067627,0.00656,0.00036,0.00003,0.00860,0.00000,0.00456,0.02011
1403715279.810012340545654,0.00549,0.00042,0.00008,0.00870,0.00000,0.00481,0.01951
1403715279.859927892684937,0.00533,0.00037,0.00011,0.00863,0.00000,0.00469,0.01914
1403715279.909849166870117,0.00541,0.00039,0.00008,0.00866,0.00000,0.00473,0.01927
1403715279.959628343582153,0.00541,0.00036,0.00340,0.00845,0.00007,0.00467,0.02236
1403715280.009815454483032,0.00557,0.00042,0.00003,0.00869,0.00000,0.00557,0.02029
1403715280.059880256652832,0.00560,0.00040,0.00009,0.00852,0.00000,0.00458,0.01919
1403715280.109829425811768,0.00594,0.00040,0.01652,0.00855,0.00013,0.00491,0.03647
1403715280.159925937652588,0.00552,0.00060,0.00055,0.00857,0.00006,0.00460,0.01991
1403715280.210126638412476,0.00577,0.00040,0.00170,0.00809,0.00013,0.00458,0.02068
1403715280.260432481765747,0.00557,0.00036,0.00028,0.00799,0.00000,0.00459,0.01879
1403715280.310471057891846,0.00698,0.00039,0.00003,0.00756,0.00000,0.00455,0.01950
1403715280.360472440719604,0.00561,0.00036,0.00003,0.00752,0.00000,0.00465,0.01818
1403715280.410430908203125,0.00635,0.00037,0.00017,0.00759,0.00045,0.00442,0.01936
1403715280.460292577743530,0.00629,0.00037,0.00069,0.00769,0.00000,0.00456,0.01961
1403715280.510175704956055,0.00561,0.00035,0.00017,0.00759,0.00000,0.00471,0.01843
1403715280.559983968734741,0.00574,0.00035,0.00133,0.00749,0.00144,0.00498,0.02135
1403715280.610000848770142,0.00673,0.00037,0.00077,0.00749,0.00000,0.00440,0.01976
1403715280.659981489181519,0.00607,0.00037,0.00074,0.00719,0.00561,0.00462,0.02460
1403715280.710144519805908,0.00587,0.00040,0.01757,0.00818,0.00014,0.00461,0.03678
1403715280.760171651840210,0.00637,0.00037,0.00180,0.00764,0.00196,0.00457,0.02270
1403715280.810233592987061,0.00590,0.00039,0.00028,0.00736,0.00305,0.00459,0.02156
1403715280.860305070877075,0.00702,0.00042,0.00065,0.00783,0.00000,0.00455,0.02046
1403715280.910516738891602,0.00733,0.00037,0.00169,0.00757,0.00045,0.00474,0.02215
1403715280.960725545883179,0.00597,0.00040,0.00039,0.00663,0.00337,0.00470,0.02145
1403715281.010847330093384,0.00615,0.00039,0.00050,0.00631,0.00041,0.00452,0.01827
1403715281.061003684997559,0.00536,0.00034,0.00014,0.00657,0.00000,0.00471,0.01712
1403715281.111108303070068,0.00563,0.00039,0.00003,0.00641,0.00000,0.00489,0.01735
1403715281.161244869232178,0.00555,0.00033,0.00034,0.00595,0.00496,0.00467,0.02181
1403715281.211347818374634,0.00699,0.00035,0.00101,0.00680,0.00000,0.00463,0.01978
1403715281.261536121368408,0.00597,0.00038,0.00018,0.00651,0.00000,0.00505,0.01809
1403715281.311757564544678,0.00621,0.00033,0.00961,0.00622,0.01480,0.00493,0.04211
1403715281.361731290817261,0.00589,0.00038,0.00120,0.00861,0.00006,0.00458,0.02074
1403715281.411741018295288,0.00771,0.00039,0.00003,0.00867,0.00008,0.00452,0.02140
1403715281.461841344833374,0.00597,0.00039,0.01105,0.00848,0.00632,0.00477,0.03698
1403715281.511837244033813,0.00585,0.00041,0.00017,0.00942,0.00000,0.00466,0.02051
1403715281.561832904815674,0.00640,0.00041,0.00015,0.00854,0.00000,0.00469,0.02018
1403715281.611820936203003,0.00612,0.00043,0.00019,0.00819,0.00048,0.00465,0.02005
1403715281.661809682846069,0.00594,0.00041,0.00036,0.00799,0.00097,0.00497,0.02064
1403715281.711786746978760,0.00606,0.00041,0.00073,0.00648,0.00000,0.00465,0.01834
1403715281.761719703674316,0.00833,0.00034,0.00756,0.00585,0.01385,0.00478,0.04071
1403715281.811724901199341,0.00713,0.00037,0.00029,0.00715,0.00002,0.00563,0.02059
1403715281.861707210540771,0.00611,0.00037,0.00064,0.00681,0.00000,0.00475,0.01868
1403715281.911740541458130,0.00596,0.00038,0.00447,0.00639,0.01087,0.00488,0.03294
1403715281.961722135543823,0.00705,0.00040,0.00004,0.00898,0.00007,0.00470,0.02124
