# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.963227987289429,0.00423,0.00018,0.00072,0.00000,0.00000,0.00128,0.00641
1403715279.012208938598633,0.00393,0.00021,0.00429,0.00000,0.00997,0.00120,0.01960
1403715279.062228918075562,0.00407,0.00029,0.00011,0.00267,0.00000,0.00118,0.00833
1403715279.112279176712036,0.00422,0.00031,0.00004,0.00288,0.00000,0.00139,0.00885
1403715279.162302255630493,0.00391,0.00030,0.00006,0.00277,0.00000,0.00131,0.00836
1403715279.211979389190674,0.00391,0.00033,0.00004,0.00284,0.00000,0.00132,0.00844
1403715279.262343645095825,0.00347,0.00032,0.00002,0.00292,0.00000,0.00138,0.00811
1403715279.312375068664551,0.00390,0.00034,0.00003,0.00316,0.00000,0.00160,0.00904
1403715279.362072229385376,0.00389,0.00034,0.00003,0.00315,0.00551,0.00154,0.01446
1403715279.411889314651489,0.00380,0.00036,0.00009,0.00404,0.00320,0.00146,0.01296
1403715279.462078571319580,0.00371,0.00043,0.00006,0.00414,0.00955,0.00156,0.01945
1403715279.511990785598755,0.00393,0.00042,0.00004,0.00508,0.00121,0.00142,0.01210
1403715279.561907052993774,0.00377,0.00045,0.00023,0.00516,0.00193,0.00206,0.01360
1403715279.612168550491333,0.00379,0.00047,0.01073,0.00504,0.00829,0.00137,0.02970
1403715279.662197113037109,0.00368,0.00049,0.00177,0.00661,0.00203,0.00175,0.01634
1403715279.712328195571899,0.00364,0.00050,0.00005,0.00714,0.00009,0.00149,0.01292
1403715279.762318849563599,0.00363,0.00049,0.00003,0.00709,0.00204,0.00168,0.01496
1403715279.812402725219727,0.00352,0.00051,0.00009,0.00760,0.00000,0.00173,0.01345
1403715279.862337350845337,0.00451,0.00049,0.00003,0.00761,0.00000,0.00172,0.01436
1403715279.912352800369263,0.00492,0.00050,0.00003,0.00751,0.00000,0.00169,0.01465
1403715279.962118625640869,0.00357,0.00050,0.00014,0.00750,0.00009,0.00165,0.01346
1403715280.011719465255737,0.00372,0.00050,0.00003,0.00768,0.00207,0.00178,0.01579
1403715280.061608552932739,0.00377,0.00054,0.00023,0.00767,0.00006,0.00155,0.01383
1403715280.111600399017334,0.00377,0.00052,0.00035,0.00732,0.00009,0.00198,0.01403
1403715280.161903858184814,0.00376,0.00062,0.00031,0.00731,0.00201,0.00188,0.01588
1403715280.212557792663574,0.00617,0.00053,0.01222,0.00719,0.00017,0.00156,0.02783
1403715280.263146400451660,0.00403,0.00058,0.00224,0.00707,0.00228,0.00158,0.01777
1403715280.313372611999512,0.00758,0.00046,0.00022,0.00731,0.00006,0.00148,0.01711
1403715280.363512039184570,0.00414,0.00055,0.00006,0.00760,0.00000,0.00151,0.01386
1403715280.413518190383911,0.00526,0.00055,0.00070,0.00681,0.00000,0.00129,0.01461
1403715280.463409423828125,0.00439,0.00055,0.00116,0.00653,0.00000,0.00163,0.01426
1403715280.513319969177246,0.00423,0.00046,0.00038,0.00639,0.00000,0.00159,0.01306
1403715280.563159704208374,0.00398,0.00047,0.00044,0.00609,0.00000,0.00160,0.01258
1403715280.613087177276611,0.00453,0.00050,0.00067,0.00596,0.00000,0.00164,0.01332
1403715280.662987470626831,0.00430,0.00047,0.00038,0.00559,0.00000,0.00188,0.01262
1403715280.712946414947510,0.00441,0.00042,0.00049,0.00555,0.00393,0.00187,0.01667
1403715280.762912273406982,0.00426,0.00045,0.00125,0.00583,0.00106,0.00150,0.01436
1403715280.812872648239136,0.00402,0.00047,0.00738,0.00599,0.01313,0.00435,0.03534
1403715280.862850904464722,0.00509,0.00058,0.00112,0.00818,0.00313,0.00178,0.01988
1403715280.912953853607178,0.00457,0.00050,0.00384,0.00763,0.00000,0.00176,0.01831
1403715280.962962627410889,0.00431,0.00046,0.00034,0.00705,0.00020,0.00149,0.01385
1403715281.012855052947998,0.00442,0.00053,0.00053,0.00654,0.00297,0.00166,0.01664
