# timestamp (sec),tracking,propagation,msckf update,re-tri & marg,total
1403715278.860895872116089,0.00991,0.00018,0.00060,0.00535,0.01604
1403715278.911384344100952,0.00934,0.00018,0.00734,0.00549,0.02236
1403715278.961500167846680,0.00717,0.00020,0.00713,0.00512,0.01962
1403715279.011515617370605,0.00760,0.00022,0.00036,0.00532,0.01350
1403715279.061515808105469,0.00794,0.00021,0.00001,0.00519,0.01334
1403715279.111515760421753,0.00760,0.00025,0.00006,0.00519,0.01309
1403715279.161497592926025,0.00674,0.00022,0.00057,0.00537,0.01291
1403715279.211492538452148,0.00750,0.00025,0.00023,0.00562,0.01361
1403715279.261248111724854,0.00683,0.00023,0.00200,0.00567,0.01473
1403715279.311159372329712,0.00728,0.00024,0.00375,0.00559,0.01687
1403715279.361190080642700,0.00698,0.00022,0.00106,0.00557,0.01383
1403715279.411357402801514,0.00778,0.00026,0.00723,0.00564,0.02091
1403715279.461357355117798,0.00729,0.00022,0.00001,0.00547,0.01300
1403715279.511728763580322,0.00749,0.00024,0.02566,0.00558,0.03897
1403715279.561749219894409,0.00684,0.00022,0.01563,0.00559,0.02828
1403715279.611762285232544,0.00738,0.00024,0.00199,0.00570,0.01532
1403715279.661762237548828,0.00680,0.00022,0.00001,0.00545,0.01248
1403715279.711762189865112,0.00744,0.00025,0.00001,0.00544,0.01315
1403715279.761762142181396,0.00695,0.00023,0.00001,0.00546,0.01265
1403715279.811762332916260,0.00732,0.00026,0.00002,0.00556,0.01315
1403715279.861801385879517,0.00661,0.00022,0.00196,0.00563,0.01442
1403715279.911782503128052,0.00713,0.00025,0.00376,0.00556,0.01670
1403715279.961774349212646,0.00777,0.00023,0.00323,0.00574,0.01697
1403715280.011768341064453,0.00733,0.00025,0.00688,0.00664,0.02111
1403715280.061768531799316,0.00828,0.00028,0.00010,0.00666,0.01533
1403715280.111767053604126,0.00956,0.00029,0.03462,0.00684,0.05132
1403715280.161870956420898,0.00956,0.00028,0.01912,0.00566,0.03462
1403715280.211896896362305,0.00961,0.00022,0.00192,0.00556,0.01731
1403715280.261896848678589,0.00886,0.00023,0.00006,0.00538,0.01453
1403715280.311897039413452,0.00952,0.00023,0.00001,0.00542,0.01517
1403715280.361896991729736,0.00879,0.00024,0.00001,0.00572,0.01477
1403715280.411896944046021,0.01926,0.00034,0.00003,0.00719,0.02683
1403715280.462063550949097,0.00758,0.00023,0.00292,0.00750,0.01823
1403715280.512317657470703,0.00750,0.00024,0.00473,0.00548,0.01796
1403715280.562361955642700,0.00875,0.00023,0.00178,0.00597,0.01673
1403715280.612334251403809,0.00836,0.00022,0.00597,0.00573,0.02028
1403715280.662184715270996,0.00710,0.00023,0.00331,0.00568,0.01632
1403715280.712154388427734,0.01048,0.00023,0.02721,0.00552,0.04345
1403715280.762147665023804,0.00730,0.00023,0.01322,0.00567,0.02642
1403715280.812134265899658,0.00944,0.00023,0.00262,0.00564,0.01794
1403715280.862134218215942,0.00772,0.00020,0.00014,0.00548,0.01354
1403715280.912134170532227,0.00784,0.00024,0.00010,0.00547,0.01365
1403715280.962149620056152,0.00691,0.00022,0.00078,0.00574,0.01365
1403715281.012167453765869,0.00827,0.00029,0.00089,0.00557,0.01502
1403715281.062160968780518,0.00817,0.00021,0.00033,0.00558,0.01428
1403715281.112267017364502,0.00882,0.00023,0.00712,0.00571,0.02188
1403715281.162150859832764,0.00745,0.00023,0.00214,0.00568,0.01550
1403715281.212131977081299,0.00750,0.00023,0.00607,0.00569,0.01949
1403715281.262138843536377,0.00695,0.00023,0.00409,0.00562,0.01690
1403715281.312395095825195,0.00760,0.00026,0.02102,0.00573,0.03462
1403715281.362482547760010,0.00700,0.00023,0.01629,0.00575,0.02927
1403715281.412487268447876,0.00749,0.00023,0.00129,0.00571,0.01473
1403715281.462487220764160,0.00698,0.00023,0.00007,0.00543,0.01272
1403715281.512493133544922,0.00755,0.00023,0.00018,0.00553,0.01350
1403715281.562493324279785,0.00955,0.00022,0.00001,0.00556,0.01534
1403715281.612480163574219,0.00783,0.00022,0.01196,0.00551,0.02552
1403715281.662480115890503,0.00697,0.00023,0.00001,0.00553,0.01274
1403715281.712442159652710,0.00957,0.00022,0.00679,0.00529,0.02188
1403715281.762379407882690,0.00986,0.00022,0.00143,0.00526,0.01678
1403715281.812288999557495,0.00942,0.00023,0.00468,0.00535,0.01968
1403715281.862290143966675,0.00809,0.00023,0.00417,0.00532,0.01782
1403715281.912278413772583,0.00777,0.00023,0.01312,0.00526,0.02638
1403715281.962249040603638,0.00782,0.00025,0.01237,0.00517,0.02561
1403715282.012246370315552,0.00771,0.00024,0.00138,0.00531,0.01465
1403715282.062246561050415,0.00789,0.00023,0.00010,0.00533,0.01355
1403715282.112246513366699,0.00751,0.00023,0.00001,0.00528,0.01304
1403715282.162246465682983,0.00755,0.00024,0.00002,0.00516,0.01297
1403715282.212274312973022,0.00761,0.00023,0.01023,0.00513,0.02321
1403715282.262288570404053,0.00753,0.00025,0.00426,0.00613,0.01817
1403715282.312303543090820,0.00813,0.00024,0.02091,0.00540,0.03468
1403715282.362303495407104,0.00762,0.00024,0.00001,0.00514,0.01301
1403715282.412330865859985,0.00854,0.00023,0.00439,0.00533,0.01850
1403715282.462316036224365,0.00825,0.00025,0.00329,0.00543,0.01721
1403715282.512285709381104,0.01213,0.00020,0.01275,0.00535,0.03044
1403715282.562285661697388,0.00960,0.00023,0.01174,0.00538,0.02696
1403715282.612291812896729,0.00799,0.00022,0.00226,0.00550,0.01597
1403715282.662292957305908,0.00934,0.00025,0.00047,0.00551,0.01557
1403715282.712300062179565,0.01352,0.00024,0.00051,0.00541,0.01968
1403715282.762298822402954,0.00812,0.00023,0.00031,0.00568,0.01434
1403715282.812292575836182,0.00787,0.00024,0.00797,0.00545,0.02153
1403715282.862294912338257,0.00850,0.00021,0.00359,0.00547,0.01777
1403715282.912275552749634,0.00803,0.00024,0.01873,0.00544,0.03243
1403715282.962275505065918,0.00793,0.00023,0.00002,0.00531,0.01350
1403715283.012266159057617,0.00787,0.00023,0.00204,0.00539,0.01553
1403715283.062263965606689,0.00786,0.00023,0.02246,0.00497,0.03552
1403715283.112270832061768,0.00862,0.00022,0.01281,0.00525,0.02691
1403715283.162273406982422,0.00849,0.00023,0.00994,0.00544,0.02410
1403715283.212276697158813,0.00859,0.00022,0.00151,0.00537,0.01569
1403715283.262271642684937,0.00794,0.00023,0.00047,0.00519,0.01383
1403715283.312271833419800,0.00772,0.00023,0.00001,0.00515,0.01312
1403715283.362267971038818,0.00874,0.00023,0.00116,0.00529,0.01543
1403715283.412243366241455,0.00759,0.00024,0.00453,0.00553,0.01789
1403715283.462217807769775,0.00755,0.00023,0.00400,0.00537,0.01715
1403715283.512108087539673,0.00746,0.00023,0.01923,0.00570,0.03263
1403715283.562108755111694,0.01029,0.00021,0.00027,0.00577,0.01654
1403715283.612105369567871,0.00829,0.00023,0.00099,0.00552,0.01503
1403715283.662154912948608,0.00844,0.00023,0.02050,0.00546,0.03463
1403715283.712151288986206,0.00827,0.00023,0.00959,0.00545,0.02354
1403715283.762160062789917,0.00926,0.00023,0.00870,0.00633,0.02453
1403715283.812160253524780,0.00975,0.00022,0.00006,0.00554,0.01557
1403715283.862160205841064,0.00918,0.00022,0.00002,0.00520,0.01462
1403715283.912160158157349,0.00783,0.00023,0.00006,0.00544,0.01357
1403715283.962160110473633,0.00788,0.00024,0.00002,0.00526,0.01339
1403715284.012181997299194,0.00786,0.00024,0.00437,0.00551,0.01798
1403715284.062184333801270,0.00796,0.00024,0.00249,0.00539,0.01609
1403715284.112317562103271,0.00790,0.00024,0.02776,0.00551,0.04142
1403715284.162337303161621,0.00889,0.00023,0.00527,0.00556,0.01995
1403715284.212337255477905,0.00779,0.00024,0.00087,0.00541,0.01431
1403715284.262330293655396,0.00790,0.00023,0.01713,0.00509,0.03035
1403715284.312310457229614,0.00860,0.00023,0.00814,0.00568,0.02266
1403715284.362289905548096,0.00810,0.00025,0.00895,0.00536,0.02267
1403715284.412289857864380,0.00770,0.00028,0.00007,0.00561,0.01365
1403715284.462289810180664,0.00774,0.00024,0.00002,0.00518,0.01319
1403715284.512289762496948,0.00759,0.00024,0.00002,0.00518,0.01303
1403715284.562289953231812,0.00774,0.00025,0.00002,0.00520,0.01321
1403715284.612307071685791,0.00778,0.00024,0.00448,0.00549,0.01799
1403715284.662306070327759,0.00853,0.00024,0.00059,0.00523,0.01459
1403715284.712297916412354,0.00786,0.00023,0.02722,0.00536,0.04067
1403715284.762294769287109,0.00794,0.00023,0.00306,0.00536,0.01660
1403715284.812292098999023,0.00775,0.00024,0.00090,0.00600,0.01488
1403715284.862273693084717,0.00787,0.00024,0.01419,0.00526,0.02756
1403715284.912301540374756,0.01219,0.00023,0.00856,0.00549,0.02647
1403715284.962304830551147,0.00973,0.00022,0.00832,0.00576,0.02404
1403715285.012304782867432,0.00776,0.00023,0.00001,0.00576,0.01377
1403715285.062298536300659,0.00771,0.00024,0.00032,0.00531,0.01359
1403715285.112298488616943,0.00757,0.00025,0.00022,0.00527,0.01331
1403715285.162295818328857,0.00790,0.00025,0.00046,0.00525,0.01386
1403715285.212319374084473,0.00761,0.00023,0.00554,0.00546,0.01885
1403715285.262319326400757,0.00847,0.00027,0.00020,0.00497,0.01391
1403715285.312434434890747,0.00779,0.00022,0.02090,0.00535,0.03427
1403715285.362436294555664,0.00766,0.00027,0.00305,0.00542,0.01640
1403715285.412450075149536,0.00757,0.00024,0.00090,0.00526,0.01396
1403715285.462455272674561,0.00752,0.00025,0.01411,0.00514,0.02703
1403715285.512473583221436,0.00832,0.00022,0.00792,0.00545,0.02192
1403715285.562489032745361,0.00774,0.00023,0.00825,0.00526,0.02147
1403715285.612488985061646,0.00775,0.00024,0.00001,0.00506,0.01306
1403715285.662488937377930,0.00761,0.00024,0.00006,0.00514,0.01305
1403715285.712488889694214,0.00780,0.00023,0.00001,0.00505,0.01309
1403715285.762482643127441,0.00902,0.00022,0.00099,0.00526,0.01549
1403715285.812475681304932,0.00992,0.00023,0.00487,0.00547,0.02049
1403715285.862474203109741,0.00812,0.00023,0.00273,0.00540,0.01648
1403715285.912457942962646,0.00808,0.00023,0.02156,0.00545,0.03532
1403715285.962454795837402,0.00812,0.00023,0.00323,0.00557,0.01714
1403715286.012449741363525,0.00895,0.00023,0.00130,0.00553,0.01601
1403715286.062450408935547,0.01033,0.00022,0.01657,0.00562,0.03275
1403715286.112435102462769,0.00790,0.00025,0.00610,0.00556,0.01982
1403715286.162437915802002,0.00771,0.00023,0.01547,0.01689,0.04032
1403715286.212437868118286,0.01700,0.00081,0.00006,0.01561,0.03348
1403715286.262438058853149,0.01754,0.00070,0.00031,0.01153,0.03009
1403715286.312439918518066,0.00783,0.00022,0.00328,0.00540,0.01673
1403715286.362437009811401,0.00780,0.00024,0.01699,0.00558,0.03061
1403715286.412439346313477,0.00821,0.00022,0.00474,0.00539,0.01855
1403715286.462438821792603,0.00795,0.00024,0.00279,0.00544,0.01643
1403715286.512429714202881,0.00782,0.00024,0.01889,0.00531,0.03226
1403715286.562426567077637,0.01228,0.00023,0.00376,0.00535,0.02163
1403715286.612426280975342,0.00761,0.00022,0.00023,0.00514,0.01320
1403715286.662397623062134,0.00785,0.00031,0.01552,0.00528,0.02896
1403715286.712396860122681,0.00856,0.00025,0.00455,0.00541,0.01878
1403715286.762398958206177,0.00784,0.00024,0.00499,0.00524,0.01830
1403715286.812399148941040,0.01078,0.00023,0.00014,0.00573,0.01689
1403715286.862399101257324,0.00819,0.00022,0.00009,0.00518,0.01369
1403715286.912376403808594,0.00798,0.00026,0.00229,0.00540,0.01593
1403715286.962323427200317,0.00782,0.00024,0.02736,0.01201,0.04744
1403715287.012317657470703,0.02118,0.00023,0.00449,0.00762,0.03352
1403715287.062319040298462,0.01209,0.00028,0.00248,0.00588,0.02074
1403715287.112308263778687,0.01294,0.00031,0.01439,0.00534,0.03298
1403715287.162300825119019,0.00774,0.00023,0.00327,0.00554,0.01679
1403715287.212301015853882,0.00773,0.00023,0.00086,0.00536,0.01418
1403715287.262304544448853,0.00741,0.00023,0.01404,0.00527,0.02696
1403715287.312310934066772,0.00824,0.00023,0.00214,0.00524,0.01585
1403715287.362344264984131,0.00869,0.00023,0.01407,0.00536,0.02836
1403715287.412345409393311,0.00759,0.00023,0.00034,0.00514,0.01330
1403715287.462345361709595,0.00773,0.00023,0.00004,0.00510,0.01310
1403715287.512344837188721,0.00750,0.00023,0.00086,0.00515,0.01374
1403715287.562325954437256,0.00856,0.00023,0.01077,0.00524,0.02481
1403715287.612328290939331,0.00757,0.00022,0.00104,0.00528,0.01411
1403715287.662338256835938,0.00818,0.00025,0.00119,0.00513,0.01476
1403715287.712362289428711,0.00725,0.00026,0.01065,0.00528,0.02344
1403715287.762371540069580,0.00809,0.00023,0.00275,0.00520,0.01627
1403715287.812371015548706,0.00766,0.00022,0.00120,0.00513,0.01422
1403715287.862394571304321,0.00835,0.00023,0.00909,0.00518,0.02285
1403715287.912384748458862,0.00748,0.00022,0.00817,0.00515,0.02102
1403715287.962355613708496,0.00746,0.00023,0.00853,0.00598,0.02220
1403715288.012359619140625,0.00909,0.00024,0.00055,0.00539,0.01528
1403715288.062363386154175,0.01054,0.00023,0.00100,0.00572,0.01749
1403715288.112381935119629,0.01084,0.00023,0.00089,0.00569,0.01766
1403715288.162423133850098,0.00834,0.00024,0.00851,0.00583,0.02293
1403715288.212420225143433,0.01081,0.00022,0.00117,0.00599,0.01819
1403715288.262420177459717,0.00968,0.00024,0.00009,0.00515,0.01516
1403715288.312402725219727,0.00778,0.00022,0.00816,0.00538,0.02153
1403715288.362407207489014,0.00800,0.00022,0.00090,0.00541,0.01454
1403715288.412420988082886,0.00763,0.00023,0.00792,0.00553,0.02132
1403715288.462442159652710,0.00748,0.00023,0.00718,0.00548,0.02038
1403715288.512443065643311,0.00747,0.00024,0.00688,0.00543,0.02001
1403715288.562452316284180,0.00744,0.00023,0.00685,0.00549,0.02001
1403715288.612452268600464,0.00738,0.00024,0.00047,0.00527,0.01337
1403715288.662452220916748,0.00751,0.00024,0.00002,0.00522,0.01299
1403715288.712452173233032,0.00834,0.00024,0.00018,0.00507,0.01383
1403715288.762507438659668,0.00761,0.00023,0.01716,0.00520,0.03021
1403715288.812507629394531,0.00760,0.00024,0.00017,0.00512,0.01313
1403715288.862507581710815,0.00774,0.00022,0.00007,0.00520,0.01323
1403715288.912509679794312,0.00769,0.00024,0.00684,0.00536,0.02014
1403715288.962509393692017,0.00758,0.00023,0.00044,0.00521,0.01346
1403715289.012473106384277,0.00739,0.00023,0.00848,0.00539,0.02149
1403715289.062480688095093,0.00751,0.00023,0.00682,0.00597,0.02053
1403715289.112494945526123,0.01015,0.00022,0.00763,0.00544,0.02345
1403715289.162513732910156,0.00856,0.00022,0.00776,0.00543,0.02197
1403715289.212516069412231,0.00744,0.00022,0.00122,0.00529,0.01418
1403715289.262516021728516,0.00748,0.00024,0.00002,0.00530,0.01303
1403715289.312515258789062,0.00742,0.00023,0.00081,0.00524,0.01370
1403715289.362464666366577,0.00772,0.00025,0.01511,0.00560,0.02869
1403715289.412456750869751,0.00752,0.00029,0.00287,0.00532,0.01600
1403715289.462450265884399,0.00754,0.00031,0.00051,0.00535,0.01371
1403715289.512435436248779,0.00817,0.00022,0.00690,0.00541,0.02071
1403715289.562436342239380,0.00756,0.00023,0.00043,0.00521,0.01344
1403715289.612433910369873,0.00753,0.00041,0.00816,0.00524,0.02133
1403715289.662430286407471,0.00923,0.00022,0.00564,0.00531,0.02040
1403715289.712424993515015,0.00815,0.00024,0.00497,0.00563,0.01900
1403715289.762411832809448,0.00786,0.00024,0.01044,0.00552,0.02407
1403715289.812425136566162,0.00781,0.00035,0.00628,0.00572,0.02016
1403715289.862425088882446,0.00775,0.00022,0.00006,0.00514,0.01318
1403715289.912417173385620,0.00784,0.00024,0.00151,0.00531,0.01490
1403715289.962417125701904,0.00808,0.00023,0.01531,0.00541,0.02903
1403715290.012416601181030,0.00889,0.00026,0.00117,0.00526,0.01558
1403715290.062411785125732,0.00790,0.00022,0.00388,0.00535,0.01735
1403715290.112406253814697,0.00771,0.00022,0.00645,0.00539,0.01977
1403715290.162405490875244,0.00781,0.00023,0.00063,0.00532,0.01399
1403715290.262398958206177,0.00763,0.00034,0.01270,0.00528,0.02595
1403715290.312399625778198,0.00776,0.00023,0.00328,0.00542,0.01668
1403715290.362401962280273,0.00761,0.00023,0.00266,0.00530,0.01580
1403715290.412407636642456,0.00773,0.00022,0.00660,0.00536,0.01991
1403715290.462410688400269,0.00758,0.00023,0.00209,0.00539,0.01529
