# timestamp(s) tx ty tz qx qy qz qw
1403637149.987163782 0.000321668 -0.015195335 0.007743110 -0.823785297 -0.005153455 -0.566002566 0.031501146
1403637150.036369324 -0.012535759 -0.019464301 0.006749817 -0.831643826 -0.022958435 -0.553548589 0.037754693
1403637150.086450338 -0.003003521 -0.026345973 0.012236140 -0.835858558 -0.024769338 -0.547505158 0.031065299
1403637150.136445522 0.000407405 -0.037628080 0.018769477 -0.839164089 -0.027461840 -0.542621169 0.024733498
1403637150.186323404 0.006028218 -0.049878657 0.027284586 -0.840479843 -0.028981406 -0.540721116 0.019349060
1403637150.236322641 0.013484385 -0.061500529 0.039575007 -0.841043242 -0.029368276 -0.539959070 0.015098754
1403637150.286350727 0.023966892 -0.070735882 0.054084643 -0.839026018 -0.028837577 -0.543142673 0.014134077
1403637150.336411715 0.036052114 -0.080313939 0.067190264 -0.836582086 -0.027718900 -0.546970984 0.013594836
1403637150.386476517 0.049854571 -0.089039425 0.082281649 -0.831994820 -0.024581463 -0.554038435 0.014892432
1403637150.436546087 0.065471414 -0.097291236 0.098785801 -0.828470819 -0.021505345 -0.559430549 0.014528692
1403637150.486651182 0.081878838 -0.106163285 0.114562939 -0.825917029 -0.020296684 -0.563254271 0.013918771
1403637150.536639690 0.098672484 -0.114926262 0.129624242 -0.824162357 -0.018806686 -0.565883571 0.013360475
1403637150.586954117 0.115498696 -0.120828175 0.145818354 -0.823747298 -0.014632166 -0.566677640 0.010136117
1403637150.636833429 0.133092406 -0.126497281 0.159231811 -0.823124002 -0.012265330 -0.567676511 0.007734208
1403637150.686791420 0.152085690 -0.134254609 0.172975483 -0.822916607 -0.012980493 -0.567958341 0.007942799
1403637150.736847162 0.170743397 -0.142240479 0.186135493 -0.822892958 -0.012743728 -0.568012148 0.006854026
1403637150.787076950 0.187108036 -0.150818634 0.198584198 -0.822250961 -0.010342312 -0.569012722 0.004573402
1403637150.837136745 0.203254238 -0.157225876 0.211119340 -0.821057443 -0.009793915 -0.570756246 0.002462211
1403637150.887360573 0.222061816 -0.169776326 0.224651898 0.818909532 0.004791074 0.573901292 0.001237538
1403637150.937359095 0.238628820 -0.177146563 0.235928957 0.816415531 0.004335065 0.577445347 0.001938789
1403637150.987346411 0.255070086 -0.182997707 0.246213845 0.813955435 0.003912259 0.580907385 0.002802600
1403637151.037335873 0.273120664 -0.190064976 0.255942801 0.812012183 0.003756241 0.583620888 0.002960344
1403637151.087293863 0.289744278 -0.197421632 0.264897239 0.809786509 0.003911131 0.586702073 0.003345285
1403637151.137263536 0.305780598 -0.204888046 0.273248259 0.807192333 0.004203837 0.590263010 0.003527689
1403637151.187464237 0.319057247 -0.212482573 0.280407536 0.806250937 0.004326611 0.591548600 0.003310636
1403637151.237694025 0.330992838 -0.218123977 0.287538055 0.807838931 0.004391040 0.589381689 0.002491157
1403637151.287843943 0.340797882 -0.223794942 0.296312351 0.809785387 0.003645333 0.586714540 0.000622473
1403637151.337993383 0.350553448 -0.230512435 0.306610109 -0.812088329 -0.001672115 -0.583523897 0.003100428
1403637151.387975693 0.359809808 -0.235086854 0.320811608 -0.814413763 0.001396370 -0.580220954 0.008480430
1403637151.437974215 0.369990317 -0.240190174 0.338247730 -0.816162671 0.004026782 -0.577666943 0.012774285
1403637151.488021374 0.378730015 -0.245828595 0.356809968 -0.817125710 0.002556856 -0.576343695 0.011268595
1403637151.538009644 0.388564513 -0.250877366 0.374944922 -0.817763696 0.001641688 -0.575452043 0.010713949
1403637151.588059664 0.394397033 -0.257317083 0.391577584 -0.817654654 0.000658465 -0.575637693 0.009037692
1403637151.638079643 0.402814489 -0.264422595 0.407037159 -0.817748135 -0.000778716 -0.575523735 0.007733856
1403637151.688087225 0.410803204 -0.270977357 0.421296083 -0.817379797 -0.002019643 -0.576059498 0.006453230
1403637151.738111019 0.418627017 -0.278035551 0.433656002 -0.817716378 -0.002668473 -0.575587163 0.005676494
1403637151.788124800 0.427121739 -0.284364723 0.444921543 -0.817840124 -0.003283909 -0.575413655 0.005086553
1403637151.838130951 0.435081996 -0.291255443 0.453927799 -0.817773704 -0.003801065 -0.575509262 0.004561951
1403637151.888187885 0.443906780 -0.297808493 0.461544374 -0.817655303 -0.004464131 -0.575679921 0.003536302
1403637151.938215733 0.454517915 -0.305132008 0.468476589 -0.817931939 -0.005122641 -0.575285513 0.002771470
1403637151.988236189 0.462995169 -0.311528934 0.475708993 -0.817963996 -0.005261224 -0.575237797 0.002949237
1403637152.038285732 0.471065416 -0.317083141 0.484840143 -0.818078354 -0.005036659 -0.575075442 0.003267199
1403637152.088296652 0.478819194 -0.323112227 0.495075651 -0.818375090 -0.004709066 -0.574651188 0.004006139
1403637152.138354540 0.485475202 -0.328032678 0.505190552 -0.818794311 -0.004252419 -0.574054786 0.004346932
1403637152.188350201 0.494504504 -0.334690095 0.516548762 -0.819329499 -0.003838303 -0.573291146 0.004658493
1403637152.238383532 0.503650691 -0.341543916 0.526752038 -0.819790098 -0.003181350 -0.572628280 0.005561113
1403637152.288377047 0.515202725 -0.348009791 0.535847138 -0.820205952 -0.003136267 -0.572032775 0.005555630
1403637152.338405848 0.525547196 -0.355591058 0.542755735 -0.820883938 -0.002209646 -0.571050252 0.006803433
