# timestamp(s) tx ty tz qx qy qz qw
1403715893.78018 -0.049350000 -0.002824000 0.038398000 0.801792000 0.009216000 0.597532000 0.000699000
1403715893.83333 -0.040465000 0.012597000 0.046547000 -0.804330000 -0.009240000 -0.594081000 0.005910000
1403715893.88328 -0.046862000 0.013988000 0.055132000 -0.808529000 -0.009594000 -0.588344000 0.006311000
1403715893.93306 -0.053987000 0.015105000 0.064441000 -0.811009000 -0.009733000 -0.584910000 0.006995000
1403715893.98295 -0.061259000 0.015913000 0.073707000 -0.814665000 -0.010089000 -0.579801000 0.007054000
1403715894.03272 -0.069010000 0.017010000 0.083298000 -0.819234000 -0.010066000 -0.573331000 0.006839000
1403715894.08283 -0.075073000 0.018983000 0.092024000 -0.823981000 -0.010544000 -0.566488000 0.005984000
1403715894.13324 -0.080816000 0.021211000 0.101067000 -0.825597000 -0.012368000 -0.564117000 0.002899000
1403715894.18345 -0.086333000 0.024091000 0.112640000 0.823856000 0.015953000 0.566566000 0.003063000
1403715894.23338 -0.091576000 0.027698000 0.126788000 0.821102000 0.018782000 0.570407000 0.008621000
1403715894.28336 -0.096436000 0.033814000 0.143627000 0.818301000 0.022605000 0.574131000 0.015692000
1403715894.33316 -0.100601000 0.040768000 0.160563000 0.816973000 0.025744000 0.575705000 0.021365000
1403715894.38322 -0.103193000 0.050269000 0.180326000 0.815470000 0.027643000 0.577548000 0.026110000
1403715894.43354 -0.109633000 0.061627000 0.196944000 0.815798000 0.027757000 0.576888000 0.030058000
1403715894.48359 -0.111526000 0.075473000 0.213051000 0.817649000 0.026565000 0.574305000 0.030305000
1403715894.53358 -0.112787000 0.091649000 0.225522000 0.820414000 0.024420000 0.570517000 0.028899000
1403715894.58356 -0.113754000 0.109364000 0.235985000 0.822567000 0.022834000 0.567503000 0.028349000
1403715894.63357 -0.114625000 0.128243000 0.244962000 0.824201000 0.021098000 0.565272000 0.026723000
1403715894.68350 -0.116037000 0.147510000 0.251938000 0.825978000 0.018545000 0.562912000 0.023380000
1403715894.73349 -0.116375000 0.169433000 0.261113000 0.826044000 0.016309000 0.563001000 0.020389000
1403715894.78354 -0.116188000 0.192653000 0.271268000 0.825184000 0.013713000 0.564448000 0.016804000
1403715894.83346 -0.114587000 0.221881000 0.283285000 0.823550000 0.011423000 0.566928000 0.015049000
1403715894.88345 -0.113280000 0.248056000 0.295567000 0.821480000 0.010408000 0.569992000 0.013068000
1403715894.93343 -0.111185000 0.275487000 0.309300000 0.819549000 0.010036000 0.572785000 0.012498000
1403715894.98343 -0.109000000 0.302978000 0.323566000 0.818134000 0.009500000 0.574835000 0.011444000
1403715895.03349 -0.109292000 0.332059000 0.337723000 0.817185000 0.008784000 0.576209000 0.010734000
1403715895.08348 -0.107262000 0.360964000 0.352453000 0.816814000 0.008988000 0.576715000 0.011542000
1403715895.13348 -0.105321000 0.390156000 0.367156000 0.816782000 0.007942000 0.576801000 0.010267000
1403715895.18346 -0.103600000 0.419662000 0.381740000 0.816851000 0.007238000 0.576724000 0.009533000
1403715895.23345 -0.102337000 0.448801000 0.395974000 0.817155000 0.006078000 0.576329000 0.008095000
1403715895.28345 -0.101038000 0.477451000 0.410248000 0.816949000 0.005963000 0.576623000 0.007972000
1403715895.33349 -0.100486000 0.505291000 0.423297000 0.816991000 0.005780000 0.576572000 0.007534000
1403715895.38352 -0.100442000 0.533835000 0.435988000 0.816698000 0.005847000 0.576986000 0.007536000
1403715895.43357 -0.100089000 0.562611000 0.448099000 0.816540000 0.005976000 0.577206000 0.007761000
1403715895.48359 -0.099962000 0.589842000 0.460271000 0.816956000 0.005751000 0.576625000 0.007302000
1403715895.53356 -0.100074000 0.616062000 0.472108000 0.817022000 0.005719000 0.576535000 0.007065000
1403715895.58355 -0.099525000 0.642030000 0.484376000 0.817658000 0.004953000 0.575649000 0.006282000
1403715895.63361 -0.100250000 0.668959000 0.496226000 0.817139000 0.005328000 0.576375000 0.006844000
1403715895.68364 -0.099445000 0.694417000 0.506987000 0.817356000 0.005152000 0.576070000 0.006802000
1403715895.73365 -0.098665000 0.719330000 0.517647000 0.817577000 0.004687000 0.575766000 0.006268000
1403715895.78367 -0.096778000 0.747962000 0.529223000 0.817794000 0.004138000 0.575462000 0.006284000
1403715895.83371 -0.095741000 0.773942000 0.539719000 0.817763000 0.004007000 0.575508000 0.006161000
1403715895.88372 -0.094541000 0.799369000 0.550208000 0.817935000 0.004209000 0.575260000 0.006347000
1403715895.93370 -0.093942000 0.825526000 0.560908000 0.817607000 0.003850000 0.575736000 0.005642000
1403715895.98372 -0.094939000 0.850976000 0.570223000 0.817773000 0.002593000 0.575521000 0.004079000
1403715896.03373 -0.094560000 0.877240000 0.579866000 0.817987000 0.001663000 0.575228000 0.002749000
1403715896.08376 -0.093747000 0.902624000 0.588239000 -0.818212000 0.000101000 -0.574916000 0.000106000
1403715896.13384 -0.092858000 0.927614000 0.595565000 -0.818686000 0.002534000 -0.574224000 0.003723000
1403715896.18378 -0.092605000 0.951901000 0.602295000 -0.818165000 0.005558000 -0.574897000 0.008241000
