# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864587783813477,0.00675,0.00018,0.00061,0.00000,0.00000,0.00421,0.01176
1403715278.913582563400269,0.00671,0.00019,0.00569,0.00000,0.01231,0.00424,0.02913
1403715278.963792085647583,0.00602,0.00024,0.00076,0.00322,0.00000,0.00401,0.01426
1403715279.013840913772583,0.00681,0.00028,0.00015,0.00323,0.00000,0.00456,0.01502
1403715279.063837051391602,0.00666,0.00028,0.00011,0.00331,0.00000,0.00422,0.01458
1403715279.113480567932129,0.00889,0.00033,0.00076,0.00753,0.00000,0.00647,0.02398
1403715279.163327217102051,0.00580,0.00031,0.00034,0.00323,0.00000,0.00430,0.01397
1403715279.213684558868408,0.00737,0.00029,0.00092,0.00332,0.00000,0.00454,0.01644
1403715279.263730525970459,0.00735,0.00035,0.00003,0.00505,0.01087,0.00627,0.02991
1403715279.313846111297607,0.00755,0.00040,0.00010,0.00610,0.00875,0.00607,0.02896
1403715279.363260746002197,0.00648,0.00032,0.00003,0.00499,0.00187,0.00451,0.01820
1403715279.413202524185181,0.00621,0.00030,0.00003,0.00534,0.01497,0.00491,0.03176
1403715279.463258981704712,0.00593,0.00039,0.00003,0.00764,0.00000,0.00496,0.01895
1403715279.513058900833130,0.00551,0.00038,0.01867,0.00790,0.00214,0.00481,0.03940
1403715279.563262939453125,0.00640,0.00035,0.00003,0.00801,0.00009,0.00454,0.01943
1403715279.613306045532227,0.00632,0.00037,0.00180,0.00788,0.00255,0.00507,0.02400
1403715279.663404226303101,0.00733,0.00040,0.00003,0.00867,0.00000,0.00497,0.02139
1403715279.713404178619385,0.00604,0.00039,0.00003,0.00849,0.00000,0.00479,0.01974
1403715279.763462543487549,0.00745,0.00039,0.00003,0.00869,0.00000,0.00453,0.02109
1403715279.813479423522949,0.00555,0.00039,0.00008,0.00845,0.00000,0.00468,0.01914
1403715279.863619565963745,0.00553,0.00037,0.00010,0.00843,0.00000,0.00458,0.01901
1403715279.913628816604614,0.00557,0.00041,0.00008,0.00841,0.00000,0.00453,0.01900
1403715279.963709831237793,0.00552,0.00035,0.00336,0.00854,0.00007,0.00468,0.02253
1403715280.013957738876343,0.00559,0.00039,0.00003,0.00838,0.00000,0.00500,0.01939
1403715280.064063072204590,0.00599,0.00036,0.00009,0.00832,0.00000,0.00450,0.01925
1403715280.114397048950195,0.00862,0.00037,0.01658,0.00820,0.00009,0.00453,0.03838
1403715280.165270328521729,0.00594,0.00034,0.00007,0.00872,0.00014,0.00499,0.02020
1403715280.216284990310669,0.00599,0.00037,0.00014,0.00788,0.00203,0.00461,0.02102
1403715280.267293930053711,0.00597,0.00039,0.00028,0.00794,0.00000,0.00431,0.01890
1403715280.317897796630859,0.00770,0.00037,0.00025,0.00779,0.00045,0.00482,0.02139
1403715280.367913246154785,0.00744,0.00037,0.00002,0.00812,0.00000,0.00478,0.02073
1403715280.417206525802612,0.00848,0.00035,0.00003,0.00781,0.00000,0.00466,0.02133
1403715280.466827392578125,0.00677,0.00040,0.00071,0.00753,0.00000,0.00583,0.02124
1403715280.516393899917603,0.00694,0.00046,0.00030,0.00818,0.00046,0.00475,0.02109
1403715280.565898418426514,0.00663,0.00034,0.00143,0.00739,0.00140,0.00494,0.02213
1403715280.615283012390137,0.00796,0.00033,0.00090,0.00768,0.00581,0.00503,0.02771
1403715280.665026903152466,0.00818,0.00038,0.00086,0.00823,0.00044,0.00492,0.02301
1403715280.714741230010986,0.00687,0.00033,0.01873,0.00938,0.00139,0.00560,0.04229
1403715280.764682292938232,0.00793,0.00038,0.00244,0.00822,0.00197,0.00464,0.02559
1403715280.814688682556152,0.00636,0.00038,0.00111,0.00724,0.00006,0.00470,0.01985
1403715280.864658832550049,0.00801,0.00037,0.00079,0.00717,0.00000,0.00451,0.02086
1403715280.914757490158081,0.00743,0.00034,0.00196,0.00612,0.00041,0.00474,0.02100
1403715280.964746475219727,0.00659,0.00034,0.00032,0.00514,0.00335,0.00454,0.02028
