# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862696886062622,0,6,0,0,5
1403715278.912119626998901,32,34,0,32,6
1403715278.962248325347900,31,4,31,0,7
1403715279.012377738952637,29,0,29,0,8
1403715279.062358856201172,29,0,29,0,9
1403715279.112144708633423,29,1,29,0,10
1403715279.162119626998901,28,1,28,0,11
1403715279.212411880493164,28,1,28,0,11
1403715279.262442588806152,33,0,28,5,11
1403715279.312524795532227,37,0,33,4,11
1403715279.362915754318237,38,0,37,1,11
1403715279.412806987762451,47,0,38,9,11
1403715279.462810754776001,47,0,47,0,11
1403715279.512747049331665,48,22,47,1,11
1403715279.562499761581421,48,0,48,0,11
1403715279.612442255020142,49,1,48,1,11
1403715279.662330865859985,49,0,49,0,11
1403715279.712265491485596,49,0,49,0,11
1403715279.762294054031372,49,0,49,0,11
1403715279.812315940856934,49,0,49,0,11
1403715279.862334728240967,49,0,49,0,11
1403715279.912176847457886,49,0,49,0,11
1403715279.961817979812622,49,2,49,0,11
1403715280.011614799499512,49,0,49,0,11
1403715280.061597585678101,49,0,49,0,11
1403715280.111436843872070,48,20,48,0,11
1403715280.161615610122681,48,0,48,0,11
1403715280.211891889572144,49,0,48,1,11
1403715280.262392044067383,48,0,48,0,11
1403715280.312448263168335,47,0,47,0,11
1403715280.362416505813599,47,0,47,0,11
1403715280.412333965301514,47,0,47,0,11
1403715280.462105512619019,47,1,47,0,11
1403715280.512022495269775,46,0,46,0,11
1403715280.561892509460449,47,2,45,1,11
1403715280.611793279647827,49,2,45,3,11
1403715280.661704063415527,48,2,46,1,11
1403715280.711709737777710,48,22,47,0,11
1403715280.761687040328979,48,1,47,1,11
1403715280.811686038970947,45,1,45,0,11
1403715280.861730098724365,45,1,44,0,11
1403715280.911784887313843,45,2,43,0,11
1403715280.961787939071655,44,0,40,2,11
1403715281.011774301528931,40,0,39,1,11
1403715281.061744213104248,40,0,40,0,11
1403715281.111702203750610,40,0,40,0,11
1403715281.161682367324829,41,0,38,3,11
1403715281.211670875549316,41,1,41,0,11
1403715281.261797904968262,40,0,40,0,11
1403715281.311952590942383,48,12,39,9,11
1403715281.361979961395264,47,1,47,0,11
1403715281.412067651748657,47,0,47,0,11
1403715281.462226867675781,50,12,47,3,11
1403715281.512180328369141,50,0,49,0,11
1403715281.562180280685425,50,0,48,0,11
1403715281.612171173095703,50,0,45,1,11
1403715281.662166118621826,50,0,45,1,11
1403715281.712154626846313,41,0,39,1,11
1403715281.762112140655518,38,1,37,0,11
1403715281.812111616134644,38,0,35,0,11
1403715281.862109899520874,36,0,33,0,11
1403715281.912046432495117,44,24,32,10,11
1403715281.962083578109741,44,0,43,1,11
1403715282.012126684188843,44,0,43,0,11
1403715282.062277793884277,50,5,42,6,11
1403715282.112251758575439,50,0,45,1,11
1403715282.162375926971436,50,0,48,1,11
1403715282.212349891662598,50,1,49,1,11
1403715282.262376546859741,50,0,49,0,11
1403715282.312407016754150,50,0,48,1,11
1403715282.362408399581909,50,0,49,0,11
1403715282.412370204925537,48,0,44,1,11
1403715282.462414503097534,46,0,42,0,11
1403715282.512511253356934,47,22,40,5,11
1403715282.562463283538818,44,2,43,0,11
1403715282.612443923950195,42,0,41,1,11
1403715282.662448644638062,47,0,41,5,11
1403715282.712421178817749,47,1,46,0,11
1403715282.762449264526367,46,1,46,0,11
1403715282.812514781951904,46,1,45,0,11
1403715282.862339973449707,49,22,43,4,11
1403715282.912366867065430,49,0,46,1,11
1403715282.962457180023193,48,1,45,1,11
1403715283.012424468994141,48,0,46,2,11
1403715283.062413215637207,48,0,47,0,11
1403715283.112387895584106,49,22,46,1,11
1403715283.162434816360474,48,1,45,0,11
1403715283.212462663650513,48,0,44,1,11
1403715283.262503623962402,47,0,46,1,11
1403715283.312510013580322,47,0,45,0,11
1403715283.362538337707520,47,1,45,1,11
1403715283.412574529647827,47,0,46,1,11
1403715283.462595462799072,48,14,45,3,11
1403715283.512595653533936,43,0,43,0,11
1403715283.562584400177002,43,0,43,0,11
1403715283.612559795379639,43,2,43,0,11
1403715283.662575006484985,43,1,43,0,11
1403715283.712644338607788,49,12,43,6,11
1403715283.762716293334961,49,0,49,0,11
1403715283.812775611877441,49,0,49,0,11
1403715283.862816095352173,49,0,49,0,11
1403715283.912842512130737,48,0,48,0,11
1403715283.962833881378174,48,0,47,0,11
1403715284.012818336486816,48,0,47,0,11
1403715284.062826395034790,50,29,47,3,11
1403715284.112906217575073,50,19,50,0,11
1403715284.162875175476074,50,0,50,0,11
1403715284.212864398956299,50,0,48,0,11
1403715284.262881517410278,50,0,49,0,11
1403715284.312848806381226,50,12,49,1,11
1403715284.362915754318237,50,1,50,0,11
1403715284.412829875946045,49,1,47,0,11
1403715284.462907552719116,49,0,47,1,11
1403715284.512771129608154,49,0,48,1,11
1403715284.562780857086182,49,0,49,0,11
1403715284.612756013870239,48,0,48,0,11
1403715284.662784814834595,49,27,47,1,11
1403715284.712767839431763,50,13,47,1,11
1403715284.762760162353516,50,0,47,1,11
1403715284.812743663787842,50,0,48,1,11
1403715284.862731933593750,49,0,49,0,11
1403715284.912713527679443,49,9,48,1,11
1403715284.962689876556396,49,0,49,0,11
1403715285.012659788131714,49,0,48,0,11
1403715285.062683343887329,48,1,47,0,11
1403715285.112760066986084,48,0,45,1,11
1403715285.162784814834595,47,0,45,0,11
1403715285.212712764739990,46,0,43,1,11
1403715285.262568473815918,45,24,43,2,11
1403715285.312538385391235,48,7,44,3,11
1403715285.362519741058350,48,0,48,0,11
1403715285.412507057189941,47,0,47,0,11
1403715285.462487697601318,48,0,47,1,11
1403715285.512444019317627,50,7,47,2,11
1403715285.562396526336670,50,0,49,0,11
1403715285.612371683120728,50,0,48,1,11
1403715285.662371873855591,48,0,47,0,11
1403715285.712412357330322,47,1,47,0,11
1403715285.762429237365723,47,0,47,0,11
1403715285.812457561492920,46,1,46,0,11
1403715285.862509250640869,49,31,45,4,11
1403715285.912543535232544,50,8,48,1,11
1403715285.962557554244995,50,0,49,0,11
1403715286.012595891952515,50,0,47,1,11
1403715286.062590599060059,50,0,44,0,11
1403715286.112596988677979,50,9,45,2,11
1403715286.162582397460938,48,0,48,0,11
1403715286.212563991546631,48,0,48,0,11
1403715286.262567520141602,47,0,47,0,11
1403715286.312536716461182,47,0,46,0,11
1403715286.362522363662720,47,0,46,0,11
1403715286.412512540817261,47,0,46,1,11
1403715286.462508678436279,47,25,46,1,11
1403715286.512497425079346,48,5,45,3,11
1403715286.562492609024048,47,1,47,0,11
1403715286.612475156784058,46,0,45,0,11
1403715286.662453413009644,44,1,42,0,11
1403715286.712437629699707,47,0,41,5,11
1403715286.762447595596313,44,0,41,2,11
1403715286.812448978424072,41,0,38,0,11
1403715286.862451076507568,41,1,39,1,11
1403715286.912463426589966,41,1,39,1,11
1403715286.962478876113892,38,0,34,0,11
1403715287.012477636337280,43,7,34,7,11
1403715287.062493562698364,48,13,38,7,11
1403715287.112469434738159,48,2,41,3,11
1403715287.162477254867554,46,1,43,2,11
1403715287.212484121322632,42,0,39,1,11
1403715287.262495040893555,40,0,37,0,11
1403715287.312501192092896,40,2,35,2,11
1403715287.362539768218994,45,5,36,8,11
1403715287.412554502487183,43,0,42,1,11
1403715287.462550640106201,40,1,38,0,11
1403715287.512523651123047,39,0,35,0,11
1403715287.562504291534424,39,0,32,2,11
1403715287.612439155578613,43,2,32,8,11
1403715287.662411928176880,43,7,36,4,11
1403715287.712404251098633,42,0,40,1,11
1403715287.762441158294678,43,1,40,3,11
1403715287.812474727630615,41,1,39,0,11
1403715287.862491846084595,41,1,38,0,11
1403715287.912483692169189,44,2,35,6,11
1403715287.962488889694214,46,0,40,4,11
1403715288.012496709823608,42,1,40,0,11
1403715288.062504291534424,39,0,38,0,11
1403715288.112506389617920,37,0,37,0,11
1403715288.162513256072998,38,0,35,3,11
1403715288.212520837783813,42,0,38,4,11
1403715288.262476444244385,49,4,41,7,11
1403715288.312472581863403,49,0,48,0,11
1403715288.362451553344727,49,0,47,1,11
1403715288.412434339523315,49,0,48,0,11
1403715288.462414264678955,50,2,48,2,11
1403715288.512404680252075,50,7,50,0,11
1403715288.562448740005493,49,4,49,0,11
1403715288.612446308135986,49,2,49,0,11
1403715288.662451267242432,49,0,49,0,11
1403715288.712455034255981,49,0,49,0,11
1403715288.762468576431274,50,5,49,1,11
1403715288.812468767166138,50,0,50,0,11
1403715288.862477302551270,49,5,49,0,11
1403715288.912488937377930,48,0,47,0,11
1403715288.962495803833008,48,0,47,0,11
1403715289.012499809265137,47,0,47,0,11
1403715289.062503576278687,49,0,46,2,11
1403715289.112500190734863,50,6,47,1,11
1403715289.162512540817261,50,4,48,1,11
1403715289.212500572204590,50,2,49,1,11
1403715289.262498140335083,50,0,48,0,11
