# timestamp(s) tx ty tz qx qy qz qw
1403715278.86237 0.021282000 0.016255000 0.078963000 0.808589000 -0.009601000 0.588289000 0.002575000
1403715278.91464 0.050482000 0.017421000 0.082631000 0.811577000 -0.008722000 0.584178000 0.001339000
1403715278.96445 0.059975000 0.019228000 0.103963000 0.811099000 -0.008808000 0.584842000 0.000805000
1403715279.01370 0.068959000 0.020262000 0.119717000 0.810839000 -0.008229000 0.585211000 0.000997000
1403715279.06353 0.076648000 0.021400000 0.129857000 0.810912000 -0.008083000 0.585112000 0.000871000
1403715279.11327 0.084795000 0.022564000 0.135309000 0.810779000 -0.007952000 0.585298000 0.000965000
1403715279.16317 0.092099000 0.023555000 0.134679000 0.810944000 -0.007175000 0.585077000 0.001633000
1403715279.21322 0.098398000 0.024479000 0.131431000 0.811528000 -0.006723000 0.584270000 0.002361000
1403715279.26311 0.103492000 0.025246000 0.125144000 0.811864000 -0.006166000 0.583809000 0.002483000
1403715279.31295 0.108940000 0.026011000 0.119317000 0.812553000 -0.005980000 0.582851000 0.002485000
1403715279.36261 0.113302000 0.026285000 0.114185000 0.813222000 -0.006312000 0.581916000 0.002034000
1403715279.41269 0.116887000 0.023629000 0.108417000 0.813184000 -0.006473000 0.581969000 0.001576000
1403715279.46288 0.120236000 0.021804000 0.106029000 0.813936000 -0.006297000 0.580918000 0.001358000
1403715279.51281 0.122808000 0.019312000 0.103848000 0.813782000 -0.006021000 0.581138000 0.000987000
1403715279.56276 0.125532000 0.018190000 0.104560000 0.813673000 -0.005368000 0.581295000 0.001579000
1403715279.61281 0.126659000 0.016721000 0.104479000 0.814133000 -0.005183000 0.580652000 0.001765000
1403715279.66295 0.127137000 0.015026000 0.104834000 0.814421000 -0.004850000 0.580252000 0.001726000
1403715279.71314 0.127277000 0.013319000 0.105018000 0.814325000 -0.004796000 0.580387000 0.001676000
1403715279.76307 0.127479000 0.011994000 0.105757000 0.814474000 -0.004799000 0.580179000 0.001541000
1403715279.81316 0.128205000 0.010852000 0.109015000 0.814567000 -0.005094000 0.580046000 0.001218000
1403715279.86315 0.129858000 0.010260000 0.113039000 0.814609000 -0.005032000 0.579987000 0.001234000
1403715279.91293 0.129547000 0.009698000 0.114617000 0.815209000 -0.004987000 0.579144000 0.001309000
1403715279.96256 0.129171000 0.008980000 0.115434000 0.816631000 -0.004720000 0.577138000 0.001592000
1403715280.01178 0.128497000 0.008098000 0.116084000 0.820194000 -0.004898000 0.572062000 0.001459000
1403715280.06182 0.127505000 0.006579000 0.117874000 0.824405000 -0.004833000 0.565979000 0.001330000
1403715280.11218 0.125011000 0.002729000 0.119491000 0.828573000 -0.002770000 0.559859000 0.004088000
1403715280.16278 0.124762000 0.000383000 0.123576000 0.830819000 -0.000841000 0.556506000 0.006384000
1403715280.21343 0.126081000 -0.001787000 0.128156000 0.831629000 0.002197000 0.555228000 0.010482000
1403715280.26396 0.129254000 -0.002898000 0.133167000 0.831156000 0.004895000 0.555834000 0.014258000
1403715280.31408 0.133854000 -0.003040000 0.137765000 0.830311000 0.007057000 0.556993000 0.017116000
1403715280.36408 0.139983000 -0.001912000 0.142931000 0.828907000 0.008416000 0.558982000 0.019545000
1403715280.41392 0.147339000 0.000154000 0.148725000 0.827329000 0.008670000 0.561211000 0.022210000
1403715280.46372 0.155297000 0.003126000 0.154109000 0.826664000 0.005402000 0.562236000 0.022068000
1403715280.51362 0.163469000 0.006569000 0.159801000 0.825542000 -0.001095000 0.563948000 0.021032000
1403715280.56344 0.171736000 0.010028000 0.165954000 0.824544000 -0.008522000 0.565343000 0.021006000
1403715280.61333 0.179113000 0.013584000 0.172470000 0.823246000 -0.017225000 0.566984000 0.022347000
1403715280.66329 0.187490000 0.015209000 0.178826000 0.822239000 -0.026169000 0.567929000 0.026380000
1403715280.71319 0.197264000 0.015774000 0.185434000 0.821039000 -0.036281000 0.568889000 0.030726000
1403715280.76313 0.206417000 0.017809000 0.191512000 0.819990000 -0.046934000 0.569303000 0.036159000
1403715280.81311 0.216127000 0.019673000 0.197014000 0.819436000 -0.057772000 0.568688000 0.042197000
1403715280.86311 0.226092000 0.022080000 0.202575000 0.818082000 -0.068424000 0.568917000 0.048919000
1403715280.91319 0.235821000 0.025003000 0.207724000 0.816979000 -0.077892000 0.568684000 0.055473000
1403715280.96319 0.244655000 0.028773000 0.212915000 0.815760000 -0.086022000 0.568680000 0.061139000
1403715281.01316 0.252592000 0.032283000 0.217537000 0.814586000 -0.093350000 0.568687000 0.065800000
1403715281.06323 0.258611000 0.037154000 0.221074000 0.813451000 -0.098996000 0.568719000 0.071104000
1403715281.11322 0.264105000 0.041385000 0.223916000 0.812295000 -0.103936000 0.568965000 0.075188000
1403715281.16327 0.269343000 0.044672000 0.225821000 0.810938000 -0.107433000 0.569733000 0.079009000
1403715281.21344 0.273312000 0.046539000 0.227008000 0.809875000 -0.110944000 0.570097000 0.082363000
1403715281.26382 0.277683000 0.047789000 0.228706000 0.809063000 -0.115177000 0.569967000 0.085372000
1403715281.31419 0.280842000 0.047758000 0.226181000 0.808349000 -0.119707000 0.569450000 0.089268000
1403715281.36418 0.286159000 0.048827000 0.224605000 0.807878000 -0.125329000 0.568285000 0.093159000
1403715281.41421 0.293590000 0.050459000 0.223896000 0.807637000 -0.131336000 0.566513000 0.097652000
1403715281.46416 0.302679000 0.048931000 0.221571000 0.806577000 -0.138302000 0.565424000 0.102965000
1403715281.51408 0.310730000 0.049942000 0.219849000 0.805257000 -0.146212000 0.564141000 0.109213000
1403715281.56397 0.319552000 0.050950000 0.217955000 0.804117000 -0.154959000 0.561958000 0.116559000
1403715281.61390 0.329050000 0.051205000 0.217002000 0.802786000 -0.165147000 0.559396000 0.123843000
