# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862373352050781,0.00644,0.00016,0.00062,0.00000,0.00000,0.00410,0.01132
1403715278.914639711380005,0.00575,0.00019,0.00564,0.00000,0.01246,0.00421,0.02827
1403715278.964453697204590,0.00590,0.00029,0.00076,0.00324,0.00000,0.00405,0.01425
1403715279.013703346252441,0.00569,0.00028,0.00014,0.00320,0.00000,0.00434,0.01365
1403715279.063527345657349,0.00666,0.00028,0.00011,0.00321,0.00000,0.00421,0.01449
1403715279.113270521163940,0.00569,0.00030,0.00062,0.00328,0.00000,0.00436,0.01427
1403715279.163167476654053,0.00552,0.00033,0.00035,0.00324,0.00000,0.00426,0.01370
1403715279.213221549987793,0.00704,0.00029,0.00093,0.00329,0.00000,0.00461,0.01618
1403715279.263112783432007,0.00543,0.00028,0.00003,0.00335,0.00699,0.00455,0.02064
1403715279.312947273254395,0.00561,0.00032,0.00008,0.00410,0.00610,0.00455,0.02075
1403715279.362614393234253,0.00846,0.00034,0.00003,0.00497,0.00189,0.00455,0.02025
1403715279.412691354751587,0.00571,0.00031,0.00004,0.00527,0.01487,0.00489,0.03109
1403715279.462878704071045,0.00567,0.00039,0.00003,0.00769,0.00001,0.00503,0.01882
1403715279.512812376022339,0.00554,0.00038,0.01810,0.00780,0.00207,0.00467,0.03857
1403715279.562755584716797,0.00553,0.00043,0.00003,0.00801,0.00010,0.00451,0.01862
1403715279.612809419631958,0.00519,0.00039,0.00175,0.00802,0.00251,0.00462,0.02248
1403715279.662950992584229,0.00535,0.00043,0.00003,0.00851,0.00001,0.00448,0.01882
1403715279.713135719299316,0.00555,0.00040,0.00003,0.00854,0.00001,0.00525,0.01977
1403715279.763071537017822,0.00755,0.00044,0.00005,0.00996,0.00001,0.00519,0.02319
1403715279.813155174255371,0.00893,0.00050,0.00011,0.01022,0.00001,0.00539,0.02517
1403715279.863154411315918,0.00790,0.00052,0.00014,0.01007,0.00001,0.00530,0.02392
1403715279.912929296493530,0.00721,0.00053,0.00012,0.01071,0.00001,0.00541,0.02399
1403715279.962562799453735,0.01095,0.00066,0.00478,0.00962,0.00008,0.00530,0.03138
1403715280.011781692504883,0.00579,0.00040,0.00003,0.00847,0.00001,0.00532,0.02002
1403715280.061823844909668,0.00600,0.00038,0.00010,0.00893,0.00001,0.00460,0.02001
1403715280.112177371978760,0.00571,0.00037,0.01653,0.00791,0.00010,0.00475,0.03537
1403715280.162776470184326,0.00547,0.00040,0.00008,0.00879,0.00010,0.00457,0.01941
1403715280.213426113128662,0.00596,0.00038,0.00016,0.00794,0.00208,0.00448,0.02100
1403715280.263960361480713,0.00595,0.00039,0.00027,0.00827,0.00001,0.00450,0.01939
1403715280.314081192016602,0.00720,0.00040,0.00019,0.00807,0.00001,0.00456,0.02043
