# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863239526748657,0.00648,0.00018,0.00064,0.00000,0.00000,0.00413,0.01143
1403715278.908610105514526,0.00567,0.00019,0.00568,0.00000,0.01282,0.00418,0.02854
1403715278.958612918853760,0.00603,0.00022,0.00073,0.00324,0.00000,0.00417,0.01439
1403715279.008864641189575,0.00689,0.00027,0.00017,0.00322,0.00000,0.00430,0.01485
1403715279.058672904968262,0.00791,0.00029,0.00011,0.00324,0.00000,0.00441,0.01597
1403715279.108309745788574,0.00549,0.00027,0.00063,0.00324,0.00000,0.00428,0.01392
1403715279.158287525177002,0.00545,0.00030,0.00038,0.00319,0.00000,0.00429,0.01361
1403715279.208283662796021,0.00606,0.00029,0.00091,0.00332,0.00000,0.00449,0.01506
1403715279.258336782455444,0.00544,0.00026,0.00003,0.00336,0.00704,0.00458,0.02070
1403715279.308125734329224,0.00568,0.00032,0.00008,0.00415,0.00603,0.00449,0.02075
1403715279.357647180557251,0.00576,0.00034,0.00003,0.00495,0.00187,0.00458,0.01753
1403715279.407613039016724,0.00583,0.00034,0.00003,0.00527,0.01519,0.00494,0.03161
1403715279.457705736160278,0.00557,0.00039,0.00003,0.00758,0.00000,0.00557,0.01914
1403715279.506716489791870,0.00539,0.00037,0.01890,0.00769,0.00211,0.00457,0.03903
1403715279.556463718414307,0.00522,0.00038,0.00003,0.00816,0.00010,0.00434,0.01823
1403715279.606353759765625,0.00503,0.00038,0.00204,0.00843,0.00201,0.00452,0.02241
1403715279.656451702117920,0.00507,0.00041,0.00003,0.00864,0.00000,0.00457,0.01873
1403715279.706487417221069,0.00515,0.00038,0.00003,0.00871,0.00000,0.00469,0.01897
1403715279.756472826004028,0.00524,0.00041,0.00003,0.00925,0.00000,0.00457,0.01951
1403715279.806283235549927,0.00513,0.00038,0.00008,0.00872,0.00000,0.00468,0.01899
1403715279.856599807739258,0.00510,0.00042,0.00012,0.00872,0.00000,0.00463,0.01899
1403715279.906834363937378,0.00514,0.00037,0.00008,0.00855,0.00000,0.00445,0.01861
1403715279.957119464874268,0.00518,0.00039,0.00356,0.00845,0.00007,0.00473,0.02238
1403715280.007729768753052,0.00531,0.00039,0.00003,0.00905,0.00000,0.00488,0.01966
1403715280.058091640472412,0.00573,0.00045,0.00010,0.00834,0.00000,0.00450,0.01912
1403715280.108356237411499,0.00584,0.00039,0.01708,0.00839,0.00014,0.00452,0.03636
1403715280.158904552459717,0.00551,0.00066,0.00060,0.00839,0.00006,0.00455,0.01977
1403715280.209675312042236,0.00584,0.00039,0.00168,0.00787,0.00013,0.00448,0.02039
1403715280.261128425598145,0.00558,0.00037,0.00033,0.00780,0.00000,0.00443,0.01851
1403715280.311355829238892,0.00647,0.00044,0.00003,0.00777,0.00000,0.00439,0.01910
1403715280.361398935317993,0.00559,0.00036,0.00003,0.00773,0.00000,0.00468,0.01839
1403715280.411297559738159,0.00621,0.00034,0.00003,0.00772,0.00000,0.00460,0.01890
1403715280.460998535156250,0.00567,0.00037,0.00070,0.00765,0.00000,0.00458,0.01897
1403715280.510816574096680,0.00568,0.00039,0.00018,0.00758,0.00000,0.00458,0.01841
1403715280.560522556304932,0.00580,0.00039,0.00137,0.00738,0.00141,0.00499,0.02134
