# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862804174423218,0.02039,0.00018,0.00066,0.00000,0.00000,0.00564,0.02687
1403715278.910174369812012,0.01587,0.00019,0.00563,0.00000,0.01307,0.00545,0.04023
1403715278.959992885589600,0.01574,0.00028,0.00074,0.00322,0.00000,0.00517,0.02515
1403715279.009803056716919,0.01600,0.00026,0.00014,0.00322,0.00000,0.00549,0.02511
1403715279.059628009796143,0.01903,0.00030,0.00011,0.00323,0.00000,0.00549,0.02816
1403715279.109397888183594,0.01462,0.00030,0.00065,0.00327,0.00000,0.00550,0.02435
1403715279.159373998641968,0.01447,0.00031,0.00032,0.00322,0.00000,0.00543,0.02376
1403715279.209383964538574,0.01470,0.00029,0.00092,0.00331,0.00000,0.00562,0.02484
1403715279.259580612182617,0.01513,0.00026,0.00003,0.00341,0.00691,0.00563,0.03137
1403715279.309166193008423,0.01545,0.00034,0.00008,0.00417,0.00601,0.00543,0.03148
1403715279.358283519744873,0.01544,0.00035,0.00003,0.00496,0.00182,0.00573,0.02833
1403715279.407175302505493,0.01636,0.00034,0.00003,0.00525,0.01521,0.00666,0.04384
1403715279.456495761871338,0.01557,0.00040,0.00003,0.00748,0.00000,0.00710,0.03059
1403715279.505838871002197,0.01408,0.00038,0.01983,0.00751,0.00205,0.00706,0.05091
1403715279.555658102035522,0.01412,0.00039,0.00003,0.00915,0.00010,0.00565,0.02945
1403715279.605377197265625,0.01359,0.00040,0.00230,0.00918,0.00207,0.00599,0.03353
1403715279.655250072479248,0.01373,0.00042,0.00003,0.00951,0.00000,0.00577,0.02947
1403715279.705223798751831,0.01421,0.00040,0.00003,0.00956,0.00000,0.00558,0.02979
1403715279.755316734313965,0.01380,0.00043,0.00003,0.01056,0.00000,0.00577,0.03058
1403715279.805244445800781,0.01390,0.00039,0.00008,0.00984,0.00000,0.00592,0.03015
1403715279.855684518814087,0.01411,0.00039,0.00010,0.00940,0.00001,0.00575,0.02976
1403715279.905854940414429,0.01391,0.00038,0.00008,0.00957,0.00000,0.00568,0.02962
