# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862347841262817,0.00732,0.00019,0.00070,0.00000,0.00000,0.00488,0.01309
1403715278.910572290420532,0.00584,0.00020,0.00577,0.00000,0.01307,0.00423,0.02910
1403715278.960059404373169,0.00585,0.00024,0.00077,0.00324,0.00000,0.00452,0.01462
1403715279.009130001068115,0.00600,0.00027,0.00015,0.00316,0.00000,0.00445,0.01403
1403715279.058456182479858,0.00801,0.00030,0.00013,0.00346,0.00000,0.00444,0.01634
1403715279.107856750488281,0.00586,0.00030,0.00064,0.00326,0.00000,0.00432,0.01438
1403715279.157833576202393,0.00549,0.00031,0.00035,0.00324,0.00000,0.00446,0.01385
1403715279.207753419876099,0.00577,0.00030,0.00093,0.00334,0.00000,0.00456,0.01490
1403715279.257897615432739,0.00582,0.00027,0.00003,0.00332,0.00693,0.00465,0.02101
1403715279.307437896728516,0.00563,0.00033,0.00008,0.00415,0.00604,0.00439,0.02063
1403715279.356751203536987,0.00562,0.00033,0.00003,0.00497,0.00192,0.00474,0.01762
1403715279.406005620956421,0.00579,0.00033,0.00003,0.00534,0.01462,0.00437,0.03048
1403715279.455757141113281,0.00550,0.00041,0.00003,0.00776,0.00000,0.00504,0.01874
1403715279.505427360534668,0.00536,0.00040,0.01909,0.00748,0.00213,0.00480,0.03925
1403715279.555578470230103,0.00546,0.00041,0.00003,0.00820,0.00010,0.00471,0.01891
1403715279.605476856231689,0.00527,0.00040,0.00241,0.00858,0.00205,0.00447,0.02318
1403715279.655700683593750,0.00531,0.00042,0.00003,0.00865,0.00000,0.00468,0.01908
1403715279.705690860748291,0.00536,0.00042,0.00003,0.00868,0.00000,0.00474,0.01922
1403715279.755686283111572,0.00537,0.00043,0.00003,0.00895,0.00000,0.00457,0.01935
1403715279.805362224578857,0.00549,0.00036,0.00008,0.00853,0.00000,0.00470,0.01916
1403715279.855850934982300,0.00528,0.00039,0.00010,0.00850,0.00000,0.00475,0.01903
1403715279.906003475189209,0.00530,0.00040,0.00008,0.00849,0.00000,0.00475,0.01903
1403715279.956401824951172,0.00533,0.00040,0.00356,0.00846,0.00007,0.00484,0.02266
1403715280.007108688354492,0.00557,0.00041,0.00003,0.00851,0.00000,0.00504,0.01955
1403715280.057626962661743,0.00585,0.00039,0.00010,0.00842,0.00000,0.00504,0.01981
1403715280.107849597930908,0.00572,0.00043,0.01668,0.00798,0.00009,0.00498,0.03588
1403715280.159715652465820,0.00568,0.00059,0.00014,0.00845,0.00010,0.00470,0.01966
1403715280.211413860321045,0.00618,0.00036,0.00014,0.00805,0.00203,0.00462,0.02138
1403715280.263172388076782,0.00611,0.00039,0.00025,0.00830,0.00000,0.00464,0.01970
1403715280.313570022583008,0.00570,0.00040,0.00014,0.00796,0.00000,0.00468,0.01888
1403715280.363462209701538,0.00548,0.00037,0.00003,0.00792,0.00000,0.00495,0.01875
1403715280.413212060928345,0.00679,0.00039,0.00003,0.00794,0.00000,0.00477,0.01993
1403715280.462799787521362,0.00570,0.00038,0.00068,0.00783,0.00000,0.00464,0.01924
1403715280.512573719024658,0.00567,0.00040,0.00018,0.00777,0.00000,0.00460,0.01863
1403715280.562312364578247,0.00574,0.00038,0.00148,0.00760,0.00146,0.00588,0.02254
1403715280.612198591232300,0.00672,0.00040,0.00105,0.00775,0.00546,0.00450,0.02587
1403715280.662120580673218,0.00604,0.00041,0.00078,0.00804,0.00000,0.00464,0.01991
1403715280.712184190750122,0.00751,0.00037,0.01644,0.00843,0.00208,0.00441,0.03924
1403715280.762153148651123,0.00638,0.00039,0.00143,0.00761,0.00220,0.00465,0.02266
1403715280.812138319015503,0.00560,0.00038,0.00029,0.00790,0.00118,0.00465,0.02001
1403715280.862175703048706,0.00588,0.00039,0.00071,0.00762,0.00000,0.00451,0.01911
1403715280.912211418151855,0.00765,0.00036,0.00190,0.00821,0.00000,0.00493,0.02305
1403715280.962228775024414,0.00669,0.00040,0.00063,0.00827,0.00444,0.00491,0.02534
1403715281.012232065200806,0.00623,0.00036,0.00060,0.00633,0.00043,0.00473,0.01867
1403715281.062292814254761,0.00581,0.00037,0.00015,0.00623,0.00000,0.00476,0.01731
1403715281.112290143966675,0.00588,0.00036,0.00025,0.00610,0.00000,0.00564,0.01823
1403715281.162284374237061,0.00583,0.00035,0.00024,0.00585,0.00480,0.00464,0.02171
1403715281.212367296218872,0.00774,0.00037,0.00102,0.00644,0.00000,0.00471,0.02028
1403715281.262529850006104,0.00762,0.00033,0.00019,0.00637,0.00000,0.00470,0.01921
1403715281.312609195709229,0.00644,0.00037,0.00944,0.00595,0.01430,0.00518,0.04168
1403715281.362677335739136,0.00608,0.00038,0.00105,0.00805,0.00000,0.00472,0.02028
1403715281.412759304046631,0.00633,0.00039,0.00003,0.00824,0.00007,0.00472,0.01977
1403715281.463018655776978,0.00613,0.00036,0.01104,0.00793,0.00612,0.00487,0.03645
1403715281.513004302978516,0.00631,0.00040,0.00017,0.00871,0.00000,0.00468,0.02027
1403715281.563032388687134,0.00621,0.00042,0.00003,0.00848,0.00000,0.00460,0.01974
1403715281.613064050674438,0.00650,0.00042,0.00037,0.00714,0.00086,0.00443,0.01972
1403715281.663052320480347,0.00629,0.00040,0.00025,0.00741,0.00045,0.00595,0.02075
1403715281.713022470474243,0.00632,0.00041,0.00101,0.00551,0.00043,0.00469,0.01837
1403715281.762944221496582,0.00590,0.00035,0.00772,0.00511,0.01610,0.00465,0.03983
