# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864227771759033,0.01623,0.00018,0.00066,0.00000,0.00000,0.00539,0.02246
1403715278.909195661544800,0.01431,0.00020,0.00580,0.00000,0.01284,0.00509,0.03824
1403715278.959002017974854,0.01443,0.00031,0.00080,0.00380,0.00001,0.00564,0.02498
1403715279.008094549179077,0.01529,0.00030,0.00016,0.00346,0.00000,0.00551,0.02472
1403715279.057166099548340,0.01647,0.00028,0.00011,0.00324,0.00000,0.00525,0.02536
1403715279.106565237045288,0.01420,0.00030,0.00066,0.00326,0.00000,0.00526,0.02369
1403715279.156883716583252,0.01285,0.00031,0.00031,0.00454,0.00000,0.00532,0.02335
1403715279.206891059875488,0.01336,0.00030,0.00093,0.00482,0.00001,0.00612,0.02554
1403715279.257925748825073,0.01297,0.00026,0.00003,0.00445,0.00705,0.00550,0.03025
1403715279.308132886886597,0.01381,0.00033,0.00008,0.00417,0.00618,0.00561,0.03019
1403715279.357670545578003,0.01371,0.00036,0.00003,0.00503,0.00188,0.00524,0.02625
1403715279.407205343246460,0.01491,0.00033,0.00003,0.00534,0.01533,0.00671,0.04265
1403715279.456808328628540,0.01392,0.00039,0.00003,0.00763,0.00000,0.00697,0.02894
1403715279.506192207336426,0.01411,0.00040,0.02078,0.00750,0.00208,0.00713,0.05200
1403715279.555979967117310,0.01322,0.00041,0.00003,0.00912,0.00010,0.00571,0.02859
1403715279.605592489242554,0.01274,0.00040,0.00334,0.00855,0.00211,0.00594,0.03309
1403715279.655469417572021,0.01299,0.00041,0.00003,0.00942,0.00000,0.00563,0.02848
1403715279.705669403076172,0.01374,0.00042,0.00003,0.00972,0.00000,0.00569,0.02960
1403715279.755848169326782,0.01315,0.00042,0.00003,0.00994,0.00000,0.00560,0.02915
1403715279.805539369583130,0.01286,0.00036,0.00009,0.00943,0.00000,0.00582,0.02856
1403715279.856426477432251,0.01307,0.00042,0.00011,0.00897,0.00000,0.00566,0.02823
1403715279.907196521759033,0.01294,0.00042,0.00008,0.00914,0.00001,0.00574,0.02833
