# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863411664962769,0.00673,0.00018,0.00062,0.00000,0.00000,0.00424,0.01177
1403715278.908900022506714,0.00602,0.00019,0.00570,0.00000,0.01339,0.00429,0.02960
1403715278.958836555480957,0.00602,0.00026,0.00075,0.00324,0.00000,0.00418,0.01445
1403715279.008816242218018,0.00610,0.00031,0.00015,0.00316,0.00000,0.00448,0.01421
1403715279.058457136154175,0.00828,0.00030,0.00012,0.00319,0.00000,0.00445,0.01634
1403715279.108094215393066,0.00584,0.00034,0.00064,0.00334,0.00000,0.00451,0.01466
1403715279.157999753952026,0.00581,0.00030,0.00036,0.00329,0.00000,0.00437,0.01414
1403715279.207884788513184,0.00567,0.00031,0.00091,0.00334,0.00000,0.00470,0.01494
1403715279.258223295211792,0.00579,0.00027,0.00003,0.00340,0.00710,0.00474,0.02134
1403715279.307964324951172,0.00561,0.00032,0.00010,0.00417,0.00616,0.00462,0.02098
1403715279.357958793640137,0.00581,0.00035,0.00003,0.00501,0.00189,0.00473,0.01783
1403715279.407724142074585,0.00620,0.00034,0.00003,0.00530,0.01484,0.00508,0.03179
1403715279.457184553146362,0.00577,0.00037,0.00003,0.00766,0.00001,0.00608,0.01992
1403715279.506946086883545,0.00575,0.00042,0.01827,0.00791,0.00211,0.00474,0.03920
1403715279.556786775588989,0.00561,0.00039,0.00003,0.00816,0.00010,0.00456,0.01886
1403715279.606133937835693,0.00542,0.00039,0.00211,0.00877,0.00210,0.00477,0.02356
1403715279.655766248703003,0.00544,0.00043,0.00003,0.00864,0.00001,0.00475,0.01929
1403715279.705897092819214,0.00552,0.00040,0.00003,0.00866,0.00001,0.00466,0.01928
1403715279.755976915359497,0.00614,0.00045,0.00003,0.00864,0.00001,0.00473,0.01999
1403715279.805920124053955,0.00555,0.00040,0.00009,0.00866,0.00001,0.00493,0.01963
1403715279.856156587600708,0.00675,0.00045,0.00015,0.00938,0.00001,0.00515,0.02189
1403715279.906188011169434,0.00766,0.00043,0.00009,0.00906,0.00001,0.00529,0.02254
1403715279.955923795700073,0.00546,0.00039,0.00355,0.00840,0.00007,0.00476,0.02265
1403715280.005877494812012,0.00553,0.00041,0.00003,0.00876,0.00001,0.00597,0.02071
1403715280.056077957153320,0.00595,0.00040,0.00010,0.00844,0.00001,0.00469,0.01960
1403715280.106035709381104,0.00564,0.00039,0.01752,0.00804,0.00010,0.00466,0.03635
