# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.864526987075806,0,6,0,0,5
1403715278.917734384536743,32,34,0,32,6
1403715278.967812299728394,31,4,31,0,7
1403715279.016929149627686,29,0,29,0,8
1403715279.065918922424316,29,0,29,0,9
1403715279.115095138549805,29,1,29,0,10
1403715279.164663076400757,28,1,28,0,11
1403715279.215118646621704,28,1,28,0,11
1403715279.265360355377197,33,0,28,5,11
1403715279.315760374069214,37,0,33,4,11
1403715279.365704298019409,38,0,37,1,11
1403715279.415592432022095,47,0,38,9,11
1403715279.465474128723145,47,0,47,0,11
1403715279.514909267425537,48,26,47,1,11
1403715279.564689874649048,48,0,48,0,11
1403715279.614416837692261,49,1,48,1,11
1403715279.664199829101562,49,0,49,0,11
1403715279.714254140853882,49,0,49,0,11
1403715279.764263391494751,49,0,49,0,11
1403715279.814361333847046,49,0,49,0,11
1403715279.864387512207031,49,0,49,0,11
1403715279.914249897003174,49,0,49,0,11
1403715279.964251041412354,49,2,49,0,11
1403715280.014486312866211,49,0,49,0,11
1403715280.064396858215332,49,0,48,0,11
1403715280.113523721694946,49,20,48,0,11
1403715280.162751436233521,48,1,47,1,11
1403715280.212187528610229,48,1,48,0,11
1403715280.261917114257812,47,0,47,0,11
1403715280.311961174011230,47,0,47,0,11
1403715280.361996173858643,47,0,47,0,11
1403715280.412017107009888,47,0,47,0,11
1403715280.461982727050781,47,1,47,0,11
1403715280.512170553207397,46,0,46,0,11
1403715280.562196969985962,47,3,44,1,11
1403715280.612354516983032,46,1,44,0,11
1403715280.662436723709106,48,1,44,4,11
1403715280.712496042251587,49,25,48,1,11
1403715280.762484550476074,48,1,45,0,11
1403715280.812515497207642,46,1,43,1,11
1403715280.862555503845215,45,0,43,1,11
1403715280.912582397460938,45,0,42,0,11
1403715280.962601423263550,42,2,40,0,11
1403715281.012565851211548,41,1,39,2,11
1403715281.062507390975952,41,1,41,0,11
1403715281.112472295761108,46,0,41,5,11
1403715281.162492275238037,44,1,44,0,11
1403715281.212496042251587,44,1,44,0,11
1403715281.262614488601685,44,0,43,1,11
1403715281.312727212905884,48,13,43,5,11
1403715281.362705707550049,47,0,47,0,11
1403715281.412734746932983,48,8,47,1,11
1403715281.462794065475464,48,1,48,0,11
1403715281.512774705886841,48,0,48,0,11
1403715281.562780857086182,48,0,46,0,11
1403715281.612767696380615,47,0,43,0,11
1403715281.662754058837891,47,0,42,2,11
1403715281.712728500366211,43,8,37,3,11
1403715281.762690305709839,39,0,38,0,11
1403715281.812698841094971,39,0,36,0,11
1403715281.862686872482300,37,1,34,0,11
1403715281.912707090377808,47,0,34,12,11
1403715281.962722539901733,47,0,46,1,11
1403715282.012756347656250,48,5,47,1,11
1403715282.062763214111328,48,0,46,0,11
1403715282.112763643264771,48,0,45,0,11
1403715282.162867546081543,48,0,43,2,11
1403715282.212856054306030,48,0,45,1,11
1403715282.262941598892212,49,21,45,3,11
1403715282.312948465347290,48,7,47,0,11
1403715282.362933158874512,48,0,47,0,11
1403715282.412899255752563,47,0,44,1,11
1403715282.462896823883057,45,0,44,0,11
1403715282.512887954711914,46,0,44,2,11
1403715282.562865972518921,43,0,43,0,11
1403715282.612871170043945,46,3,41,4,11
1403715282.662871837615967,46,1,46,0,11
1403715282.712806224822998,46,2,45,0,11
1403715282.762845277786255,45,0,45,0,11
1403715282.812900066375732,45,1,45,0,11
1403715282.862753629684448,50,12,45,5,11
1403715282.912739038467407,50,7,50,0,11
1403715282.962773799896240,48,0,47,0,11
1403715283.012801408767700,48,1,47,0,11
1403715283.062762022018433,49,21,45,2,11
1403715283.112741708755493,48,1,46,0,11
1403715283.162758111953735,48,0,46,2,11
1403715283.212740421295166,48,2,47,0,11
1403715283.262726306915283,48,0,47,0,11
1403715283.312699079513550,48,0,47,1,11
1403715283.362709522247314,47,0,47,0,11
1403715283.412703990936279,47,0,47,0,11
1403715283.462717294692993,47,11,44,3,11
1403715283.512706279754639,45,1,42,3,11
1403715283.562699079513550,44,0,44,0,11
1403715283.612686634063721,43,0,43,0,11
1403715283.662707328796387,48,11,42,6,11
1403715283.712752103805542,47,0,47,0,11
1403715283.762787818908691,47,0,47,0,11
1403715283.812778711318970,46,0,45,1,11
1403715283.862739324569702,46,0,46,0,11
1403715283.912716865539551,45,0,45,0,11
1403715283.962727308273315,45,0,45,0,11
1403715284.012695074081421,50,11,45,5,11
1403715284.062556505203247,50,32,49,0,11
1403715284.112575054168701,50,1,49,0,11
1403715284.162583827972412,49,0,48,1,11
1403715284.212613821029663,49,0,48,0,11
1403715284.262631177902222,49,8,49,0,11
1403715284.312630176544189,49,0,49,0,11
1403715284.362703084945679,49,1,49,0,11
1403715284.412739992141724,50,0,47,1,11
1403715284.462753057479858,50,0,48,1,11
1403715284.512733221054077,49,0,48,1,11
1403715284.562735319137573,49,0,48,0,11
1403715284.612723827362061,49,8,49,0,11
1403715284.662703514099121,50,29,49,1,11
1403715284.712696313858032,50,1,49,0,11
1403715284.762724399566650,49,0,48,0,11
1403715284.812705755233765,49,0,47,0,11
1403715284.862709283828735,48,6,47,1,11
1403715284.912699460983276,48,1,47,0,11
1403715284.962719202041626,48,0,47,0,11
1403715285.012782335281372,47,0,46,0,11
1403715285.062795400619507,46,0,46,0,11
1403715285.112760066986084,46,0,45,0,11
1403715285.162757635116577,45,0,45,0,11
1403715285.212673425674438,46,3,42,2,11
1403715285.262506008148193,50,21,44,4,11
1403715285.312528371810913,49,1,46,0,11
1403715285.362523317337036,48,0,45,0,11
1403715285.412507057189941,46,0,44,1,11
1403715285.462442398071289,46,6,44,0,11
1403715285.512427091598511,45,0,43,1,11
1403715285.562396764755249,44,0,43,0,11
1403715285.612373828887939,44,0,43,0,11
1403715285.662369489669800,43,1,41,1,11
1403715285.712355852127075,43,1,43,0,11
1403715285.762349128723145,42,0,40,0,11
1403715285.812303781509399,49,0,42,7,11
1403715285.862320184707642,49,28,48,1,11
1403715285.912325620651245,50,0,48,1,11
1403715285.962357044219971,50,2,48,0,11
1403715286.012393474578857,50,19,47,1,11
1403715286.062370300292969,50,11,47,1,11
1403715286.112373828887939,49,1,48,1,11
1403715286.162332534790039,49,0,49,0,11
1403715286.212292909622192,49,0,49,0,11
1403715286.262296676635742,48,1,48,0,11
1403715286.312276124954224,48,0,48,0,11
1403715286.362271070480347,48,0,47,0,11
1403715286.412267208099365,46,0,45,0,11
1403715286.462258577346802,49,18,44,5,11
