# timestamp(s) tx ty tz qx qy qz qw
1403715278.86151 0.025251000 0.024727000 0.107765000 0.810898000 -0.009293000 0.585107000 0.002651000
1403715278.91091 0.061276000 0.020346000 0.101412000 0.813165000 -0.009183000 0.581961000 0.000924000
1403715278.96113 0.068700000 0.021857000 0.115553000 0.812580000 -0.008921000 0.582780000 0.001293000
1403715279.01185 0.075254000 0.022402000 0.124736000 0.811725000 -0.008026000 0.583982000 0.001760000
1403715279.06179 0.082298000 0.022828000 0.129888000 0.811250000 -0.007551000 0.584648000 0.001658000
1403715279.11168 0.090837000 0.024085000 0.134222000 0.810778000 -0.007254000 0.585306000 0.001934000
1403715279.16158 0.096683000 0.024543000 0.130574000 0.810371000 -0.006324000 0.585878000 0.002436000
1403715279.21171 0.102793000 0.025333000 0.125805000 0.810642000 -0.005757000 0.585503000 0.003365000
1403715279.26178 0.107937000 0.026098000 0.118973000 0.810724000 -0.005171000 0.585393000 0.003735000
1403715279.31198 0.113960000 0.027059000 0.114062000 0.811362000 -0.005002000 0.584511000 0.003699000
1403715279.36303 0.119027000 0.026523000 0.111503000 0.812220000 -0.005280000 0.583317000 0.003434000
1403715279.41459 0.121613000 0.022903000 0.109816000 0.812595000 -0.005335000 0.582796000 0.003042000
1403715279.46550 0.124823000 0.020488000 0.106375000 0.813293000 -0.005116000 0.581825000 0.002792000
1403715279.51582 0.126642000 0.017573000 0.102046000 0.813594000 -0.005037000 0.581407000 0.002431000
1403715279.56590 0.130067000 0.017283000 0.100516000 0.813370000 -0.004397000 0.581723000 0.002927000
1403715279.61607 0.133027000 0.017465000 0.099579000 0.813656000 -0.004258000 0.581324000 0.003016000
1403715279.66602 0.137723000 0.018442000 0.101225000 0.813505000 -0.003918000 0.581537000 0.002975000
1403715279.71602 0.141800000 0.019900000 0.101948000 0.813206000 -0.004026000 0.581956000 0.002703000
1403715279.76596 0.144355000 0.020887000 0.103305000 0.813294000 -0.004155000 0.581833000 0.002467000
1403715279.81593 0.146978000 0.022183000 0.106315000 0.813307000 -0.004546000 0.581814000 0.001887000
1403715279.86581 0.148233000 0.022651000 0.109088000 0.813510000 -0.004429000 0.581532000 0.001830000
1403715279.91538 0.147425000 0.022283000 0.110292000 0.814116000 -0.004438000 0.580682000 0.002023000
1403715279.96486 0.144462000 0.020916000 0.112933000 0.815978000 -0.004297000 0.578062000 0.002581000
