# timestamp(s) tx ty tz qx qy qz qw
1403715278.86101 0.014922000 0.009283000 0.087804000 0.808716000 -0.007962000 0.588143000 0.001522000
1403715278.91173 0.053382000 0.012117000 0.085300000 0.810562000 -0.007432000 0.585602000 0.001782000
1403715278.96166 0.061267000 0.014013000 0.105487000 0.810154000 -0.007440000 0.586168000 0.001560000
1403715279.01131 0.069211000 0.015342000 0.119925000 0.809821000 -0.006822000 0.586633000 0.002112000
1403715279.06120 0.076535000 0.016968000 0.130972000 0.810246000 -0.006745000 0.586047000 0.002228000
1403715279.11096 0.084154000 0.018525000 0.137417000 0.810370000 -0.006685000 0.585876000 0.002436000
1403715279.16102 0.091600000 0.020089000 0.138894000 0.810784000 -0.006078000 0.585305000 0.003044000
1403715279.21120 0.098458000 0.021026000 0.136613000 0.811362000 -0.005501000 0.584506000 0.003829000
1403715279.26117 0.104177000 0.021277000 0.130336000 0.811479000 -0.004830000 0.584349000 0.003863000
1403715279.31124 0.110827000 0.022096000 0.125195000 0.812048000 -0.004685000 0.583560000 0.003696000
1403715279.36151 0.115797000 0.022489000 0.121407000 0.812732000 -0.005121000 0.582606000 0.003135000
1403715279.41168 0.120230000 0.022350000 0.117286000 0.812626000 -0.005499000 0.582756000 0.002057000
1403715279.46180 0.123991000 0.022346000 0.115123000 0.813301000 -0.005539000 0.581814000 0.001695000
1403715279.51191 0.126914000 0.021528000 0.114267000 0.813481000 -0.005524000 0.581564000 0.001309000
1403715279.56180 0.130511000 0.021613000 0.115276000 0.813311000 -0.004938000 0.581805000 0.001934000
1403715279.61180 0.133439000 0.021441000 0.117528000 0.813635000 -0.004848000 0.581352000 0.002169000
1403715279.66179 0.135712000 0.020898000 0.120677000 0.813827000 -0.004547000 0.581085000 0.002184000
1403715279.71184 0.137347000 0.020029000 0.123975000 0.813668000 -0.004525000 0.581308000 0.002166000
1403715279.76181 0.138713000 0.019392000 0.128173000 0.813761000 -0.004538000 0.581179000 0.002053000
1403715279.81185 0.139496000 0.018326000 0.133320000 0.813923000 -0.004854000 0.580950000 0.001780000
1403715279.86181 0.139449000 0.017178000 0.139118000 0.814229000 -0.004701000 0.580523000 0.001709000
1403715279.91180 0.139099000 0.015982000 0.145846000 0.814750000 -0.004651000 0.579790000 0.001842000
1403715279.96178 0.138584000 0.014974000 0.152110000 0.816265000 -0.004398000 0.577657000 0.002203000
1403715280.01174 0.138532000 0.014133000 0.159051000 0.819702000 -0.004588000 0.572768000 0.002177000
1403715280.06173 0.138595000 0.013212000 0.165444000 0.824030000 -0.004568000 0.566523000 0.002229000
1403715280.11179 0.139153000 0.011927000 0.172574000 0.827920000 -0.002774000 0.560817000 0.004993000
1403715280.16195 0.140438000 0.010497000 0.179622000 0.830102000 -0.000862000 0.557563000 0.007347000
1403715280.21219 0.142590000 0.009033000 0.187489000 0.830897000 0.002216000 0.556304000 0.011435000
1403715280.26260 0.145583000 0.007701000 0.196008000 0.830504000 0.004970000 0.556783000 0.015211000
1403715280.31265 0.150015000 0.007019000 0.204319000 0.829649000 0.007212000 0.557947000 0.018035000
1403715280.36265 0.155606000 0.007289000 0.212740000 0.828285000 0.008643000 0.559867000 0.020459000
1403715280.41259 0.162251000 0.008190000 0.221092000 0.826769000 0.008974000 0.561994000 0.023151000
1403715280.46243 0.169927000 0.009941000 0.228466000 0.826158000 0.005829000 0.562935000 0.023068000
1403715280.51236 0.178340000 0.012199000 0.235323000 0.825089000 -0.000589000 0.564573000 0.022010000
1403715280.56223 0.186997000 0.014855000 0.242823000 0.824014000 -0.008003000 0.566088000 0.021945000
1403715280.61220 0.195951000 0.017519000 0.250464000 0.822667000 -0.016801000 0.567805000 0.023122000
1403715280.66207 0.204448000 0.020305000 0.258540000 0.821527000 -0.026018000 0.568933000 0.027041000
1403715280.71205 0.212916000 0.022879000 0.265735000 0.820258000 -0.036296000 0.569974000 0.031437000
1403715280.76205 0.222105000 0.025637000 0.271875000 0.819340000 -0.046883000 0.570187000 0.037018000
1403715280.81207 0.231921000 0.027877000 0.277466000 0.818765000 -0.057760000 0.569595000 0.043006000
1403715280.86211 0.241910000 0.030774000 0.282863000 0.817413000 -0.068391000 0.569813000 0.049721000
1403715280.91217 0.251412000 0.034090000 0.287681000 0.816254000 -0.077985000 0.569636000 0.056235000
1403715280.96220 0.260693000 0.037763000 0.292245000 0.815025000 -0.086079000 0.569646000 0.061868000
1403715281.01221 0.269636000 0.041197000 0.296685000 0.813928000 -0.093465000 0.569540000 0.066412000
1403715281.06221 0.278702000 0.044437000 0.301325000 0.813339000 -0.099299000 0.568817000 0.071174000
1403715281.11220 0.288299000 0.048157000 0.306044000 0.812515000 -0.104488000 0.568587000 0.074905000
1403715281.16219 0.297075000 0.050674000 0.310361000 0.811494000 -0.108524000 0.568851000 0.078158000
1403715281.21222 0.305780000 0.053326000 0.314255000 0.810747000 -0.112344000 0.568745000 0.081219000
1403715281.26234 0.314069000 0.055639000 0.317561000 0.810082000 -0.116911000 0.568370000 0.083999000
1403715281.31244 0.323346000 0.056725000 0.319726000 0.809758000 -0.121982000 0.567254000 0.087378000
1403715281.36246 0.331916000 0.058263000 0.321344000 0.809354000 -0.127672000 0.565982000 0.091167000
1403715281.41250 0.340979000 0.060043000 0.322852000 0.808911000 -0.133784000 0.564470000 0.095594000
1403715281.46253 0.349702000 0.061513000 0.323632000 0.807670000 -0.140645000 0.563587000 0.101279000
1403715281.51249 0.358390000 0.063150000 0.323630000 0.806264000 -0.148516000 0.562404000 0.107623000
1403715281.56248 0.367514000 0.064604000 0.322959000 0.804816000 -0.157198000 0.560654000 0.115012000
1403715281.61247 0.377809000 0.064905000 0.321383000 0.802806000 -0.167048000 0.559088000 0.122547000
1403715281.66246 0.388132000 0.065762000 0.319888000 0.800423000 -0.178034000 0.557360000 0.130294000
1403715281.71244 0.398052000 0.066432000 0.317954000 0.797897000 -0.189431000 0.555191000 0.138703000
1403715281.76240 0.408564000 0.067213000 0.315948000 0.795321000 -0.201554000 0.552510000 0.146877000
1403715281.81241 0.418777000 0.067726000 0.313572000 0.792447000 -0.213978000 0.549713000 0.155105000
1403715281.86240 0.429267000 0.068260000 0.311009000 0.788785000 -0.226509000 0.547498000 0.163577000
1403715281.91241 0.439566000 0.068338000 0.307560000 0.785484000 -0.238822000 0.544375000 0.172149000
1403715281.96242 0.450410000 0.068450000 0.303635000 0.781765000 -0.251183000 0.541630000 0.179966000
1403715282.01242 0.461518000 0.068738000 0.299347000 0.777900000 -0.263475000 0.538810000 0.187446000
1403715282.06243 0.473214000 0.069015000 0.294506000 0.773847000 -0.275320000 0.536104000 0.194816000
1403715282.11243 0.485984000 0.069133000 0.289291000 0.770094000 -0.285778000 0.532898000 0.203238000
1403715282.16246 0.499445000 0.069453000 0.283729000 0.766278000 -0.296923000 0.529706000 0.209918000
1403715282.21246 0.513390000 0.069788000 0.278379000 0.762220000 -0.306946000 0.526727000 0.217631000
1403715282.26248 0.527643000 0.070082000 0.272450000 0.758378000 -0.317543000 0.523014000 0.224693000
1403715282.31247 0.542661000 0.070744000 0.266183000 0.754579000 -0.328087000 0.519044000 0.231435000
1403715282.36246 0.556716000 0.070678000 0.260693000 0.750201000 -0.338212000 0.515596000 0.238686000
1403715282.41244 0.571410000 0.070892000 0.254908000 0.746728000 -0.347338000 0.510711000 0.246835000
1403715282.46243 0.586537000 0.071588000 0.249064000 0.742138000 -0.357757000 0.507077000 0.253208000
1403715282.51241 0.602108000 0.071794000 0.243027000 0.737235000 -0.367115000 0.503798000 0.260573000
1403715282.56242 0.617636000 0.071922000 0.237032000 0.732254000 -0.376570000 0.500429000 0.267527000
1403715282.61242 0.633982000 0.071978000 0.231380000 0.726583000 -0.385129000 0.498222000 0.274823000
1403715282.66243 0.650682000 0.072186000 0.225486000 0.720586000 -0.394025000 0.496412000 0.281203000
1403715282.71242 0.667755000 0.072335000 0.219372000 0.714295000 -0.403314000 0.494652000 0.287124000
1403715282.76242 0.684816000 0.072557000 0.213009000 0.707913000 -0.412704000 0.493267000 0.291929000
1403715282.81242 0.701377000 0.073323000 0.206115000 0.702061000 -0.422275000 0.490817000 0.296467000
1403715282.86240 0.719154000 0.073195000 0.199277000 0.696192000 -0.430667000 0.488151000 0.302575000
1403715282.91239 0.739045000 0.072341000 0.192415000 0.690088000 -0.438710000 0.485613000 0.309019000
1403715282.96239 0.757386000 0.071764000 0.185071000 0.684099000 -0.447299000 0.482612000 0.314671000
1403715283.01239 0.775668000 0.071633000 0.177837000 0.677678000 -0.455825000 0.479981000 0.320303000
1403715283.06239 0.794162000 0.070993000 0.170975000 0.670860000 -0.464597000 0.477749000 0.325349000
1403715283.11238 0.812429000 0.071133000 0.163540000 0.664157000 -0.473612000 0.475315000 0.329642000
1403715283.16238 0.830769000 0.070946000 0.156843000 0.656969000 -0.482529000 0.473572000 0.333597000
1403715283.21237 0.848305000 0.071449000 0.150400000 0.649747000 -0.491168000 0.471602000 0.337897000
1403715283.26236 0.865404000 0.072210000 0.144349000 0.643088000 -0.499120000 0.468948000 0.342644000
1403715283.31235 0.881907000 0.073242000 0.138209000 0.636401000 -0.507335000 0.466322000 0.346624000
1403715283.36233 0.897451000 0.074302000 0.132691000 0.629972000 -0.514287000 0.463477000 0.351900000
1403715283.41229 0.911932000 0.075074000 0.126855000 0.624888000 -0.521926000 0.458957000 0.355622000
1403715283.46224 0.925902000 0.075494000 0.120973000 0.620316000 -0.529456000 0.453990000 0.358857000
1403715283.51217 0.939668000 0.075195000 0.115792000 0.616627000 -0.536068000 0.447880000 0.363051000
1403715283.56217 0.952307000 0.074834000 0.111114000 0.613232000 -0.542230000 0.441599000 0.367320000
1403715283.61217 0.964799000 0.074889000 0.106760000 0.610344000 -0.548111000 0.435428000 0.370752000
