# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863195657730103,0,6,0,0,5
1403715278.910946130752563,32,34,0,32,6
1403715278.960776329040527,31,4,31,0,7
1403715279.010618209838867,29,0,29,0,8
1403715279.060494661331177,29,0,29,0,9
1403715279.110362052917480,29,1,29,0,10
1403715279.160348892211914,28,1,28,0,11
1403715279.210343599319458,28,1,28,0,11
1403715279.260508060455322,33,0,28,5,11
1403715279.310084819793701,37,0,33,4,11
1403715279.359107255935669,38,0,37,1,11
1403715279.408578634262085,47,0,38,9,11
1403715279.458222866058350,47,0,47,0,11
1403715279.507598161697388,48,22,47,1,11
1403715279.557358741760254,48,0,48,0,11
1403715279.607010126113892,49,1,48,1,11
1403715279.657012701034546,49,0,49,0,11
1403715279.707045078277588,49,0,49,0,11
1403715279.757076501846313,49,0,49,0,11
1403715279.806897401809692,49,0,49,0,11
1403715279.857328891754150,49,0,49,0,11
1403715279.907398462295532,49,0,49,0,11
1403715279.957529306411743,49,2,49,0,11
1403715280.007687807083130,49,0,49,0,11
1403715280.057518482208252,49,0,49,0,11
1403715280.107430696487427,49,20,49,0,11
1403715280.158528566360474,48,0,48,0,11
1403715280.209465026855469,48,1,48,0,11
1403715280.260270357131958,47,0,47,0,11
1403715280.310487508773804,47,0,47,0,11
1403715280.360454559326172,47,0,46,0,11
1403715280.410317420959473,47,0,46,0,11
1403715280.460073471069336,47,1,46,1,11
1403715280.509923458099365,46,0,46,0,11
1403715280.559755563735962,47,2,46,1,11
1403715280.609883785247803,46,1,46,0,11
1403715280.659800767898560,48,1,44,3,11
1403715280.709924221038818,47,23,46,0,11
1403715280.759916782379150,47,2,46,1,11
1403715280.809907197952271,47,0,45,2,11
1403715280.859882116317749,47,2,46,0,11
1403715280.909940719604492,47,2,45,0,11
1403715280.960057258605957,45,0,42,2,11
1403715281.010126352310181,42,0,41,1,11
1403715281.060197114944458,41,0,41,0,11
1403715281.110288858413696,41,0,41,0,11
1403715281.160386085510254,42,0,39,3,11
1403715281.210490703582764,42,1,42,0,11
1403715281.260626554489136,41,0,41,0,11
1403715281.310777425765991,48,13,40,8,11
1403715281.360804080963135,47,1,47,0,11
1403715281.410756826400757,47,0,44,0,11
1403715281.460968971252441,50,12,47,3,11
1403715281.511023283004761,50,0,50,0,11
1403715281.561087608337402,50,0,48,0,11
1403715281.611127614974976,50,0,45,1,11
1403715281.661113500595093,50,0,44,2,11
1403715281.711076736450195,42,0,36,1,11
1403715281.760985612869263,47,7,35,9,11
1403715281.811042070388794,45,0,39,2,11
1403715281.860983610153198,44,2,40,0,11
1403715281.911065340042114,47,3,40,7,11
1403715281.961076259613037,47,0,47,0,11
1403715282.011128664016724,47,0,46,0,11
1403715282.061252832412720,50,8,46,3,11
