# timestamp(s) tx ty tz qx qy qz qw
1403715278.86242 0.017477000 0.011473000 0.085949000 0.809120000 -0.009096000 0.587566000 0.002963000
1403715278.91189 0.050572000 0.013859000 0.093488000 0.811515000 -0.007843000 0.584276000 0.001995000
1403715278.96193 0.058824000 0.016316000 0.111024000 0.810879000 -0.007573000 0.585159000 0.002643000
1403715279.01204 0.066885000 0.018381000 0.124167000 0.810325000 -0.006755000 0.585931000 0.003536000
1403715279.06204 0.074327000 0.019958000 0.132736000 0.810074000 -0.006905000 0.586281000 0.002676000
1403715279.11199 0.081257000 0.021353000 0.137054000 0.809893000 -0.007038000 0.586528000 0.002999000
1403715279.16195 0.086184000 0.022167000 0.133380000 0.809845000 -0.006367000 0.586597000 0.003832000
1403715279.21204 0.091811000 0.023219000 0.128966000 0.810456000 -0.005933000 0.585747000 0.005067000
1403715279.26216 0.096951000 0.023994000 0.125637000 0.811207000 -0.005486000 0.584707000 0.005537000
1403715279.31200 0.101753000 0.024565000 0.121421000 0.812001000 -0.005286000 0.583605000 0.005637000
1403715279.36164 0.105457000 0.024494000 0.117954000 0.812790000 -0.005613000 0.582507000 0.005117000
1403715279.41118 0.108291000 0.023201000 0.115982000 0.812907000 -0.005870000 0.582351000 0.004042000
1403715279.46081 0.111386000 0.022680000 0.116699000 0.813653000 -0.005798000 0.581311000 0.003512000
1403715279.51023 0.119919000 0.021935000 0.129105000 0.813059000 -0.005364000 0.582148000 0.002994000
1403715279.55952 0.126713000 0.022760000 0.140062000 0.812990000 -0.004728000 0.582247000 0.003605000
1403715279.60925 0.131757000 0.023359000 0.153173000 0.813475000 -0.004676000 0.581569000 0.003743000
1403715279.65906 0.133765000 0.023198000 0.163526000 0.813925000 -0.004361000 0.580941000 0.003702000
1403715279.70904 0.134207000 0.022742000 0.170426000 0.813997000 -0.004271000 0.580842000 0.003626000
1403715279.75897 0.134249000 0.022761000 0.175619000 0.814283000 -0.004289000 0.580442000 0.003356000
1403715279.80900 0.133372000 0.021976000 0.179562000 0.814725000 -0.004605000 0.579821000 0.003065000
1403715279.85872 0.132727000 0.021540000 0.184113000 0.815102000 -0.004532000 0.579293000 0.002818000
1403715279.90837 0.132182000 0.021069000 0.188969000 0.815794000 -0.004576000 0.578318000 0.002821000
1403715279.95824 0.131907000 0.020572000 0.194880000 0.817222000 -0.004321000 0.576297000 0.003403000
1403715280.00813 0.132328000 0.019950000 0.201765000 0.820616000 -0.004486000 0.571453000 0.003321000
1403715280.05803 0.133797000 0.018437000 0.206467000 0.824742000 -0.004591000 0.565481000 0.003112000
1403715280.10797 0.135731000 0.014393000 0.210871000 0.828962000 -0.002822000 0.559269000 0.005680000
1403715280.15925 0.138166000 0.010974000 0.217642000 0.831461000 -0.001089000 0.555526000 0.007888000
1403715280.21066 0.141832000 0.007586000 0.225120000 0.832627000 0.002015000 0.553703000 0.011924000
1403715280.26201 0.146987000 0.005328000 0.232491000 0.832735000 0.004794000 0.553419000 0.016046000
1403715280.31210 0.154129000 0.004687000 0.237601000 0.832055000 0.007066000 0.554324000 0.018972000
1403715280.36208 0.162540000 0.005755000 0.242985000 0.830872000 0.008556000 0.555985000 0.021450000
1403715280.41195 0.171496000 0.007513000 0.248680000 0.829438000 0.008881000 0.558005000 0.024170000
1403715280.46171 0.181609000 0.010293000 0.254611000 0.828922000 0.005818000 0.558815000 0.024077000
1403715280.51172 0.191735000 0.014105000 0.262606000 0.827774000 -0.000258000 0.560593000 0.022903000
1403715280.56154 0.201587000 0.017452000 0.269489000 0.826889000 -0.007663000 0.561843000 0.022957000
1403715280.61148 0.212060000 0.020805000 0.277051000 0.825716000 -0.016325000 0.563327000 0.024256000
1403715280.66137 0.222299000 0.023108000 0.283657000 0.824658000 -0.025346000 0.564357000 0.028229000
1403715280.71141 0.234169000 0.024247000 0.290474000 0.823591000 -0.035408000 0.565131000 0.032737000
1403715280.76139 0.245685000 0.026075000 0.296334000 0.823002000 -0.045777000 0.564879000 0.038514000
1403715280.81142 0.257342000 0.028241000 0.301782000 0.822519000 -0.056515000 0.564167000 0.044549000
1403715280.86150 0.269133000 0.031132000 0.307049000 0.821343000 -0.067006000 0.564152000 0.051368000
1403715280.91160 0.280858000 0.035440000 0.311879000 0.820282000 -0.076467000 0.563837000 0.058127000
1403715280.96162 0.292414000 0.040689000 0.317043000 0.819215000 -0.084567000 0.563598000 0.063974000
